,business_id,count,name_biz,stars_biz,address,neighborhood,latitude,longitude
29,qqs7LP4TXAoOrSlaKRfz3A,274,DW Bistro,4.5,"9275 West Russell Rd, Ste 190",Spring Valley,36.0842933813,-115.293878168
30,vl2IZrNJEA8npSjqXbdwxw,273,BabyStacks Cafe,4.0,"2400 N Buffalo Dr, Ste 145",Summerlin,36.2037425,-115.2598768
32,l_GV0hgEoTUf70uJVT0_hg,272,eat.,4.0,707 Carson Ave,Downtown,36.166723,-115.13894
34,Cni2l-VKG_pdospJ6xliXQ,269,Burger Bar,4.0,3950 S Las Vegas Blvd,The Strip,36.092875,-115.176247
35,ZibmYdOPKLlqDM9oR6xzOA,267,Bachi Burger,4.0,"9410 W Sahara Ave, Ste 150",Westside,36.1469098416,-115.30077702
36,EnCIojgP5KTr1leaysFE3A,263,Viva Las Arepas,4.5,"1616 S Las Vegas Blvd, Ste 120",Downtown,36.1512686085,-115.15254548
37,UNI1agsPX2k3eJSJVB91nw,260,Hot N Juicy Crawfish,4.0,"4810 Spring Mountain Rd, Ste C & D",Chinatown,36.1265925847,-115.206305981
38,UYh1N1xQhOh-a7nX92xPzQ,257,Brio Tuscan Grille,4.0,6653 Las Vegas Blvd,Southeast,36.0681523873,-115.175929912
39,sNVGdeOPeitJ3OWUQBINzQ,256,BabyStacks Cafe,4.0,"4135 S Buffalo Dr, Ste 101",Spring Valley,36.1136678,-115.2614725
41,hIUKufhwR6Ifn7bi0-phLA,255,Baguette Cafe,4.5,"8359 W Sunset Rd, Ste 100",Spring Valley,36.066865,-115.273241
42,rcaPajgKOJC2vo_l3xa42A,252,Bouchon at the Venezia Tower,4.0,"3355 Las Vegas Blvd S, Venezia Tower, 10th floor",The Strip,36.122293409,-115.170278879
43,gTw6PENNGl68ZPUpYWP50A,248,Soyo Korean Barstaurant,4.0,"7775 S Rainbow Blvd, Ste 105",Southwest,36.0471471941,-115.24373889
44,-ed0Yc9on37RoIoG2ZgxBA,247,Le Thai,4.0,523 Fremont St,Downtown,36.1688018067,-115.139880089
45,QJatAcxYgK1Zp9BRZMAx7g,235,Shake Shack,4.0,"New York New York Hotel & Casino, 3790 Las Vegas Blvd S",The Strip,36.1030612595,-115.173450261
46,sqRX-XLlhx4rs2c1TpBf8A,231,Raku,4.5,"5030 Spring Mountain Rd, Ste 2",Chinatown,36.127033,-115.210028
48,rq5dgoksPHkJwJNQKlGQ7w,230,Sambalatte Torrefazione,4.0,"750 S Rampart Blvd, Ste 9",Westside,36.1641802266,-115.289629743
49,ugLqbAvBdRDc-gS4hpslXw,230,Yama Sushi,4.0,"1350 E Flamingo Rd, Ste 18",Eastside,36.115520451,-115.134970584
50,WRQ-9LluyivReFiQZFUujw,230,Buldogis Gourmet Hot Dogs,4.5,"2291 S Fort Apache Rd, Ste 102",Westside,36.1470835,-115.2982993
51,awI4hHMfa7H0Xf0-ChU5hg,226,Oyster Bar,4.5,2411 W Sahara Ave,,36.1429035195,-115.174618522
52,2iTsRqUsPGRH1li1WVRvKQ,224,Carson Kitchen,4.5,"124 S 6th St, Ste 100",Downtown,36.1678783157,-115.140640475
53,ujHiaprwCQ5ewziu0Vi9rw,223,The Buffet at Bellagio,3.5,3600 S Las Vegas Blvd,The Strip,36.1131604088,-115.17640885
54,wX1ORSDKPkA5ftE7F6UONw,223,Strip N Dip Chicken Strips,4.5,873 S Rainbow Blvd,Westside,36.1618764,-115.2453617
55,SAIrNOB4PtDA4gziNCucwg,223,Herbs & Rye,4.0,3713 W Sahara Ave,Westside,36.1439242153,-115.191727262
56,y8d90Pt16Nip-B5UXWBP-w,221,Yard House Red Rock Resort,4.0,11011 W Charleston Blvd,South Summerlin,36.1567959455,-115.334386826
57,CiYLq33nAyghFkUR15pP-Q,220,TACOS EL GORDO,4.5,1724 E Charleston Blvd,Downtown,36.1584751,-115.1265495
59,FvVSy2r7_zDEhZWqLgjXNQ,219,The Bagel Cafe,4.0,"Westcliff House, 301 N Buffalo Dr",Westside,36.1759103,-115.260485
60,Gaq3S9lmjXVcuDCZ8ulppw,218,Oyshi Sushi,3.5,"7775 S Rainbow Blvd, Ste 145",Southwest,36.047306,-115.244158
62,A0X1baHPgw9IiBRivu0G9g,217,Patisserie Manon,4.0,"8751 W Charleston Blvd, Ste 110",Westside,36.1575911274,-115.285657683
63,RwMLuOkImBIqqYj4SSKSPg,214,Tacos El Gordo,4.0,3049 S Las Vegas Blvd,The Strip,36.1315942123,-115.164766838
64,A-uZAD4zP3rRxb44WUGV5w,214,Soho Japanese Restaurant,4.5,"7377 S Jones Blvd, Ste 116",Southwest,36.0552438,-115.2258702
65,gx2yPrOJSwF1ApJYdGBWIw,212,JINYA Ramen Bar,4.0,4860 W Flamingo Rd,,36.1158115,-115.2068476
66,Jur1iiejUFw_YCkfDfy1gQ,211,Orchids Garden Chinese Restaurant,3.5,5485 W Sahara Ave,Westside,36.1435449,-115.2163036
68,NvKNe9DnQavC9GstglcBJQ,210,Grand Lux Cafe,4.0,"The Venetian Hotel & Casino, 3355 Las Vegas Blvd S",The Strip,36.1222764411,-115.17012246
69,XZbuPXdyA0ZtTu3AzqtQhg,210,Mesa Grill,4.0,3570 Las Vegas Blvd S,The Strip,36.1171245659,-115.174792707
70,ZAuAwz1ijuydn5yL3q3rzA,210,Japanese Curry Zen,4.5,"5020 Spring Mountain Rd, Ste 1",Chinatown,36.1268196106,-115.20941925
71,EAwh1OmG6t6p3nRaZOW_AA,209,Ellis Island Casino & Brewery,4.0,4178 Koval Ln,Eastside,36.1130255,-115.1634847
73,Ec9CBmL3285XkeHaNp-bSQ,204,District One Kitchen & Bar,4.0,"3400 S Jones Blvd, Ste 8",Chinatown,36.1274286041,-115.22407185
74,zcScEL0WEdFkROcnz5379g,201,The Boiling Crab,4.0,4025 S Decatur Blvd,,36.1171281659,-115.208510922
75,UCpUOtvqR-NBWBNVMzJleA,196,Blue Martini Lounge,3.5,"6593 Las Vegas Blvd S, Bldg L B214",Southeast,36.0683706291,-115.177535906
76,1ZnVfS-qP19upP_fwOhZsA,194,Big Wong Restaurant,4.0,5040 Spring Mountain Rd,Chinatown,36.126663,-115.20992
77,pHJu8tj3sI8eC5aIHLFEfQ,194,Nora's Italian Cuisine,4.0,5780 W Flamingo Rd,,36.1148522,-115.2203694
79,umXvdus9LbC6oxtLdXelFQ,193,Sweets Raku,4.5,"5040 W Spring Mountain Rd, Ste 3",Chinatown,36.1264269463,-115.209914042
80,0w3BdEOxvwKTpypwbN5kiQ,192,Tofu Hut,3.5,3920 Spring Mountain Rd,Chinatown,36.1267612,-115.192874
82,n_K2xa_nqzUqaUJa0S_5tQ,192,Tea Station,3.0,"4355 Spring Mountain Rd, Ste 106",Chinatown,36.125964,-115.1976
83,G-5kEa6E6PD5fkBRuA7k9Q,191,Giada,3.5,"The Cromwell Las Vegas Resort & Casino, 3595 Las Vegas Blvd South",The Strip,36.1151458785,-115.172286068
84,zRqi6L1u-YmmVAHjeUbGMQ,191,SkinnyFATS,4.5,"8680 W Warm Springs Rd, Ste 170",Southwest,36.0562823585,-115.280428139
85,364hhL5st0LV16UcBHRJ3A,190,Yonaka Modern Japanese,4.5,"4983 W Flamingo Rd, Ste A",,36.114935,-115.209737
87,rioQ_p2pILNbJ4Xp5jW6-Q,186,Downtown Container Park,4.0,707 Fremont St,Downtown,36.1675431,-115.1384234
88,3kdSl5mo9dWC4clrQjEDGg,185,Egg & I,4.5,"4533 W Sahara Ave, Ste 5",Westside,36.1440458,-115.2024651
89,riFzCvp77DMKDX-5GoTpqA,185,Steak 'n Shake,3.5,9777 Las Vegas Blvd S,Southeast,36.0114062572,-115.1757787
90,I6EDDi4-Eq_XlFghcDCUhw,183,Joe's Seafood Prime Steak & Stone Crab,4.5,"The Forum Shop At Caesars Palace, 3500 Las Vegas Blvd S, Ste R-05",The Strip,36.1186453192,-115.173629052
91,hroo5nOO8b9QhHX0GLg7oA,183,Pho So 1,3.5,4745 Spring Mountain Rd,Chinatown,36.1249835,-115.2064306
93,wuQDMDlqM17jQNo0lYQZ7g,182,Park on Fremont,4.0,506 Fremont St,Downtown,36.169326,-115.140097
94,IZivKqtHyz4-ts8KsnvMrA,182,Kung Fu Tea,4.5,5030 Spring Mountain Rd,Chinatown,36.1270199715,-115.20964399
95,gTlDDzDEHyDQ6iwjNhpI6A,180,Mount Everest India's Cuisine,4.5,3641 W Sahara Ave,Westside,36.1439733,-115.1898435
97,Vs7gc9EE3k9wARuUcN9piA,179,Pan Asian,4.5,"2980 S Durango Dr, Ste 101",Westside,36.134956,-115.278458
98,PQER4ba8Q0zqB1G2QiXamQ,179,Black Bear Diner,4.0,6180 W. Tropicana Avenue,,36.1002814148,-115.22745826
99,JDZ6_yycNQFTpUZzLIKHUg,177,El Dorado Cantina,4.5,3025 Sammy Davis Jr. Dr,,36.1350121,-115.1714295
101,uWECX6-Uq9n8v5ipk9R29A,176,Lola's A Louisana Kitchen,4.0,"241 W Charleston Blvd, Ste 101",Downtown,36.158293,-115.1579886
102,El4FC8jcawUVgw_0EIcbaQ,176,MGM Grand Hotel,3.0,3799 Las Vegas Blvd S,The Strip,36.1022543,-115.1699583
104,DzKl51tivGJMLiNsQqf38w,175,Island Sushi & Grill,4.0,"9400 S Eastern Ave, Ste 103",Southeast,36.0182263,-115.1179256
106,m5niZy68d2gTtVWz89elfA,175,Slidin Thru,4.0,6478 Windy Rd,Southeast,36.071643,-115.176101
107,UMqfeCItzQ2glr4d9apGlA,175,Sunrise Coffee,4.5,"3130 E Sunset Rd, Ste A",Southeast,36.0719462,-115.1069016
109,dEAk-gE-5Q95a7p91gNn8A,173,Sushi Koma,4.0,"8665 W Flamingo Rd, Ste 106",Spring Valley,36.1144681157,-115.281096697
110,eduRavkml8awmPachSZXuw,172,Kona Grill,3.5,750 S Rampart Blvd,Westside,36.1638735074,-115.289943661
111,JWDiG0nSsM7GQ9QFRTxU9w,172,Glazier's Food Marketplace,4.0,8525 W Warm Springs Rd,Southwest,36.0544216949,-115.277408257
112,7sb2FYLS2sejZKxRYF9mtg,171,Sakana,4.5,3949 S Maryland Pkwy,Eastside,36.1172566639,-115.138506234
113,SVGApDPNdpFlEjwRQThCxA,170,Juan's Flaming Fajitas & Cantina,4.5,"9640 W Tropicana, Ste 101",Spring Valley,36.1003444651,-115.302336439
114,pQ6e4fjq6kqRqLE6w8CfWQ,169,Wendy's Noodle Cafe,4.0,3401 S Jones Blvd,Chinatown,36.1275319,-115.2252191
116,qkyCuFJF2Uboh6n2Lmuwlg,169,Lee's Sandwiches,3.0,3989 Spring Mountain Rd,Chinatown,36.126144295,-115.192033683
117,IhNASEZ3XnBHmuuVnWdIwA,168,Brew Tea Bar,5.0,"7380 S Rainbow Blvd, Ste 101",Southwest,36.0541948,-115.242443
118,7ibuDLfx8gEhESAufYIySw,168,Sushi Mon,4.0,"9770 S Maryland Pkwy, Ste 3",Southeast,36.0119105,-115.1361159
119,n8Zqqhff-2cxzWt_nwhU2Q,168,Public School 702,3.5,1850 Festival Plaza Dr,South Summerlin,36.1511909431,-115.332766928
120,LFs5jyYdXlzi0SpAYi1eSA,168,Maggiano's Little Italy,4.0,3200 Las Vegas Blvd S,The Strip,36.1276070473,-115.168533551
121,OETh78qcgDltvHULowwhJg,168,Gordon Ramsay Steak,4.0,"Paris Las Vegas Hotel & Casino, 3655 Las Vegas Boulevard South",The Strip,36.1128823357,-115.171270357
122,GHS1rVjO-RMcRB6WJLpCDQ,168,Las Vegas North Premium Outlets,4.0,875 S Grand Central Pkwy,Downtown,36.16421,-115.157736
124,cJWbbvGmyhFiBpG_5hf5LA,167,Hofbräuhaus Las Vegas,3.5,4510 Paradise Rd,Eastside,36.1077570331,-115.151691257
125,d_L-rfS1vT3JMzgCUGtiow,167,Border Grill,4.0,3950 S Las Vegas Blvd,The Strip,36.0899498633,-115.175814183
126,ixAh9crILnJ9tM8LhWFhkw,167,Archi's Thai Bistro,4.0,"6345 S Rainbow Blvd, Ste 100",Spring Valley,36.0732064948,-115.243538218
127,vx4YAA02Qz6khRD1fZ1MFA,166,Ping Pang Pong,3.5,"Gold Coast Hotel & Casino, 4000 W Flamingo Rd",,36.1153088291,-115.195201635
128,Os1n1_idfw9vv9kwULGJnQ,166,Island Style,4.5,"3909 W Sahara Ave, Ste 1",Westside,36.1440350372,-115.193389175
129,W8apgXmOxESpoL_EeogC5w,166,Fukumimi Ramen,4.0,"4860 S Eastern Ave, Ste 2",Southeast,36.1004644026,-115.117415621
130,f4x1YBxkLrZg652xt2KR5g,166,Hash House A Go Go,4.0,"The LINQ Hotel & Casino, 3535 Las Vegas Blvd S",The Strip,36.1178829948,-115.17124454
131,82YGtjc5KKikNiqBZ33qzw,162,Kyara Japanese Tapas,4.0,"6555 S Jones Blvd, Ste 120",Spring Valley,36.0698514,-115.2249867
132,eZcCFV-8X91ZSnmB9807bw,162,The Cheesecake Factory,3.5,"750 S Rampart Blvd, Bldg 17",Westside,36.1646282753,-115.28920699
133,6tSvz_21BMo3a4GaItwa0g,161,JJANGA Japanese Restaurant,4.0,"3650 S Decatur Blvd, Ste 31",Chinatown,36.1235575,-115.2075378
135,zEaGcSVPDQipnRdEZp-F6g,161,Dom DeMarco's Pizzeria & Bar,4.0,9785 W Charleston Blvd,Westside,36.1588974,-115.3115031
136,UV2Jt8slktGu14gLZeNCjA,158,Mint Indian Bistro,4.0,"730 E Flamingo Rd, Ste 10",University,36.1148754728,-115.147404671
137,KalAJyO0Zpg3K1wVwYXBHA,158,Marché Bacchus,4.0,"2620 Regatta Dr, Ste 106",Summerlin,36.2075183,-115.2681365
138,IT_4EEIbv6Ox1jBRMyE7pg,154,Del Frisco's Double Eagle Steak House,4.5,3925 Paradise Rd,Eastside,36.1179324,-115.1553873
140,0_aeYE2-VbsZts_UpILgDw,154,Lazy Dog Restaurant & Bar,4.0,"1725 Festival Plz Dr, Ste A2",South Summerlin,36.152831458,-115.333866775
141,FQB3VXrWYM_m_XrzwRozAg,152,Sura BBQ Buffet,3.5,4480 W Spring Mountain Rd,Chinatown,36.1263313,-115.2014204
142,1SqLPgnZEVeVYDM-AuoFhg,152,Pop's Philly Steaks,3.5,501 S Decatur Blvd,Westside,36.166261,-115.205674
143,CauQnqZ5eowyrr7oWF_p3Q,152,John Mull's Meats & Road Kill Grill,4.5,3730 Thom Blvd,Northwest,36.22723,-115.2114516
145,ydcNlRMKs93AQpOhVkSrGQ,152,Fukuburger Truck,4.0,,Downtown,36.1699412,-115.1398296
147,HgdFqAvK31fB9sgBdOzo9g,152,Crêpe Expectations,4.5,"9500 S Eastern Ave, Ste 150",,36.016494,-115.117099
148,QJR4qBUHegWEozSQrGmBPw,152,Olives,4.0,3600 S Las Vegas Blvd,The Strip,36.111978,-115.17698
149,sOYsxYYFl03PhHmz_rBDZQ,150,The Sparklings,4.0,"8310 S Rainbow Blvd, Ste 100",Southwest,36.0373841989,-115.242948945
150,osu1j_Lg8R9brpuMMn3a3A,149,Fogo de Chão Brazilian Steakhouse,4.5,360 E Flamingo Rd,Eastside,36.1147454655,-115.157157183
151,DbEszO3wk1xVmN3pCPob2g,149,Jamms Restaurant,4.5,1029 S Rainbow Blvd,Westside,36.159706,-115.245078
152,dn_ipqbm7_jUz5X3rDez_A,148,Todd English P.U.B.,3.5,3720 S Las Vegas Blvd,The Strip,36.1088082,-115.173583
154,C9ImzBi5fn742ZcAYDww2A,148,Rise & Shine - A Steak & Egg Place,4.0,10690 Southern Highlands Pkwy,Southwest,35.9949501,-115.2062178
155,p5rpYtxS5xPQjt3MXYVEwA,148,Greens and Proteins,4.0,8975 S Eastern Ave,Southeast,36.0262317,-115.1192573
157,DYAorbxOyubUB_wtQRCdug,148,MadHouse Coffee,4.0,"8470 W Desert Inn Rd, Ste H-1",Westside,36.129857,-115.275526
158,OVTY-NpcTA7iXbMQmusv3A,147,BJ's Restaurant & Brewhouse,4.0,10840 West Charleston,Summerlin,36.159552,-115.331914
160,y4ETe3DkcIjjr_eyeg5U5g,147,Cornish Pasty,4.5,10 E Charleston Blvd,Downtown,36.1586573241,-115.152920932
161,VGWEpMEkzQopS5lUNd06Sw,147,Miller's Ale House - Las Vegas,3.5,6683 Las Vegas Blvd S,Southeast,36.0661824639,-115.175287547
162,_w5hBpkjHs5_Hv3pLeHtIw,147,Julian Serrano,4.0,3730 Las Vegas Blvd S,The Strip,36.1058559054,-115.174262584
163,2SfSzEd3B7WimeZac23zhg,147,Leoné Café,4.0,"400 S Rampart Blvd, Ste 165",Westside,36.167315,-115.286719
165,H8qpFitIesth86zqR4cwYg,147,Jean Philippe Patisserie,4.0,3730 Las Vegas Blvd S,The Strip,36.1068146101,-115.178174973
166,HQcel0uvg7N7KfhHJChfSQ,146,Sushi Kaya,3.5,"4355 Spring Mountain Rd, Ste 101B",Chinatown,36.1259513087,-115.198216438
167,pomGBqfbxcqPv14c3XH-ZQ,146,Leticia's Mexican Cocina,4.0,"7585 Norman Rockwell Ln, Bldg 1",Centennial,36.2988751854,-115.280088186
168,Qihead6oTtWCwde3TBqlGg,145,Du-Par's,4.0,1 Fremont St,Downtown,36.171301,-115.146052
169,ECOkEVUodMLUxvI0PMI4gQ,145,Tao Nightclub,3.0,"The Venetian, 3377 S Las Vegas Blvd",The Strip,36.1214517,-115.169597789
170,YJ8ljUhLsz6CtT_2ORNFmg,145,Gordon Ramsay Pub & Grill,3.5,"Caesars Palace Las Vegas Hotel And Casino, 3570 Las Vegas Boulevard South",The Strip,36.1177282041,-115.175818301
171,GJ_bXUPv672YwNg4TneJog,145,China Poblano,3.0,3708 Las Vegas Blvd S,The Strip,36.1098709067,-115.17481374
172,-IWsoxH7mLJTTpU5MmWY4w,144,Kinh Do,4.0,"4300 Spring Mountain Rd, Ste 101",Chinatown,36.1269341,-115.1977704
174,8olG8J91NG_QU92WHG5QfA,144,Amore Taste of Chicago,4.0,3945 S Durango Dr,Spring Valley,36.1191125,-115.2797333
176,xkVMIk_Vqh17f48ZQ_6b0w,144,Tom Colicchio's Craftsteak,4.0,3799 Las Vegas Blvd S,The Strip,36.102918,-115.169751
177,VrGI7_nRjXpn0415S3coGQ,144,Thai Style Noodle House,4.0,3516 Wynn Rd,Chinatown,36.1258871,-115.1944248
178,VsewHMsfj1Mgsl2i_hio7w,144,LAVO Italian Restaurant & Lounge,3.5,"The Palazzo, 3255 S Las Vegas Blvd",The Strip,36.1244339501,-115.169068691
179,HhVmDybpU7L50Kb5A0jXTg,143,Guy Fieri's Vegas Kitchen & Bar,3.5,"The LINQ Las Vegas Resort & Casino, 3535 S Las Vegas Blvd",The Strip,36.118793,-115.1726
180,qVO3l9Q0-KVQE7W9JL9ePw,142,Greenland Supermarket,4.0,6850 Spring Mountain Rd,Chinatown,36.127061,-115.241457
182,OjApDLQUPV8c_yPCg8xZog,142,Pot Liquor CAS,4.0,"6587 S Las Vegas Blvd, Ste B-196",Southeast,36.0689369963,-115.178216174
183,faPVqws-x-5k2CQKDNtHxw,142,Yardbird Southern Table & Bar,4.5,"The Venetian, 3355 Las Vegas Blvd S",The Strip,36.1229684406,-115.168792678
184,Z5eukYH32_nFljOTC2DJ0g,142,Grimaldi's Pizzeria,4.0,9595 S Eastern Ave,Southeast,36.0153892,-115.1195612
186,0WoQQlMXVIDEgI0xNdENKA,142,Feast Buffet,3.5,11011 W Charleston Blvd,South Summerlin,36.1564004,-115.3335562
188,LpGCzgAKNSpzDNEUMVVtZA,141,Grimaldi's - Coal Brick-Oven Pizzeria,4.0,"7155 S Rainbow Blvd, Ste 125",Southwest,36.0582206,-115.2436309
190,VMXl3Dm1Nwvgwo1PVYTXbg,141,Gold Spike,4.0,217 Las Vegas Blvd N,Downtown,36.1713078,-115.1402675
192,fHM09_y3QX3n4a_bIFbk_w,141,Grand Lux Cafe,4.0,"PALAZZO Resort Hotel Casino, 3327 Las Vegas Blvd S, Ste 1580",The Strip,36.123618,-115.17033
193,HPLB1Tr8ZB5UkD-2umKPdA,139,Fat Choy,4.0,595 E Sahara Ave,Eastside,36.1434734,-115.1468836
194,DkZuVzYuylBanEsWK7mNGw,138,Yummy Grill & Sushi,4.5,"7331 W Lake Mead Blvd, Ste 105",,36.1947642877,-115.25248422
195,ZkGDCVKSdf8m76cnnalL-A,138,Le Village Buffet,3.5,3655 Las Vegas Blvd S,The Strip,36.1129302794,-115.169968853
196,aD0EslPREWGDlSpD0RMlEg,138,Asian BBQ & Noodles,4.0,"3400 S Jones Blvd, Ste 5C",Chinatown,36.1278838165,-115.224121095
197,K0j_Znzin0jShXVnpvW86A,137,Jaleo,3.5,3708 Las Vegas Blvd S,The Strip,36.1097544,-115.1738726
198,RRw9I8pHt5PzgYGT2QeODw,137,Grimaldi's Pizzeria,4.0,750 S Rampart Blvd,Westside,36.1640989787,-115.289727652
199,dKdApYVFDSNYsNOso6NYlA,136,White Castle,3.0,3411 S Las Vegas Blvd,The Strip,36.1208167322,-115.17205102
200,LR0qF0FEVsCOhYWUOiH26A,136,The Buffet at ARIA,3.0,3743 Las Vegas Blvd S,The Strip,36.107406,-115.17698
201,q-zZgXKAQFLEgMp9ZNllgQ,136,Umiya Sushi,4.0,4465 W Flamingo Rd,,36.1154185,-115.2006442
202,f4kNNLU_0q_2J711jCN7dA,135,Paymon's Mediterranean Cafe & Lounge,4.0,4147 S Maryland Pkwy,University,36.1136516,-115.1383819
203,mDR12Hafvr84ctpsV6YLag,135,Mr Mamas,4.5,"5693 S Jones Blvd, Ste 106",Spring Valley,36.0865254,-115.2262491
205,a192hdM0_UVCYLwPJv1Qwg,135,Casa Don Juan  - Downtown,4.0,1204 S Main St,Downtown,36.157156,-115.1538305
206,pH0BLkL4cbxKzu471VZnuA,134,SUSHISAMBA - Las Vegas,4.0,3327 Las Vegas Blvd,The Strip,36.1239774361,-115.167756725
207,B_WggEKFq-ZFNui8CHPYvA,134,Soho SushiBurrito,4.5,"2600 W Sahara Ave, Ste 115",,36.145214,-115.176443
209,bPcqucuuClxYrIM8xWoArg,133,Due Forni,4.0,"3555 S Town Center Dr, Ste 105",South Summerlin,36.1248405,-115.3252217
211,Fi-2ruy5x600SX4avnrFuA,133,Spice Market Buffet,3.0,3667 Las Vegas Blvd S,The Strip,36.1102503133,-115.171666064
212,XeDLyY2a7nZ3IEY4RYslXA,132,Chicago Brewing Company,3.5,2201 S Fort Apache Rd,Westside,36.1474961,-115.2980652
213,olmCDBoMF-EhN8U2livBSg,132,Freed's Bakery,4.0,9815 S Eastern Ave,Southeast,36.0109982442,-115.119957995
214,qsJkjQoM3Hdg6Gtqp2S9_w,132,Archi's Thai Cafe,4.0,9350 W Sahara Ave,Westside,36.1471526137,-115.299976431
215,YRyYbOSwvHkZsZOLv98oQg,132,Estiatorio Milos,4.0,3708 Las Vegas Blvd S,The Strip,36.109883,-115.173887
217,iA8Ve2sZKN5Vz3mYKrtCaQ,131,Komol Restaurant,4.0,"953 E Sahara Ave, Ste E-10 & E -12",Eastside,36.1424875212,-115.142594814
218,zpoZ6WyQUYff18-z4ZU1mA,131,The Goodwich,4.5,"900 S Las Vegas Blvd, Ste 120",Downtown,36.1599382942,-115.147452718
219,65eDIQ8bpMJFtgdyX7ulVA,131,Yassou,4.5,7871 W Charleston Blvd,Westside,36.1586479,-115.2634866
220,vl1aHp6pvnSmpoRQShWLjg,131,Lucille's Smokehouse Bar-B-Que,3.5,11011 W Charleston Blvd,Summerlin,36.158032627,-115.335199692
221,jLxeBgWhLRbII2ACkgH1Sg,131,La Belle Terre Bread French Bakery Café,4.5,"8390 W Sahara Ave, Ste 130",Westside,36.1443811,-115.2742995
223,qmymSqVwHYRqdwfcBatzpQ,131,Vintner Grill,4.0,"10100 W Charleston Blvd, Ste 150",Summerlin,36.160122,-115.31731
225,QDeB3ZtWYzVJJ0KK-HM-PA,131,Ronald's Donuts,4.5,4600 Spring Mountain Rd,Chinatown,36.1265632,-115.2042227
