Year,Rank,Name,College,Conference,Games,Punts,Punt_Yards,Avg_Punt
2000,99,Andy Shatley,Arkansas State,Big West,11,65,2455,37.8
2000,100,Jason Simpson,Fresno State,WAC,11,62,2343,37.8
2000,101,Mike Barr,Rutgers,Big East,11,58,2192,37.8
2000,102,Austin Herbert,North Carolina State,ACC,11,59,2224,37.7
2000,103,Scott Elder,Oklahoma State,Big 12,11,56,2107,37.6
2000,104,Robert Billings,Middle Tennessee State,Ind,11,52,1951,37.5
2000,105,Garvin Ringwelski,Temple,Big East,9,55,2053,37.3
2000,106,Mike Biselli,Stanford,Pac-10,11,36,1340,37.2
2000,107,Grant Autrey,Louisiana-Lafayette,Ind,11,81,3005,37.1
2000,108,Chris Palic,Arizona,Pac-10,11,75,2779,37.1
2000,109,Seth Hanson,Kentucky,SEC,11,33,1223,37.1
2000,110,Blake Ferguson,North Carolina,ACC,9,40,1475,36.9
2000,111,Scott Kurz,Purdue,Big Ten,9,30,1091,36.4
2000,112,Reggie Hodges,Ball State,MAC,11,64,2321,36.3
2000,113,Ryan Downes,Idaho,Big West,11,58,2081,35.9
2000,114,Dustin Upton,Louisiana Tech,Ind,12,47,1688,35.9
2000,115,Dallas Pelz,Buffalo,MAC,8,28,992,35.4
2000,116,Robert Peaslee,Virginia Tech,Big East,11,43,1518,35.3
2000,117,S. Hunnicutt,Louisiana-Monroe,Ind,11,65,2273,35
2000,118,Steven Hunnicutt,Louisiana-Monroe,Ind,11,65,2273,35
2001,1,Travis Dorsch,Purdue,Big Ten,12,53,2547,48.1
2001,2,Dave Zastudil,Ohio,MAC,11,50,2280,45.6
2001,3,Andy Groom,Ohio State,Big Ten,11,44,1981,45
2001,4,Steve Mullins,Utah State,Ind,11,50,2241,44.8
2001,5,John Skaggs,Navy,Ind,10,48,2151,44.8
2001,6,Glenn Pakulak,Kentucky,SEC,11,56,2492,44.5
2001,7,Brooks Barnard,Maryland,ACC,11,54,2401,44.5
2001,8,Mark Mariscal,Colorado,Big 12,11,37,1647,44.5
2001,9,Dan Macelroy,Army,CUSA,11,51,2264,44.4
2001,10,Curtis Head,Marshall,MAC,12,45,1996,44.4
2001,11,Nate Fikse,UCLA,Pac-10,11,53,2342,44.2
2001,12,Adam Stiles,Baylor,Big 12,11,70,3088,44.1
2001,13,Jarad Preston,East Carolina,CUSA,11,45,1983,44.1
2001,14,Jeff Ferguson,Oklahoma,Big 12,12,71,3124,44
2001,15,Damon Duval,Auburn,SEC,11,51,2244,44
2001,16,Adam Wulfeck,Cincinnati,CUSA,11,64,2800,43.8
2001,17,Tony Yelk,Iowa State,Big 12,11,45,1973,43.8
2001,18,Jonathan Kilgo,Georgia,SEC,11,42,1838,43.8
2001,19,Donnie Jones,Louisiana State,SEC,12,47,2054,43.7
2001,20,Brian Simnjanovski,San Diego State,MWC,11,63,2747,43.6
2001,21,Brian Simnjamovski,San Diego State,MWC,11,63,2745,43.6
2001,22,Scott Elder,Oklahoma State,Big 12,11,61,2658,43.6
2001,23,Craig Jarrett,Michigan State,Big Ten,12,51,2225,43.6
2001,24,Jason Simpson,Fresno State,WAC,14,66,2870,43.5
2001,25,Javier Beorlegui,Central Florida,Ind,11,46,2001,43.5
2001,26,Mat McBriar,Hawaii,WAC,12,40,1736,43.4
2001,27,Casey Roussel,Tulane,CUSA,12,64,2764,43.2
2001,28,Kevin McMyler,Boston College,Big East,11,59,2547,43.2
2001,29,J.J. Standring,Northwestern,Big Ten,11,69,2971,43.1
2001,30,Joey Huber,Colorado State,MWC,11,56,2408,43
2001,31,Mike Shafer,Syracuse,Big East,12,77,3282,42.6
2001,32,Richie Butler,Arkansas,SEC,11,67,2848,42.5
2001,33,Ross Stewart,Alabama-Birmingham,CUSA,11,57,2420,42.5
2001,34,Kyle Larson,Nebraska,Big 12,12,56,2381,42.5
2001,35,Joey Biasatti,Texas Christian,CUSA,11,65,2757,42.4
2001,36,Steve Fitts,Illinois,Big Ten,11,53,2248,42.4
2001,37,Tyeler Dean,South Carolina,SEC,12,47,1993,42.4
2001,38,John Cortney,Air Force,MWC,12,39,1654,42.4
2001,39,Mark Fazzolari,West Virginia,Big East,11,29,1229,42.4
2001,40,Mark Haulman,Southern Mississippi,CUSA,11,65,2751,42.3
2001,41,Robert Billings,Middle Tennessee State,Sun Belt,11,35,1481,42.3
2001,42,Joey Hildbold,Notre Dame,Ind,11,64,2703,42.2
2001,43,Mike Abrams,Virginia,ACC,12,62,2616,42.2
2001,44,Mike Barr,Rutgers,Big East,11,84,3526,42
2001,45,Jimmy Erwin,Northern Illinois,MAC,11,60,2507,41.8
2001,46,Freddie Capshaw,Miami (FL),Big East,11,36,1503,41.8
2001,47,Dustin Upton,Louisiana Tech,WAC,11,57,2377,41.7
2001,48,Reggie Hodges,Ball State,MAC,11,60,2481,41.4
2001,49,Joe Webb,Vanderbilt,SEC,11,57,2358,41.4
2001,50,Preston Gruening,Minnesota,Big Ten,11,51,2109,41.4
2001,51,Derek McLaughlin,Washington,Pac-10,11,52,2144,41.2
2001,52,Andy Lee,Pittsburgh,Big East,11,64,2630,41.1
2001,53,Alan Cox,Washington State,Pac-10,12,64,2628,41.1
2001,54,Nick Murphy,Arizona State,Pac-10,11,52,2137,41.1
2001,55,Austin Herbert,North Carolina State,ACC,11,53,2166,40.9
2001,56,Brandon Hannum,Toledo,MAC,11,48,1964,40.9
2001,57,Jared Cook,Mississippi State,SEC,11,60,2445,40.8
2001,58,Cody Scates,Texas A&M,Big 12,11,71,2888,40.7
2001,59,Todd James,West Virginia,Big East,11,32,1303,40.7
2001,60,David Royer,Penn State,Big Ten,11,71,2880,40.6
2001,61,James Gaither,Memphis,CUSA,11,67,2718,40.6
2001,62,Wade Tydlacka,Louisville,CUSA,12,63,2559,40.6
2001,63,Luke Donovan,Wyoming,MWC,11,57,2317,40.6
2001,64,Chris Tyrrell,Kansas,Big 12,11,53,2148,40.5
2001,65,Chris Tyrell,Kansas,Big 12,11,53,2148,40.5
2001,66,Casey Lipscomb,Tulsa,WAC,11,65,2627,40.4
2001,67,Brian Lewis,Utah,MWC,11,57,2294,40.2
2001,68,Clinton Greathouse,Texas Tech,Big 12,11,43,1727,40.2
2001,69,Brian Brandt,Central Michigan,MAC,11,72,2889,40.1
2001,70,Patrick Fleming,Bowling Green State,MAC,11,54,2166,40.1
2001,71,Pat Fleming,Bowling Green State,MAC,11,54,2165,40.1
2001,72,Chance Gwaltney,Florida State,ACC,11,53,2125,40.1
2001,73,Derek Jones,Nevada,WAC,11,53,2107,39.8
2001,74,Aaron Edmonds,Brigham Young,MWC,13,46,1831,39.8
2001,75,Kirk Munden,Wisconsin,Big Ten,12,35,1390,39.7
2001,76,John Lafferty,North Carolina,ACC,12,67,2656,39.6
2001,77,Devin Sanderson,South Florida,Ind,10,58,2294,39.6
2001,78,Dustin Colquitt,Tennessee,SEC,12,51,2020,39.6
2001,79,Lane Bearden,Alabama,SEC,11,50,1980,39.6
2001,80,Tyler Fredrickson,California,Pac-10,11,75,2959,39.5
2001,81,Tyler Frederickson,California,Pac-10,11,75,2959,39.5
2001,82,Brock Harvey,Missouri,Big 12,7,42,1660,39.5
2001,83,Adam Walterscheid,Southern Methodist,WAC,11,59,2322,39.4
2001,84,Hayden Epstein,Michigan,Big Ten,11,64,2513,39.3
2001,85,Wynn Kopp,Clemson,ACC,11,42,1652,39.3
2001,86,Adam Coles,Connecticut,Ind,11,81,3172,39.2
2001,87,Vladimir Borombozin,New Mexico,MWC,11,72,2819,39.2
2001,88,Carl Tobey,Oregon State,Pac-10,11,68,2664,39.2
2001,89,Ryan Downes,Idaho,Sun Belt,11,46,1805,39.2
2001,90,Travis Hale,Rice,WAC,12,66,2581,39.1
2001,91,Mike Macgillivray,Southern California,Pac-10,12,79,3082,39
2001,92,Scott McMahan,Buffalo,MAC,11,68,2642,38.9
2001,93,Cody Ridgeway,Mississippi,SEC,11,48,1861,38.8
2001,94,Jason Ball,North Texas,Sun Belt,11,66,2553,38.7
2001,95,Jose Arroyo,Oregon,Pac-10,12,62,2400,38.7
2001,96,Michael Wafzig,Miami (OH),MAC,12,59,2276,38.6
2001,97,Mike Wafzig,Miami (OH),MAC,12,59,2276,38.6
2001,98,Gary Cook,Nevada-Las Vegas,MWC,11,64,2455,38.4
2001,99,Trey McDonald,Duke,ACC,11,60,2304,38.4
2001,100,Jimmy McClary,Houston,CUSA,11,63,2399,38.1
2001,101,Eric Johnson,Stanford,Pac-10,11,51,1943,38.1
2001,102,Jace Amore,Temple,Big East,11,73,2776,38
2001,103,Ramey Peru,Arizona,Pac-10,11,60,2274,37.9
2001,104,Jared Fritz,Kent State,MAC,11,52,1971,37.9
2001,105,Adam Anderson,Western Michigan,MAC,11,44,1668,37.9
2001,106,Mike Alexander,Arkansas State,Sun Belt,11,68,2572,37.8
2001,107,Vinnie Burns,Virginia Tech,Big East,11,59,2233,37.8
2001,108,Andy Jerdon,Akron,MAC,11,54,2039,37.8
2001,109,Chris Rolle,Wake Forest,ACC,11,33,1246,37.8
2001,110,Jeremy Schatz,Troy,Ind,11,47,1768,37.6
2001,111,Brian Copple,New Mexico State,Sun Belt,12,59,2192,37.2
2001,112,Keith Schuttler,Boise State,WAC,12,39,1443,37
2001,113,David Bradley,Iowa,Big Ten,12,41,1503,36.7
2001,114,Jonathon Knott,Louisiana-Lafayette,Sun Belt,11,66,2418,36.6
2001,115,Brian Bradford,Texas,Big 12,12,56,2032,36.3
2001,116,Michael Carr,San Jose State,WAC,12,34,1231,36.2
2001,117,David Rysko,Eastern Michigan,MAC,11,88,3152,35.8
2001,118,Bryce Benekos,Texas-El Paso,WAC,11,52,1796,34.5
2001,119,Andy Chance,Louisiana-Monroe,Sun Belt,8,43,1441,33.5
2002,1,Mark Mariscal,Colorado,Big 12,14,67,3186,47.6
2002,2,Matt Payne,Brigham Young,MWC,12,51,2427,47.6
2002,3,Glenn Pakulak,Kentucky,SEC,12,66,3008,45.6
2002,4,Andy Groom,Ohio State,Big Ten,14,60,2697,45
2002,5,Mat McBriar,Hawaii,WAC,14,48,2148,44.8
2002,6,Donnie Jones,Louisiana State,SEC,13,64,2813,44
2002,7,Greg Johnson,Vanderbilt,SEC,12,66,2891,43.8
2002,8,Cody Scates,Texas A&M,Big 12,12,67,2931,43.7
2002,9,Dustin Colquitt,Tennessee,SEC,13,65,2833,43.6
2002,10,Jarad Preston,East Carolina,CUSA,12,73,3170,43.4
2002,11,Damon Duval,Auburn,SEC,13,54,2344,43.4
2002,12,Kyle Larson,Nebraska,Big 12,14,73,3156,43.2
2002,13,Andy Lee,Pittsburgh,Big East,13,73,3147,43.1
2002,14,Brooks Barnard,Maryland,ACC,14,55,2373,43.1
2002,15,Curtis Head,Marshall,MAC,13,42,1809,43.1
2002,16,Luke Donovan,Wyoming,MWC,12,58,2493,43
2002,17,Seth Marler,Tulane,CUSA,13,72,3090,42.9
2002,18,Tim Parker,Arizona State,Pac-10,14,79,3372,42.7
2002,19,Robert Billings,Middle Tennessee State,Sun Belt,12,61,2599,42.6
2002,20,Brian Lewis,Utah,MWC,11,58,2471,42.6
2002,21,Brock Harvey,Missouri,Big 12,12,54,2295,42.5
2002,22,Cody Ridgeway,Mississippi,SEC,13,67,2840,42.4
2002,23,Tyeler Dean,South Carolina,SEC,11,45,1909,42.4
2002,24,Brad Kadlubar,North Texas,Sun Belt,12,78,3297,42.3
2002,25,Jonathan Kilgo,Georgia,SEC,14,64,2708,42.3
2002,26,Tony Yelk,Iowa State,Big 12,14,46,1945,42.3
2002,27,Chris Morehouse,Georgia Tech,ACC,10,33,1396,42.3
2002,28,Curtis Ansel,Kansas,Big 12,12,82,3459,42.2
2002,29,Jose Arroyo,Oregon,Pac-10,13,77,3250,42.2
2002,30,Adam Finley,Michigan,Big Ten,13,69,2909,42.2
2002,31,Jared Cook,Mississippi State,SEC,10,48,2024,42.2
2002,32,Ross Stewart,Alabama-Birmingham,CUSA,12,75,3154,42.1
2002,33,Tom Malone,Southern California,Pac-10,13,62,2609,42.1
2002,34,Brian Simnjanovski,San Diego State,MWC,13,60,2524,42.1
2002,35,Nate Fikse,UCLA,Pac-10,13,71,2975,41.9
2002,36,Devin Sanderson,South Florida,Ind,11,66,2768,41.9
2002,37,Mark Haulman,Southern Mississippi,CUSA,13,80,3344,41.8
2002,38,Ryan Downes,Idaho,Sun Belt,12,56,2338,41.8
2002,39,Ryan Flinn,Central Florida,MAC,12,40,1673,41.8
2002,40,Michael Wafzig,Miami (OH),MAC,12,40,1666,41.7
2002,41,Mike Wafzig,Miami (OH),MAC,12,40,1666,41.7
2002,42,David Rysko,Eastern Michigan,MAC,12,64,2660,41.6
2002,43,Brian Huffman,Northwestern,Big Ten,12,66,2737,41.5
2002,44,Lane Bearden,Alabama,SEC,12,50,2074,41.5
2002,45,Cole Farden,Oklahoma State,Big 12,13,57,2358,41.4
2002,46,Freddie Capshaw,Miami (FL),Big East,13,54,2225,41.2
2002,47,John Skaggs,Navy,Ind,12,46,1896,41.2
2002,48,Kevin Kerr,Ohio,MAC,12,55,2258,41.1
2002,49,David Royer,Penn State,Big Ten,13,50,2053,41.1
2002,50,Kyle Basler,Washington State,Pac-10,13,50,2053,41.1
2002,51,Travis Brown,Kansas State,Big 12,13,49,2015,41.1
2002,52,Derek Jones,Nevada,WAC,12,63,2579,40.9
2002,53,Bryce Benekos,Texas-El Paso,WAC,12,70,2855,40.8
2002,54,Jared Fritz,Kent State,MAC,12,59,2409,40.8
2002,55,Tyler Gaus,New Mexico,MWC,13,73,2971,40.7
2002,56,Jason Simpson,Fresno State,WAC,14,74,3007,40.6
2002,57,Travis Hale,Rice,WAC,11,58,2352,40.6
2002,58,Vinnie Burns,Virginia Tech,Big East,14,64,2591,40.5
2002,59,Jason Daily,Michigan State,Big Ten,12,66,2668,40.4
2002,60,Mike Barr,Rutgers,Big East,12,92,3707,40.3
2002,61,Carl Tobey,Oregon State,Pac-10,13,74,2981,40.3
2002,62,Reggie Hodges,Ball State,MAC,12,57,2299,40.3
2002,63,Joey Huber,Colorado State,MWC,14,53,2135,40.3
2002,64,Andy Jerdon,Akron,MAC,12,46,1856,40.3
2002,65,James Gaither,Memphis,CUSA,8,35,1411,40.3
2002,66,Scott McMahan,Buffalo,MAC,12,81,3258,40.2
2002,67,Cort Moffitt,Tulsa,WAC,12,75,3016,40.2
2002,68,Cort Moffitt,Tulsa,WAC,12,75,3016,40.2
2002,69,Brian Bradford,Texas,Big 12,13,67,2685,40.1
2002,70,Preston Gruening,Minnesota,Big Ten,13,57,2282,40
2002,71,Adam Coles,Connecticut,Ind,12,76,3030,39.9
2002,72,Thomas Olmsted,Troy,Ind,12,72,2871,39.9
2002,73,Grant Autrey,Louisiana-Lafayette,Sun Belt,12,78,3108,39.8
2002,74,Chance Gwaltney,Florida State,ACC,14,72,2862,39.8
2002,75,Eric Johnson,Stanford,Pac-10,11,58,2306,39.8
2002,76,Joey Biasatti,Texas Christian,CUSA,12,77,3060,39.7
2002,77,Steve Mullins,Utah State,Ind,11,63,2500,39.7
2002,78,Clinton Greathouse,Texas Tech,Big 12,14,47,1867,39.7
2002,79,Brian Brandt,Central Michigan,MAC,11,71,2815,39.6
2002,80,Tyler Fredrickson,California,Pac-10,12,62,2450,39.5
2002,81,David Bradley,Iowa,Big Ten,13,53,2093,39.5
2002,82,Brent Slaton,Purdue,Big Ten,13,63,2485,39.4
2002,83,Richie Butler,Arkansas,SEC,14,69,2715,39.3
2002,84,Dan Dyke,Georgia Tech,ACC,13,39,1531,39.3
2002,85,Mike Shafer,Syracuse,Big East,12,69,2707,39.2
2002,86,Pat Fleming,Bowling Green State,MAC,12,51,2000,39.2
2002,87,Patrick Fleming,Bowling Green State,MAC,12,51,2000,39.2
2002,88,Trey McDonald,Duke,ACC,12,49,1923,39.2
2002,89,Joey Hildbold,Notre Dame,Ind,13,78,3038,38.9
2002,90,Jimmy McClary,Houston,CUSA,12,62,2411,38.9
2002,91,Garvin Ringwelski,Temple,Big East,12,47,1819,38.7
2002,92,Mike Alexander,Arkansas State,Sun Belt,12,64,2469,38.6
2002,93,Blake Ferguson,Oklahoma,Big 12,14,74,2851,38.5
2002,94,Blake Ferguson,Oklahoma,Big 12,14,74,2849,38.5
2002,95,Derek McLaughlin,Washington,Pac-10,12,57,2194,38.5
2002,96,Gary Cook,Nevada-Las Vegas,MWC,12,70,2680,38.3
2002,97,Jimmy Erwin,Northern Illinois,MAC,12,63,2412,38.3
2002,98,Ryan Mentzel,Southern Methodist,WAC,12,70,2673,38.2
2002,99,Ryan Hamre,Indiana,Big Ten,12,58,2214,38.2
2002,100,Michael Carr,San Jose State,WAC,13,57,2174,38.1
2002,101,Chet Ervin,Cincinnati,CUSA,14,66,2511,38
2002,102,Matt Steffen,Western Michigan,MAC,8,41,1550,37.8
2002,103,Brian Copple,New Mexico State,Sun Belt,12,42,1585,37.7
2002,104,Danny Baugher,Arizona,Pac-10,12,38,1434,37.7
2002,105,Matt Minnes,Illinois,Big Ten,12,33,1244,37.7
2002,106,Dustin Upton,Louisiana Tech,WAC,12,64,2405,37.6
2002,107,Nate Smith,Louisville,CUSA,13,50,1875,37.5
2002,108,R.J. Morse,Wisconsin,Big Ten,14,74,2765,37.4
2002,109,Kevin McMyler,Boston College,Big East,13,57,2125,37.3
2002,110,Austin Herbert,North Carolina State,ACC,14,61,2268,37.2
2002,111,Mark Fazzolari,West Virginia,Big East,13,53,1969,37.2
2002,112,Wynn Kopp,Clemson,ACC,13,63,2340,37.1
2002,113,Chris Castelli,Army,CUSA,12,65,2383,36.7
2002,114,Tom Hagan,Virginia,ACC,14,62,2273,36.7
2002,115,John Lafferty,North Carolina,ACC,12,61,2235,36.6
2002,116,Kjell Nesen,Louisiana-Monroe,Sun Belt,9,56,2048,36.6
2002,117,Jeremy Parker,Baylor,Big 12,12,73,2599,35.6
2002,118,Ingle Martin,Florida,SEC,12,46,1619,35.2
2003,1,Tom Malone,Southern California,Pac-10,13,42,2060,49
2003,2,Matt Prater,Central Florida,MAC,12,58,2781,47.9
2003,3,Brandon Fields,Michigan State,Big Ten,13,62,2878,46.4
2003,4,Joel Stelly,Louisiana-Monroe,Sun Belt,12,67,3099,46.3
2003,5,Jared Scruggs,Rice,WAC,12,51,2341,45.9
2003,6,Ryan Plackemeier,Wake Forest,ACC,12,57,2600,45.6
2003,7,Dustin Colquitt,Tennessee,SEC,13,68,3081,45.3
2003,8,Kyle Larson,Nebraska,Big 12,13,66,2978,45.1
2003,9,Eric Wilbur,Florida,SEC,13,66,2954,44.8
2003,10,Ryan Dougherty,East Carolina,CUSA,12,64,2846,44.5
2003,11,Steve Weatherford,Illinois,Big Ten,11,46,2045,44.5
2003,12,Cody Ridgeway,Mississippi,SEC,13,58,2561,44.2
2003,13,Andy Lee,Pittsburgh,Big East,13,77,3399,44.1
2003,14,Bryce Benekos,Texas-El Paso,WAC,13,70,3085,44.1
2003,15,Matt Payne,Brigham Young,MWC,12,78,3433,44
2003,16,Adam Anderson,Western Michigan,MAC,12,72,3162,43.9
2003,17,Cort Moffitt,Tulsa,WAC,13,44,1922,43.7
2003,18,Cort Moffitt,Tulsa,WAC,13,44,1922,43.7
2003,19,Kyle Basler,Washington State,Pac-10,13,77,3351,43.5
2003,20,Chris Beckman,Tulane,CUSA,12,65,2829,43.5
2003,21,Brandon Hannum,Toledo,MAC,12,44,1916,43.5
2003,22,Gary Cook,Nevada-Las Vegas,MWC,12,83,3604,43.4
2003,23,Tim Parker,Arizona State,Pac-10,12,75,3252,43.4
2003,24,B.J. Sander,Ohio State,Big Ten,13,82,3553,43.3
2003,25,Robert Wallis,Mississippi State,SEC,8,30,1300,43.3
2003,26,Cole Farden,Oklahoma State,Big 12,13,52,2245,43.2
2003,27,Andrew Martin,Air Force,MWC,12,43,1857,43.2
2003,28,Daniel Sepulveda,Baylor,Big 12,12,87,3750,43.1
2003,29,Brian Brandt,Central Michigan,MAC,12,71,3058,43.1
2003,30,Brendan Carney,Syracuse,Big East,12,60,2581,43
2003,31,Chris Kluwe,UCLA,Pac-10,13,91,3908,42.9
2003,32,Eric Johnson,Stanford,Pac-10,11,86,3687,42.9
2003,33,Kody Bliss,Auburn,SEC,13,64,2748,42.9
2003,34,Austin Herbert,North Carolina State,ACC,13,53,2265,42.7
2003,35,Danny Baugher,Arizona,Pac-10,12,76,3238,42.6
2003,36,John Torp,Colorado,Big 12,12,63,2679,42.5
2003,37,Luke Donovan,Wyoming,MWC,12,63,2678,42.5
2003,38,Thomas Olmsted,Troy,Ind,12,78,3304,42.4
2003,39,Donnie Jones,Louisiana State,SEC,14,65,2757,42.4
2003,40,Brent Slaton,Purdue,Big Ten,13,78,3303,42.3
2003,41,Adam Podlesh,Maryland,ACC,13,53,2241,42.3
2003,42,Ryan Downes,Idaho,Sun Belt,12,64,2702,42.2
2003,43,Billy Sullivan,Akron,MAC,12,41,1731,42.2
