Primary Key,DC Real Property ID,PM Property ID,Property Name,PM Parent Property ID,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self-Selected,Primary Property Type - Calculated,Tax Record Floor Area,Reported Building Gross Floor Area,ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Water Use (All Water Sources) (kgal),Electricity Use (kWh),Natural Gas Use (therms),Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu),Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
DC00310028,0031_0028,N/A,Western Presbyterian Church,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2401 VIRGINIA AV NW,WESTERN PRESBYTERIAN CHURCH TRUSTEES,2,2401 Virginia Avenue N.W.,Washington,DC,20037,,Not Provided,Not Provided,"52,404",,,,,,,,,,,,,,,,,
PM3509928,0031_0835,3509928,Potomac Plaza Terrace Inc.- WHOLE BUILDING,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0730 24TH ST NW,POTOMAC PLAZA TERRACES,2,730 24th Street NW,Washington,DC,20037,1961,Multifamily Housing,Multifamily Housing,"210,919","210,000",,21.7,21.7,65.6,65.6,558.4,2.7,,1259200,2685.606,,,Whole Building,Whole Building,38.89909854,-77.05174686
PM3336808,0031_0837,3336808,Potomac Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,2475 Virginia Avenue N.W.,Washington,DC,20037,1957,Multifamily Housing,Multifamily Housing,316550,316550,,42.9,,48.1,,754.6,2.4,,134179,131260.623,,,Whole Building,,38.8990837,-77.05249743
PM3500007,0033_0087,3500007,Columbia Plaza All Bldgs,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,2400 Virginia Ave NW,Washington,DC,20037,1968,Multifamily Housing,Multifamily Housing,1544107,988819,,83.1,83.8,152.6,153.3,6636.1,6.7,52495.8,9066707,512229.484,,,Common areas only,Common areas only,38.8976054,-77.0518455
DC00351009,0035_1009,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0008 N ST NW,EMERSON HOUSE CONDOMINIUM,2,,Washington,DC,,,Not Provided,Not Provided,"83,924",,,,,,,,,,,,,,,,,
PM2656301,0036_0048,2656301,2300 N Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2300 N ST NW,TR 2300 N STREET CORP,2,2300 N Street,Washington,DC,20037,1986,Office,Office,"451,879","304,484",34,105,105.1,329.8,330,4049.9,13.3,5806.6,9372958,,,,Whole Building,Whole Building,38.90698463,-77.05073142
DC00360846,0036_0846,N/A,Chromium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2301 M ST NW,CHROMIUM LLC,2,2301 M Street NW,Washington,DC,20037,,Not Provided,Not Provided,"68,405",,,,,,,,,,,,,,,,,
PM3633411,0036_0859,3633411,Park Hyatt Washington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1201 24TH ST,HYATT EQUITIES LLC,2,1201 24th Street NW,Washington,DC,20037,1986,Hotel,Hotel,361400,361400,,93.2,,239.5,,3589.2,9.9,15830.5,7177188,91951.623,,,Whole Building,Whole Building,38.90573626,-77.05112599
PM3496074,0036_1010,3496074,1250 23rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1230 23RD STREET NW,1230-1250 23RD ST CONDOMINIUM,2,1250 23rd Street NW,Washington,DC,20037,1989,Office,Office,"190,287","203,239",70,56,56.2,175.8,176.4,1523.2,7.5,2050.6,3334888,,,,Whole Building,Whole Building,,
DC00361489,0036_1489,N/A,West End Residences,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1201 24TH STREET NW,WEST END RESIDENCES,2,1221 24th St NW,Washington,DC,20037,,Not Provided,Not Provided,"69,225",,,,,,,,,,,,,,,,,
PM3504183,0037_0853,3504183,2300-2330 M ST,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2300 - 2330 M ST NW,MEDICAL FACULTY ASSOCIATES INC,2,2300-2330 M ST NW,Washington,DC,20037,1984,Office,Office,"120,872","161,222",65,66.8,66.8,209.8,209.7,1364,8.5,2399.1,3156668,,,,Whole Building,,38.90501242,-77.05055386
DC00370854,0037_0854,N/A,HST Lesee CMBS LLC DBA The Westin Georgetown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2350 M ST NW,STARWOOD REALTY CMBS I LLC,2,2350 M St NW,Washington,DC,20037,,Not Provided,Not Provided,"219,252",,,,,,,,,,,,,,,,,
DC00371011,0037_1011,N/A,Gibson Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1140 23RD STREET NW,THE GIBSON CONDOMINIUM,2,1140 23rd street NW,Washington,DC,20037,,Not Provided,Not Provided,"67,432",,,,,,,,,,,,,,,,,
DC00382013,0038_2013,N/A,Three Washington Circle A Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0003 WASHINGTON CIR NW,THE CHANCELLOR CONDO,2,3 Washington Circle NW,Washington,DC,20037,,Not Provided,Not Provided,"50,278",,,,,,,,,,,,,,,,,
PM3772931,0040_0036,3772931,George Washington University Hospital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,900 23RD ST,GEORGE WASHINGTON,2,900 23rd St NW,Washington,DC,20037,2002,Hospital (General Medical & Surgical),Hospital,"450,927","450,927",20,363.4,363.8,748.2,748.6,14515.1,32.2,,23182550,847586.571,,,Whole Building,Whole Building,38.90132679,-77.05046239
PM2266110,0041_0040,2266110,Ross Hall,3616625,Ross Hall Group,12/31/2013,In Compliance,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2300 I St NW,Washington,DC,20052,1973,College/University,College/University,"467,654","420,653",,602.9,602.7,905.3,905.1,17638.1,41.9,40095.3,16097340,1921874.001,6508120.9,,Another configuration,Whole Building,38.900087,-77.050843
PM3616625,0041_0040,3616625,Ross Hall Group,3616625,Ross Hall Group,12/31/2013,In Compliance,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2300 Eye Street NW,Washington,DC,20052,1945,College/University,College/University,"467,654","551,397",,473.1,473,718.3,718.1,18291,33.2,47084,17165110,1957953.756,6508120.9,,Whole Building,Whole Building,38.900087,-77.050843
PM1030402,0042_0054,1030402,Amsterdam Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2350 H ST,GEORGE WASHINGTON UNIVERSITY,2,2350 H Street NW,Washington,DC,20052,1997,Residence Hall/Dormitory,Residence Hall/Dormitory,"165,390","129,562",58,76.8,77.3,166.4,166.9,919.4,7.1,9594.5,1558010,46385.605,,,Whole Building,Whole Building,38.8993224,-77.05091838
PM2265100,0042_0055,2265100,Health and Wellness Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2301 G ST,GEORGE WASHINGTON UNIVERSITY,2,2301 G St NW,Washington,DC,20052,2001,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,"145,350","167,964",,66.7,66.8,167.8,167.8,1172.3,7,4025.5,2301475,33523.817,,,Whole Building,,38.89861803,-77.05051693
PM1415263,0043_0026*,1415263,Ivory Tower,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,616 23rd St NW,Washington,DC,20052,2004,Residence Hall/Dormitory,Residence Hall/Dormitory,,283531,42,75.4,75.5,183.6,183.7,2196.2,7.7,15069.4,4143727.867,65422.02,292822,416456,Whole Building,Whole Building,38.89794615,-77.05040603
PM3395641,0049_0044,3395641,Westbrooke Place,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2201 N ST,WESTBROOKE PLACE LP,2,2201 N St NW,Washington,DC,20037,1995,Multifamily Housing,Multifamily Housing,"226,803","226,803",,38.8,39.1,82.9,83.1,803.8,3.5,6336.5,1339342,42410.508,,,Whole Building,Whole Building,38.90744381,-77.04919476
DC00500027,0050_0027,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,1220 22ND ST NW,COLUMBIA REALTY VENTURE,2,,Washington,DC,20037,,Not Provided,Not Provided,"52,704",,,,,,,,,,,,,,,,,
PM3466549,0050_0085,3466549,Embassy Suites Hotels,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1250 22ND ST NW,EMBASSY/SHAW D C VENTURE,2,1250 22nd street NW,Washington,DC,20037,1987,Hotel,Hotel,"454,961","306,123",78,62.8,62.8,134,134,1753.3,5.7,21808,2920720,92570.374,,,Whole Building,,38.90685699,-77.04944766
PM3506991,0050_0086,3506991,Floyd Akers Building (DDOE),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1255 23RD ST,CAPITOL 50 ASSOCIATES,2,1255 23rd Street NW,Washington,DC,20037,1983,Office,Office,"83,314","347,805",82,59.2,59.2,185.8,185.8,2605.8,7.5,4650.4,6030845,,,,Whole Building,Whole Building,38.90640247,-77.04978884
PM3727352,0051_1014,3727352,Carriage House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2201 L ST NW,THE CARRIAGE HOUSE CONDOMINIUM,2,2201 L Street NW,Washington,DC,20037,1969,Multifamily Housing,Multifamily Housing,"103,487","103,487",34,89,89.2,174.7,174.2,814.1,7.9,6767.5,1179831,51813.72397,,,Whole Building,Whole Building,38.9040361,-77.0492921
DC00511313,0051_1313,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0115 23RD ST NW,THE PARKMONT CONDO,2,,Washington,DC,,,Not Provided,Not Provided,"313,160",,,,,,,,,,,,,,,,,
PM3682457,0052_0805,3682457,One Washington Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0001 WASHINGTON CIR NW,GEORGE WASHINGTON UNIVERSITY,2,1 Washington Circle NW,Washington,DC,20037,1963,Hotel,Hotel,"128,480","102,730",26,89.9,90,256.5,256.8,1076.3,10.5,1870650.5,2335955,12620.995,,,Whole Building,Whole Building,38.90337893,-77.04972805
PM2951555,0054_0841,2951555,2200 Pennsylvania Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2200 PENNSYLVANIA AV,GEORGE WASHINGTON UNIVERSITY,2,2200 Pennsylvania Avenue,Washington,DC,20037,2011,Office,Office,"499,000","516,218",90,43.1,43.1,135.3,135.3,2817.6,5.5,13577.8,6519874,,6900,,Whole Building,Whole Building,38.90194436,-77.04912731
PM1416427,0055_0855,1416427,Munson Hall,3616625,Ross Hall Group,12/31/2013,In Compliance,2212 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2212 Eye St NW,Washington,DC,20052,1945,Residence Hall/Dormitory,Residence Hall/Dormitory,"81,153","49,662",83,45.7,45.7,110.4,110.4,229.5,4.6,1806.7,434580.6,7860.752,,,Another configuration,Whole Building,38.900478,-77.04941
PM1418391,0055_0855,1418391,JBKO Hall,3616625,Ross Hall Group,12/31/2013,In Compliance,2212 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2222 Eye St NW,Washington,DC,20052,1945,Residence Hall/Dormitory,Residence Hall/Dormitory,"81,153","81,082",79,61.4,61.5,120.2,120.3,423.4,5.2,5182.1,633187.2,28219.003,,,Another configuration,Whole Building,38.900495,-77.049866
PM2266039,0056_0030,2266039,Funger Duques and Tompkins Halls,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2201 G ST NW,GEORGE WASHINGTON UNIVERSITY,2,2201 G St and 725 23rd St NW,Washington,DC,20052,1970,College/University,College/University,"399,958","344,663",,107.2,107.8,269,269.5,3863.5,11.2,5733,7558650,109503.576,219806.4,,Whole Building,Whole Building,38.898872,-77.049454
