Primary Key,DC Real Property ID,PM Property ID,Property Name,PM Parent Property ID,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self Selected,Primary Property Type - Calculated,Tax Record Floor Area,Reported Building Gross Floor Area,ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Water Use (All Water Sources) (kgal),Electricity Use (kWh),Natural Gas Use (therms),Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu),Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
PM1391567,0013_2073,1391567,2501 M Street Owners LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2501 M ST NW,ASSOCIATION OF AMERICAN MEDICAL COLLEGES,2,2501 M Street NW,Washington,DC,20037,1986,Office,Office,159396,159396,Not Available,15.8,15.8,49.5,49.5,336.6,2.1,177.6,7371.1,,,,Whole Building,Whole Building,38.9055094,-77.053806
PM4429402,0014_0068,4429402,Squire Patton Boggs,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2550 M ST NW,MAPS 2550 M STREET LLC,2,2550 M Street,Washington,DC,20037,1977,Office,Office,209866,207081,77,60.9,60.4,191.3,189.7,1688.9,8.2,2498.7,369765,,,,Whole Building,Whole Building,38.90497754,-77.05421027
PM3642070,0014_1002,3642070,The Westbridge Condominiums,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2555 PENNSYLVANIA AVE NW,WESTBRIDGE CONDOMINIUM,2,2555 Pennsylvania Ave NW,Washington,DC,20037,1978,Multifamily Housing,Multifamily Housing,184748,254818,32,41.5,42.2,130.2,132.4,1414.8,5.6,4892.1,397518,,,,Whole Building,Whole Building,38.9044661,-77.0542296
DC00150048,0015_0048,N/A,,,,12/31/2015,Exempt from this year's disclosure,2500 PENNSYLVANIA AVE NW,FLORENZ R OURISMAN HOSPITALITY PARTNERS,2,,Washington,DC,,,,Not Provided,94951,,,,,,,,,,,,,,,,,
PM4376327,0015_2002,4376327,Bader Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2515 K ST NW,THE BADER CONDO,2,2515 K St. NW,Washington,DC,20037,1939,Multifamily Housing,Multifamily Housing,51614,68360,49,79.7,81.4,165.9,167.7,506.4,7.4,2257.3,788129,27567.32168,,,Whole Building,Whole Building,38.9029271,-77.0538162
PM3685460,0016_0093,3685460,Claridge House Cooperative: 950 25th Street Northwest,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,950 25TH ST NW,CLARIDGE H COOPERTVE,2,950 25th Street Northwest,Washington,DC,20037,1960,Multifamily Housing,Multifamily Housing,144466,373216,Not Available,43.7,,78.4,,1357.1,3.6,13716.3,17943,9535.3431,966,,Whole Building,Whole Building,38.9021021,-77.05356939
DC00160884,0016_0884,N/A,,,,12/31/2015,No Report Received,0924 25TH ST NW,ALAMAC INC,2,,Washington,DC,,,,Not Provided,85052,,,,,,,,,,,,,,,,,
PM4007893,0016_2006,4007893,The Griffin Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0955 26TH ST NW,THE GRIFFIN CONDO,2,955 26th Street N.W.,Washington,DC,20037,1984,Multifamily Housing,Multifamily Housing,77638,77638,2,68,68,213.5,213.5,706.7,9.1,3643.8,154731,,,,Whole Building,Whole Building,38.9022373,-77.0544523
PM3361435,0017_2007,3361435,The Plaza Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0800 25TH ST NW,THE PLAZA CONDO,2,800 25th Street NW,Washington,DC,20037,1975,Multifamily Housing,Multifamily Housing,97188,113721,1,111.4,112.8,206,203.6,1064,9.4,3862.9,1419676,78244.7236,,,Whole Building,,38.899878,-77.0537209
DC00190823,0019_0823,N/A,,,,12/31/2015,Exempt from this year's disclosure,0601 NEW HAMPSHIRE AV NW,KINGDOM OF SAUDI ARABIA,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
PM1327025,0024_0112,1327025,WWF  Square 0024 Lots 112 and 880,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,1250 24th Street NW,Washington,DC,20037,1986,Office,Office,311428,251707,83,63.5,63.2,199.4,198.4,2160.9,8.5,3677.6,47394,,,,Whole Building,Whole Building,38.90650228,-77.05185679
PM4562546,0024_0113,4562546,Heart House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,2400 N St. NW,Washington,DC,20037,1983,Office,Office,241374,241374,77,66.6,65.2,197.4,192.5,2042.8,8.5,239,4315512,13498.12492,,,Whole Building,Whole Building,38.90700472,-77.05195297
PM3514785,0024_0870,3514785,Fairmont Washington D.C. Georgetown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,2401 M Street NW,Washington,DC,20037,1985,Hotel,Hotel,458211,411396,15,134.9,135.5,321.4,323.3,5805.4,14.1,3722.4,13748,2826.5831,,,Whole Building,Whole Building,38.90555725,-77.05177644
PM1649511,0024_0871,1649511,2445 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2445 M ST NW,WRIT 2445 M LLC,2,2445 M Street N.W.,Washington,DC,20037,1986,Office,Office,397105,305149,81,69.5,69.8,218.2,219.2,2838.1,9.3,6286.5,621369,,,,Whole Building,Whole Building,38.90558858,-77.05263423
PM2703000,0024_0885,2703000,WestEnd25,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1229 - 1231 25TH ST NW,RH 1229-1231 25TH STREET LLC,2,1255 25th Street,Washington,DC,20006,2010,Multifamily Housing,Multifamily Housing,298475,271827,54,57,57.4,141.8,142.2,1683.8,6.2,8413.5,3124469,48337.1747,,,Whole Building,Whole Building,38.90666626,-77.05267791
PM2809459,0024_0886,2809459,1227 25th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1227 25TH ST,WRIT 1227 25TH STREET LLC,2,1227 25th Street NW,Washington,DC,20037,1988,Office,Office,150905,147840,68,69.2,68.9,217.2,216.4,1368.8,9.3,2253.1,2996849,,,,Whole Building,,38.9059887,-77.0527555
DC00241008,0024_1008,N/A,,,,12/31/2015,No Report Received,2450 N STREET NW,WHITMAN PLACE CONDOMINIUM,2,,Washington,DC,,,,Not Provided,101675,,,,,,,,,,,,,,,,,
PM3488104,0025_0808,3488104,2400 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2400 M Street NW,Washington,DC,20037,2006,Multifamily Housing,Multifamily Housing,3614625,433100,94,42.8,43.1,91.6,91.9,1765.9,4.1,1219.3,283595,8863.5588,,,Whole Building,Whole Building,38.90507245,-77.05171073
PM3993696,0025_1646,3993696,The Atlas Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1111 25TH ST NW,ATLAS CONDOMINIUM,2,1111 25TH ST NW,Washington,DC,20037,2005,Multifamily Housing,Multifamily Housing,112894,112894,93,53.9,54.4,95.6,96.2,493.6,4.4,3891.1,6181.5,39777.99792,,,Whole Building,Whole Building,38.9045789,-77.0529714
PM3520098,0025_1782,3520098,The Columbia Residences,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,2425 L Street NW,Washington,DC,20037,2006,Multifamily Housing,Multifamily Housing,270803,549021,49,51.4,50.9,127.3,125.2,3053.7,5.6,1911.8,564751,8928.2452,,,Whole Building,Whole Building,38.9041982,-77.0523516
PM4317950,0026_0011,4317950,280111 - 2401 Penn Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2401 PENNSYLVANIA AVE NW,2401 PENN AVENUE LLC,2,2401 Pennsylvania Avenue NW,Washington,DC,20037,1991,Mixed Use Property,Mixed Use Property,221853,168483,Not Available,58,58,155.3,155.3,975.9,6.7,11416.9,192594,18581.9757,,,Whole Building,Whole Building,38.90346905,-77.0519089
PM3980627,0027_0819,3980627,2400 Pennsylvania AV NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 PENNSYLVANIA AV NW,S MARSH,2,2400 Pennsylvania Ave NW,Washington,DC,20037,1959,Multifamily Housing,Multifamily Housing,71934,72000,62,76.2,77.8,132.8,132.6,438.1,6.1,3652.3,532747.8,36677.17952,,,Whole Building,Whole Building,38.90283661,-77.05184238
PM3185754,0027_0820,3185754,2424 Pennsylvania,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2424 PENNSYLVANIA AV NW,PENNSYLVANIA HOUSE ASSOCIATION,2,2424 Pennsylvania Ave NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,112937,94500,85,46.3,45.9,114.2,111.9,471.9,5,4759.7,869621.2,1455.45321,,,Whole Building,,38.90299046,-77.05227492
PM4768235,0027_0823,4768235,Melrose Georgetown Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2430 PENNSYLVANIA AV NW,HH MELROSE HOTEL ASSOCIATES LP,2,2430 Pennsylvania Ave NW,Washington,DC,20037,1951,Hotel,Hotel,164017,190400,76,80.4,80.4,158.7,156.7,1359.8,7.1,11188.6,198468,8542.31533,,,Whole Building,Whole Building,38.90301973,-77.0526803
PM1419760,0028_0000,1419760,City Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,950 24TH STREET NW,COMMERCIAL CONDOS,2,950 24th St NW,Washington,DC,20052,1989,Residence Hall/Dormitory,Residence Hall/Dormitory,120431,157672,49,83.8,85.2,188.7,188.7,1315.5,8.3,866.2,222781,5693.44373,,,Whole Building,Whole Building,38.9021198,-77.0517741
DC00280893,0028_0893,N/A,,,,12/31/2015,No Report Received,0925 25TH ST NW,925 LLC,2,,Washington,DC,,,,Not Provided,126522,,,,,,,,,,,,,,,,,
PM3994900,0028_2010,3994900,Jefferson House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0922 24TH ST NW,JEFFERSON HOUSE CONDO,2,922 24th St NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,88255,88255,52,82.3,83,155.1,152.8,620,7,4568.6,85187,43618.7524,,,Whole Building,Whole Building,38.9014794,-77.0516208
PM3682467,0029_0003,3682467,George Washington University Inn,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0824 NEW HAMPSHIRE AV NW,GEORGE WASHINGTON UNIVERSITY,2,824 New Hampshire Ave NW,Washington,DC,20037,1958,Hotel,Hotel,79671,82000,51,107.8,110.7,183.7,184.1,692.9,8.5,59.1,81975,6721.9846,,,Whole Building,Whole Building,38.90030297,-77.05312778
PM4556802,0030_0018,4556802,Washington DC RI,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,801 NEW HAMPSHIRE AVE NW,CHATHAM WASHINGTON DC LLC,2,801 New Hampshire Ave NW,Washington,DC,20037,1975,Hotel,Hotel,98042,98042,23,75.2,75.5,160,158.5,698.7,7.1,356.7,1114148,3573.81244,,,Whole Building,Whole Building,38.8998552,-77.05224877
PM3672603,0030_0818,3672603,The Elise Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0825 NEW HAMPSHIRE AV NW,ELAINE G MILLER,2,825 New Hampshire Ave NW,Washington,DC,20037,1956,Multifamily Housing,Multifamily Housing,107947,107947,48,80.5,82.6,121.3,121.9,614.9,5.7,6117.1,55631.7,67921.56319,,,Whole Building,Whole Building,38.90020144,-77.05194653
PM4767872,0030_2012,4767872,Bon Wit Plaza Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2401 H ST NW,BON WIT PLAZA CONDO,2,2401 H St NW,Washington,DC,20037,1960,Multifamily Housing,Multifamily Housing,70638,70638,26,102.2,103.1,180.6,179,583.6,8.3,4732.5,726422.7,474.24742,,,Whole Building,Whole Building,38.8998895,-77.0517577
PM4018408,0031_0028,4018408,Western Presbyterian Church,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2401 VIRGINIA AVE NW,WESTERN PRESBYTERIAN CHURCH TRUSTEES,2,2401 Virginia Avenue N.W.,Washington,DC,20037,1994,Worship Facility,Worship Facility,52404,52404,70,22.9,21.8,71.8,68.6,160.4,3.1,91.7,351247.3,,,,Whole Building,Whole Building,38.89853884,-77.05196329
PM3509928,0031_0835,3509928,Potomac Plaza Terrace Inc.- WHOLE BUILDING,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0730 24TH ST NW,POTOMAC PLAZA TERRACES,2,730 24th Street NW,Washington,DC,20037,1961,Multifamily Housing,Multifamily Housing,210919,210000,93,50.9,50,93.4,90.7,891.7,4.2,5558.2,117716,66659.4331,,,Whole Building,Whole Building,38.89909854,-77.05174686
PM3336808,0031_0837,3336808,Potomac Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,2475 Virginia Avenue N.W.,Washington,DC,20037,1957,Multifamily Housing,Multifamily Housing,316550,316550,36,70.9,72.9,132.6,132.8,1903.3,6,1116.7,2579886,136478.84,,,Whole Building,,38.8990837,-77.05249743
PM3500007,0033_0087,3500007,Columbia Plaza All Bldgs,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,2400 Virginia Ave NW,Washington,DC,20037,1968,Multifamily Housing,Multifamily Housing,1544107,988819,78,71.1,73,115.3,115.8,5289,5.3,47636.6,564198,51598.563,,,Whole Building,Whole Building,38.8976054,-77.0518455
PM4382871,0035_1009,4382871,Emerson House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0008 N ST NW,EMERSON HOUSE CONDOMINIUM,2,0008 North Street,Washington,DC,20020,1995,Multifamily Housing,Multifamily Housing,83924,83924,Not Available,40.9,41.3,90.2,90.6,335.5,4,381.7,55614,15344.69966,,,Whole Building,Whole Building,38.874436,-77.009831
PM2656301,0036_0048,2656301,2300 N Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2300 N ST NW,TR 2300 N STREET CORP,2,2300 N Street,Washington,DC,20037,1986,Office,Office,451902,304484,Not Available,52.4,52.4,164.5,164.5,2135.6,7,242.9,4675693,,,,Whole Building,Combination of common and tenant areas,38.90698463,-77.05073142
PM4989949,0036_0846,4989949,Chromium LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2301 M ST NW,CHROMIUM LLC,2,2301 M Street NW,Washington,DC,20037,1981,Medical Office,Medical Office,68405,119667,87,40.5,39.6,127.2,124.4,648.8,5.4,139.1,14244,,,,Whole Building,Whole Building,38.90568436,-77.05033378
PM3633411,0036_0859,3633411,Park Hyatt Washington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1201 24TH ST NW,BW HOSPITALITY LLC,2,1201 24th Street NW,Washington,DC,20037,1986,Hotel,Hotel,361400,361400,43,89.8,90.2,225.9,225.6,3561.1,9.9,16594,6666728,97158.23,,,Whole Building,Whole Building,38.90573626,-77.05112599
DC00361010,0036_1010,N/A,,,,12/31/2015,No Report Received,1230 - 1250 23RD ST NW,1230-1250 23RD ST CONDOMINIUM,2,,Washington,DC,,,,Not Provided,190287,,,,,,,,,,,,,,,,,
PM3991512,0036_1489,3991512,West End Residences,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1221 24TH ST NW,WEST END RESIDENCES,2,1221 24th St NW,Washington,DC,20037,2000,Multifamily Housing,Multifamily Housing,69225,67540,2,99.6,100.1,239.4,238.8,709.2,10.5,344,1277631,23646.2195,,,Whole Building,Whole Building,38.90573626,-77.05112599
PM3504183,0037_0853,3504183,2300-2330 M ST,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2300 - 2330 M ST NW,MEDICAL FACULTY ASSOCIATES INC,2,2300-2330 M ST NW,Washington,DC,20037,1984,Office,Office,120872,161222,67,65.4,65.4,205.3,205.3,1410.8,8.8,238.6,388699,,,,Whole Building,,38.90501242,-77.05055386
PM1483327,0037_0854,1483327,5659-The Westin Grand Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2350 M ST NW,STARWOOD REALTY CMBS I LLC,2,2350 M Street N.w.,Washington,DC,20037,1990,Hotel,Hotel,219252,193239,13,111.3,111.9,298.9,300.3,2501.2,12.9,12928,493136,46868.9985,,,Whole Building,Whole Building,38.90497948,-77.05109698
PM4540635,0037_1011,4540635,Gibson Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1140 23RD STREET NW,THE GIBSON CONDOMINIUM,2,1140 23rd street NW,Washington,DC,20037,1980,Multifamily Housing,Multifamily Housing,67432,67432,,28.8,28.3,90.5,88.9,260.2,3.9,1769763.7,569676.4,,,,Whole Building,Whole Building,38.9047019,-77.05046
DC00380040,0038_0040,N/A,,,,12/31/2015,Exempt from this year's disclosure,2375 PENNSYLVANIA AVE NW,GOVERNMENT OF SPAIN,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
PM4014595,0038_2013,4014595,Three Washington Circle A Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0003 WASHINGTON CIR NW,THE CHANCELLOR CONDO,2,3 Washington Circle NW,Washington,DC,20037,1983,Multifamily Housing,Multifamily Housing,50278,90500,76,45.4,46,109.5,110.1,434.6,4.8,3357.7,784794,14328.8185,,,Whole Building,Whole Building,38.9031728,-77.0505687
PM3230040,0039_0004,3230040,Milken Institute School of Public Health,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,950 NEW HAMPSHIRE AV,THE GEORGE WASHINGTON UNIVERSITY,2,950 New Hampshire Ave NW,Washington,DC,20052,2014,College/University,College/University,115000,152638,Not Available,99.2,96.1,265.7,256.1,1757.1,11.5,3113.6,3457867,33454.79619,,,Whole Building,Whole Building,38.90219653,-77.05107586
PM3772931,0040_0036,3772931,George Washington University Hospital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,900 23RD ST NW,GEORGE WASHINGTON,2,900 23rd St NW,Washington,DC,20037,2002,Hospital (General Medical & Surgical),Hospital,450927,450927,38,371.5,372.7,761.6,757.9,15370.9,34.1,51259.7,2349492,87356.19,,,Whole Building,Whole Building,38.90132679,-77.05046239
PM3616625,0041_0040,3616625,Ross Hall Group,3616625,Ross Hall Group,12/31/2015,In Compliance,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,800 22nd St; 2212 2222 and 2300 I St NW,Washington,DC,20052,1973,College/University,College/University,467654,1047627,Not Available,266.4,271.1,491.5,496.4,23445,22.4,784.2,3112888,177929.113,292632.2,,Whole Building,Whole Building,38.900087,-77.050843
PM2266110,0041_0040,2266110,Ross Hall,3616625,Ross Hall Group,12/31/2015,In Compliance,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2300 I St NW,Washington,DC,20052,1973,College/University,College/University,467654,420653,Not Available,Not Available,Not Available,Not Available,Not Available,22878.2,54.4,58451,3429,169466.1,292632.2,,Another configuration,Whole Building,38.900087,-77.050843
PM1030402,0042_0054,1030402,Amsterdam Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2350 H ST NW,GEORGE WASHINGTON UNIVERSITY,2,2350 H St NW,Washington,DC,20052,1997,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562,62,76.3,75.1,161.8,156,934.1,7.2,958.9,1484649,4819.6146,,,Whole Building,Whole Building,38.8993224,-77.05091838
PM2265100,0042_0055,2265100,Health and Wellness Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2301 G ST NW,GEORGE WASHINGTON UNIVERSITY,2,2301 G St NW,Washington,DC,20052,2001,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,145350,167964,Not Available,72.2,71.5,170.2,167.3,1256.4,7.5,3556.5,222345,45344.9487,,,Whole Building,Whole Building,38.89861803,-77.05051693
PM1415263,0043_0026,1415263,Shenkman Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,616 23RD ST NW,GEORGE WASHINGTON UNIVERSITY,2,616 23rd St NW,Washington,DC,20052,2004,Residence Hall/Dormitory,Residence Hall/Dormitory,327530,283531,34,87.9,87.7,205.3,202.3,2568.2,9.1,8654.3,449552,929.65889,276552,13574.3,Whole Building,Whole Building,38.89794615,-77.05040603
PM3395641,0049_0044,3395641,Westbrooke Place,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2201 N ST NW,WESTBROOKE PLACE LP,2,2201 N St NW,Washington,DC,20037,1995,Multifamily Housing,Multifamily Housing,226803,226803,23,63,63.8,146.5,147.4,1463.3,6.5,5737.7,2558578,55482.27422,,,Whole Building,Whole Building,38.90744381,-77.04919476
DC00500027,0050_0027,N/A,,,,12/31/2015,Exempt from this year's disclosure,1222 22ND ST NW,COLUMBIA REALTY VENTURE,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
PM3466549,0050_0085,3466549,Embassy Suites Hotels,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1250 22ND ST NW,EMBASSY/SHAW D C VENTURE,2,1250 22nd street NW,Washington,DC,20037,1987,Hotel,Hotel,454961,306123,26,86.2,86.2,219.4,219.4,2926.1,9.6,19711.7,553388,7528.21916,,,Whole Building,,38.90685699,-77.04944766
PM3506991,0050_0086,3506991,Floyd Akers Building (DDOE),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1225 23RD ST NW,CAPITOL 50 ASSOCIATES,2,1255 23rd Street NW,Washington,DC,20037,1983,Office,Office,83314,347805,88,52.8,52.3,165.7,164.3,2456.5,7.1,3278.7,5378323,,,,Whole Building,Whole Building,38.90640247,-77.04978884
PM3727352,0051_1014,3727352,Carriage House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2201 L ST NW,THE CARRIAGE HOUSE CONDOMINIUM,2,2201 L Street NW,Washington,DC,20037,1969,Multifamily Housing,Multifamily Housing,102977,103487,52,82.7,83.4,158.5,157.5,741,7.2,4684.2,139854,592.87736,,,Whole Building,Whole Building,38.9040361,-77.0492921
DC00511313,0051_1313,N/A,,,,12/31/2015,Exempt from this year's disclosure,0115 23RD ST NW,THE PARKMONT CONDO,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
PM3682457,0052_0805,3682457,One Washington Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1 WASHINGTON CIR NW,GEORGE WASHINGTON UNIVERSITY,2,1 Washington Circle NW,Washington,DC,20037,1963,Hotel,Hotel,128480,102730,49,98.5,97.1,209.3,204.9,957.7,9.3,7523.4,1525335,49141.7231,,,Whole Building,Whole Building,38.90337893,-77.04972805
