Primary Key,DC Real Property ID,PM Property Id,Property Name,PM Parent Property Id,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self Selected,Primary Property Type - Calculated,Tax Record Floor Area ,Reported Building Gross Floor Area ,ENERGY STAR Score, Site EUI (kBtu/ft²) , Weather Normalized Site EUI (kBtu/ft²) , Source EUI (kBtu/ft²) ,Weather Normalized Source EUI (kBtu/ft²) ,Total GHG Emissions (Metric Tons CO2e) ,Total GHG Emissions Intensity (kgCO2e/ft²) ,Water Use (All Water Sources) (kgal) ,Electricity Use (kWh) ,Natural Gas Use (therms) ,Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu) ,Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
PM3642070,0014_1002,3642070,The Westbridge Condominium Association INC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2555 PENNSYLVANIA AVE NW,WESTBRIDGE CONDOMINIUM,2,2555 Pennsylvania Ave NW,Washington,DC,20037,1978,Multifamily Housing,Multifamily Housing,"184,748","184,748",67,30,29.9,94,94,740,4,"6,263","1,619,210",,,,Whole Building,Whole Building,38.9044661,-77.0542296
DC00150048,0015_0048,N/A,,,,,No Report Received,2500 PENNSYLVANIA AV NW,FLORENZ R OURISMAN HOSPITALITY PARTNERS,2,,Washington,DC,20037,,,Not Provided,"94,951",,,,,,,,,,,,,,,,,
PM4376327,0015_2002,4376327,Bader Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2515 K ST NW,THE BADER CONDO,2,2515 K St. NW,Washington,DC,20037,1939,Multifamily Housing,Multifamily Housing,"51,614","68,360",99,60,59.2,92,91,296,4,294,"281,440","31,424",,,Whole Building,Whole Building,38.9029271,-77.0538162
DC00160884,0016_0884,N/A,,,,,No Report Received,0924 25TH ST NW,ALAMAC INC,2,,Washington,DC,20037,,,Not Provided,"85,052",,,,,,,,,,,,,,,,,
PM4007893,0016_2006,4007893,The Griffin Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0955 26TH ST NW,THE GRIFFIN CONDO,2,955 26th Street N.W.,Washington,DC,20037,1984,Multifamily Housing,Multifamily Housing,"77,638","77,638",1,78,76.4,243,240,805,10,"4,226","1,762,745",,,,Whole Building,Whole Building,38.9022373,-77.0544523
PM3685460,00160093; 00160863,3685460,Claridge House Cooperative: 950 25th Street Northwest,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0950 25TH ST NW,CLARIDGE H COOPERTVE,2,950 25th Street Northwest,Washington,DC,20037,1960,Multifamily Housing,Multifamily Housing,"144,466","373,216",89,48,47.2,86,85,"1,470",4,"14,659","1,881,147","114,941",,,Whole Building,Whole Building,38.9021021,-77.05356939
PM3361435,0017_2007,3361435,The Plaza Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0800 25TH ST NW,THE PLAZA CONDO,2,800 25th Street NW,Washington,DC,20037,1975,Multifamily Housing,Multifamily Housing,"97,188","113,721",1,112,110.8,208,204,"1,074",9,"4,549","1,441,331","78,316",,,Whole Building,,38.899878,-77.0537209
PM1327025,0024_0112,1327025,WWF  Square 0024 Lots 112 and 880,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,1250 24th Street NW,Washington,DC,20037,1986,Office,Office,"311,428","251,707",86,64,63.1,202,198,"2,164",9,"3,389","4,737,086",,,,Whole Building,Whole Building,38.90650228,-77.05185679
PM4562546,0024_0113,4562546,Heart House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,2400 N St. NW,Washington,DC,20037,1983,Office,Office,"241,374","241,374",82,59,58.4,180,178,"1,860",8,"2,089","3,994,247","6,667",,,Whole Building,Whole Building,38.90700472,-77.05195297
PM3514785,0024_0870,3514785,Fairmont Washington D.C. Georgetown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,2401 M Street NW,Washington,DC,20037,1985,Hotel,Hotel,"458,211","386,390",18,133,132.5,316,315,"5,355",14,"27,593","9,549,463","187,050",,,Whole Building,Whole Building,38.90555725,-77.05177644
PM1649511,0024_0871,1649511,2445 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2445 M ST NW,WRIT 2445 M LLC,2,2445 M Street N.W.,Washington,DC,20037,1986,Office,Office,"397,105","305,149",80,75,74.6,234,234,"3,048",10,"5,383","6,672,616",,,,Whole Building,Whole Building,38.90558858,-77.05263423
PM2703000,0024_0885,2703000,WestEnd25,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1229-1231 25TH ST,RH 1229-1231 25TH STREET LLC,2,1255 25th Street,Washington,DC,20006,2010,Multifamily Housing,Multifamily Housing,"298,475","271,827",48,59,58.9,147,146,"1,741",6,"7,291","3,215,525","51,286",,,Whole Building,Whole Building,38.90666626,-77.05267791
PM2809459,0024_0886,2809459,1227 25th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1227 25TH ST,WRIT 1227 25TH STREET LLC,2,1227 25th Street NW,Washington,DC,20037,1988,Office,Office,"150,905","147,836",70,67,66,210,207,"1,321",9,"1,975","2,892,960",,,,Whole Building,,38.9059887,-77.0527555
PM1488874,0024_1008,1488874,Association for American Medical Colleges,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2450 N STREET NW,WHITMAN PLACE CONDOMINIUM,2,2450 N Street NW,Washington,DC,20037,1991,Office,Mixed Use Property,"101,675","207,663",,33,32.6,102,102,"2,026",10,"1,537","1,981,439",,,,Whole Building,Whole Building,,
PM3488104,0025_0808,3488104,2400 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2400 M Street NW,Washington,DC,20037,2006,Multifamily Housing,Multifamily Housing,"3,614,625","267,750",34,75,73.5,166,162,"1,971",7,"11,715","3,288,057","88,415",,,Whole Building,Whole Building,38.90507245,-77.05171073
PM3993696,0025_1646,3993696,The Atlas Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1111 25TH ST NW,ATLAS CONDOMINIUM,2,1111 25TH ST NW,Washington,DC,20037,2005,Multifamily Housing,Multifamily Housing,"112,894","112,894",100,11,10.5,31,31,151,1,"4,049","319,236",984,,,Whole Building,Whole Building,38.9045789,-77.0529714
PM3520098,0025_1782,3520098,The Columbia Residences,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,2425 L Street NW,Washington,DC,20037,2006,Multifamily Housing,Multifamily Housing,"270,803","549,021",40,56,55.2,134,133,"3,220",6,"1,854,919","5,818,536","105,947",,,Whole Building,Whole Building,38.9041982,-77.0523516
DC00260011,0026_0011,N/A,,,,,Exempt from this year's disclosure,2401 PENNSYLVANIA AV NW,2401P CO LLC,2,,Washington,DC,20037,,,Not Provided,"221,853",,,,,,,,,,,,,,,,,
PM3980627,0027_0819,3980627,2400 Pennsylvania AV NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2400 PENNSYLVANIA AV NW,S MARSH,2,2400 Pennsylvania Ave NW,Washington,DC,20037,1959,Multifamily Housing,Multifamily Housing,"71,934","72,000",61,80,79.4,133,131,444,6,"3,112","497,332","40,740",,,Whole Building,Whole Building,38.90283661,-77.05184238
PM3185754,0027_0820,3185754,2424 Pennsylvania,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2424 PENNSYLVANIA AV NW,PENNSYLVANIA HOUSE ASSOCIATION,2,2424 Pennsylvania Ave NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,"112,936","94,500",84,48,47.9,116,115,479,5,"5,306","862,174","16,039",,,Whole Building,,38.90299046,-77.05227492
DC00270823,0027_0823,N/A,,,,,No Report Received,2430 PENNSYLVANIA AV NW,HH MELROSE HOTEL ASSOCIATES LP,2,,Washington,DC,20037,,,Not Provided,"164,017",,,,,,,,,,,,,,,,,
PM1419760,0028_0000,1419760,City Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,950 24TH STREET NW,COMMERCIAL CONDOS,2,950 24th St NW,Washington,DC,20052,1989,Residence Hall/Dormitory,Residence Hall/Dormitory,"120,431","157,672",52,86,86.1,182,182,"1,279",8,"7,185","2,024,166","66,803",,,Whole Building,,38.9021198,-77.0517741
PM3499875,0028_0893,3499875,925 Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0925 25TH ST NW,925 LLC,2,925 25th st. NW,Washington,DC,20037,1959,Multifamily Housing,Multifamily Housing,"126,522","126,522",99,25,23.9,74,72,399,3,"6,530","847,587","2,150",,,Whole Building,Whole Building,,
PM3994900,0028_2010,3994900,Jefferson House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0922 24TH ST NW,JEFFERSON HOUSE CONDO,2,922 24th St NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,"88,255","88,255",31,98,97.3,176,175,708,8,"4,967","908,700","55,131",,,Whole Building,Whole Building,38.9014794,-77.0516208
PM3682467,0029_0003,3682467,George Washington University Inn,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0824 NEW HAMPSHIRE AV NW,GEORGE WASHINGTON UNIVERSITY,2,824 New Hampshire Ave,Washington,DC,20037,1958,Hotel,Hotel,"79,671","82,000",26,152,152,230,229,886,11,"4,398","807,046","97,466",,,Whole Building,Whole Building,38.90030297,-77.05312778
DC00300018,0030_0018,N/A,Washington DC RI,,,12/31/2014,Exempt from this year's disclosure,0801 NEW HAMPSHIRE AV NW,CHATHAM WASHINGTON DC LLC,2,801 New Hampshire Ave NW,Washington,DC,20037,,,Not Provided,"98,042",,,,,,,,,,,,,,,,,
PM3672603,0030_0818,3672603,The Elise Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0825 NEW HAMPSHIRE AV NW,ESTELLE S GELMAN TRUSTEE,2,825 New Hampshire Ave NW,Washington,DC,20037,1956,Multifamily Housing,Multifamily Housing,"107,947","107,947",54,69,68.7,116,114,577,5,"5,255","650,123","52,717",,,Whole Building,Whole Building,38.90020144,-77.05194653
DC00302012,0030_2012,N/A,,,,,No Report Received,2401 H ST NW,BON WIT PLAZA CONDO,2,,Washington,DC,,,,Not Provided,"70,638",,,,,,,,,,,,,,,,,
PM4018408,0031_0028,4018408,Western Presbyterian Church,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2401 VIRGINIA AV NW,WESTERN PRESBYTERIAN CHURCH TRUSTEES,2,2401 Virginia Avenue N.W.,Washington,DC,20037,1994,Worship Facility,Worship Facility,"52,404","52,404",71,22,22.2,70,70,157,3,"1,940","343,127",,,,Whole Building,Whole Building,38.89853884,-77.05196329
PM3509928,0031_0835,3509928,Potomac Plaza Terrace Inc.- WHOLE BUILDING,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0730 24TH ST NW,POTOMAC PLAZA TERRACES,2,730 24th Street NW,Washington,DC,20037,1961,Multifamily Housing,Multifamily Housing,"210,919","210,000",100,22,21.1,66,64,591,3,"6,077","1,264,400","2,603",,,Whole Building,Whole Building,38.89909854,-77.05174686
PM3336808,0031_0837,3336808,Potomac Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,2475 Virginia Avenue N.W.,Washington,DC,20037,1957,Multifamily Housing,Multifamily Housing,"316,550","316,550",48,64,63.9,122,122,"1,751",6,"9,950","2,443,152","119,524",,,Whole Building,,38.8990837,-77.05249743
PM3500007,0033_0087,3500007,Columbia Plaza All Bldgs,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,2400 Virginia Ave NW,Washington,DC,20037,1968,Multifamily Housing,Multifamily Housing,"1,544,107","988,819",36,81,80.2,148,145,"6,650",7,"48,693","8,618,453","510,823",,,Whole Building,Whole Building,38.8976054,-77.0518455
DC00351009,0035_1009,N/A,Emerson House,,,12/31/2014,Exempt from this year's disclosure,0008 N ST NW,EMERSON HOUSE CONDOMINIUM,2,0008 North Street,Washington,DC,20020,,,Not Provided,"83,924",,,,,,,,,,,,,,,,,
PM2656301,0036_0048,2656301,2300 N Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2300 N ST NW,TR 2300 N STREET CORP,2,2300 N Street,Washington,DC,20037,1986,Office,Office,"451,902","304,484",59,81,80.7,253,253,"3,290",11,"5,257","7,202,514",,,,Whole Building,Whole Building,38.90698463,-77.05073142
PM4373755,0036_0846,4373755,Chromium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2301 M ST NW,CHROMIUM LLC,2,2301 M St. NW,Washington,DC,20037,1981,Office,Office,"68,405","62,672",16,90,89.5,282,281,753,12,"1,317","1,649,498",,,,Whole Building,Whole Building,,
PM3782768,0036_0856*; 0036_3072*,3782768,The Mark on M,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,*Not Matched to Covered Building List,*Not Matched to Covered Building List,2,2311 M Street N.W.,Washington,DC,,,Medical Office,Medical Office,,97900,46,60,60.2,189,189,789,8,"2,500","1,726,511",,,,Whole Building,Whole Building,,
PM3633411,0036_0859,3633411,Park Hyatt Washington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1201 24TH ST,HYATT EQUITIES LLC,2,1201 24th Street NW,Washington,DC,20037,1986,Hotel,Hotel,"361,400","361,400",39,92,91.6,233,233,"3,675",10,"15,999","6,953,889","93,860",,,Whole Building,Whole Building,38.90573626,-77.05112599
PM3496074,0036_1010,3496074,1250 23rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1230 23RD ST NW,1230-1250 23RD ST CONDOMINIUM,2,1250 23rd Street NW,Washington,DC,20037,1989,Office,Office,"190,287","203,239",70,56,55.4,176,174,"1,522",8,"6,989","3,331,362",,,,Whole Building,Whole Building,,
PM3991512,0036_1489,3991512,West End Residences,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1201 24TH STREET NW,WEST END RESIDENCES,2,1221 24th St NW,Washington,DC,20037,2000,Multifamily Housing,Multifamily Housing,"69,225","67,540",4,93,93.2,224,224,663,10,"3,234","1,191,829","22,255",,,Whole Building,Whole Building,38.90573626,-77.05112599
PM3504183,0037_0853,3504183,2300-2330 M ST,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2300 - 2330 M ST NW,MEDICAL FACULTY ASSOCIATES INC,2,2300-2330 M ST NW,Washington,DC,20037,1984,Office,Office,"120,872","161,222",64,68,67.8,213,213,"1,467",9,"2,665","3,210,939",,,,Whole Building,,38.90501242,-77.05055386
PM1483327,0037_0854,1483327,5659-The Westin Grand Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2350 M ST NW,STARWOOD REALTY CMBS I LLC,2,2350 M Street N.w.,Washington,DC,20037,1990,Hotel,Hotel,"219,252","193,495",,115,114.3,307,306,"2,569",13,"12,401","5,053,199","49,210",,,Whole Building,Whole Building,38.90497948,-77.05109698
PM4014595,0038_2013,4014595,Three Washington Circle A Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0003 WASHINGTON CIR NW,THE CHANCELLOR CONDO,2,3 Washington Circle NW,Washington,DC,20037,1983,Mixed Use Property,Multifamily Housing,"50,278","90,500",68,49,49.4,117,118,467,5,"3,440","833,009","16,225",,,Whole Building,Whole Building,38.9031728,-77.0505687
DC00390004,0039_0004,N/A,Milken Institute School of Public Health,,,12/31/2014,Exempt from this year's disclosure,950 NEW HAMPSHIRE AV,THE GEORGE WASHINGTON UNIVERSITY,2,950 New Hampshire Ave NW,Washington,DC,20037,,,Not Provided,"115,000",,,,,,,,,,,,,,,,,
PM3772931,0040_0036,3772931,George Washington University Hospital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,900 23RD ST,GEORGE WASHINGTON,2,900 23rd St NW,Washington,DC,20037,2002,Hospital (General Medical & Surgical),Hospital,"450,927","450,927",37,379,378.5,761,760,"15,402",34,"51,933","22,961,740","925,171",,,Whole Building,Whole Building,38.90132679,-77.05046239
PM2266110,0041_0040,2266110,Ross Hall,3616625,Ross Hall Group,12/31/2014,In Compliance,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2300 I St NW,Washington,DC,20052,1973,College/University,College/University,"467,654","420,653",,523,523.3,934,934,"18,048",43,"29,814","22,688,960","1,377,947","4,925,301",,Another configuration,Whole Building,38.900087,-77.050843
PM3616625,0041_0040,3616625,Ross Hall Group,3616625,Ross Hall Group,12/31/2014,In Compliance,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,800 22nd St; 2212 2222 and 2300 I St NW,Washington,DC,20052,1945,College/University,College/University,"467,654","1,047,627",,215,214.8,387,387,"18,609",18,"36,750","23,785,690","1,389,297","4,925,301",,Whole Building,Whole Building,38.900087,-77.050843
PM1030402,0042_0054,1030402,Amsterdam Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2350 H ST,GEORGE WASHINGTON UNIVERSITY,2,2350 H St NW,Washington,DC,20052,1997,Residence Hall/Dormitory,Residence Hall/Dormitory,"165,390","129,562",59,78,77.8,166,165,958,7,"9,533","1,519,818","49,720",,,Whole Building,Whole Building,38.8993224,-77.05091838
PM2265100,0042_0055,2265100,Health and Wellness Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2301 G ST,GEORGE WASHINGTON UNIVERSITY,2,2301 G St NW,Washington,DC,20052,2001,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,"145,350","167,964",,78,77.8,174,174,"1,295",8,"4,487","2,173,268","56,851",,,Whole Building,,38.89861803,-77.05051693
PM1415263,0043_0026,1415263,Shenkman Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,616 23RD ST,GEORGE WASHINGTON UNIVERSITY,2,616 23rd St NW,Washington,DC,20052,2004,Residence Hall/Dormitory,Residence Hall/Dormitory,"327,530","283,531",31,93,92.5,212,212,"2,669",9,"15,524","4,563,209","98,687","438,412","428,631",Whole Building,Whole Building,38.89794615,-77.05040603
PM3395641,0049_0044,3395641,Westbrooke Place,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2201 N ST,WESTBROOKE PLACE LP,2,2201 N St NW,Washington,DC,20037,1995,Multifamily Housing,Multifamily Housing,"226,803","226,803",47,58,57.1,124,123,"1,247",6,"4,575","2,009,566","61,916",,,Whole Building,Whole Building,38.90744381,-77.04919476
PM3466549,0050_0085,3466549,Embassy Suites Hotels,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1250 22ND ST NW,EMBASSY/SHAW D C VENTURE,2,1250 22nd street NW,Washington,DC,20037,1987,Hotel,Hotel,"454,961","306,123",85,55,54.5,121,121,"1,644",5,"20,137","2,749,980","72,975",,,Whole Building,,38.90685699,-77.04944766
PM3506991,0050_0086,3506991,Floyd Akers Building (DOEE),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1255 23RD ST,CAPITOL 50 ASSOCIATES,2,1255 23rd Street NW,Washington,DC,20037,1983,Office,Office,"83,314","347,805",87,54,53.6,169,169,"2,498",7,"3,659","5,468,628",,,,Whole Building,Whole Building,38.90640247,-77.04978884
PM3727352,0051_1014,3727352,Carriage House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2201 L ST NW,THE CARRIAGE HOUSE CONDOMINIUM,2,2201 L Street NW,Washington,DC,20037,1969,Multifamily Housing,Multifamily Housing,"102,977","103,487",28,93,92.4,183,181,853,8,"5,311","1,238,536","54,113",,,Whole Building,Whole Building,38.9040361,-77.0492921
PM3682457,0052_0805,3682457,One Washington Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0001 WASHINGTON CIR NW,GEORGE WASHINGTON UNIVERSITY,2,1 Washington Circle,Washington,DC,20037,1963,Hotel,Hotel,"128,480","102,730",67,63,62.2,176,174,782,8,"635,681","1,588,497","10,544",,,Whole Building,Whole Building,38.90337893,-77.04972805
PM4019461,0054_0840; 0054_4047,4019461,Residences on the Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2221 I STREET NW,RESIDENCES ON THE AVENUE,2,2221 I Street NW,Washington,DC,20037,2000,Multifamily Housing,Multifamily Housing,"322,264","322,264",91,53,52.6,142,142,"1,977",6,"12,948","3,908,370","36,073",,,Whole Building,Whole Building,38.9009754,-77.0497071
PM2951555,0054_0841,2951555,2200 Pennsylvania Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2200 PENNSYLVANIA AV,GEORGE WASHINGTON UNIVERSITY,2,2200 Pennsylvania Avenue,Washington,DC,20037,2011,Office,Office,"499,000","516,737",92,41,,129,,"2,830",6,"8,198","6,196,495",,,,Whole Building,Whole Building,38.90194436,-77.04912731
PM1416427,0055_0855,1416427,Munson Hall,3616625,Ross Hall Group,12/31/2014,In Compliance,2212 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2212 Eye St NW,Washington,DC,20052,1945,Residence Hall/Dormitory,Residence Hall/Dormitory,"81,153","49,662",81,50,49.9,116,116,255,5,"1,972","444,944","9,676",,,Another configuration,Whole Building,38.900478,-77.04941
PM1418391,0055_0855,1418391,JBKO Hall,3616625,Ross Hall Group,12/31/2014,In Compliance,2212 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2222 Eye St NW,Washington,DC,20052,1945,Residence Hall/Dormitory,Residence Hall/Dormitory,"81,153","81,082",91,29,29.2,88,87,306,4,"4,964","651,787","1,625",,,Another configuration,Whole Building,38.900495,-77.049866
PM1416407,0055_0856,1416407,Fulbright Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2223 H ST,GEORGE WASHINGTON UNIVERSITY,2,2223 H St NW,Washington,DC,20052,1947,Residence Hall/Dormitory,Residence Hall/Dormitory,"50,296","50,296",55,108,107.9,169,169,397,8,"4,657","395,845","40,660",,,Whole Building,Whole Building,38.8997991,-77.0498529
