DC Real Property ID,Address of Record,Owner of Record,Ward,Property Name,Address 1,City,State,Postal Code,Primary Property Type,Year Built, Reported Building Gross Floor Area (ft²) ,Tax Record Building Gross Floor Area (ft²),Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),ENERGY STAR Score,Total GHG Emissions (MtCO2e),Electricity Use - Grid Purchase and Onsite (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Other Fuel Use (kBTU),X-Coordinate (ESRI),Y-Coordinate (ESRI),Metered Areas (Energy)
00700195,1200 NEW HAMPSHIRE AV NW,N H STREET PARTNERS HOLDINGS LLC,2,1200 New Hampshire,1200 New Hampshire Avenue,Washington,DC,20036,Office,1979," 386,378 "," 284,658 ",,,,,,,,,395864.4928,137540.3178,Whole Facility Energy Consumption
00713159,1177 22ND ST NW,22 WEST CONDO,2,22 West A Condominium,"1177 22nd St, NW",Washington,DC,20037,Multifamily Housing,2008," 225,414 "," 143,478 ",77.7,181,,1759.95,2743963.6,81606.7,,,395782.7354,137405.7706,
00720075,2106 M ST NW,HINES VAF 11 2100 M STREET LP,2,2100 M Street,"2100 M Street, NW, Suite 620",Washington,DC,20037,Office,1969," 325,821 "," 376,487 ",57.1,195.2,84,2635.44,5454487.4,,,,395914.8121,137448.3352,No Selection Made
00720075,2106 M ST NW,HINES VAF 11 2100 M STREET LP,2,2100 M Street II,2100 M Street,Washington,DC,20037,Office,1969," 325,821 "," 376,487 ",,,,,,,,,395914.8121,137448.3352,
00720076,2101 L ST NW,CESC 2101 L STREET LLC,2,2101 L St NW,2101 L St NW,Washington,DC,20037,Office,1975," 475,836 "," 370,000 ",77.7,244,75,3752.8,8685352,,,,395902.0369,137367.9988,Whole Building
00730084,2121 - 2115 K ST NW,2121 K LLC,2,2121 K Street,2121 K Street NW,Washington,DC,20037,Office,1981," 224,547 "," 235,248 ",50,156.1,83,1225.7,2836811,,,,395905.1762,137231.4216,Whole Building
00760083,2021 K ST NW,2021 K L.L.C,2,"2021 K Street, NW","2021 K St, NW",Washington,DC,20006,Office,1972," 205,579 "," 258,300 ",101.1,317.3,51,1901.5,4400857,,,,396028.8082,137230.6929,Whole Building
00760085,2000 L ST NW,TRIZECHAHN LLC - 2000 L STREET,2,2000L,2000L St N.W,Washington,DC,20036,Office,1968," 427,334 "," 375,360 ",,,,,,,,,396028.8082,137284.6445,Whole Facility Energy Consumption
00760091,2001 K ST NW,2001 K STREET LLC,2,2001 K St,2001 K St NW,Washington,DC,20006,Office,1998," 282,955 "," 249,744 ",83.2,277.9,63,3333.49,6899230,,,,396069.2474,137237.0183,Whole Facility Energy Consumption
00770059,0801 22ND ST NW,GEORGE WASHINGTON UNIVERSITY,2,Academic Center,"801 22nd St, NW",Washington,DC,20052,College/University (Campus-Level),1982," 249,606 "," 186,765 ",118.9,318.1,,3469.44,6265366.7,83123.4,,,395810.6544,136921.8607,No Selection Made
00770060,0800 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,Marvin Center,"800 21st St, NW",Washington,DC,20052,College/University (Campus-Level),1970," 325,060 "," 396,467 ",148.5,327.2,,4864.83,7611810.4,222521.9,,43840.07,395907.7243,136921.8607,No Selection Made
00780847,2020 K ST NW,2020 K CORPORATION,2,2020 K Street,2020 K Street N.W.,Washington,DC,20006,Office,1976," 419,991 "," 504,408 ",75.2,253.4,69,4782.73,9259314.3,,,,396010.4829,137141.395,No Selection Made
00790064,2130 H ST,GEORGE WASHINGTON UNIVERSITY,2,Gelman Library,2130 H St.,Washington,DC,20052,Library,1973," 244,288 "," 209,385 ",84.1,271.4,,2907.89,6018378,,,,395818.5967,136819.1918,
00800056,2135 F ST,GEORGE WASHINGTON UNIVERSITY,2,Residence Hall at Square 80,"2135 F St, NW",Washington,DC,20052,Residence Hall/Dormitory,2009," 214,829 "," 184,320 ",98.3,219.5,55,2095.65,3223479.6,101159.2,,,395825.4718,136647.8498,No Selection Made
00850060,1909 K ST NW,NINA JO ASSOCIATES LLC,2,The Millennium Building,1909 K Street,Washington,DC,20006,Office,1999," 242,937 "," 239,437 ",72.8,245.3,76,2504.62,5183746.5,,,,396181.8197,137224.3509,No Selection Made
00850844,1999 K ST,DEKA USA K STREET LP,2,1999 K Street NW,1999 K Street NW,Washington,DC,20006,Office,2009," 330,374 "," 250,345 ",61,189.7,77,2196.1,5049980,2649.156,,,396136.0869,137245.5271,Whole Building
00860042,1990 K ST NW,CONSORTIUM TWO 1990 K ST LLC,2,1990 K Street,1990 K Street,Washington,DC,20006,Office,1977," 269,000 "," 297,949 ",71.7,239.6,67,2732.37,5654417,,,4576.79,396139.8322,137115.7559,No Selection Made
00940031,2015 MASSACHUSETTS AV NW,AREP EMBASSY ROW LLC,2,2015 Massachusetts Avenue NW,2015 Massachusetts Avenue NW,Washington,DC,20036,Hotel,1900," 283,072 "," 283,072 ",42.7,124.7,85,1460.21,2709721,28376,,,396040.6048,138107.13,
00990049,2000 N ST NW,ASN DUPONT CIRCLE LLC,2,The Flats of Dupont Circle,2000 N St NW,Washington,DC,20036,Multifamily Housing,1967," 423,631 "," 423,631 ",40.5,105.8,,1956.8,3462529.8,53348.7,,,396058.0971,137666.6056,
00990053,2001 M ST NW,POST OFFICE BOX ASSOCIATES LLC,2,2001 M Street,2001M St. N.W.,Washington,DC,20036,Office,1986," 246,096 "," 603,964 ",,,,,,,,,396075.4636,137591.2055,No Selection Made
01000116,1120 20TH ST NW,LAFAYETTE CENTRE PROPERTY LLC,2,Lafayette Center One,"1120 20th Street, NW",Washington,DC,20036,Office,1983," 377,654 "," 331,554 ",,,,,,,,,396063.5607,137416.0974,No Selection Made
01000118,1155 21ST ST NW,LAFAYETTE CENTRE PROPERTY LLC,2,Lafayette Center Three,1155 21st Street NW,Washington,DC,20036,Office,1986," 345,109 "," 258,186 ",,,,,,,,,396001.4576,137446.977,No Selection Made
01000897,2000 M ST NW,CASTLE FAMILY LP,2,2000 M Street,2000 M Street NW,Washington,DC,20036,Office,1971," 318,867 "," 321,809 ",,,,,,,,,396063.5607,137485.9651,No Selection Made
01010058,2000 - 2040 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2000 Pennsylvania Avenue,2000 Pennsylvania Avenue,Washington,DC,20006,Office,1982," 407,245 "," 480,845 ",,,,,,,,,396029.087,136945.3863,Whole Facility Energy Consumption
01040835,2020 F ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,2,2020 F Street NW,2020 F Street NW,Washington,DC,20006,Multifamily Housing,1900," 260,159 "," 179,475 ",90.7,152,,1781.59,1743062,176577.9,,,396003.7248,136556.8146,
01050844,1815-1821 PENNSYLVANIA AV,CTTWB ASSOCIATES LP,2,CTTWB,1875 Pennsylvania Avenue,Washington,DC,20006,Office,2005," 354,331 "," 311,730 ",51.8,171.7,86,2600.76,5382717.7,,,,396317.3368,136959.0405,No Selection Made
01050845,1801 PENNSYLVANIA AV,1801 PA AVE LLC,2,1801 Pennsylvania Ave.,1801 Pennsylvania Ave.,Washington,DC,20006,Office,1991," 280,001 "," 276,842 ",89.4,280.7,53,,5633123,,,,396356.9854,136965.4126,Whole Building
01060048,1800 K ST NW,"RAR2-1800 K ST NW -DC,INC",2,1800 K Street,"1800 K Street, NW",Washington,DC,20006,Office,1969," 224,864 "," 242,109 ",79.7,282.8,51,2536.64,5250019.8,,,,396351.3094,137137.8372,No Selection Made
01060049,1835 I ST NW,CARR CRHP PROPERTIES LLC,2,International Square,"1875 Eye Street, NW",Washington,DC,20006,Office,1978," 1,177,174 "," 1,185,122 ",51.3,173.4,87,8548.5,17692592,,,,396308.4849,137116.0439,Whole Facility Energy Consumption
01070062,1825 K ST NW,CALVIN CAFRITZ ENTERPRISES,2,1825 K Street,1825 K Street NW,Washington,DC,20006,Office,1966," 254,527 "," 308,836 ",73.1,189.7,81,2098.37,3673203.6,60825.5,,,396305.7769,137231.7546,No Selection Made
01070075,1801 K ST,BLENHEIM DC LLC,2,Blenheim DC I LLC,"1801 K Street, NW",Washington,DC,20006,Office,1971," 607,433 "," 818,524 ",47.5,162.4,90,4084.05,8452640.4,,,,396340.2316,137258.6282,No Selection Made
01070077,1845 K ST,333 MARKET EXCHANGE TWO LLC AND 123 MA EXCHANGE ONE LLC,2,1875 K,"1875 K Street, NW",Washington,DC,20006,Office,2002," 204,217 "," 267,097 ",65.7,219.4,80,1899.5,3931338.3,,,,396266.7883,137234.4213,Whole Facility Energy Consumption
01150085,1333 NEW HAMPSHIRE AV NW,BP 1333 NEW HAMPSHIRE AVE LLC,2,1333 New Hampshire Ave.,"1333 New Hampshire Ave., NW",Washington,DC,20036,Office,1978," 325,215 "," 357,983 ",,,,,,,,,396176.4676,137843.1037,No Selection Made
01160073,1919 M ST NW,1919 M STREET ASSOCIATES,2,1919 M Street,"1919 M Street, NW",Washington,DC,20036,Office,1967," 368,882 "," 297,005 ",78.8,247.4,60,2967.1,6867001,,,,396143.5801,137584.1263,Whole Building
01160077,1200 19TH ST,HINES 1200 NINETEENTH STREET LLC,2,Hines 1200 Nineteenth Street Benchmarking,1200 19th St. NW,Washington,DC,20036,Office,1964," 337,192 "," 321,408 ",,,,,,,,,396191.0537,137584.1232,
01220029,1957 E ST,GEORGE WASHINGTON UNIVERSITY,2,Elliott School,"1957-1959 E St, NW",Washington,DC,20052,Other,2002," 254,162 "," 240,742 ",87.8,218.1,,,4448907.5,69870.6,,143165.06,396165.242,136492.684,No Selection Made
01260057,1776 K ST NW,RIDDELL PROPERTIES INC,2,1776 K Street NW,1776 K Street NW,Washington,DC,22202,Office,1969," 269,993 "," 256,839 ",84.4,212.4,65,2159.4,3762740,,,5140873.9,396422.696,137148.8134,Whole Building
01260060,1775 I ST NW,L&B 1775 I STREET INC,2,"L&B 1775 Eye Street, LLC","1775 Eye Street, NW",Washington,DC,20006,Office,1969," 276,356 "," 286,694 ",66,206,73,1715.6,3954801,1279.442,,,396426.7351,137085.0582,Whole Building
01260061,1727 I ST NW,FARRAGUT CENTER LLC,2,Farragut Center,"1725 Eye Street, NW",Washington,DC,200062407,Office,2001," 264,000 "," 374,766 ",,,,,,,,,396487.9228,137090.4689,No Selection Made
01260062,1700-1730 K ST,COMMERCE BUILDING ASSOC & 1730 K ST ASSOC LLC,2,1700 K St NW,1700 K St NW,Washington,DC,20052,Office,2005," 523,033 ",,71.5,213.2,76,3613.8,8083616,22798.438,,,,,Whole Building
01370056,1800 - 1824 MASSACHUSETTS AV NW,1800 MASSACHUSETTS AVENUE CORP,2,1800 Massachusetts Avenue NW (SEIU),"1800 Massachusetts Avenue, NW",Washington,DC,20036,Office,1979," 219,581 "," 185,604 ",64.3,216.3,82,1952.62,3983077.7,5285.6,,,396333.679,137881.9711,Whole Facility Energy Consumption
01380803,1330 CONNECTICUT AV NW,1330 CONNECTICUT AVENUE LLC,2,"1330 Connecticut Ave., NW","1330 Connecticut Ave., NW",Washington,DC,22204,Office,1984," 335,990 "," 255,095 ",71.3,233.1,78,3579.48,7016457.8,,,,396278.4753,137785.7119,No Selection Made
01400090,1111 19TH ST NW,COLUMBIA DC 1111 19TH ST OFFICE PROPERTIES LLC,2,1111 19th St NW,1111 19th St NW,Washington,DC,20036,Office,1979," 348,477 "," 270,061 ",72.8,,76,2414,5586933,,,,396277.6338,137394.9267,No Selection Made
01400092,1850 M ST NW,MANUFACTURERS LIFE INSURANCE,2,1850 M St.,"1850 M St., NW",Washington,DC,20036,Office,1986," 259,948 "," 302,448 ",60.9,202.7,87,2242.29,4640812.7,,,,396279.5297,137501.5459,No Selection Made
01400093,1801 L ST NW,ELEVEN-EIGHTEEN LIMITED PARTNERSHIP,2,1801 L St. N.W.,1801 L St. N.W.,Washington,DC,20036,Office,1989," 222,847 "," 173,936 ",,,,,,,,,396348.8169,137365.6048,Whole Facility Energy Consumption
01400095,1800 M ST NW,PRISA ACQUISITION LLC,2,1800 M Street,"1800 M Street, NW",Washington,DC,20036,Office,1975," 613,352 "," 550,211 ",,,,,,,,,396340.8068,137471.7553,No Selection Made
01400907,1137 - 1141 19TH ST NW,1137 19TH STREET ASSOCIATES,2,Verizon - 1133 19th St,1133 19th St NW,Washington,DC,20036,Office,2000," 247,716 "," 275,585 ",82,273.9,62,2876.19,5952775.2,,,,396277.6338,137437.4235,No Selection Made
01420825,1800 G ST NW,NORTHWESTERN DEVELOPMENT CO,2,Northwestern Building,1800 G Street NW,Washington,DC,20006,Office,1970," 727,483 "," 813,848 ",60,190.6,87,5669.46,11096827,57860.7,,,396307.1776,136686.6486,Whole Facility Energy Consumption
01590087,1711 RHODE ISLAND AV,YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN WASHINGTON (YMCA),2,1717 Rhode Island - 2021,"1717 Rhode Island Avenue, NW",Washington,DC,20036,Office,2004," 244,623 "," 108,806 ",57.2,179.7,77,1773.2,4103780,,,,396612.2485,137649.182,Whole Building
01610032,1134 - 1140 CONNECTICUT AV NW,WRIT 1140 CT LLC,2,1140 Connecticut Ave for DDOE,"1140 Connecticut Ave, NW",Washington,DC,20007,Office,1966," 204,068 "," 245,932 ",160.9,304.5,46,2833.91,3602862.6,205473.4,,,396424.7508,137457.0047,No Selection Made
01610037,1120 CONNECTICUT AV NW,JACK I BENDER & SONS,2,Bender Building,1120 Connecticut Ave. NW,Washington,DC,20036,Office,1962," 373,219 "," 403,277 ",64.8,198.7,81,3220.09,6254174,4965.9,,2335937.25,396438.898,137355.0986,No Selection Made
01610038,1150 CONNECTICUT AV NW,NORTHWESTERN DEVELOPMENT COMPANY B,2,Connecticut Building,1150 Connecticut Ave. NW,Washington,DC,20036,Office,1975," 204,070 "," 246,682 ",79.1,207.6,79,1982.77,3448546,2936,,4090423.97,396414.155,137501.5468,No Selection Made
01610039,1130 CONNECTICUT AV NW,PENZANCE 1130 PROPERTY OWNER LLC,2,1130 Connecticut Avenue DDOE,1130 Connecticut Avenue,Washington,DC,20036,Office,1986," 250,190 "," 290,618 ",57.2,194.3,82,2027.34,4195927.4,,,,396432.7507,137416.8958,No Selection Made
01620037,1730 M ST NW,GERALD D GROSNER,2,1730 M ST,1730 M St,Washington,DC,20002,Office,1964," 303,772 "," 295,925 ",82.5,204.4,79,1951.5,3758942,61674.003,,,396522.2858,137498.8123,Whole Building
01620095,1150 17TH ST NW,1150 17TH STREET ASSOCIATES,2,1150 17th Street,1150 17th Street N.W.,Washington,DC,20036,Office,1970," 382,653 "," 321,920 ",75.3,232.4,63,2542.2,5821486,5045.677,,,396616.774,137498.8123,Whole Building
01620096,1101 CONNECTICUT AV,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),2,1101 Connecticut Avenue DDOE,1101 Connecticut Avenue,Washington,DC,20036,Office,1976," 202,878 "," 179,563 ",79,263.8,,2270.72,4699649.8,,,,396553.4029,137353.27,No Selection Made
01620099,1127 CONNECTICUT AV NW,WSRH WASHINGTON LLC,2,9671n-Mayflower Renaissance,1127 Connecticut Ave Nw,Washington,DC,20036,Hotel,1997," 628,696 "," 583,918 ",105.4,238.8,46,6588.87,10150566,316622,,,396573.442,137398.2281,No Selection Made
01640035,1025 CONNECTICUT AV NW,BLAKE DEVELOPMENT COMPANY,2,Blake Building,1025 Connecticut Ave. NW,Washington,DC,20036,Office,1962," 348,428 "," 466,690 ",76.8,220.1,84,3242.49,6028198,62003.3,,,396586.9913,137275.058,No Selection Made
01660032,1701 PENNSYLVANIA AV NW,ATLANTIC FREEHOLDS,2,0166-0032 1701 PENN,1701 Pennsylvania Avenue NW,Washington,DC,20006,Office,1962," 218,478 "," 263,216 ",88.3,253,67,2446.16,4705447,32451,,,396537.1222,136836.605,
01680051,1730 PENNSYLVANIA AV NW,1730 PENN AVE LP,2,1730 Pennsylvania Ave NW,1730 Pennsylvania Ave NW,Washington,DC,20006,Office,1969," 259,838 "," 177,924 ",71.7,239.4,80,2637.02,5457767.7,,,,396492.1325,136761.7456,Whole Facility Energy Consumption
01680823,1750 PENNSYLVANIA AV NW,CESC 1750 PENNSYLVANIA LLC,2,1750 Pennsylvania Ave,1750 Pennsylvania Ave,Washington,DC,20036,Office,1964," 394,372 "," 440,029 ",83.3,221.7,74,2726.7,5631773,55269.708,,,396454.0883,136770.2403,Whole Building
01690070,1776 - 1742 G ST NW,WASHINGTON REAL ESTATE INVESTMENT TRUST,2,1776 G Street,"1776 G Street, N.W.",Washington,DC,20006,Office,1979," 292,396 "," 361,940 ",59.3,198,,2454.98,5080998.7,,,,396426.3434,136679.3629,No Selection Made
01710033,1750 NEW YORK AV NW,UNITED UNIONS INC,2,United Unions,"1750 New York Avenue, NW",Washington,DC,20006,Office,1972," 277,553 "," 216,228 ",78.8,217.2,76,3722.5,3463695,27301.381,,,396432.3214,136429.082,Whole Building
01730809,1776 D ST NW,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,2,DAR Building,"1776 D Street, NW",Washington,DC,20006,Other - Entertainment/Public Assembly,1903," 203,652 "," 221,828 ",,,,,,32586.181,,,396475.6262,136233.086,Whole Building
01820828,1615 M ST,17M ASSOCIATES & DISTRICT OF COLUMBIA,2,Sumner Square,1615 M Street,Washington,DC,20036,Office,1984," 226,633 "," 232,555 ",69.4,233.6,82,2228.23,4611699.7,,,,396726.5821,137568.7214,No Selection Made
01830857,1101 17TH ST,1101 17TH STREET ASSOCIATES LTD,2,1101 17th Street,1101 17th Street N.W.,Washington,DC,20036,Office,1964," 322,270 "," 330,550 ",94.6,221.9,70,2180.2,4022207,83340.428,,,396695.8144,137362.7518,Whole Building
01830879,1615 L ST NW,1615 L ST LLC,2,1615 L Street,1615 L St NW,Washington,DC,20036,Office,1984," 420,000 "," 659,196 ",62.1,215.9,74,3691.62,7640433,,,,396749.8007,137358.3078,Whole Facility Energy Consumption
01840074,1601 K ST,PPF OFF 1601 K ST LLC,2,1601 K Street,1601 K Street N. W.,Washington,DC,20006,Office,2005," 231,423 "," 276,579 ",57.3,189.9,83,1878.05,3886942.5,,,,396784.2348,137231.624,No Selection Made
01850828,1625 I ST,BFP 1625 EYE CO LLC,2,1625 Eye Street,1625 Eye Street NW,Washington,DC,20006,Office,2003," 402,621 "," 624,620 ",,,,,,,,,396745.0024,137094.7845,No Selection Made
01960035,1201 16TH ST NW,NATIONAL EDUCATION ASSOCIATES,2,National Education Association,"1201 16th St., NW",Washington,DC,22036,Office,1957," 394,087 "," 311,715 ",72.1,196.3,83,,6304302.6,69051.2,,,396881.9374,137587.1103,No Selection Made
01960834,1501 M ST,I&G DC REIT INC,2,1501 M ST,1501 M ST,Washington,DC,20005,Office,1991," 252,943 "," 269,837 ",84.6,267,43,2094.2,4846764,,,,396965.8332,137563.58,Whole Building
01970855,1152 15TH ST,MR COLUMBIA CENTER INVESTORS LLC,2,Columbia Center,"1152 15th Street, NW",Washington,DC,20005,Office,2007," 552,995 "," 425,568 ",54.8,169.5,81,3014,6975419,,,,396946.0422,137451.0816,Whole Building
01980845,1030 15TH ST,1030 W. 15TH  LLC,2,The Executive Building,"1030 15th Street, NW",Washington,DC,20005,Office,1968," 416,707 "," 340,022 ",46.7,126.7,85,1822.3,3795253,34367.301,,,396963.857,137283.805,Whole Building
01980846,1501 K ST,I B ASSOCIATES LIMITED PARTNERSHIP,2,1501 K St NW,1501 K St NW,Washington,DC,20002,Office,2001," 514,770 "," 502,963 ",78.2,243,63,4144.1,9527367,5176.827,,,396951.5125,137234.4516,Whole Building
01990831,1575 I ST NW,1575 EYE STREET ASSOCIATES,2,1575 Eye Street (DDOE),1575 Eye Street,Washington,DC,20005,Office,1979," 209,252 "," 288,798 ",65.5,212,84,1939.69,4014515,,,,396923.902,137089.8228,
01990832,1500 K ST NW,1500 K STREET LLC,2,1500 K Street - The Southern Railway Building,1500 K Street NW,Washington,DC,20005,Office,1928," 326,984 "," 294,234 ",88.6,278.2,62,3289.7,7613636,,,,396956.5156,137131.745,Whole Building
02120850,1499 MASSACHUSETTS AV,POST 1499 MASSACHUSETTS LLC,2,Post Massachusetts Avenue,1499 Massachusetts Ave NW,Washington,DC,20005,Multifamily Housing,2002," 237,796 "," 281,178 ",46.6,113,,1183.46,1967912.1,43726.6,,,397041.2339,137670.5843,
02130017,1201 15TH ST,NATIONAL ASSOC OF HOME BUILDERS OF U S,2,The National Housing Center Corporation,"1201 15th Street, NW",Washington,DC,20005,Office,2001," 240,863 "," 125,815 ",61,176.8,91,1870.89,3610786.2,23735.1,,,397078.4993,137560.2249,Whole Facility Energy Consumption
02140103,1133 15TH ST NW,1133 FIFTEENTH STREET LLC,2,1133 15th Street,"1133 15th Street, NW",Washington,DC,20005,Office,1969," 215,636 "," 286,200 ",65.4,220.3,83,1607.87,4134394.8,,,,397050.6775,137444.6028,No Selection Made
02140105,1125 15TH ST NW,1125 15TH STREET LLC,2,1125 15th Street,"1125 15th Street, NW",Washington,DC,20005,Office,1969," 285,264 "," 364,500 ",55.4,186.1,87,2238.8,4633577.8,,,,397050.6775,137405.9693,Whole Facility Energy Consumption
02140106,1101 - 1117 15TH ST NW,1101 FIFTEENTH LLC,2,1101 15th Street,"1101 15th ST, NW",Washington,DC,20005,Office,1973," 221,350 "," 213,934 ",,,,,,,,,397037.8759,137360.8969,Whole Building
02140108,1110 VERMONT AV NW,1110 VERMONT LP,2,1110 Vermont Ave,"1110 Vermont Ave, NW",Washington,DC,20005,Office,1979," 319,596 "," 383,395 ",56.7,189.2,88,2564.07,5306789,,,,397118.8575,137381.7712,Whole Facility Energy Consumption
02140109,1120 VERMONT AV NW,1120 VERMONT AVE ASSOCIATES LLP,2,1120 Vermont Avenue,"1120 Vermont Avenue, NW",Washington,DC,20005,Office,1979," 505,443 "," 666,961 ",113.4,351,49,7698.27,15412750.4,47239.6,,,397141.776,137452.4281,No Selection Made
02140854,1177 15TH ST NW,JTCI5 MADISON HOTEL LP,2,The Madison,1177 15th Street NW,Washington,DC,20005,Hotel,1962," 215,697 "," 287,557 ",145.6,327,30,2636.2,4612655,121181.971,,,397045.0387,137502.7816,Whole Building
