userName,isInvestorRelation,sentiment,replyTo,isSuggested,userID,tweetID,totalReshares,likesList,tweetBody,time,date,totalLikes,mentionedUsers
InvestorPlace,FALSE,,,FALSE,55919,73946464,0,,Apple Taps Head of Amazon Fire to Run Apple TV $AAPL $AMZN - http://investorplace.com/2017/02/apple-inc-taps-head-of-amazon-fire-to-run-apple-tv-aapl,14:22:42,8/2/17,0,
JoeBizz,FALSE,Bullish,,FALSE,166485,73946372,0,,$AAPL 2 buck chuck today? Why not. _ÙÒö,14:22:09,8/2/17,0,
ecommerceshares,FALSE,Bullish,,FALSE,178851,73946285,0,Nostress,$AAPL $140 in a week or two. Huge flows into the stock here. #apple,14:21:40,8/2/17,1,
ParabolicWave,FALSE,,,FALSE,941618,73946227,0,"JoeBizz,ecommerceshares",$AAPL Watch out for an opening fakeout first few minutes. This is going to rip again first hour. This pattern has more upside short term,14:21:16,8/2/17,2,
SwingTraderAmos,FALSE,Bullish,,FALSE,388756,73946226,0,,"$AAPL http://m.mentalfloss.com/article.php?id=521087 Tips + iPhone 7 = Sure way ladies to keep a man today.",14:21:16,8/2/17,0,
soccerstar61,FALSE,,,FALSE,795748,73946085,0,,$AAPL Bought 700 SH $131.35 pre market. Holding 2500sh longer term. Don't care if it pulls back.,14:20:27,8/2/17,0,
BeAhead,FALSE,,,FALSE,647140,73945859,0,,Watchlist $drys $gild $pe $ctsh $nakd $nvda $twlo $ctsh $aapl $nflx $apop,14:17:54,8/2/17,0,
ParabolicWave,FALSE,,,FALSE,941618,73945241,0,"bobcrd,ecommerceshares",$AAPL Another $145 price target hike will be good for another move up. A big gap and fade would signify top. More upside. Keep riding,14:14:30,8/2/17,2,
Nostress,FALSE,Bearish,,FALSE,422677,73944755,0,MikeyVegas,$AAPL weakness from ydays close continues today into open,14:11:11,8/2/17,1,
MarketRealist,FALSE,,,FALSE,810060,73944254,0,,How Did the iPhone 7 Launch Impact Verizon‰Ûªs Wireless Margin? http://marketrealist.com/?p=1905006 $VZ $S $T $TMUS $AAPL,14:07:22,8/2/17,0,
MountainJet,FALSE,Bullish,,FALSE,534074,73944021,2,,$MSFT so undervalued. Trading at a 15 percent discounnt. Buy up for tasty Dividend EX-date 2/14. Dump $AAPL one trick pony,14:05:44,8/2/17,0,
ConsistencyKey,FALSE,Bullish,,FALSE,519804,73943994,0,"moonshoesarein,Travis2264,Nostress,PrivatePirate,JoeBizz,link517","$AAPL stocktwits needs a better processing server, updates to slow",14:05:31,8/2/17,6,
chrislyons11,FALSE,Bullish,,FALSE,920079,73943626,0,"TraderEquities,StockGuru123a",https://www.bigredsays.com $WEED.CA $GOOG $AAPL $TWTR $AMZN,14:02:38,8/2/17,2,
finzine,FALSE,,,FALSE,839813,73943597,0,,"$AAPL Apple's spaceship campus: $5B price tag, developer drama, and 3 other things you... http://www.bizjournals.com/sanjose/news/2017/02/08/apples-spaceship-campus-5b-price-tag-developer.html?ana=yahoo",14:02:24,8/2/17,0,
Madsteezin4,FALSE,Bullish,,FALSE,557744,74103905,0,,$AAPL will be in the positives by eod,15:59:28,9/2/17,0,
LincolnList,FALSE,,,FALSE,30134,74103644,0,,monster rip in $SPY but $AAPL $GOOG $FB all in the flat,15:58:18,9/2/17,0,
kaluhiokalani71,FALSE,Bullish,,FALSE,8154,74103615,0,,"$AAPL net money flow-buying on weakness, per wsj.com",15:58:07,9/2/17,0,
blade3colorado,FALSE,Bullish,,FALSE,829260,74103599,0,,$AAPL Healthy consolidation. Neophytes attention - stock drops on the ex-dividend date (today) by roughly the amount of the dividend.,15:58:02,9/2/17,0,
finzine,FALSE,,,FALSE,839813,74103446,0,,$AAPL 'Fire Emblem Heroes' Falls Apart Once You Hit The Endgame http://www.forbes.com/sites/insertcoin/2017/02/09/fire-emblem-heroes-falls-apart-once-you-hit-the-endgame/,15:57:22,9/2/17,0,
VenKam,FALSE,Bullish,,FALSE,950122,74103293,0,,$gene rocketing up started $mvis $stm $aapl $fdc,15:56:37,9/2/17,0,
mhtradepro,FALSE,Bullish,,FALSE,154827,74103117,0,,$AAPL holding up well on exdiv. They way it's going will test ATH soon.,15:55:53,9/2/17,0,
ParabolicWave,FALSE,,,FALSE,941618,74102512,0,,$AAPL I took the 131.55 off the table quick $1500 scalp. I'm done. This trade is going to be too hard rest of day,15:53:34,9/2/17,0,
jnobaker,FALSE,,,FALSE,811322,74102428,0,,$AAPL 132 $IV weekly filled at .90,15:53:16,9/2/17,0,
LHL,FALSE,,,FALSE,357448,74102361,0,,$AAPL Above 131.7 it can start run again.,15:53:01,9/2/17,0,
ParabolicWave,FALSE,,,FALSE,941618,74102097,0,,"$AAPL I'm dumping at 132..I think Fri is going to be a pin day. Load up end of day, for Monday, unless there is another dip like today.",15:52:03,9/2/17,0,
TWEETss,FALSE,,,FALSE,23605,74101663,0,,@GreatWizeOz Nice start to the Year! $AAPL $GOOG $TSLA $AMZN $k $MOS $GILD $MOMO $twtr $k,15:50:17,9/2/17,0,[924492]
FSJ,FALSE,,,FALSE,511934,74101650,0,TaoHaus,$SPY Can't believe that $FB $AAPL $NFLX $GOOG are the odd ones out today. $AMZN is in with the cool crowd today.,15:50:13,9/2/17,1,
ParabolicWave,FALSE,,,FALSE,941618,74100831,0,,$AAPL Gotta have a plan when trading. You don't just look at random numbers. Draw your lines on your chart before the bell. 131.50 cross,15:46:44,9/2/17,0,
noobinvestorsg,FALSE,Bullish,,FALSE,612210,74100772,0,,$aapl very possible 132 EOD. see if it breaks the 131.50,15:46:29,9/2/17,0,
capitalconservation,FALSE,,,FALSE,395813,74105718,0,,$AAPL so you have to own this by EOD to get divy? then clear shot to $140?,16:07:37,9/2/17,0,
ParabolicWave,FALSE,,,FALSE,941618,74105237,0,,$AAPL Can't take out the 133.55. Might later in the day. Moneyflow going to other sectors. This is strong held all gains from huge gap up.,16:05:19,9/2/17,0,
SonoftheMarket,FALSE,Bullish,,FALSE,589859,74105236,0,,"$AAPL buyers keep stepping in, $135 before $130 imo",16:05:19,9/2/17,0,
marketchameleonwins,FALSE,,,FALSE,800154,74104878,0,,Price Moves vs Expected Moves (1-Day) in Most Active Products $CLF $PRU $TSLA $WFM $BAC $FXI $EEM $AAPL $FB $TWTR,16:03:40,9/2/17,0,
KoolNupe,FALSE,,,FALSE,762075,74104800,0,,$AAPL high risk speculation with small size bought 2/10 134 calls at .04 (willing to lose 100% here),16:03:15,9/2/17,0,
PancakesandWhiskey,FALSE,,,FALSE,686200,74104723,0,,"$AAPL ""Better Buy: Apple Inc. vs. IBM"" http://g.gon.gg/m/jfA5NZp2CA",16:02:54,9/2/17,0,
LHL,FALSE,Bullish,,FALSE,357448,74104570,0,,$AAPL Any number close above 131.7 all I'm asking :),16:02:12,9/2/17,0,
KoolNupe,FALSE,,,FALSE,762075,74104040,0,,$AAPL I'm back in with a small size Feb 17 133 calls at .45,16:00:05,9/2/17,0,
Madsteezin4,FALSE,Bullish,,FALSE,557744,74103905,0,,$AAPL will be in the positives by eod,15:59:28,9/2/17,0,
LincolnList,FALSE,,,FALSE,30134,74103644,0,,monster rip in $SPY but $AAPL $GOOG $FB all in the flat,15:58:18,9/2/17,0,
kaluhiokalani71,FALSE,Bullish,,FALSE,8154,74103615,0,,"$AAPL net money flow-buying on weakness, per wsj.com",15:58:07,9/2/17,0,
blade3colorado,FALSE,Bullish,,FALSE,829260,74103599,0,,$AAPL Healthy consolidation. Neophytes attention - stock drops on the ex-dividend date (today) by roughly the amount of the dividend.,15:58:02,9/2/17,0,
finzine,FALSE,,,FALSE,839813,74103446,0,,$AAPL 'Fire Emblem Heroes' Falls Apart Once You Hit The Endgame http://www.forbes.com/sites/insertcoin/2017/02/09/fire-emblem-heroes-falls-apart-once-you-hit-the-endgame/,15:57:22,9/2/17,0,
VenKam,FALSE,Bullish,,FALSE,950122,74103293,0,Prettykitty07,$gene rocketing up started $mvis $stm $aapl $fdc,15:56:37,9/2/17,1,
mhtradepro,FALSE,Bullish,,FALSE,154827,74103117,0,,$AAPL holding up well on exdiv. They way it's going will test ATH soon.,15:55:53,9/2/17,0,
