Condition,Rating,Review,Polarity,Name,label
Peripheral Neuropathy,10.0,"""I just started taking gabapentin 300 mg 3 times a day... wow my legs feel no more pain...I can walk easy have more desire to do things...it's a miracle. ...I'm so happy to have found this medicine.""",0.316666666667,Gabapentin,0
Hot Flashes,10.0,"""After years of hot flashes.....at least one per hour....plus sleep depriving night sweats....my doctor suggested Gabapentin rather than hormones. Didnt really understand  the drug until I did some research and read how it has helped other women. So, I took it....300mg, at night, as prescribed.....wow!!! I havent slept that well in years!!!!  Zero night sweats! The first two mornings after taking Gabapentin, I felt a little bit foggy headed. But also a sense of calm that I really enjoyed. No more foggy mornings.....its been 1 week since I began taking Gabapentin. Still getting a solid 8 hours of sleep with no night sweats! I am one very happy woman!""",0.0924947218461,Gabapentin,0
Pain,10.0,"""This is the ONLY medicine that helps with my pain!""",0.0,Gabapentin,0
Pain,10.0,"""I started out at 300mg's 3 times a day approx 1 yr ago. I'm up to 900mg's 4 time a day, I suffer from horrible nerve pain due to having CRPS, I wouldn't wish this on my worst enemy. So much has been taken from me, But the gabapentin helps so much with the nerve pain that I take the good with the bad. I have an awesome support system beginning with my Husband of 36 yrs. Otherwise I don't think I could do this. The gabapentin takes away from me certain things, But I take the good with the bad. My thoughts and prayers go out to all of you who suffer and a have to take gabapentin.""",-0.0464285714286,Gabapentin,0
Pain,10.0,"""I had a herniated disc problem at L5 S1. Doctors suggested I  take 100 mg daily twice and it works very well.""",0.1,Gabapentin,0
Neuropathic Pain,10.0,"""I have spina bififa, scoliosis, osteoarthriti and I am on the bu trans patches. I have been in severe pain, even my eye balls hurt, every joint and muscle agony. I have tried so many medications an was almost at point of giving up. I was put on gabapentin and it has been a wonder drug and life saver. After only taking two all my pain went completely and I feel 20 again""",0.2,Gabapentin,0
Alcohol Withdrawal,10.0,"""I have been on Gabapentin for 15 months.  My dose is two 600mg tablets a day for a total of 1200mg in a 24-hour period. I was prescribed Gabapentin for alcoholism first, anxiety second.  This medication is a God send.  After drinking 10-15 alcohol drinks a day for 40 years, within a week I quit and had no side effects from withdrawal - plus the anxiety went away. I do NOT crave alcohol at all.  It is so weird.  I thought it wouldn't work until I tried it - and it does work!  It was THAT quick.  I suggest everyone with an alcohol problem that wants to quit but is deathly afraid to do so, ask your doctor for gabapentin.  It is non-addictive like benzodiazepines (Valium, Xanax).  AA never worked for me.  Gabapentin, IMO replaces AA.""",-0.0630952380952,Gabapentin,0
Anxiety,10.0,"""I've been taking gabapentin for a year for severe anxiety social anxiety and it has been wonderful. I'm a very worrisome person so when I take this medicine I feel more at ease without feeling sedated. I find it funny my Dr said they don't generally use this medicine for anxiety but it works for me and apparently a lot more people then she made it seem. """,0.322916666667,Gabapentin,0
Anxiety,10.0,"""I am 40 years old. I have dealt with social anxiety since my teen years. I have been on Wellbutrin XR 150 mg twice daily for several months, which has given me energy, improved mood, and increase sex drive. I started gabapentin a couple weeks ago for pain relief related to a slipped disc impinging nerves in my back, sciatica. I am taking 600 mg tthree times a day. I am amazed!! Social anxiety is gone! First time in my life. I have actually been chatty and social without breaking into a sweat from nerves. Also haven't reached for my when required Ativan at all since starting gabapentin. I couldn't be happier about this accidental discovery. Life changing. Also note that I am a recovering alcoholic. Maybe defective gaba has been the culprit?""",0.0160256410256,Gabapentin,0
Migraine,10.0,"""Well I have tremors and migraines, so my neurologist gave me 800mg gabapentin and I'm supposed to take 2 x 800mg (1600mg) 3 times a day for my tremors mainly, but a side effect is the absence of migraines.""",0.0770833333333,Gabapentin,0
Migraine,10.0,"""I have been having chronic migraines for 5 years now and probably 50 other prescriptions wrote for me and finally gabapentin is like a miracle for me.My migraines were 24/7 with tension in shoulders and neck.  Felt little tired and strange first day but great relief now. My doctor and neurologist all but gave up on me and was filling pretty depressed.  Thank you gabapentin!!!!!""",0.131304931641,Gabapentin,0
Bipolar Disorder,10.0,"""I use Gabapentin 1200 mg since 2 weeks for my rapid cycling bipolar. Since one week I feel stable as I have never been for 10 years. It is early to say but it seems to be helpful. It is very difficult condition and difficult for treatment too. I was suffering a lot, but now I just enjoy to my life. I eat normal and also I am calmer. Also I use Depakote and Effexor, a little dose Wellbutrin and Seroquel. I have very mild mood changes now.""",-0.0363095238095,Gabapentin,0
Peripheral Neuropathy,10.0,"""I needed neck surgery in 2009. I had the surgery, but after a couple of months, I begin to hurt all over and was so stiff it took me hours to get my routine going. I had trouble at work with horrible pain. I finally found a doctor that would listen to me. He put me on 3600mg, and as long as I take it on time and stay on the schedule I am good to go. I am so glad because my job is in law enforcement and I have to be on my toes in the jail. This medication is a God sent. It's not a narcodic. I hope this note gives everyone a better quality of life,.""",0.0150793650794,Gabapentin,0
Hot Flashes,10.0,"""I started gabapentin for nerve pain. My hot flashes stopped after having them for 5 years. It's been a miracle for me, my doctor hadn't heard it worked for hot flashes, but I can't go back to hot flashes that left me with sweat running down my face in the grocery store line or having to have my bedroom at 50 degrees at night so I could sleep somewhat comfortably at night.""",0.142063492063,Gabapentin,0
Pain,10.0,"""This is the first medicine that dropped my back pain from 10 to a 2. I was on increasing oxycodone for years due to crushed back in accident. Had 5 herniated discs L1 - L5 which eventually developed bone spurs and arthritis. Severe radiating leg pain would cause leg numbness and some great falls in public. Surgery was recommended - I declined. 15 years later my psychiatrist prescribed it for anxiety/mood stabilizer to replace Depakote (also an anti-convulsant). 
3 days later I noticed I could get by with Advil and gabapentin. Why didn't my ortho surgeon give me this? I take 900 mg/ day. Only been on it 3 weeks
and I'm a different person.""",0.0770833333333,Gabapentin,0
Anxiety,10.0,"""I suffered with severe migraines several times a year.  In my 30s, the migraines became more frequent, longer lasting, more severe. Accidentally discovered Xanax, lifted the migraine immediately. Xanax not being a long-term solution for many reasons, my neurologist prescribed gabapentin.  I haven't had a migraine in over six years.  I take 1200 mg a day, usually before bed, but have discovered that taking 300mg in the afternoon when anxiety kicks in and the rest at night has made a huge difference in anxiety.  Anxiety runs in my family, migraines, too, and this medication works very well for me.""",0.216666666667,Gabapentin,0
Hot Flashes,10.0,"""Gabapentin has been great for reducing my hot flashes! 
I was prescribed this medication after chemotherapy for nerve pain. It stop the nerve pain in my hands and feet. It also helped with restless leg syndrome.""",0.55625,Gabapentin,0
Anxiety,10.0,"""I have been hiv positive for 3 years when I asked my doctor if my hiv meds were actually giving me side effects of anxiety and panic attacks. I am taking truvada and isentress and although I am very happy with my meds, I really noticed that When I started the hiv meds, I become  very anxious and paranoid of negative things happening in my daily life. I talked to my doctor and so he prescribed me a very low dosage of 100 milligrams 4 capsules a day of Gabapentin. I immediately noticed the effects within the first week. I am no longer paranoid, worrysome and anxious all the time. I'm very happy my doctor prescribed me this medicine. :)""",0.191856060606,Gabapentin,0
Bipolar Disorder,10.0,"""Bipolar disorder successfully treated with gabapentin for 4 years -900mg daily.Then in Dec 2015, I had general anesthetic for broken leg operation. Then 6 weeks later, fell into deep depression with uncontrollable crying. Convinced this is result of anesthetic. Can anything reverse this state?""",0.0333333333333,Gabapentin,0
Restless Legs Syndrome,10.0,"""Works VERY well for restless legs syndrome and trust me, I have tried them ALL!  Good luck, I know this is a wretched thing to have.""",0.475,Gabapentin,0
Hot Flashes,10.0,"""I started taking Gabapentin two weeks ago. My doctor prescribed it for my hot flashes and night sweats. I was averaging two to three hot flashes an hour and terrible night sweats every night. It was very debilitating and overwhelming. Since starting the Gabapentin the night sweats have vanished altogether and I average two hot flashes a day! it's a lifesaver for me. I take three 300 mg. pills per day, one in the morning, one after dinner and one before bed.""",0.0453125,Gabapentin,0
Anxiety,10.0,"""I am a 70 yr old woman & have had anxiety & depression my whole life. This medication has changed my life. I took it initially for shingles but noticed immediately that my anxiety was gone so I phoned my psychiatrist (I am bipolar) & asked to be put on it.  He agreed no problem. I take 300 mg 3 times a day. I hope this helps others with anxiety & depression. I am like a new woman!""",0.117613636364,Gabapentin,0
Alcohol Withdrawal,10.0,"""I was able to withdraw from opiates using Neurontin.""",0.5,Gabapentin,0
Insomnia,10.0,"""I take a 300 mg of Gabapentin along with 10 mg of Melatonin and it's works great for me. I fall asleep about 30 to 40 minutes after taking them and sleep throughout the night.""",0.8,Gabapentin,0
Insomnia,10.0,"""This is my 3rd night of taking this.  I went to my doctor because my depression and anxiety had come back full-force.  I hadn't eaten hardly anything in 3 weeks and couldn't sleep but 3 hours a night.  I was a walking zombie!  She prescribed a SSRI and this and I have slept like a baby on 300 mgs a night plus melatonin.  My anxiety has gone down at least 60% in two days and my depression has already lightened up - although that will take much longer but just getting some decent sleep undisturbed had really helped!  A great side effect of this is that I used to have to get up 5 or 6 times a night to go to the bathroom and now I get up maybe once a night!  What a relief!""",0.0885030864198,Gabapentin,0
Hot Flashes,10.0,"""Started taking this for hot flashes a couple of weeks ago.  I'm on 300mg twice a day and it is wonderful.  I would sometimes get more than 4 hot flashes per hour- I felt like a chameleon.  I had no idea how nice it is to be almost completely hot flash free!  I'm post menopause at 48 and started having flashes at 37.  After awhile it becomes a fact of life, if I had under 10 flashes in a day I thought that was good.  When I started having 2-4 per hour in the afternoons, sometimes more than 30 during waking hours, my oncologist prescribed this.  I can't take hormones because of high risk breast cancer.  Gabapentin is giving me my life back!!!!!""",0.428181818182,Gabapentin,0
Migraine,10.0,"""I'm actually a chronic cluster headache patient for over 30 years. Started when I got sober in 82. Cleveland Clinic finally figured out what the problem was. Now for about 10 years I've been on the Gabapentin as part of my medical cocktail. We just had to increase the dosage today from 600 to 900 as the clusters were back on a nightly alarm clock basis. Well, tonight I have been headache free and hoping this increase will do the trick. Has worked before but maybe just time for increase in my dosage. Prayers please. These clusters are no fun. Thanks and good luck to all headache patients.""",0.138888888889,Gabapentin,0
Anxiety,10.0,"""Gabapentin has been a God send for me. I have taken several of the benzos for my anxiety and I have a very negative opinion of them. Gabapentin removes my anxiety and allows me to be completely alert and focused at work. It allows me to be friendly and outgoing but at the same time calm. I have tons of energy everyday and sleep really well at night. I started taking gabapentin for nerve damage in my left arm about 2 years ago. Immediately I noticed it to be an extremely effective medication for worry and anxiety. I believe it to be a perfect medication for me. I never want to stop taking it. Makes me feel ""normal"".""",0.177916666667,Gabapentin,0
Insomnia,10.0,"""I was prescribed GABA by my doctor for insomnia. I find it does help to keep me asleep once I get there. I agree it doesn't put me right to sleep however I find that it does allow me to relax my brain and body so they're not going 100 miles an hour which then allows me to fall asleep. I was told to only take it if I had 7 or 8 hours dedicated for sleep so what I found was this. When I take it and am allowed to sleep a full 8 hours before getting up I feel great in the morning. If I take it and have to get up in 6 hours I'm disoriented in the morning and vision is blurry. So with that being said and knowing it takes a couple hours to fall asleep after taking this I've learned my time table of when I take it where I get the best results.""",0.487142857143,Gabapentin,0
Fibromyalgia,10.0,"""I started the Gabapentin two weeks ago for Fibromyalgia discomfort and this medication has changed my life. 
My chronic lower leg pain I've suffered with for over 5 years is gone and my quality of life has improved a great deal!""",1.0,Gabapentin,0
Hot Flashes,10.0,"""I was offered gabapentin for nerve pain in my chest. Having had hot flushes and night sweats completely taking over and affectly so many areas of my life, after only a couple of days taking the gabapentin, the flushes stopped!!! I had been suffering for 3 years having gone through treatment for breast cancer at 45. Due to the amount of pain, my GP had me in 1x300mg 4 times aday.  Downside was for the first 3-4 weeks (also because it was a high dose), I felt very drowsy, unable to concentrate, so also unable to drive. I was off work anyway, so was able to cope ok. This only lasted the 2 weeks. My GP had discussed the side affects before hand. I had been on 37.5 mg of venlafaxine 2x1 daily but didn't feel it helped that much. live with in UK.""",0.0980909090909,Gabapentin,0
Anxiety,10.0,"""I am on meds for depression and they're working. Thank God. Anxiety is an issue,  so my psychiatrist prescribed gabapentin,  300mg. The suggested dosage is one, 4x per day. I don't do that but instead take it when I'm feeling anxious and it works like a charm. Plus it helps me fall and stay asleep. Am hungrier but I can control that. Great medication.""",0.275,Gabapentin,0
Pain,10.0,"""I've had vague lower leg pain for years that was getting worse each year to the point that it was constant all day long.  I was taking 1600 mg of ibuprofen a day.  I finally mentioned this to a doctor who thought it might be nerve pain and prescribed gabapentin 3 times a day.  It worked almost immediately.  It decreased my dosage to twice a day and it still works.  """,-0.225,Gabapentin,0
Migraine,10.0,"""I have had migraines for over 15 years now.  I have tried everything out there from Imitrex to Morphine for reduction of pain, from Propranolol to Nortriptyline for prophylactics and nothing worked.  My doctor was running out of options and suggested Gabapentin and what a difference.  Now because it makes me tired, I only take at night before I go to bed, so I do not have ANY side effects that other people do.  I take a dose of 300 mg at bedtime and so far it has been a life saver.  I have not had any headaches for over a month since starting the Gabapentin.  I had such bad migraines, they would last up to 4 days straight without any relief.  Needless to say, I am quite happy with the medication.""",-0.0568181818182,Gabapentin,0
Restless Legs Syndrome,10.0,"""300mg at nite in bed ... Sometimes 600mg..... Helps me sleep and no restless legs""",0.0,Gabapentin,0
Migraine,10.0,"""I have been a migraine sufferer for almost 17 years. I went on and then off birth control as a means of trying to reduce the number of migraines I would get. Often 3-4 times a month. I was given Amerge which was effective. I then switched to Imitrex. An accident last summer caused me great nerve pain and in the fall I was put on Gabapentin for this nerve pain in my arm from my elbow dislocation. Throughout the fall and winter I had a few headaches, nothing that popping a few Excedrins wouldn't take away. Three weeks ago, I stopped taking Gabapentin to try to reduce the drugs I'm taking. Big mistake. For the past week, I have had blinding migraines unresponsive to Excedrin and Imitrex. I will be going back on Gabapentin.""",0.09375,Gabapentin,0
Trigeminal Neuralgia,10.0,"""400mg life saver for normal flare ups but not strong enough for bad attacks. Good when used in conjunction with Topamax""",-0.0133333333333,Gabapentin,0
Pain,10.0,"""I have herniated disc as well as severe arthritis in my shoulders and arms.  I have had many days of severe pain and restless nights, very painful mornings while being on many different narcotics that didn't help very much.  After starting Neurontin the pain has almost completely gone.  I am still on Roxicodone but the Neurontin has made all the difference in the world.  I can raise my arms above my head, something I haven't done in months.  It does make me a little sleepy but I am sure that will go away, I have only been taking it for a week now.  My opinion it to take it at night, everyone needs a good night sleep anyway.  It is great for me.""",0.174038461538,Gabapentin,0
Fibromyalgia,10.0,"""I was given Neurontin by my orthopedic surgeon for nerve pain in my back before having a hip replacement. It dawned on me after a week or so, I had no fibromyalgia pain. After going over what I had been doing differently, I figured out it was the Neurontin. I goggled it and found that the University if Cincinnati had tested it yielding positive results in treating fibromyalgia pain symptoms. My Dr has decided to continue the medicine as long as I am getting relief from the pain. I do have to say that the fibro fog is still a bit of an issue and I find my short term memory is a bit glitchy. But, hey that what iPhones are for, right? Being pain free is worth the trade off. My brain us slowly acclimating. It's great to live and not just cope.""",0.163577331759,Gabapentin,0
Bipolar Disorder,10.0,"""I have been on Neurontin for several years.  I take it along with Zoloft for bi-polar disorder.  All I can say is that it works for me!""",0.0,Gabapentin,0
Anxiety,10.0,"""I have taken Neurontin for 5 days now..400 mg 4 times a day. It is like a miracle medicine for me. I was drinking 18-24 beers a day..one 10 mg Valium, lots of coffee and smoking 1 1/2 - 2 Packs of cigarettes a day. Anxiety levels were High. I feel rested, calm, clear headed and No anxiety. It's been 20 years since I have felt this good. I drank a lot and took a lot of nerve pills. I went to rehab for 3 days. Doctor put me on Neurontin 1600 daily. I feel a little sluggish, but that is a lot better than the way I felt a week ago. I have No caffeine, cigarettes, valium or alcohol. I have saved a lot of money now. ($30) a day habit. I do wear a 21 mg patch though.
 Please give this Drug a try. Get the right dosage for you will help a lot.""",0.232276785714,Gabapentin,0
Anxiety,10.0,"""My husband is on a ""light"" dose of Neurontin (Gabepentin) and the medicine really works to relieve his anxiety.  He has Parkinson's Disease and mild cognitive disorder, as well as Parkinson's depression.  Neurontin works well on his tremor and his anxiety, but higher doses make him ""foggy.""  His dosage is 800mg spread over 12-16 hours, with the option to increase the dose to 1000mg per day, depending on his anxiety level.  He has been on Neurontin for many years and it continues to work well for him.""",0.336666666667,Gabapentin,0
Fibromyalgia,10.0,"""I have had Fibromyalgia for 11 years and had Amitriptyline for it, last week I started with shingles and left me with Neuropathic stabbing ice pick pain in my head/neck, yesterday the doctor said try Gabapentin starting dose 300g but not with Amitriptaline, reluctantly after reading the side effects I took a pill as I haven't slept for 6 nights and was at my wits end. I took it at 9pm I went to bed 11pm experienced leg jerking for a few minutes a strange tingling feeling all over, and excessive gas, then I must have fallen asleep I had been asleep 6 hours :) no shooting pains every 30 seconds no restless legs, I'm going to give this a go as first impressions to me on just one dose has been a relief/blessing and worth a try.""",0.0681818181818,Gabapentin,0
Anxiety,10.0,"""It has been a godsend anxiety treatment for me, relieving me of what was once crippling anxiety.""",0.0,Gabapentin,0
Anxiety,10.0,"""I have been on gabapentin for two weeks now. I'm on 300mg three times a day. It took about a few days for it to start working. But I have to say that this med works! If I do not take it or if I'm getting close to my next dose. I start to feel depressed. I love taking this. It really does help for headache pain, and mood. I got this for depression. Because i do suffer from depression and anxiety a lot. It seems to help with the depression but not anxiety. If anything it makes me more happier. More calmer and more relaxed. I have gotten dependent on this drug for my mood. It doesn't make me sleepy at all. My body has gotten use to taking it. I don't see myself getting off of this. I enjoy being relaxed and feeling calm.""",0.294444444444,Gabapentin,0
Insomnia,10.0,"""I take either 1 gabapentin and 2 zzzquil or 2 gabapentin and 1 zzzquil and I sleep like a baby all night! I normally fall asleep relatively quickly and wake up around 2 or 3am with terrible back pain and am practically up the rest of the night. Ever since this combo I have finally found rest! The 2 on their own did nothing for me just fyi""",0.0138888888889,Gabapentin,0
Bipolar Disorder,10.0,"""I am 25. I have been taking gabapentin sense I was 17. I must say that I can't live without it. It makes me feel ""my normal"". Anyway, it calms my nerves - but not like a volume ...it makes me feel really good. I feel like I can do and achieve just about anything! I wouldn't want to be without it. I am prescribed 800 mg gabapentin. I take 1600 mg when I get up in the morning.  Gabapentin changed me..personally..for the better. I love my medicine!""",0.457272727273,Gabapentin,0
Fibromyalgia,10.0,"""I was diagnosed with Fibromyalgia in 2006 and have been on a very, very low dosage of Gabapentin 300mg at bedtime ever since. My Fibromyalgia is manageable and I have no side effects from the medicine. I lead a very busy life.
I am an Executive Assistant in a fast-paced organization, and a very involved grandmother to 3. Rarely, I will have a flare that is triggered by extreme stress and I will have a day in bed, but most days I am putting in 12 hr days at work. And weekends I am busy with family, so I feel Gabapentin saved my life! It was a miracle from the first few weeks of taking it.""",0.131111111111,Gabapentin,0
Pain,10.0,"""It took a good few years of chronic lower back pain to finally find out I've a dislocated coccyx, I've tried everything from cortisone injections to minor surgical procedures, nothing helped. My GP prescribed gabapentin 300mg 3 times a day, 12 weeks ago with immediate relief. I've had my dose slowly increased and am now on 900mg 3 times a day. I'm waiting for a big operation now to remove the coccyx so until then these are managing my pain. I've even stopped taking tramadol as these gabapentin were so effective!""",0.1125,Gabapentin,0
Insomnia,10.0,"""I was prescribed Gabapentin for anxiety and insomnia. I was diagnosed with severe obstructive sleep apnea and had a tough time getting used to my CPAP and didn't sleep for several nights in a row. The first night I took the Gabapentin I slept! And I've slept every night since then. I take 800 mgs during the day and 800 mgs at night for 1600 total. I sleep between 7 and 9 hours every night now. My neurologist also told me that Gabapentin increases slow wave sleep. Before my CPAP (and the Gabapentin) I was getting no N3 slow wave sleep at all. So this drug is amazing for sleep, for me at least.""",-0.0470486111111,Gabapentin,0
Pain,10.0,"""I have been taking 16 years. I take 800 mg 4 times a day. The meds work Great. I am able to do most things. I am 52 and have had 7 hip replacements. About two years ago I started having tooth problems. I discovered major gum recession. Yesterday I had my first round of skin graphs. The doctor knew it was from Neurotin. He has had several patients having taken as little as  2 months to me 16 years. The doctor originally thought I needed 3 grafts. I only had enough to graph two. Three months from today I have to do two more grafts. Had I known this I would of never taken Neurotin.""",0.216666666667,Gabapentin,0
