Condition,Rating,Review
Burning Mouth Syndrome,10,"""After suffering with burning mouth syndrome for over a year, my doctor said that he had had good luck with one other patient using orally disintegrating clonazepam. I quickly got his Rx for it. It dissolves easily on my tongue (no bad taste) and I take it twice a day, 12 hours apart. After about 10 days I can say than I am ecstatic that my burning mouth syndrome seems to have disappeared. I have a little left over mouth pain but that I can attribute to my upper denture. I don't know if this will work for everyone, but I certainly think it's worth a try if you can tolerate it. My only side effects were a little dizziness for a couple of days (didn't drive), then daytime drowsiness. I don't work, so this posed no problem for me. hurray!"""
Anxiety,10,"""I was an iv meth user for 6 months and I'm really proud to say I'm clean since march 05/16. I went one month detox until I couldn't handle the racing thoughts and tense-ness through my whole body. Finally I go to a doctor and Valium fixed me up for one month then weaned of that. Still experiencing some same symptoms so he tried propranolol. Which helped take the edge off but hardly so I switched  to Zoloft which was hard! But much better thoughts. Still tense still freeze up in situations still worry about an minor inconvenience I would cry and think about death just death in general my brain would stick to one thing and float around everything else. Until I got clonazapam. I can think things through, keep calm when pressured, and live!"""
Insomnia,2.0,"""I took this medication for insomnia and towards the end of my manic episode my brain was gone when I was really logical and smart and insightful during my episode the nurses and resident thought and didn't even think I had a mental illness and thought it was only my personality (I have schizoaffective disorder bipolar type) but by the end of my recovery and after the high doses of clonazepam and only being on it for 2 months I was already doing stupid stuff I wouldn't ever do and even called my cousin my other cousin's name on thanksgiving when I greeted him and I've never been this stupid in my life."""
Benzodiazepine Withdrawal,1.0,"""benzos will burn your nervous system and neural circuits, dont be stupid this drug is just a mask to the problem, once you get off it. if you have a panic disorder, your panic attacks will explode during the withdrawal, if you find hope in this drug, I seriously recommend you rethink your life decisions before taking it any further, I had bad experience, it took only 1 benzo for me to realize this isnt the cure. To those people suffering panic attacks, you have to conquer it naturally and with SSRI meds, I wouldn't take the time to come here and write this if I didnt want to help anyone, benzos are like any other illicit drug, they blind you and make you think you just took 5 steps forward, when you come off it you are 100 steps back.GL"""
Anxiety,10,"""I've had severe anxiety for as long as I can  remember...clonazepam has actually helped in so many ways I would recommend it if your anxiety is really bad. The cons though it makes you sleepy """
Insomnia,,"""Don't know as yet because am just about to go on to it...Sounds really intriging!! 

 i say with abated breath as I'm plum-tuckered colloquial for absolutely pooped.. That means in slang that I am
really tired and out of sorts...In other words up the pole...Absolutely all-in..
Good morning am soon going to have
a nap on the office floor...10.04a.m
GMT Grantham mean time!!!??"""
Insomnia,1.0,"""I don't understand why there are so many high (8-10) ratings for this drug.
After reading so many who experienced negative effects, yet they gave a high rating.
My first night taking my 1mg. prescription, I woke up thirsty and spilled water all over myself. Not a big deal. A while later, I rolled out of bed onto a bedside table and bruised myself badly. I had never before fallen out of bed. After the first night, I slept well and continued using it with no noticeable side effects.
After using up my 3 months prescription, I was told that I needed to go to my doctor's office for paper prescription. I'm 68 years old, disabled and live 16 miles from my doctor's office.
I am now suffering with horrible withdrawal symptoms!"""
Anxiety,7.0,"""I was prescribed .5mg to be taken 2 times daily for anxiety. At first I would only take a single .5mg dose every once in a while if I had an anxiety issue, which seemed to help a bit. Well, last week I was anxious most of the week so I decided to take a single, .5mg dose once a day for 4 days straight. Boy was that a bad idea!!! 2 days after stopping, my anxiety symptoms skyrocketed multiple times worse than before I even started the medicine. I had severe withdrawal symptoms for over a week after and didn't know a dependence could be gained in such a short period of time. My psychiatrist even said it was nearly impossible for that short a period at that dose. I won't continue this medication. Beware!"""
Anxiety,3.0,"""I take .5 klonopin and i still get really bad anxiety on it. I tried telling my psych about it but she said it was okay. Personally, I dont think it works and im 122lb."""
,10,"""I have been on this med when I was diagnosed with UC in 2007. Due to the nature of my job and the stress. I only take when needed, have gone over a month when it wasn't needed. Also, anyone who has WD from this med must be on a large dose. I personally never experienced any problems when off it. It's a miracle pill for me. Every six months I see my gastroenterologist and stay on top of all info on the medication. It's a blessing."""
Insomnia,1.0,"""This medicine has destroyed my life. Yes it works well and yes I was able to sleep but tolerance build up quickly you need to keep increasing your dose. It might not increase and everyone but it did for me. It also ended up causing a major depression from use which I cannot get out of. I also went through the worst withdrawal trying to get off of this and I am still unable to sleep since using it. I think it affected my brain's chemistry. I literally only sleep 5 to 6 hours a week since quitting. I know the Temptation could be great to start it because as I said it works for insomnia and anxiety but be warned it is nearly impossible to get out of your life. I'm currently on family medical leave from work trying to get my life back together"""
Anxiety,5.0,"""Stay away from this nightmare drug it can in most likely cause depression and more it's dangerous i had withdrawals for months horrible......."""
Burning Mouth Syndrome,1.0,"""I have tried clonazepam and had no luck. I have had BMS for over 3 years now and absolutely nothing has helped agonizing pain. Have been to both Mayo Clinic and Johns Hopkins. Mayo recommended the dissolving clonazepam but even after telling them muiltiplte times during my interview that I could not tolerate any kind of sweetner, they gave me tablet with aspertine in it!  Have also tried just regular clonazepam left in my mouth for 3 minutes and then spit but no help either. Have tried all other remedies and meds to no avail. Take 1 mg xanax 3 x day to help manage anxiety from overwhelming pain."""
Panic Disorder,8.0,"""For generalized anxiety, this medication is probably the best or second best out there for it. It helps tremendously with general anxiety. When it comes to panic disorder, I would say it has its pros and cons but overall is good. If you only take Clonazepam for panic attacks, and that's the only time you take it, it should be great. (And was for me!) If you take it daily to prevent panic attacks, I think it also works great. But if you take it daily to prevent but end up still getting one, it doesn't help too much. But it's one of the better benzos to take as a regimen (though there is no* such thing as a good regimen) but it has its peak effect at around 2-3 hours and can last long, making it a great reliever for many! It's helped me!"""
Anxiety,8.0,"""Helps me live a normal life even tho I have Agoraphobia. This medicine kicks my panic disorder in the butt and keeps in down ALL DAY! Unlike Xanax that wears off in 4 hours and leaves you shaking. Also helps me through these uncomfortable Xanax withdrawals. I do feel like I need a stronger dose. I'm 145lbs and physically fit, I take .5mg and I don't feel high or drunk, just normally calm. I haven't tried doing anything outstanding on this drug yet. Maybe with more CBT I'll make more strides on this drug."""
Anxiety,10,"""I have used Klonopin over the years for anxiety and I've been looking in the internet saying it's so hard to get off of I've never had a problem I used to take 3 milligrams a day on and off for years and then when I quit I just quit I've never had a problem I don't understand where the problem lies with this drug because I've never had a problem coming off has anybody else had problems"""
Insomnia,1.0,"""Medicine good.too much sleep. how do you stop sleeping"""
Anxiety,9.0,"""Very useful medicine.  Could finally sleep while on it and wasnt nearly as anxious as usual.  No side effects so far."""
Restless Legs Syndrome,8.0,"""Anyone taking clonazapam, PLEASE take note.  Took it for RLS and I loved it, got great sleep with no apparent side affects. Thought this was the answer until dosage had to be increased to be effective. Been on 1.5 mg for seven years and when it stopped working, I then learned the hard way you must wean off very slowly and the detoxing is horrible! This is what no one tells you! Had I known it would be like this, I'd NEVER have gone on it...and I do understand the trials of RLS! Nothing is worth this! Look up side affects of stopping clonazapam and how long it takes to detox, you'll be shocked...I was. Felt like I was going to die (and the really bad stuff doesn't start until 3d or 4th day being off..., look out)! Please be informed!"""
Anxiety,,"""I've been dealing with Anxiety for about five years it really started , in my late 20s I'm 32 now I've been on Zoloft and Xanax and to me I didn't feel that it was working for me I was still having attacks and no matter what I did I couldn't no longer control it , I went to my Dr and was diagnosed with Agnorphobia and I was surprised because at the time I felt like I was outgoing I had no problem with crowds lived going out and such ,I couldn't even enjoy a simple walk in the park , I felt like my life was changing and I was becoming this person I'm not but in the same sense losing a bit of myself , so I didn't talk to nobody . I felt no one would understand.Little by little I'm starting to get my life back. This works trust me . It's be ok"""
Anxiety,8.0,"""I"""
Benzodiazepine Withdrawal,1.0,"""STAY AWAY FROM THIS DRUG!!!!! Everyone ranking this at a ""10"" now, will regret it later!!!! Please avoid all Benzo's!! Especially this one!!! It wears off eventually and you'll have to keep going up in milligrams and the next thing you know, TOLERANCE WITHDRAWAL SETS IN!! You'll have no choice but to stop taking it and the withdrawal symptoms are hell on earth if not tapered off slooooooooooooooowly. And, even done that way isn't a walk in the park. Again, please avoid all Benzo's. Especially this one!!!! Goggle the withdrawal facts and people's stories on this pill....."""
Panic Disorder,9.0,"""About 3 months ago my anxiety got out of hand. I'm constantly obsessing something is wrong with my health. Brain tumors because I'm dizzy and lightheaded a lot, cancer because family members& a high school friend just got diagnosed, to heart problems. I'm 22 and know it's not healthy to obsess over this crap.. but I can't stop it. Tried new SSRIs. Haven't found one that's side effects are livable. I take klonopin as needed when I'm feeling bad and it instantly helps. Still have some anxiety but it chills me out to where I feel I don't need to go to the hospital. Very helpful. I was directed to take .25 MG twice a day but figured I'd only take it as needed so I don't get dependant to it. Hoping to find a new SSRI to nip this in the bud."""
Anxiety,10,"""Have been prescribed a plethora of anti-depressants and non-benzodiazepine anti-anxiety meds; all accompanied by horrendous, long lasting side effects. Had a bad experience with a psychiatrist & also held a negative attitude toward being dependent on medication, therefore decided to be anti-medicated for several (miserable) years.
Eventually came to terms with the fact that I can not properly function in society without medication. It took awhile, but I have finally found a great combination of meds, including .5 mg of Clonazepam. Anxiety is better managed. Happy to no longer be missing out because of anxiety. Would recommend a low dose (prescribed by a doctor, of course) to someone that has tried multiple anxiety medications with no avail."""
Anxiety,,"""My best friend was taking this medication for many years.  He committed suicide in September.  A few months before he told me that the the drug wasn't working and that it was a different manufacturer.  He said he had been trying to get off it but was unable to.  He was under a psychiatrist's care.  I'm not sure of the entire story, only what he told me.  However, he started to withdraw from all his friends and let his work slide.  The last time I saw him he looked terrible, shakes, sweaty, awful.  That was months before he died.  He was 57 and had been taking the drug for decades.  All I can say is it sounds like a dangerous drug for some people.  I am saddened by his passing and wish there was something we could have done to help him."""
Panic Disorder,9.0,"""I don't give this medicine a 10 because it's too good and you really forget that you can do things on your own. What I'm trying to say, it's a lifesaver when you're having a crisis, but the thing is so good you want to take it to deal with normal levels of anxiety. Anyway, impulses aside, I experienced no significant side effects. You do get a little drowsy but you won't just fall asleep if you don't want to either. I have always been anxious, had a panic attack that had me hospitalized as early as 12 years old and from then on it was on-and-off, being told not to think about it and enjoy things, it's all in my head and it made me awkward, shy and think I was a nervous wreck. This medicine let me know myself and experience a life!"""
Insomnia,10,"""I've had PTSD induced insomnia since I was 6 years old. I've tried every possible drug there is, ambien, lunesta and the like. Nothing seems to work, and my recurring dream always seems to come right back and wake me up. One time I decided to try klonopin because sleeping on a cycle of 4 days awake 5 hours asleep from 6 years old to 29 will make you try anything. First time I took it, one 2mg pill, I slept for three solid days, I've never experience sleep that deep that I can remember, but it feels like a life saver, my only way to truly sleep after feeling like the reaper was just hanging over my head waiting."""
Restless Legs Syndrome,10,"""I used to get them for restless leg sydrom.....Worked very well....Moved and new doctor wont give them out"""
Insomnia,10,"""I have had insomnia for several years, sleeping only 2-3 hours per night. I tried Clonazepam last year for a few months and didn't have much success with it, so I went back to Lunesta, which worked fairly well but left me with a dull headache every day. 
I decided to try 1mg Clonazepam again after reading that Doxepin helps it to work better - this time I take it along with 3mg of Doxepin Elixir liquid, (which is an antihistamine at low doses of 3-6mg). Now, I fall asleep within 30 minutes and sleep all night! Between 7 and 8 hours. I feel energetic and not groggy at all! I have my life back!!"""
Insomnia,10,"""Been suffering with insomnia for months! Klonopin is the only therapy thst gets me to sleep & stay asleep! Tried Ambien, Trazadone, nonr of it worked for me"""
Seizure Prevention,10,"""As soon as I feel any sort of seizure coming on, I need only take a half to a full 0.5 mg dosage. Within 20 minutes, I feel a sense of calmness overcome me...and all of the strange sensations disappearing. For me, I'll get an intense tingling all over my body, my thoughts become rapid, my hands jittery, and heart pounding (as my warning signs.) Clonazepam has the ability to literally take that away..at least for me. It does make you a bit tired, and at times forgetful. But is it not more worth it to be seizure free, and have some sense of security that you will be alright? I've been taking it for two years now, and although I am not a fan of taking medication, period...this is my one exception. I feel much safer knowing I have it on me."""
Restless Legs Syndrome,6.0,"""My RLS is inherited and turned predictably vicious by the time I reached my early 40s. It was destroying my life. 

I was put first on Clonazepam (1 mg) in 2003 and 13 years later I am now at 2 mg taken several hours before bedtime.

Some health experts describe Clonazepam as ""the most dangerous pill in America"" because once on it and once dependent you risk two things...the first is severe withdrawal symptoms beginning within three to four days of stopping. The second is even after being weaned from the drug you will likely experience the sudden onset of withdrawal symptoms weeks or even months after stopping. 

I am also on pramipexole and  Gabapentin."""
Panic Disorder,10,"""I started having panic attacks at age 26, I'm now 56. Those were the worst things a person could go thru. My first shrink in 86 put me on Haldol. Oh my God, that was horrible. I was on different medications until 1994 when I got on klonopin. That pill is a miracle drug. I don't have to take it everyday anymore but I always carry it with me in my purse just in case. I do take other meds for depression and they also help but nothing like klonopin. Because I hear it can contribute to Alzheimer's I try not to take it daily. That's all I need ontop of my other mental problems. I would advise anyone to take klonopin for major panic attacks but try not to take a lot of it for long periods. Maybe in conjunction with something else u can take less."""
Anxiety,10,"""I've suffered all my life with anxiety/panic attacks. Seems to worsen as I age. I've tried many different meds. Ssri's in particular this drug class is the only to show improvements in my condition as I have major depression as well. Clonazepam works really well for me it's like a constant flow of relief. I would recommend this. I also take Wellbutrin in combo."""
Insomnia,2.0,"""Not worting for me so far. Taking .5 as per doc & still cant sleep"""
Panic Disorder,10,"""I checked myself into a mental hospital in 2011 and was put on this three times a day. I was eventually cut down to as needed and it's still wonderful. Kpin (as I call it) curbs the panicky feelings within minutes and I sleep so well that it's sometimes hard to get out of bed in the morning! Thank you, Roche--your little yellow pill is fantastic!"""
Panic Disorder,10,"""I have always suffered from GAD for many years but as of lately & due to many stressful life situations, it's developed into a debilitating panic disorder. I can barely eat, sleep, constantly nauseous, losing weight. I have never in my life taken any type of anxiety med. I've always went the natural route - yoga, cbt, exercise, and although some of those things are helpful to others, I felt I needed something more to help me along in the process. Let me tell you that Klonopin has been an absolute savior in my life. Just after one day of taking it, my panic completely subsided within 20-30 min. I take one .5 in the am/pm along with lexapro. so far so good. As long as you are taking it as prescribed in small doses,the risk of addiction is low"""
Insomnia,10,"""Hi I'm from Philippines. i have a Insomnia for 2 months and my Doctor gave me a Rivotril ( Clonazepam) this is a true blessing for me. because i sleep better. for Now i take this when i need like have a occasion or for travel its Great Help me a LOT. also i try different Sleeping aids. Like Melatonin, Sleepasils. but did't work. Only CLONAZEPAM work Wonderfully! :)"""
Panic Disorder,9.0,"""This drug has changed my life. I have severe panic disorder and derealization. I was having debilitating panic attacks daily. I felt like I was living in hell. My new doctor decided to switch me to this after Ativan seemed to not be helping. It has helped me live a normal life for the first time in years. After the first dose I was already feeling more calm, my racing thoughts have pretty much vanished. I still feel anxiety, but I am able to shut it down very quickly before it has the chance the turn into a full blown panic attack. I am so glad to have found this drug and have it work so well for me. The only downside is that it makes you drowsy, but I feel like you get used to it over time."""
Seizure Prevention,10,"""Amazing. That's all that needs said. I take one at night which makes me tired and I have a great night sleep and wake up feeling brilliant. I feel as though I'm 'cured'. Recommend to anyone. Especially myoclonic and absence seizures."""
Anxiety,10,"""I have tried every medication under the sun for anxiety! I was born anxious I have always said. My doctor put me on Klonopin as more of a long term anxiety medication in her mind. It was such a miracle for me. I was prescribed 1mg x 2 at night, if needed for anxiety and Insomnia, at the time of my divorce. I found I was able to wake up the next day without feeling groggy if I had taken it the night before. When the panic and anxiety set in, it allowed me to calm down and get through the hardest moments. I only take it once in a while these days, but it truly helped me."""
,10,"""Several years ago my life long difficulties with startles escalated to classic hyperekplexia.  After some research, my suggestions to both a geriatric psychiatrist and movement disorder specialist agreed to try Klonopin ... .5 mg twice/day.  Worked fine to decrease intensity and frequency of ""attacks.""  I also have dystonia and as the cervical ""storms"" increased, they increased Klonopin to .5 three times a day.  Helped some but does not extinguish the disorders ... nothing will.  One just has to avoid the ""triggers,"" if possible."""
Anxiety,10,"""I'm suffering from OCD and anxiety disorders for the last 22 years.
This pill is the only one who helps.
Only 0.5 mg and you immediately feel the difference."""
Anxiety,3.0,"""My boyfriend began taking this drug to lessen his anxiety and alcohol intake. Initially I was very excited to see what it would do for him, unfortunately the results were not too pleasing. Beforehand we enjoyed the little things in life and going on random excursions. Now he has become a complete zombie!! He specifically requested very low doses (.25 mg) and in a short period of time, he has completely altered his state of being. He's tired very often and gets very irritable or annoyed being in public without him. Much less spontaneous and fun filled as before and has caused way more relational issues. Definitely would not recommend this drug unless you're prepared for the crap loads of negative social and interpersonal effects!"""
