Condition,Rating,Review
Fibromyalgia,10,"""This is my first ever review on this site, but felt it was necessary. I have Crohn's disease, fibromyalgia and rheumatoid arthritis, and I am only 21 years old. I have been on Lyrica for about 2 months, best 2 months of my life. I have tried every medicine you could think of, minus pain killers. I am no longer constantly fatigued, anxiety, paranoia, pain levels drastically dropped, for the first time in my life I actually have thoughts racing through my brain, not one single panic attack, list goes on. I know a lot of people want to hear this, I have LOST weight like crazy, and have same sex drive. Try this before ANY antidepressant. Talking is sometimes harder for me, small price to pay though. I couldn't be happier with my life."""
Fibromyalgia,10,"""Several years ago I was thrown from a car and hit by a car and have had problems ever since and had xrays and ""Congrates your back isn't broken"" but I don't know what it is. For 6 years, everyday I would have to lay in the tub and the shower hit my back or lay on a heating pad and even at night just to fall asleep I use sleep aids and constant showers or heating pads to get the muscles to stop hurting and spasms and then I couldn't take it anymore. The muscle relaxers wouldn't work and my back and neck were burning and stiff and spasms all day and night and I couldn't sleep and went desperately to a my new doctor that I was seeing and got his associate. He saw me and recognized the fibromyalgia and placed me on Lyrica. I'm a true 26 year old again."""
Fibromyalgia,10,"""I couldn't remember the last time I had a ""good"" day since diagnosed having Fibromyalgia until 2010, when I was first told about Lyrica by an emergency doctor. The symptoms & pain had got so bad that I drove myself to a Baylor emergency room. Physically and mentally I just felt defeated. I was so stressed out that I developed an ulcer and my potassium/magnesium levels were so low they admitted me several times for as long as a week on time. Bags of blood had to be given and IV fluids. Ugh..I was a hot mess. I don't recall the doctor that introduced me to Lyrica, cause I was in and out a few times, but all I can say is a BIG thank-you. I've been on Lyrica 300mg a day since 2010. I can get what I need done and function like a normal woman."""
Diabetic Peripheral Neuropathy,10,"""I was have burning pain to my feet, with sharp shooting pains from my toes.  Lyrica has completly stopped both kinds of pain.  It has also helped with the shart shooting pains in my fingers - arthritis related."""
Fibromyalgia,10,"""I have tried everything to help with my fibromyalgia pain.  I have tried Cymbalta and other anti-depressants as well as opiates like Tylenol with codeine and Vicodin. I have also tried muscle relaxants like Soma. All of these helped but I still had painful days. Lyrica gets rid of the pain. I have been on it for 2 months and it is a miracle drug. I have my life back and can be productive. Also controls painful flares. Haven't had a flare yet. Lyrica is great."""
Fibromyalgia,10,"""This medicine works miracles when I need it."""
Neuropathic Pain,10,"""10 out of 10 ,Lyrics """
Fibromyalgia,10,"""Lyrica really helps but the cost is almost getting to be too much. """
Neuralgia,10,"""Besides reducing the nerve pain from bulging discs, it also noticeably reduced the constant, annoying ringing in my ears."""
Generalized Anxiety Disorder,10,"""I have taken tranquilizers for years to help with the anxiety I get from Obsessive Compulsive Disorder. They have only helped moderately and made me drowsy (not good for driving). My doctor suggested that I try Lyrica. It helped me in ways that I couldn't even hope for. It let me be able to say that I don't have ANY anxiety. That is HUGE!"""
Neuralgia,10,"""I have suffered extreme damage to my trigeminal nerve on the left side of my face due to dental implants. I since had three teeth pulled and one implant taken out. My life was full of unbearable pain and suffering. After 17 doctors/dentists, I finally went to an neurologist who put me on Lyrica. After fighting with my insurance company for two weeks I  was approved.  Within one week I have minimal pain! It is a miracle for me. I take 25mg three times a day. Love it! Thank you!"""
Fibromyalgia,10,"""Lyrica Pregabalin has changed my life, not a cure, I still have bad days but most of the time I am back to my old self again!"""
Generalized Anxiety Disorder,10,"""I've been on this medication for 6 months! After spending years with chronic anxiety and severe depression leading to several hospital admissions and long periods of time of not wanting to go out or do anything. Over my near on 20 years of suffering and it really has impacted on my life and those I love. After years of being a long term sufferer I know there are triggers but I've never been able to control the symptoms that over took me even though I've tried to fight it and fight hard. I'm pleased to say that pregablin has really helped me, not with depression but definitely with anxiety! I had a bad experience which left me unable to breathe stand for 3 days until I went to hospital I was prescribed these meds and I was functioning again!"""
Generalized Anxiety Disorder,10,"""Lyrica is my miracle drug!!! I'm suffering from clinical depression with GAD since 8 years. I tried dozens of drugs (SSRIs, SNRIs, Trizyclides, Agomelatonin, Stablon, moclobemid, methylphenidat, Ketamine infusions, every aminoacid, every vitamin, daily sport, had more than 20 ECT treatments...).
My doc gave me Lyrica. I took 50mg in the evening and the next morning I was a new human. Felt like myself again, was able to participate in life. Thank you God! Thank you science!"""
Generalized Anxiety Disorder,10,"""I have suffered from panic disorder and GAD for well over 10 years, starting in my early 20s. I finally sought treatment 3 years ago, but nothing helped. CBT, 40mg Citalopram, nothing.

I then discovered pregabalin on this website. It was a struggle to get it prescribed on the NHS in the UK, but I'm so glad I persevered. This medicine is nothing short of a miracle. Within 24 hours I was a new person. I've only been taking it a week, but now I feel light and happy, and the anxiety has just faded away. I don't need alcohol any more. In fact, the thought of drinking now makes me feel ill. 

If you have GAD - please try this. I'm only on 75mg twice a day as well."""
Fibromyalgia,10,"""I was diagnosed with Fibromyalgia about 18 years ago. I stopped working a few years after due to the pain. I tried many medications so I could have some quality of life with my husband and 2 children. I spent most of my time in bed or on the couch because the pain was so debilitating. I was taking Ultram and Zanex but these just didn't take away the pain and then my doctor started me on Lyrica. I started feeling like a new person because slowly the pain started to decrease. The only side effect which could also be part of Fibromyalgia is with speech. I have trouble sometimes finding the words I want to say. I now take 75 mg 3 times per day and have been taking it for over 10 years. I'm so grateful to have my life back."""
Neuropathic Pain,10,"""Hello! I have severe Neuropathic pain from spinal injuries. I had a spinal block that worked for a while, but it didn't take care of all the pain. My life was pretty limited as to what I could do, which was pretty much sitting in a chair at the computer or watching tv. My love for the outdoors was pretty much squashed since it requires bending over, which I can't do, due to the rods and screws in my back. I have only taken this medicine for two days, and I have already have noticed a huge difference. I am actually able to move around more. I also have osteoarthritis, and my joints were hurting. Not anymore. This stuff is amazing. The only drawback is the cost. I have to take it three times a day, and it's really expensive."""
Pain,10,"""For the past 3 years I have been dealing with nerve pain left from shingles in my neck. I have tried EVERYTHING for this pain including injections and narcotics. Nothing really helped unless I was a zombie. I am allergic to a lot of medications including Tegretol and Neurontin. So when my neurologist suggested I try this medication I was VERY skeptical. I have been on this medicaton for a week now. I started on 25mg twice a day and felt some relief. I thought it was in my head. Now I am on 50mg twice a day and I can't believe the difference. I am relieved I can finally get my life back. I am a mother of 2. I did not realize how much the pain had taken over my life until now."""
Generalized Anxiety Disorder,10,"""Day 2 and feeling really calm... feel quite dizzy but can cope with that also take 10mg escitalopram which I felt increased my anxiety but these tabs I think even it out... may not even need esc anymore with these tabs can't believe I've never been given before after years of suffering"""
Diabetic Peripheral Neuropathy,10,"""This works within 30 mins. After the first pill my legs stopped burning and tingling one of the only medicines I ever found that worked so fast."""
Generalized Anxiety Disorder,10,"""I'm 20 year's old & was addicted to cannabis (2-3g daily) for roughly 5 years unknowingly medicating GAD.. which eventually resulted in More anxiety leading to cross addiction into alcohol, (lot's of) mephedrone, cocaine and more.. yet again this resulted in even more anxiety & treatment centres.. after countless lapses I sought help from my local GP, they prescribed me 600mg of Pregabalin daily & I can honestly say this drug is better than any illegal or legal drug available in treating anxiety in any form. This drug is not side-effect free - but compared to the others out there (Including anti-depressants) it's Definitely the best option. After the initial euphoria wains it stabilizes however, so don't give up after the first effects go."""
Fibromyalgia,10,"""I found this to be very effective in treating the after effects of double fusion of cervical vertebrae.  Then I found I was having less difficulty with fibromyalgia.  I was on 3 a day and only side effect was weight gain."""
Pain,10,"""I have a pinched sciatic nerve in my lower back due to a compression fracture, and also severe nerve damage in my left arm. After being on different narcotics that didn't work, I gave up and just lived with the aching in my arm that never stopped. My Doctor put me on Lyrica, and I swear, I started crying because I had NO pain in my arm for the first time since my accident: 5 years. Lyrica has been a God send for me. It helps both my back and my arm. When my Doctor increases the dose, the side effects go away after 2 weeks. I recommend this medicine to anybody with nerve damage."""
Generalized Anxiety Disorder,10,"""Have been rock bottom down by the river, then re-started Pregabalin. IT IS AMAZING. It only took about 24 hours to notice the difference, and wow. A week later and I am nearly 100%. I knew I was anxious not depressed! It should be prescribed as a first-line choice. Previously on it for 3 yrs. I am a 59yr old housewife."""
Fibromyalgia,10,"""I call it a miracle drug like most others who have shared their comments. I have been taking it now for 7 months, currently 450mg a day (for treatment of fibromyalgia). I gained about 20 pounds within 2 months which I desperately needed to do. Overall, I have a better life now thanks to Lyrica. Nothing that I have been prescribed in the last 14 years has even came close to treating my condition."""
Neuropathic Pain,10,"""I've read many opinions on this site most being negative towards this amazing medication. I have suffered from a trapped nerve near my waistband ( hip) and nothing I took or did could stop the pain / burning / tingling numbness from my hip to my knee cap. I declined surgery to remove the nerve and was placed finally on lyrica. I hesitated for 2 months before finally giving in to the medication because of all the negative reviews you read online.First two days i was on lyrica I had a small headache and dry mouth that is about it. after a week the dry mouth went away and I was left virtually pain free within 2 weeks. DON'T read into everything and hesitate to take thismedication.I have not gained a single pound and im pain free. im on 3 x 50mg"""
Pain,10,"""Ii have no more pain. It helps so much. I would tell everyone to use it."""
Neuropathic Pain,10,"""I was having terrible pain with sciatica.  At times I was in so much pain just walking in a shopping centre I just had to stop.   Also driving the car my leg was in so much pain I had to lift it up with my hand to ease the pain.  No medication I had taken stopped the pain which was unbearable and I couldn't sleep at night, My Doctor prescribed Lyrica and at first I did not like it because it made my feet puffy however I went back on it with the prescribed dose of 150mg twice a day.  Now I have to try to recall the pain because I have no sciatic pain at all with this drug.   It also had the side effect of making me a bit ""dreamy"" which I rather like but I do forget names and things I am saying which I do not like.  Can't have it all though!"""
Generalized Anxiety Disorder,10,"""I was experiencing nerve pain from hernia and knee operations, being a single parent and running a business a while back had me run off my feet and feeling nerve pain running up the bottom of my feet and through my knee joints into the groin, Lyrica has so far taken most of that pain away.
What I didn't realise was it also helps with anxiety and depression, after 3 weeks I noticed a calmness I thought I could never achieve, did some googling on the benefits of Lyrica last night and was amazed at everyone's experience on Lyrica.
This is great stuff, would recommend it highly, thank you Lyrica, back to fun time with the kids again."""
Diabetic Peripheral Neuropathy,10,"""I love this medication!!! With out lyrica i would not be able to walk.Nerve damage from diabetes has taken its toll on my nerves in my feet and legs.
My new insurance company is denying my coverage for lyrica.But my drs are trying to keep   me on lyrica because i have been i it for so long.Shame on insurance companies who r just trying to save a buck!!! Not fair"""
Pain,10,"""I have a bad lumbar disc L5-S1 in my low back which needs to be removed. I'm taking Lycria because it helps keep the pain from going down my leg. Lyrica works great. If it wasn't for Lyrica I wouldn't be walking."""
,10,"""I am a 39 year old male and sustained a fall back in October shattering both heels and ankles and have been diagnosed with RSD (Reflex Sympathetic Dystrophy)and my pain management doctor prescribed Lyrica 300mg twice a day for the burning and pain. I have had 4 epidurals and 1 nerve block and have found that the lyrica works best for me and it works well with the other medicines I take on a daily basis. I have been taking for almost a year now and I have not had any side effects!"""
Generalized Anxiety Disorder,10,"""Amazing. Stable on 450mg for a few months. Brought back colour into my life."""
Generalized Anxiety Disorder,10,"""This medicine works fast and hard for anxiety. It will stop anxiety dead in it's tracks. I highly recommend Lyrica for anxiety. The only side effect has been some sleepiness, but I'll take it considering the anxiety relief being provided by Lyrica."""
Neuropathic Pain,10,"""This medicine does seem to help quite a bit with nerve pain. I do tend to have a easily over sensitive nervous system.  Lyrica makes me feel a lot better at night time so I can sleep. I take MS-Contin in the day and Lyrica at night.  My life would be a lot less stable without Lyrica. I believe the best way I can describe what it does is slow down the pain signals so they are not as noticeable. """
Generalized Anxiety Disorder,10,"""Man, 47 years old. Been struggling with depression my whole life. Tried all the antidepressants in the market. The one that seems to relieve my black cloud to a certain point was Lexapro. Started taking Lyrica 150 once a day, a couple of years ago, because some research I did on my own. Even though it's side effects (weight gain) it is fair to say that this is my godsend drug. In the mean time I am having a reversal of fortune (so to speak) and taking Pregabalin is really helping me to cope with life. Side note: All SSRI antidepressants made more harm than good, cause I felt like I do not care for anything and just want to lie I'm the couch and watch TV or see the clouds just passing by. Hope this drug helps you."""
Neuropathic Pain,10,"""I have had neuropathic spine pain  since 1984. I have triple S curve; had 6 spine surgeries, and have implanted pain relief system for low back pain. Nothing worked, opioids almost led to death.  2 months ago begam Lyrica (100mg, 3x/day). At beginning: brain felt ""foggy""; walking unstable; total urinary incontinence (some bowel incontinence). To say I was shocked at how the Lyrica relieved my spine pain is an undersatement! I read all the horror stories, but decided to give it time. This is the first time since the early eighties I have had NO pain! The side effects are gone."""
Generalized Anxiety Disorder,10,"""I have suffered with severe anxiety and depression for years. I tried 6 different antidepressants as well as benzodiazepines and all did nothing for me of any help. Eventually I was put on Pregabalin by a Psychiatrist and it was very helpful almost from day one. We increased my dose until I take the maximum of 300mg twice a day. At this dose my anxiety has been pretty much eliminated, I am happy and now an active person. However a word of warning to anybody taking this medicine for a long time: DO NOT allow yourself to suddenly withdraw from it. I recently had to go a week without it and it was a living hell for me. Withdrawal symptoms for me were as follows: severe anxiety and depression, suicidal ideation, inability to sleep, nausea and vomiting"""
Fibromyalgia,10,"""It helps with my seizures as well as my fibromyalgia so I've always been really happy with my Lyrica. I've been on it for years now."""
Fibromyalgia,10,"""I started with the trial way back in 05/06 and what a difference it made in my life. I lived with that muscle pain for 45 years and tried numerous medications with no lasting relief. When I seen the ad for the trial with  a Dr  I had nothing to lose but 9 different kinds of drugs and their side affects. Although I was at the top of the dosage after 18 months I was pain free for the first time in over ten years with no side affects. Even though we have added low dosage pain medications back in over the years, mainly during the winter, I'm still at a tolerable level with Lyrica. I have recommended this medication to people with explainable nerve pain many times."""
Generalized Anxiety Disorder,10,"""My Anxiety had crippled me to a state which my life could no longer function. The first few days on Lyrica I noted a sense of euphoria and confusion but by the 4th day I found myself able to think about  trigger points for my anxiety and was almost in awe of how it didn't raise its head. It seemed like anxiety had left my body, to the point where I had to look in a mirror and say ""why did you care about all that so much?"" Almost in disbelief of my previous behaviour, not being able to connect with those feelings or attitudes became freeing. lyrica gave me my life back it seems. Importantly, I'm still me. Friends and family all commented how much better I am without losing personality which i believe is one of the best qualities of the drug."""
Neuropathic Pain,10,"""If you are debating on whether to take this, please don't hesitate. I was in car accident Dec 2012 and have whiplash/cervical strain. Injured my neck and shoulder. I was in pain for the past 9 months and no doctor would prescribe me narcotics due to Ohio law. I was miserable, crying, irritable and nothing I took (IB, Tylenol) wouldn't touch the pain. I got a prescription for Gabapentin, which I am allergic to BAD side effects. Finally the doc gave me Lyrica, within 15 min of taking pain GONE. I feel like I'm back to normal again (like the day before accident). Lyrica is a miracle although pricey. There is a program you can get through Lyrica website to qualify for free prescription. Try it."""
Generalized Anxiety Disorder,10,"""Pregabalin is great. Got it for damaged nerve pain but was blown away by its other effects. Suffered from depression and anxiety for all my life. I am 41 within 3 days of taking this medicine it lifted all those years of misery away. It was like it melted away layers and layers of dark misery. Honestly pregabalin at a dose of 200mg 3 times a day is great."""
Generalized Anxiety Disorder,10,"""I was given Lyrica for Anxiety due to Alcohol Withdrals, not only did it work great on the anxiety but it ceased my cravings, now I am living the sober life."""
Generalized Anxiety Disorder,10,"""My psychiatrist put me on 200 mg capsules 3 x a day (600 mg daily) and it's effective for treating anxiety. I've been on lorazepam, alprazolam, and clonazepam and all 3 became ineffective after 6 months to 1 year and were extremely difficult to get off of. I don't notice any tolerance issues with pregabalin either. I've been on the same dose for about 2 years. Better than any of the benzodiazepines and other medications I've tried for anxiety. Only side effects I've noticed are calmness, sedation, and increased appetite but exercise and healthy eating take care of any weight gain."""
Neuropathic Pain,10,"""I suffered severe sciatica for two years before my doctor prescribed Lyrica. After a few days of building up in my system, the medication completely killed all of the pain, numbness, and tingling in my right leg. It was so effective, I thought I was suddenly cured! I stopped taking the Lyrica and the symptoms returned after a couple of days. I have now been taking Lyrica for two years and swear it is the best solution available for my bulging disk problem."""
Neuropathic Pain,10,"""I am 36 years old and had a lot of chemotherapy.  Now I have extremely bad electrical pain in my feet mostly at night but during the day too. Was taking gabapentin but I got really sick not sure if it was because of that but my doctor took me off it and put me on Lyrica 50 mg 2xday but I only take one at night because it makes me dizzy. The one at night works great. The pain before was so bad that I was starting to not be able to drive but now I am fine."""
Generalized Anxiety Disorder,10,"""Great medicine that gives a benzodiazepine effect for anxiety, but without the bad side effects such as memory loss or addiction. You cam't stop taking pregabalin cold turkey however because there are some withdrawal effects such as increased anxiety, insomnia, and depression in my experience."""
Migraine Prevention,10,"""I was on Lyrica 50- 75 mg 2- 3x/ day for fibromyalgia for over a year. Incidentally I didn't have any migraines while on it. I stopped Lyrica 7 months ago and have had migraines monthly since!"""
Neuropathic Pain,10,"""I have a lot of nerve damage, pinched nerves, sciatic nerve damage, restless leg syndrome from head to toe, and nothing worked for these. The nerve damage got so bad, I spoke to my doctor about it and he prescribed Lyrica which took care of all the nerve damage. At first probably the first 2 months only side effect I had was a little swelling of my hands. Lyrica was a wonder miracle for me.  The doctor had me on it for over 3 years with no problems, then my insurance refuses to pay for it now, because a 30 day supply is $900.00. They wanted to give me Neurontin, which I am allergic too. Now all the nerve pain is back and worse. I want the Lyrica back and would recommend it to any one."""
Generalized Anxiety Disorder,10,"""An amazing experience, I feel I came out of prison. I am a new man. """
Pain,10,"""I have suffered severe pain for 20 years following a  motorcycle accident. During this time I have tried every sort of pain relief available to me, mainly narcotic drugs which I found as bad as the pain itself. Earlier this year I was prescribed Lyrica as far as pain relief goes...fantastic. After a few months (1x 75mg cap per day) I experienced total confusion and was unable to perform my daily tasks at work or at home. I was becoming agitated and experienced suicidal thoughts. Things returned to normal after a week or so of not taking Lyrica. Because it worked so well I am tempted to give it another go. It was just so good to not feel the pain anymore."""
Diabetic Peripheral Neuropathy,10,"""I have been taking Lyrica for the last three years and I don't know how I would live without it. In 2012, I was involved in a serious accident, sustaining an incomplete spinal cord injury, as well as severe injuries to my lower limbs. The pain is not as bad as it was in the beginning, but I am in constant pain and, according to my pain management and spinal and lower limb reconstruction consultants, this will probably always be the case. Initially I thought if I found the right combination of medications I could stop it and so I tried all of the other drugs prescribed for neuropathy, as well as some more experimental ones. Without Lyric I spent a lot of time crying and ended up in hospital a few times because the pain was so bad."""
Generalized Anxiety Disorder,10,"""I take another medication for my anxiety but after consultation with my psychiatrist I use Pregbalin for panic attacks. When I feel an attack coming I  take  75mg  then and again at bedtime. I don't, of course have panic attacks all the time so I'm not using them regularly.I took it a few years ago for anxiety for about 3 months and can't speak highly enough of its properties. It got me out of a hole and I'd sooner be fat than depressed. There are ways of losing weight!"""
Generalized Anxiety Disorder,10,"""Hi,

I was prescribed Pregabalin about 8 years ago and have been taking it ever since. I suffer quite badly from anxiety and agitation and I can't tell you just how much this medication has helped. Even if I could just about get through the daytime without it, when I am asleep and my mind can follow any path it wishes to, it chooses to go down really bad avenues and I wake up feeling absolutely dreadful and this reached a terrible climax 8 years ago and resulted in me not eating at all and therefore losing a frightening amount of weight. However on my last pharmacy visit, I was a generic version of the drug which has not worked at all and so I am hoping my GP will put me back on Lyrica. If not, I am very fearful for the future."""
Neuropathic Pain,10,"""I've tried other things for pain. Already take a strong pain medicine, which is getting harder and harder to get, because in my State, one must go to a pain clinic to get it. Pain clinics are horrors. Lyrica seems to work with the amount of pain medicine that I take and seems to have even reduced the ""break through"" pain. No unpleasant symptoms yet."""
Fibromyalgia,10,"""I was diagnosed with fobromyalgia in 1997, but wasn't prescribed lyrica until 2007. What a difference. Until lyrica I was in bed and couldn't do anything!!I was vomiting every day and had to be hospitalized several times and had lost several pounds. Now I'm back to work full time which i'd never thought i'd be able to do again. Doing more than simple tasks is a joy, and being able to play with my grand kids is more enjoyable than I can say. I do have to say I have to take pain medicines and muscle relaxers and had a pain pump placed inside my stomach, but with everything I'm almost back to normal. The only negative is the weight gain, but i'll take that. My husband said I needed it anyway. But I can't tell you how happy I am with the lyrica."""
Fibromyalgia,10,"""I have had fibromyalgia for 12 years and have been on high doses of morphine,durogesic patches, methadone, and many other narcotics. I am now on 225mg of lyrice twice a day and low doses of opana. I feel like a new person, never though it would every happen.  I feel like a did years ago and I am 63 now but am able to do most of the things I was able to to before the fibro hit me. I can""t work my old job as an RN but I can do most things. Some days are better than others but this is a great drug."""
Peripheral Neuropathy,10,"""I've been using Lyrica now for almost 3 years with great success and until this week I was able to get it with no problem using my insurance, Some POS doctor  working for Express Script denied coverage. He got overruled by a doctor with a brain, but doctor Weisman seems to think Lyrica does't work for the treatment of peripheral neuropathy his reasoning was because the doctor didn't put diabetic in front of peripheral neuropathy. Lyrica won't work the thing this doctors doesn't understand is that the Lyrica is treating only the peripheral neuropathy the diabetic part mean nothing except that the peripheral neuropathy is being cause by the diabetes. If this  Doctor  had taken just say five minutes and read a little bit more of the notes!"""
Restless Legs Syndrome,10,"""Have been on neurotin severe side effects legs on fire never helped rls was also on new med called horizant severe reaction both which landed me in the hospital. Placed on lyrics no more rls way less diabetes foot pain. Finally after many nights of pure hell I feel human please note taking to much WILL cause you to black out. Please take as directed. Don't plan on driving until you see how it effects you! Thank you lyrics finally some sleep and relief. Oh very expensive so I pray those who need it can afford it and or the copay! Happy dreams! """
Generalized Anxiety Disorder,10,"""Best drug I've ever tried for anxiety, took lorazepam for a while which completely eradicated my anxiety whereas this just brings it down so low my anxious thoughts come and I'm able to deal with them by myself in a rational way! I'm waking up happy and refreshed and I'm sleeping better and even having less headaches and period pain. Do not know what I did without this drug. Absolutely amazing."""
Fibromyalgia,10,"""It's like a miracle. I've had almost no side effects and significant pain relief and much better sleep already. I felt a bit lightheaded at first but that is decreasing, and a bit sleepy, also decreasing. It's the first time I've actually felt nearly normal in years."""
Fibromyalgia,10,"""I was diagnosed with Degenerative disc disease in 1999, and then in 2009 I was diagnosed with Spinal Stenosis, Neuropathy & Sciatica. I was practically crippled and couldn't walk by 2011. My Doctor decided to try me on Lyrica and I can say with 100% truth and honesty that 4 days after I started it, on just 75mgs a day, I can walk again. I am still walking now in 2013 but just in short jaunts. I'm glad this pill exists."""
Fibromyalgia,10,"""My friend started using this medicine over a week ago. She was always achy and tired and went to bed early. She could barely move or walk.  She tells me that in less than a week, she can stay up till 10pm now (instead of 7), and work in her garden and actually move around. She said she's a new person and still can't believe the difference.  For her, it's been magic."""
Migraine Prevention,10,"""I have constant migraines often lasting months. First trialed Lyrica for 1 week without any effects (75mg x 2 a day). After trialling other prevention medication which had bad side effects. Trialed Lyrica 25mg twice a day and after the first week was migraine free for months. after running out, migraines returned. This is very effective, as all other migraine prevention medication has been unsuccessful."""
Fibromyalgia,10,"""I have an entrapped nerve in my leg causing shooting nerve pain in my foot.  Lyrica has really helped stop the pain.  It was so bad I couldn't sleep at night.  However, I am gaining weight and having some difficulty in concentrating."""
Neuropathic Pain,10,"""I have been taking lyrica for 3 days now after trying every pain med for the last 7 years. ..unreal. ..I am able to walk better and my pain has diminished to about a 2 or 3, I was only a little foggy on the second morning but besides that I have had no bad side effects at all. I tried nuerotin years ago but after the second day I could not function, so any one with nerve pain should give this a try. .it sure has helped me"""
Pain,10,"""My doctor prescribed this for me when I was dealing with pain from a fractured sternum. After dealing with the pain for over a year we tried this. Fantastic results. Required only 3 weeks of treatment and the pain resolved."""
Fibromyalgia,10,"""I love Lyrica, it works well."""
Generalized Anxiety Disorder,10,"""Started taking Lyrica about a week ago for anxiety and tremors in my hands. Already notice a big improvement. Tremors are almost gone. Lyrica mellows me out big time. The things that bothered me before no longer bother me. I am a smoker and since starting Lyrica I no longer crave cigarettes. I have had severe back pain due to arthritis and I no longer have back pain! It does however make me hyper. I can live with that, and it makes me hungry, but this stuff works really well for me."""
Generalized Anxiety Disorder,10,"""Having been diagnosed with depression and GAD I'm now taking 300 mg of Lyrica a day along with an antidepressant. My life has changed. I'ts nothing short of a miracle. I finally see the world again the way it was supposed to be seen and can enjoy the grass under my feet in the park. Honestly these little things make a world of difference and move me like nothing else. I feel connected with the world yet again."""
Pain,10,"""I have Degenerative disc disease and 4 herniated disks.  I have been down the road of dependence on Oxycontin and Duragesic. Those medicines worked great, however, they do not hold up as they claim.  My doctor put me on Lyrica at 300mg a day and what a difference it has made!  My mobility is much better as well as my mental outlook on life.  This medicine seems to do the job.  I like it and recommend it."""
Neuralgia,10,"""The only medicine on the market that truly worked for me.  I suffered a gunshot wound to the head that penetrated through the brain and hit the spinal cord. Lyrica is the only medicine that controls the pain to a near 0/10. Unbelievable medicine for nerve pain without all the horrible side effects of Neurontin."""
