restaurant_name,restaurant_address,restaurant_cuisine,restaurant_ranking,restaurant_num_review,restaurant_lon_lat,reviewer_id,reviewer_location,reviewer_level,review_title,review_content,review_time
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",KaiserBrit,"Hong Kong, China",levelBadge badge lvl_06,Lower East Side Chic,"Really pleasant resto. Large area to sit at the bar on comfy stool chairs. Large dining room; light and airy. Incredibly friendly staff; no tipping as the staff are part of profit - sharing. Eclectic menu with some nice specials. Vegetarian, not Vegan however they can accommodate the latter. Fanciful drinks menu. Some a bit sweet - I loved the...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",JaFooley,"London, United Kingdom",levelBadge badge lvl_06,Exemplary vegetarian food,"Outstanding vegetarian cuisine that is created with a specific vision and purpose in mind. It isn't pretentious, but rather creative and familiar, broccoli hotdogs Anyone? Which btw were totally outstanding, you won't wanna ever eat plain broccoli again. The desserts are very noteworthy and are an absolute must. Decor and setting is lovely and appropriate, friendly and helpful service is...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",kearyo,"San Antonio, Texas",levelBadge badge lvl_05,Zero Pretense.,Wow! What a great experience. Great food and fantastic staff. ZERO pretense. Everyone makes you feel welcome and appreciated. Would recommend chef's sampler for newbies to the restaurant and sit at the bar. You won't regret it. Thank you for a wonderful night.,"Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Jennyminkey,Bali,levelBadge badge lvl_02,Overpriced and not impressive,"If you like to eat overpriced rabbit portion types of food then this is for you. The portions are not only ridiculously small like and also ridiculously priced. The food is presented in a very fancy artsiful manner that does not match the taste. My palate was definitely not impressed. The food is average at best. Service though I must...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",ZeldaStarGaZer,b.c. canada,levelBadge badge lvl_03,Amaz-balls!!!,"Basically we fell into this restaurant by accident. We were in the area and googled restaurants and this came up so we decided to try it. We walked in and were able to be seated at the bar. We did not have reservations and were lucky that there was an opening at the bar. The stars were aligned that night....
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",TommyBronson,,levelBadge badge lvl_04,Dine with a open mind,"My title says it all. This is not your normal Vegetarian restaurant. The menu is small but each dish is so different from each other it gives the menu a bigger feeling. The staff was great and had a great knowledge of each dish which was great! The only downside is the price is high but that's normal in New...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Xenophon2NewDelhi,"Brussels, Belgium",levelBadge badge lvl_06,"A great find, lovely vegetarian food.","I had booked the restaurant for lunch after reading about it in some online publication which listed the supposed best vegetarian restaurants in NY city. The restaurant was a very good surprise indeed, with original and very tasty creations. Only vegetarian/vegan options obviously but even my wife (who eats meat) remarked that the food was very tasty and that she...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Brooklynite718,"Brooklyn, New York",levelBadge badge lvl_06,Gorgeous prix fixe vegan brunch,"Great vegetarian - vegan brunch spot. Bright and airy. Not too cramped. Everything on the brunch menu except one egg dish comes in a vegan version, pastries included. The cocktails are really creative and refreshing. Come hungry as the food is very filling and the portions are generous. The service is very attentive and they've adopted the ""service fee included""...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",yfrm,"Canberra, Australia",levelBadge badge lvl_04,"Surprising and exciting vegetarian, and no tipping!","Dirt Candy serves innovative and creative vegetable dishes applying techniques and flavours from various cuisines to come up with unusual combinations and textures. Presentation was precise and beautiful. Service was super helpful, friendly and efficient. We opted for the tasting menu at $75 a head, and it was really worth it. Because the dishes are unusual and surprising, it could...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Alexandra H,,levelBadge badge lvl_03,Who needs meat when food tastes this good?!,"Bringing a veggie to NYC with us, I thought it would be nice to check this restaurant out. We were not disappointed! Really tasty, inventive food and cocktails - we loved the korean fried broccoli and the carrot sliders. The staff were very attentive and obviously seemed really enthusiastic about the offerings. Would love to go back if I return...
More ","Reviewed December 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",smep013,"Philadelphia, PA",levelBadge badge lvl_06,Birthday dream come true,"Excellent. Start to finish. I walked in so excited to be there, as I had wanted to try it for so long. We made it happen for my birthday dinner and it was worth the trip to NYC to try it. We were welcomed by excellent staff who took care of us from arrival to departure. The menu itself, the...
More ","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",IanMumford,"Ottawa, Canada",levelBadge badge lvl_06,Lived up to the reviews,"This is a unique experience and all of the reviews are spot on. Dirt Candy is one of the best restaurants we have been at. All of the dishes are unique and full of flavour. Hence, we opted for the tasting menu and each course was amazing. We especially enjoyed the Jalapeño Hushpuppies and the Korean fried broccoli- especially if...
More ","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",njcfp,"Madison, New Jersey",levelBadge badge lvl_03,"I'm far from a vegetarian, and this was great","Had dinner here after visiting the Tenement Museum, which is just around the corner on Allen Street. Overall the food was fantastic. The only dish we weren't totally impressed by was the Brussels sprout tacos. Would definitely come back again to try some of the items we didn't have the chance to sample this time.","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",João Miguel C,"New York City, New York",levelBadge badge lvl_05,New favorite vegetarian in NYC,"This is my new favorite vegetarian in town! First, the place is beautiful and well decorated. Second, the service is probably the best I've had in years in the city. The waiters are patient and walk you through the whole menu. And third, and most importantly, the food is fantastic and innovative. In a city that is still not known...
More ","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Liz M,"Guildford, United Kingdom",levelBadge badge lvl_02,holy moly this is dam good food,"I challenge a meat eater to miss or even care they are not eating flesh. Awesome and trust me im not a ""hippy veggie"". Elegant, modern, tasty tasty food. Impressive and exciting. It is one of those places where each dish tops the previous dish and you have no idea which one was your favorite of the night. Clever people....
More ","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Jo B,"Newbury, United Kingdom",levelBadge badge lvl_04,An incredible experience.,"Before I head left England I read reviews on DC and decided I had to go. Booked the restaurant online in England and waited in antipation. The food was incredible. I've always been a vegetarian and love the vibe of vegetarian restaurants. Even my boyfriend left impressed by the options. We ordered 5 options including tacos, korean broccoli, tomato and...
More ","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Angie S,"Saint Louis, Missouri",levelBadge badge lvl_02,KFB,"Four years ago a friend who once lived in NYC told me that DC was one of her favorite restaurants so I put it on my list of places to go when in NYC. After four years of anticipation I was excepting to have set the bar to high and be somewhat disappointed. We were blown away by the food...
More ","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",absinthecity,London UK,levelBadge badge lvl_04,"Great experience, innovative food","We rocked up here nearly an hour late after arriving from the UK and the staff were more than happy to honour our reservation and did not seem phased. Food was presented as colourful and appetising small plates, and each was delicious. Will go back on our next trip to NYC","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",keithtdesigns,"Raleigh, North Carolina",levelBadge badge lvl_06,Incredible,"Had dinner with friends at Dirt Candy and was just blown away by it. I swear you would not even think you were just eating vegetables. The flavors and variety were fantastic. We had the carrot sliders, Korean fried broccoli, hush puppies, Brussels sprouts tacos, the zucchini, and the cauliflower. All were amazing. Cocktails were delicious and they actually gave...
More ","Reviewed October 25, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",petsmom,"New York City, New York",levelBadge badge lvl_03,Wow!,FINALLY got a reservation for brunch on what turned out to be the hottest day of the year. The food is inventive and unique. Chocolaye and onion pastry?? Delicious! The spucy tofu sandwich was yummy. Cucumber ice cream sundae? Of couse! I hope to secure a dinner reservation sometime...,"Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Hummingbird552014,"Utica, Michigan",levelBadge badge lvl_03,A Vegan's Dream,"This restaurant exceeded our expectations in every way. First, the food. Delicious does not begin to describe the flavors we experienced here. The food is served in small plates so we ordered a variety of items to share. Korean Fried Broccoli - Amazing!, Jalapeño Hush Puppies - Delish!, Carrot Sliders - Also Amazing! (Order more than one serving) , Brussels...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Qroe,"Mechelen, B",levelBadge badge lvl_06,Top-3 veggie experiences worldwide,"This is a fantastic restaurant for many reasons, but mainly because it manages to be 3 things that you hardly ever see combined: devoted vegetarian, truly original, and exceptionally good. Also, they have done away with the whole backward and degrading tipping thing, and simply pay their staff fair wages. And with good results. Service was by far the best...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",ThriftyThrill,,levelBadge badge lvl_04,One of the best vegetarian restaurants on the East Coast,"Thrilling is a mild word to describe the culinary delights that this restaurant has for both vegetarians and nonvegetarians alike. With excellent fare and no tipping allowed, this restaurant is quick to fill up so make sure to get a reservation early. The unique cocktails are more inventive than they are bingeworthy but the food is a different story. I...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",kenapastore,"Hinsdale, Illinois",levelBadge badge lvl_06,Very few gluten free options,"We were really looking forward to trying this place. Unfortunately, we went on a Sunday and the was very little to choose from in the way of gluten free (Brunch menu). For a place that prides itself on vegetable, as I looked around, many of the plates looked quite beige with sandwiches, pancakes and high caloric vegan food. I travel...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",netllama,Sf Bay Area,levelBadge badge lvl_06,amazing food,"Thanks to a last minute reservation, we were fortunate enough to experience the wonder that is dirt candy. As numerous others have said the korean fried brocolli is the rock star of the menu. We also had the corn boil (pretty good), curried caulifower(good), mapo eggplant (excellent). Something did go very wrong somewhere, as it took them nearly an hour...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Rosario A,,levelBadge badge lvl_03,Delicious vegetarian feast even for non-vegetarians!,"I went with my boyfriend (who's not vegetarian) and we decided to do the menu tasting. It's an amazing and delicious experience. The dishes are really creative and tasty. My boyfriend enjoyed it as much as I did. The service is also great. Workers own part of the restaurant so they ask you not to tip. I recommend making a...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",lbloom616,"Deerfield, Massachusetts",levelBadge badge lvl_05,Disappointing Pretentiousness,"We had looked forward to visiting Dirt Candy for several years and, planning our most recent trip to NYC, had finally obtained a reservation. Location and ambience are promisingly hip and attractive, but when it comes down to the food, what we ate was strikingly mediocre. One dish was so salty we had to send it back; one dish fell...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",csta8,"New York City, New York",,"Vivacious Vegetables, Superb Service!","I was very excited to finally get a reservation and Dirt Candy did not disappoint! It went beyond my expectations. The restaurant was decorated beautifully. The dishes were creatively prepared and beautifully presented. Our waiter, Jon, was extremely professional, and took care to answer all our questions in great detail. Almost all dishes could be made gluten-free or vegan. From...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Skibum1971,"Montpelier, Vermont",levelBadge badge lvl_04,If only all vegetarian food were like this...,"We grabbed a seat at the bar because we didn't have reservations and it was booked for the night. Best decision we've made on a restaurant in a long time. The food was just overwhelmingly delicious. It's a creative masterpiece of dishes that you really just can't believe are vegetarian. The broccolli hotdogs literally taste like a hotdog!?! The Korean...
More ","Reviewed August 23, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",A_OKD,"Toronto, Ontario",levelBadge badge lvl_06,Sour Patches For This Candy,"I have been dying to try Dirt Candy for years and finally found the opportunity to head over to the East Village one evening. The service was very good and professional while the decor of the restaurant is modern and relaxing. Not all the dishes were hits though. The dishes that really appealed to me were: (1) Hush Puppies w/...
More ","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",PachucaSunrise,"London, United Kingdom",levelBadge badge lvl_02,Best Meal of My Life,"As a vegetarian when visiting a new place I usually try to visit a veggie restaurant. Dirt Candy though was something else... Delicious, thoughtful and creative food presented spectacularly. The mushroom in particular stands out, sublime in look and taste. For sceptics: my omnivore partner also really enjoyed the meal and didn't miss his meat at all. It is also...
More ","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Daniel V,"London, United Kingdom",levelBadge badge lvl_04,A tasty revolution,"I went here following a glowing recommendation by the dean on the Culinary Institute of America and was highly impressed. The food is very tasty, delicious and indulgent. Nothing at all like plant based food is normally positioned as. This is what the future of plant based eating will become. I'm not sure it's very healthy but it is very...
More ","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Morgan D,,,Inventive and Delicious!,"My wife and I have been going to Dirt Candy for a few years, ever since little Dirt Candy. The new restaurant is beautiful and I love sitting at the chef's counter. The last time we were there was for the eat (red) brunch in conjunction with Egg NYC and it was one of the best brunches I've ever had,...
More ","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Faunista,Queen City,levelBadge badge lvl_05,Creative beautiful food,"Beautiful presentation. Dirt Candy elevates vegetables into art. The flavors are creative combinations that give the tastebuds unexpected delights. Great service, no tipping allowed.","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Roger M,,levelBadge badge lvl_06,Great vegetarian food!,The dishes are very nicely designed! Great vegetarian food with twix. The layered omelette with goat cheese was amazing! Overall great food with great environment! A busy place! Very friendly service ! Highly recommended!,"Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Jan L,New York City,levelBadge badge lvl_02,Most exotic and unusual meal!,"My husband gave a concert in this area and we wanted to have a bite afterwards and were looking for a vegan restaurant.....we stumbled upon Dirt Candy. What a unique experience! The waiters were friendly and passionate about explaining the dishes. We had the carrot sliders..no point in trying to explain...you have to try them for yourselves! A delicate Foragers...
More ","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Eisenberg3,"Vacaville, California",levelBadge badge lvl_03,The Most Amazing Meal Ever!!!!!,"Our party of six went to Dirt Candy this past Saturday and had the most delicious, amazing meal of our lives. Since there was six in the party, we had the pre-fixed meal where they brought out dish after dish after dish after dish of the most delectable food. There were so many courses of this fabulous food that we...
More ","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",jrd650,Vancouver,levelBadge badge lvl_05,Dirt Candy - so Sweet and Clean!,"Visiting New York we love to check out the best vegan dining spots. Dirt Candy has been on our list and we were so looking forward to going there. IT DID NOT DISAPPOINT! From our server to the kitchen staff, to the general manager and even to the owner herself, everyone made us feel right at home. The food itself...
More ","Reviewed July 1, 2016"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",EsmeWHaven,"West Haven, Connecticut",levelBadge badge lvl_03,Wonderful for vegetarians or vegans!,"My husband and I were in the city and sort of stumbled on Dirt Candy. We were very happy that we did. It is a tapas style and we loved the jalepeno corn fritters and the carrot sliders the best and enjoyed the broccoli dogs as well. The portions are a bit on the small side and it is pricy...
More ","Reviewed July 1, 2016"
