"","listing_id","Renovate1","EatIn1","FeeNo","Prewar1","Dining1","Dishwasher1","Marble1","HighCeiling1","Hardwood1","Deck1","Elevator1","LaundryNone","Cat1"
"192","7163499","0","0","0","0","0","0","0","0","0","0","0","1","1"
"194","7205089","0","1","0","0","0","0","0","0","1","0","1","1","0"
"200","7215442","0","1","1","0","0","1","1","0","1","1","1","0","1"
"204","7221305","1","0","0","0","0","0","0","0","1","0","1","0","0"
"205","7218351","1","0","1","0","0","1","0","0","1","1","1","0","0"
"206","7148695","0","1","0","0","0","0","0","0","0","0","1","1","1"
"208","7134031","0","1","0","0","0","0","0","0","0","0","1","0","1"
"214","7194919","0","1","0","0","1","0","0","0","1","0","1","0","0"
"217","7198551","0","0","0","0","0","0","0","0","0","0","0","1","1"
"226","7090836","0","0","0","0","0","0","0","0","0","0","1","1","1"
"228","7129585","1","1","0","0","1","1","0","0","1","1","1","0","0"
"235","7107617","0","1","0","0","0","0","0","0","0","0","1","1","1"
"236","7232120","0","1","1","1","0","1","1","0","1","0","0","0","0"
"237","7158471","0","1","0","1","0","0","0","0","1","0","0","1","1"
"241","7117491","0","0","0","0","0","0","0","0","0","0","1","1","0"
"244","7194997","0","0","0","0","0","0","0","0","0","1","0","0","1"
"245","7184842","0","1","0","0","0","0","0","0","1","0","1","1","1"
"246","7111019","0","1","1","0","0","1","0","0","1","0","1","0","1"
"247","7149858","0","1","0","0","1","0","0","0","0","0","0","0","0"
"248","7141788","0","0","0","0","0","1","1","0","1","0","1","0","1"
"249","7134172","0","1","1","1","0","1","1","1","1","0","1","0","1"
"251","7233228","0","1","1","0","0","1","0","1","1","1","0","0","1"
"252","7166956","0","0","0","0","0","0","0","0","0","0","1","1","1"
"255","7134741","1","0","1","0","0","0","0","0","0","1","1","0","0"
"257","7148587","0","0","0","0","0","0","0","0","0","0","0","1","0"
"262","7114391","0","0","1","0","0","0","0","0","0","1","0","1","1"
"263","7210245","1","0","1","0","1","1","0","0","1","1","1","0","1"
"272","7200221","0","0","0","0","0","0","0","0","0","0","0","1","0"
"275","7176451","0","0","0","0","0","0","0","0","0","0","0","1","1"
"277","7112578","0","0","0","0","0","1","0","0","0","0","1","0","1"
"279","7169964","0","1","1","0","0","0","0","1","1","1","0","0","0"
"280","7129699","1","1","1","0","0","1","1","0","1","0","1","1","0"
"282","7192613","1","0","0","0","0","1","0","0","1","0","1","0","0"
"283","7137236","1","1","0","1","0","0","0","0","0","0","1","0","0"
"284","7129545","0","0","0","0","0","1","0","0","1","0","1","0","0"
"289","7167474","0","0","0","0","0","1","0","0","1","0","1","1","1"
"291","7187520","0","0","0","1","0","0","0","0","0","0","0","1","1"
"292","7219030","1","0","0","0","0","0","0","0","0","0","1","0","1"
"293","7194762","1","0","1","0","1","1","0","0","1","1","1","0","1"
"295","7223079","0","1","0","0","0","1","0","0","1","1","0","1","1"
"296","7197337","1","1","0","0","0","1","0","0","1","0","1","0","1"
"303","7103559","0","1","1","0","1","1","1","0","1","1","1","0","1"
"304","7112266","1","1","0","0","0","0","0","0","0","0","0","1","1"
"305","7172018","0","1","1","0","1","1","0","0","1","0","1","0","0"
"309","7161834","1","0","0","0","0","0","0","0","0","0","0","1","0"
"311","7135375","0","0","0","0","0","0","0","0","1","0","0","1","0"
"312","7129249","0","1","0","0","0","1","0","0","0","0","1","0","1"
"313","7125143","0","0","0","1","0","0","0","0","1","0","1","0","0"
"314","7151407","0","1","0","0","0","0","0","0","0","0","0","1","0"
"315","7223550","0","0","0","0","0","1","0","0","0","0","1","0","1"
"320","7223021","0","1","0","1","0","1","0","0","0","0","0","1","0"
"322","7174183","0","1","0","0","0","1","0","0","1","0","0","0","1"
"323","7202273","0","1","1","0","0","0","0","0","0","0","0","1","0"
"325","7161696","1","1","0","0","0","0","0","0","0","0","0","1","0"
"332","7225795","0","0","1","1","0","1","0","0","1","0","0","1","0"
"333","7095668","0","1","0","0","0","0","0","0","0","0","1","1","1"
"335","7234386","1","0","0","0","0","0","0","0","0","0","0","1","0"
"336","7230215","0","1","0","1","0","1","0","0","1","0","0","0","1"
"337","7127331","0","0","0","1","0","1","0","0","1","0","0","0","1"
"338","7167945","1","1","0","0","0","0","0","1","1","0","0","1","0"
"340","7190799","0","0","0","0","1","1","0","0","1","0","1","0","0"
"341","7120422","0","1","0","0","0","1","1","0","1","0","0","1","1"
"343","7220083","0","1","1","0","0","0","0","0","0","1","0","1","1"
"344","7103388","1","0","1","1","0","1","0","0","1","0","0","1","0"
"348","7163634","0","0","0","0","0","0","0","0","0","0","0","1","0"
"351","7124748","0","1","1","0","1","1","0","0","1","0","0","0","0"
"355","7220833","0","0","1","0","0","1","0","0","1","0","0","0","0"
"356","7214952","0","0","0","0","0","0","0","0","1","0","0","1","0"
"359","7116891","0","1","0","0","0","0","0","1","1","0","1","1","1"
"360","7137270","0","1","0","1","0","0","0","0","1","0","1","1","1"
"361","7137935","0","1","1","0","0","0","0","0","0","0","1","1","0"
"362","7150092","0","0","0","0","0","0","0","0","0","0","0","1","0"
"365","7144140","0","1","0","0","0","0","0","0","0","1","0","1","0"
"370","7100389","0","0","0","0","0","0","0","0","1","0","1","0","0"
"373","7221077","0","0","1","0","0","1","0","0","1","0","1","0","0"
"374","7219078","0","0","1","0","0","1","0","0","1","0","0","1","0"
"375","7095541","0","1","0","1","1","0","0","1","0","0","1","1","1"
"377","7203328","0","1","0","0","0","0","0","0","0","0","0","1","1"
"379","7087981","0","1","0","1","1","1","0","1","1","0","1","0","1"
"380","7229492","0","0","0","0","0","0","0","0","0","0","0","1","0"
"381","7206615","0","0","0","0","0","1","0","0","0","0","1","0","1"
"383","7120758","1","0","0","0","0","1","1","0","1","0","1","0","0"
"386","7107623","0","1","1","0","0","0","0","0","0","0","1","0","0"
"387","7136685","0","0","0","0","0","1","0","0","1","0","0","1","0"
"390","7146873","0","1","1","1","0","0","0","0","1","0","0","1","0"
"392","7173496","0","1","1","0","1","1","0","0","1","0","1","0","0"
"393","7223131","0","1","0","0","0","0","0","1","1","0","0","1","1"
"394","7126261","1","1","0","0","0","0","1","1","1","0","1","0","1"
"396","7153662","1","1","0","1","0","0","0","0","1","0","0","1","1"
"397","7096174","0","0","0","0","0","0","0","0","0","0","0","1","0"
"398","7169773","0","1","0","1","0","1","1","0","1","1","1","0","1"
"408","7166336","0","0","1","1","0","1","0","0","0","0","0","0","1"
"409","7214496","0","0","1","1","0","0","0","0","0","0","0","1","0"
"412","7132195","0","1","0","0","1","0","0","0","1","0","1","1","0"
"415","7105198","0","0","0","0","1","1","0","0","1","1","1","0","0"
"417","7105648","0","1","0","0","0","1","0","0","1","0","1","1","0"
"419","7112992","0","0","0","0","0","0","0","0","0","0","1","0","1"
"424","7192198","0","0","1","0","1","1","0","0","1","0","0","0","1"
"425","7105389","0","1","1","1","0","1","0","1","1","1","1","0","0"
"437","7120917","0","1","0","1","0","0","0","1","1","1","0","1","0"
"438","7136806","0","1","0","0","0","0","0","0","0","0","0","1","0"
"440","7109319","1","0","1","0","1","1","0","0","1","0","1","0","0"
"441","7115282","0","0","0","0","1","1","0","0","1","0","1","0","0"
"442","7146676","1","0","0","0","0","0","0","0","0","0","1","0","1"
"444","7215893","0","0","0","0","0","0","0","0","0","0","0","1","0"
"445","7165629","1","1","1","0","0","1","0","1","1","1","0","0","1"
"446","7219540","0","0","0","0","0","0","0","0","0","0","0","0","0"
"447","7136465","0","1","0","0","0","0","0","1","0","0","0","1","1"
"449","7232225","0","1","0","0","0","1","1","0","1","0","0","0","1"
"451","7105202","0","0","1","0","1","1","0","0","1","1","1","0","0"
"454","7126430","0","1","0","0","0","1","0","0","1","0","1","0","1"
"458","7111867","1","1","0","1","0","0","1","0","0","0","0","1","0"
"465","7146798","0","1","1","0","0","0","0","1","1","1","0","0","1"
"466","7092134","1","1","1","1","1","1","0","0","1","1","1","0","0"
"471","7156595","0","1","0","0","0","0","0","1","1","0","1","0","0"
"472","7230524","1","1","1","1","0","1","1","1","0","0","0","1","1"
"473","7096089","0","0","0","1","0","0","0","0","0","0","1","1","1"
"474","7204276","0","1","0","1","0","1","0","0","1","0","1","0","1"
"476","7187503","0","0","0","0","0","1","0","0","0","1","1","0","1"
"479","7157119","0","1","1","0","1","1","1","0","1","0","1","0","0"
"480","7205310","0","0","0","0","0","0","0","0","0","1","1","1","1"
"481","7116785","1","1","0","0","0","0","0","0","1","0","0","0","1"
"482","7220345","0","1","0","0","0","1","0","0","1","0","0","1","1"
"483","7213335","0","0","0","1","0","0","0","0","0","0","0","1","1"
"484","7226774","1","1","0","0","0","1","0","0","1","1","1","0","0"
"486","7139673","0","1","0","0","0","0","1","0","0","0","1","1","1"
"487","7158994","0","0","0","0","1","1","0","0","1","0","1","0","0"
"490","7233238","1","1","1","1","1","1","1","0","1","1","1","0","0"
"491","7139917","0","1","0","0","0","1","0","0","1","0","1","1","1"
"494","7141300","0","0","0","0","0","0","0","0","0","0","1","0","0"
"498","7145411","0","0","0","0","0","1","0","0","1","0","1","0","0"
"499","7207430","0","1","0","1","0","0","0","0","1","0","1","1","0"
"500","7125901","0","0","0","0","0","0","0","0","0","0","1","1","0"
"506","7148635","0","0","0","0","0","0","0","0","0","0","0","1","1"
"509","7190493","0","1","1","0","0","0","0","0","0","1","0","1","1"
"510","7183609","0","1","1","0","0","1","1","0","1","1","1","0","0"
"511","7105489","1","0","1","0","0","1","0","0","1","1","1","0","0"
"513","7199702","0","1","0","0","0","1","1","1","1","0","0","0","1"
"514","7232177","0","0","0","0","0","0","0","0","1","0","0","1","0"
"515","7699396","0","0","0","0","0","1","0","0","1","0","1","1","0"
"518","7187542","1","1","1","1","1","1","1","0","0","0","0","1","0"
"519","7203495","1","0","1","1","0","1","0","0","1","0","1","0","1"
"521","7154804","1","0","1","0","1","1","1","1","1","0","0","0","1"
"529","7213096","0","0","0","1","0","0","0","0","0","0","0","1","1"
"530","7229112","1","0","1","0","1","1","0","0","1","1","1","0","1"
"534","7195985","0","0","0","0","0","0","0","0","1","0","0","1","0"
"535","7128989","1","1","0","0","0","0","0","1","0","0","0","1","1"
"536","7201340","0","1","0","0","0","1","0","0","1","0","1","0","0"
"537","7160416","1","1","0","1","0","0","0","0","1","0","0","1","0"
"538","7145487","0","1","0","0","0","0","0","0","1","0","1","1","0"
"542","7132045","0","1","0","1","0","0","0","0","1","0","1","0","1"
"548","7127946","1","1","0","1","0","0","0","0","1","0","0","1","1"
"554","7164531","0","1","1","0","0","1","0","0","1","0","0","1","0"
"555","7221942","0","1","0","0","0","0","0","0","1","0","0","1","0"
"557","7192439","0","0","0","0","0","0","0","0","0","0","0","1","0"
"558","7140922","0","0","0","1","0","1","0","0","1","0","0","1","0"
"561","7181426","0","1","0","0","0","0","0","0","0","0","0","1","1"
"563","7088015","0","1","0","1","0","0","0","0","0","0","0","0","1"
"564","7162106","0","0","1","1","1","1","1","0","1","1","1","0","1"
"567","7138311","0","1","0","1","0","0","0","0","1","0","0","1","0"
"568","7188806","0","0","0","0","0","0","0","0","0","0","0","1","0"
"569","7164370","0","1","0","0","0","0","0","0","0","1","1","1","1"
"571","7162259","0","0","0","0","0","1","0","0","0","0","1","0","1"
"572","7131606","1","1","0","0","0","1","0","0","1","0","0","0","0"
"573","7204441","0","0","0","0","0","0","0","0","0","0","1","1","1"
"576","7189092","0","0","1","0","0","0","1","0","0","1","1","1","0"
"577","7119739","0","0","0","0","0","0","0","0","0","0","0","1","0"
"582","7099579","1","1","0","0","1","1","1","0","1","0","1","0","0"
"585","7164940","1","0","0","0","0","0","0","0","1","0","0","0","0"
"587","7091677","1","0","0","1","0","1","0","0","1","0","0","0","0"
"589","7159173","0","0","0","0","0","1","1","1","1","0","0","1","0"
"590","7144584","0","1","0","0","0","0","0","0","0","0","0","1","1"
"592","7170465","1","1","0","0","0","1","0","0","1","0","0","0","0"
"597","7145105","0","1","0","0","0","0","0","0","1","0","0","1","0"
"598","7174989","0","1","0","0","0","0","0","1","1","0","1","0","1"
"599","7187660","1","1","1","0","0","1","0","1","1","0","0","1","1"
"600","7101204","1","1","0","1","0","0","1","0","1","1","0","1","1"
"604","7174250","1","1","0","0","0","0","0","0","1","0","0","1","0"
"605","7206561","0","1","0","1","0","0","1","0","1","0","0","0","1"
"607","7168239","0","1","0","0","1","1","0","0","1","0","1","0","0"
"610","7115466","0","0","0","0","0","0","0","0","0","0","1","0","0"
"614","7150492","1","0","0","0","0","0","0","0","0","0","0","1","1"
"615","7200687","0","1","1","1","0","1","0","0","1","1","0","0","1"
"620","7118336","0","0","0","0","0","0","0","0","0","1","1","0","0"
"621","7113766","0","1","1","0","0","1","0","0","1","0","1","0","0"
"622","7234398","1","0","0","0","0","1","0","1","1","0","1","0","1"
"623","7219996","0","1","1","1","0","0","0","0","0","0","0","1","0"
"624","7166766","0","0","1","0","0","0","0","0","0","0","0","1","1"
"626","7168961","0","1","0","0","0","0","0","1","1","0","1","1","0"
"629","7091303","1","1","1","1","1","1","0","0","1","1","1","0","0"
"631","7113377","0","0","1","0","1","1","0","0","1","0","1","0","1"
"636","7116917","0","1","1","0","0","0","0","0","0","0","0","1","1"
"638","7157778","0","0","0","0","0","0","0","0","1","0","1","1","0"
"640","7143672","0","0","0","0","0","0","0","0","0","0","1","1","1"
"641","7185468","1","0","1","1","1","1","0","1","1","1","1","0","0"
"644","7209367","0","1","0","1","1","1","1","0","1","0","1","0","0"
"645","7131313","0","0","1","0","0","0","0","0","0","1","1","1","1"
"647","7090615","0","0","0","0","0","1","0","0","1","0","0","0","0"
"648","7119653","0","1","0","0","0","1","1","0","1","1","1","0","1"
"649","7214357","0","1","1","0","0","1","0","0","1","0","1","0","1"
"651","7190958","0","1","0","0","0","0","0","0","0","0","1","1","1"
"656","7185090","1","1","1","0","0","1","0","0","1","1","1","0","1"
"657","7106402","0","1","0","1","0","0","0","0","1","0","0","1","1"
"658","7091710","0","0","1","0","0","1","0","0","1","0","1","0","0"
"659","7229732","0","0","1","0","1","1","0","0","1","0","1","0","0"
"662","7191894","0","0","1","0","0","0","0","0","0","0","0","1","0"
"666","7110757","1","1","0","0","0","1","0","0","0","0","1","0","0"
"669","7099217","1","0","0","0","0","0","0","1","1","0","0","0","0"
"674","7225712","1","1","1","0","0","1","0","0","0","0","0","1","1"
"675","7168382","0","1","1","1","0","1","0","0","1","0","0","0","1"
"679","7233700","0","0","0","0","0","1","0","0","1","0","0","0","0"
"681","7194838","1","0","0","1","1","1","0","0","1","0","1","1","1"
"682","7087718","0","0","0","0","0","0","0","0","0","0","0","0","0"
"685","7176108","0","0","0","0","0","0","0","0","0","0","0","1","1"
"687","7208072","1","1","0","1","0","1","0","0","1","1","1","0","1"
"692","7223233","0","1","0","0","0","0","0","0","1","0","0","0","0"
"693","7142533","0","0","0","0","1","1","1","0","1","0","0","1","0"
"694","7102561","1","1","1","0","0","1","0","0","1","0","1","0","1"
"696","7151758","0","0","0","0","0","0","0","0","0","0","0","1","0"
"699","7155462","1","1","0","1","0","0","0","0","1","0","0","0","1"
"700","7192662","1","1","1","1","1","1","0","0","1","1","1","0","0"
"703","7158810","0","0","1","0","1","1","0","0","1","1","1","0","1"
"704","7170591","1","1","0","0","0","0","0","0","1","0","1","0","0"
"705","7300648","0","1","0","1","0","0","0","0","1","0","1","1","1"
"706","7147363","0","1","0","0","0","0","0","0","1","0","1","1","0"
"707","7099751","1","1","0","1","1","1","0","0","0","0","0","0","0"
"712","7210590","0","0","1","0","0","1","0","0","1","1","1","0","0"
"714","7153703","0","0","0","1","0","0","0","0","0","0","0","1","1"
"715","7204272","0","1","0","0","0","0","0","1","1","0","0","1","0"
"716","7121308","1","1","0","0","0","0","1","0","1","0","0","1","0"
"718","7168526","0","1","0","1","0","1","0","0","1","0","1","0","1"
"720","7114682","1","0","0","1","0","1","0","0","0","0","1","1","0"
"725","7223738","0","1","1","0","0","1","0","0","0","1","1","1","0"
"728","7134558","0","1","0","0","0","0","0","0","1","0","1","0","1"
"730","7226520","0","0","1","0","0","1","0","0","1","0","0","1","0"
"735","7112715","1","1","0","0","0","1","0","0","1","1","1","1","0"
"737","7087774","0","0","0","1","0","0","0","0","1","0","0","0","0"
"740","7161513","1","1","0","1","0","0","0","1","1","0","0","1","1"
"741","7179526","0","0","0","0","0","0","0","0","0","1","1","0","1"
"742","7224031","1","1","1","0","0","1","0","0","1","0","1","0","1"
"743","7207741","0","0","0","0","0","0","1","1","1","0","0","0","0"
"747","7106492","0","0","0","0","0","0","0","0","0","0","0","1","1"
"749","7158913","0","1","0","1","1","0","1","0","1","0","1","0","0"
"754","7173462","0","0","1","0","1","1","1","0","1","0","1","0","0"
"757","7200621","0","1","1","0","0","0","0","0","0","0","1","0","0"
"761","7187028","0","0","0","1","0","0","0","0","0","0","0","1","1"
"762","7125363","1","0","1","0","0","1","0","0","1","1","1","0","1"
"764","7130366","0","1","0","0","0","0","1","0","0","1","1","0","0"
"766","7139958","0","0","1","0","0","0","0","0","0","0","1","1","0"
"770","7208769","0","0","0","0","0","1","0","0","1","1","1","0","1"
"772","7103416","0","1","0","0","0","0","0","1","1","1","0","0","1"
"773","7090765","0","0","0","0","0","0","0","0","0","0","1","1","1"
"776","7117601","0","1","0","0","1","0","0","0","0","0","0","1","0"
"778","7137984","0","1","0","0","0","1","0","1","0","0","1","1","1"
"783","7100838","0","0","0","1","0","0","0","0","0","0","0","1","1"
"786","7144427","0","0","1","0","0","0","0","0","0","0","0","1","0"
"788","7135068","0","1","0","1","1","0","1","0","0","1","0","1","0"
"791","7202577","1","0","0","1","0","0","0","0","0","0","0","0","1"
"798","7156817","0","1","1","0","0","1","1","0","1","1","1","0","0"
"801","7137239","1","1","0","0","0","0","1","0","1","0","0","0","1"
"806","7206216","0","0","0","0","0","0","0","0","0","0","1","0","0"
"807","7110900","1","1","1","0","0","1","1","0","1","1","1","0","0"
"809","7214414","0","0","0","0","0","0","0","0","1","0","0","1","0"
"810","7130424","0","0","0","0","0","0","0","0","1","0","0","0","1"
"812","7152362","0","1","0","0","0","0","0","0","0","0","0","1","0"
"813","7088531","0","0","0","0","0","1","0","0","1","0","1","1","1"
"815","7168341","0","0","0","0","0","0","0","0","0","0","0","1","0"
"816","7159381","0","0","1","0","0","1","0","0","1","1","1","0","1"
"818","7164902","0","0","0","0","0","0","0","0","1","0","0","1","0"
"820","7124373","0","0","0","0","0","0","0","0","0","0","0","1","0"
"821","7230906","0","0","1","0","1","1","0","0","1","1","1","0","1"
"822","7184708","0","1","1","0","1","1","0","0","0","0","1","0","1"
"828","7193065","1","1","1","0","1","1","0","1","0","1","1","0","0"
"833","7166642","0","1","0","1","1","0","0","1","1","0","0","1","0"
"836","7224785","0","1","0","0","0","0","0","0","1","0","0","1","1"
"839","7119275","0","1","0","1","0","1","0","1","1","0","1","0","1"
"840","7157285","0","0","1","0","0","1","1","1","1","0","0","0","1"
"841","7217806","0","0","0","0","0","0","0","0","1","0","0","0","1"
"843","7091219","0","1","0","0","0","1","0","0","0","1","1","0","1"
"845","7135976","0","1","1","0","0","1","0","0","1","1","1","0","1"
"846","7201922","1","1","1","0","0","0","1","0","1","0","0","0","0"
"847","7170059","0","0","1","0","0","1","0","0","1","0","0","0","0"
"849","7129328","0","1","0","0","0","0","0","0","0","0","0","1","0"
"850","7160501","0","0","1","0","0","1","0","0","1","0","0","0","0"
"852","7167754","0","1","0","0","0","0","0","1","1","1","0","0","1"
"858","7215169","0","1","0","0","1","0","1","0","1","0","1","1","0"
"859","7130741","0","1","1","1","0","1","0","0","1","0","1","0","1"
"862","7157915","0","0","0","0","0","0","0","0","1","0","0","1","1"
"863","7153893","0","0","0","1","0","0","0","0","0","0","0","1","1"
"865","7175290","0","1","0","0","1","1","1","0","1","0","1","0","0"
"866","7222894","0","0","0","1","0","1","0","0","0","1","1","0","1"
"872","7143730","0","0","0","0","0","0","0","0","0","0","1","1","1"
"873","7127900","0","0","0","0","0","1","0","0","1","0","1","1","1"
"875","7096090","0","0","0","0","0","1","0","0","0","0","1","0","1"
"876","7143025","0","1","0","0","1","1","1","0","1","0","1","0","1"
"877","7117553","0","0","0","1","0","1","0","0","0","0","0","0","1"
"878","7185559","0","1","1","1","0","1","0","0","1","0","1","0","1"
"879","7232795","0","0","1","1","0","1","0","0","1","0","1","0","0"
"880","7095707","1","1","0","1","0","0","0","1","1","0","1","1","1"
"881","7198777","1","1","1","0","1","1","0","0","1","1","1","0","1"
"883","7123382","0","1","0","0","0","0","0","1","0","0","0","1","1"
"884","7158186","0","0","0","0","0","0","0","0","0","0","0","1","0"
"886","7126821","0","0","1","0","0","0","0","0","1","0","0","1","0"
"889","7171981","1","1","0","0","1","1","0","1","1","1","1","0","0"
"892","7147974","1","1","1","0","0","1","1","0","1","0","0","1","0"
"893","7090493","0","1","0","0","0","1","0","0","1","0","1","1","1"
"897","7092218","1","1","1","0","0","0","0","1","1","0","1","0","0"
"898","7088124","0","0","0","0","0","1","0","0","1","0","1","1","1"
"899","7187536","0","0","0","0","0","0","0","0","0","0","0","1","0"
"901","7088568","0","0","0","0","0","1","1","0","0","0","0","1","1"
"903","7166833","0","1","0","0","0","0","0","0","0","0","1","1","1"
"910","7088798","1","1","1","0","1","1","0","0","1","1","1","0","1"
"914","7204708","0","0","0","0","0","1","0","0","1","0","1","0","1"
"917","7103044","0","1","1","0","0","1","0","0","1","0","1","0","1"
"918","7194049","1","1","1","0","0","1","1","1","1","0","0","0","1"
"921","7169942","0","0","1","1","0","1","0","0","1","0","0","0","0"
"923","7170318","0","0","0","1","1","0","0","0","1","0","1","1","0"
"925","7165386","0","1","1","0","0","1","0","0","1","0","0","1","1"
"928","7206346","0","0","1","0","0","0","0","0","0","0","0","1","1"
"936","7208337","1","1","0","0","0","0","0","0","1","0","0","1","1"
"937","7140820","0","0","0","0","0","1","0","0","1","0","0","1","1"
"938","7194486","0","1","0","1","0","0","0","0","1","0","0","1","0"
"939","7105614","0","0","1","0","0","1","0","0","0","0","1","1","0"
"941","7178265","1","1","0","0","0","1","1","0","1","1","0","0","0"
"944","7439407","0","0","0","0","0","0","1","0","0","0","1","1","0"
"945","7135550","0","0","0","0","0","0","0","0","0","0","0","1","1"
"947","7092435","0","1","0","0","0","1","1","0","1","0","1","0","1"
"948","7189120","0","1","0","0","0","0","0","0","1","0","0","1","0"
"953","7127815","1","1","0","1","1","0","0","0","0","0","0","1","0"
"956","7099446","0","0","1","1","0","0","0","0","1","0","1","0","0"
"958","7123391","0","1","0","0","0","0","0","0","1","0","1","1","0"
"959","7227520","0","0","0","0","0","0","0","0","0","0","1","0","0"
"962","7141615","0","1","0","0","1","1","0","0","1","0","1","0","0"
"963","7185499","0","0","0","0","0","0","0","0","0","0","0","1","1"
"964","7150727","0","0","0","0","0","0","0","0","0","0","1","1","1"
"965","7115250","1","1","1","0","0","1","0","0","1","1","1","0","1"
"967","7182954","0","0","1","1","0","0","0","0","1","0","1","0","0"
"969","7212945","0","1","0","0","0","0","0","0","0","0","1","1","0"
"973","7214737","1","1","0","0","0","1","1","0","1","0","0","0","0"
"975","7162022","0","1","1","0","0","1","0","0","0","0","1","0","1"
"976","7184817","0","0","1","0","0","1","0","0","1","1","1","0","1"
"978","7126169","1","1","1","1","0","1","1","0","1","0","0","0","0"
"979","7218092","0","0","0","0","0","1","0","0","1","1","1","1","0"
"980","7130017","0","0","0","0","0","0","0","0","1","0","0","1","1"
