"","listing_id","interest_level","Positive.Affect","Space.Affect","About.Town.Affect","Character.Count"
"337",7127331,"low",1,0,1,839
"338",7167945,"low",5,1,1,618
"340",7190799,"medium",6,7,1,847
"341",7120422,"low",3,2,0,394
"343",7220083,"low",1,2,2,353
"344",7103388,"medium",1,0,0,907
"348",7163634,"medium",0,1,0,34
"351",7124748,"medium",5,8,3,1556
"355",7220833,"medium",2,4,0,485
"356",7214952,"low",0,1,1,483
"359",7116891,"medium",2,2,0,461
"360",7137270,"medium",3,1,0,339
"361",7137935,"low",2,2,0,335
"362",7150092,"low",0,0,0,8
"365",7144140,"medium",3,2,1,621
"370",7100389,"high",2,0,0,417
"373",7221077,"low",1,3,2,715
"374",7219078,"low",4,2,0,636
"375",7095541,"low",4,5,0,707
"377",7203328,"medium",3,1,0,870
"379",7087981,"medium",3,4,1,549
"380",7229492,"low",0,0,0,236
"381",7206615,"low",1,0,1,825
"383",7120758,"low",1,5,0,967
"386",7107623,"medium",3,2,1,701
"387",7136685,"medium",0,1,1,335
"390",7146873,"low",1,0,0,342
"392",7173496,"low",2,0,2,715
"393",7223131,"high",3,1,1,846
"394",7126261,"low",0,2,0,784
"396",7153662,"low",1,2,0,283
"397",7096174,"medium",1,1,0,215
"398",7169773,"low",2,3,2,539
"408",7166336,"low",1,0,0,68
"409",7214496,"low",3,2,0,487
"412",7132195,"low",2,2,0,462
"415",7105198,"low",6,7,3,1262
"417",7105648,"low",3,3,1,481
"419",7112992,"low",0,0,0,150
"424",7192198,"low",1,1,1,746
"425",7105389,"medium",6,3,3,965
"437",7120917,"high",2,6,1,1035
"438",7136806,"high",4,1,0,870
"440",7109319,"low",0,0,0,384
"441",7115282,"medium",2,1,0,295
"442",7146676,"medium",3,2,1,373
"444",7215893,"low",0,0,0,0
"445",7165629,"medium",1,1,0,433
"446",7219540,"medium",6,0,0,481
"447",7136465,"low",3,1,0,315
"449",7232225,"low",4,2,1,969
"451",7105202,"medium",5,1,2,788
"454",7126430,"low",0,0,0,304
"458",7111867,"low",4,4,1,1167
"465",7146798,"low",5,3,3,1083
"466",7092134,"medium",4,4,2,809
"471",7156595,"medium",3,0,0,368
"472",7230524,"medium",4,3,1,719
"473",7096089,"low",2,1,3,1025
"474",7204276,"low",1,3,1,601
"476",7187503,"low",0,0,0,0
"479",7157119,"low",7,2,3,765
"480",7205310,"low",0,1,1,472
"481",7116785,"low",5,8,0,642
"482",7220345,"low",4,1,2,765
"483",7213335,"low",0,0,0,0
"484",7226774,"medium",4,4,1,1528
"486",7139673,"low",0,5,4,1631
"487",7158994,"high",1,0,2,394
"490",7233238,"low",0,2,4,1027
"491",7139917,"medium",1,1,1,387
"494",7141300,"medium",3,2,2,762
"498",7145411,"low",0,0,0,356
"499",7207430,"low",5,2,0,760
"500",7125901,"low",0,0,0,0
"506",7148635,"low",0,0,0,8
"509",7190493,"low",1,0,1,581
"510",7183609,"medium",2,1,4,1046
"511",7105489,"low",7,5,2,991
"513",7199702,"low",0,2,0,524
"514",7232177,"low",0,2,0,456
"515",7699396,"low",2,1,0,228
"518",7187542,"low",4,3,0,1410
"519",7203495,"medium",5,2,3,712
"521",7154804,"high",3,0,0,623
"529",7213096,"low",3,0,0,154
"530",7229112,"low",1,2,4,843
"534",7195985,"medium",1,4,0,257
"535",7128989,"high",2,3,0,799
"536",7201340,"medium",1,6,3,589
"537",7160416,"low",0,0,0,302
"538",7145487,"low",1,1,1,470
"542",7132045,"medium",1,2,2,485
"548",7127946,"low",3,4,1,621
"554",7164531,"low",2,4,2,822
"555",7221942,"low",0,2,0,276
"557",7192439,"low",0,0,0,8
"558",7140922,"medium",2,0,0,319
"561",7181426,"low",1,2,0,183
"563",7088015,"low",5,2,1,1936
"564",7162106,"low",4,4,4,1533
"567",7138311,"low",3,2,2,444
"568",7188806,"medium",1,0,1,221
"569",7164370,"low",7,7,2,1493
"571",7162259,"low",1,0,1,687
"572",7131606,"high",4,2,1,763
"573",7204441,"low",0,0,1,243
"576",7189092,"low",0,1,4,1208
"577",7119739,"low",0,0,0,8
"582",7099579,"low",2,3,4,599
"585",7164940,"low",1,1,0,315
"587",7091677,"medium",6,1,0,709
"589",7159173,"low",1,1,0,218
"590",7144584,"low",0,0,0,2291
"592",7170465,"low",3,1,0,785
"597",7145105,"low",2,2,0,420
"598",7174989,"low",5,3,2,827
"599",7187660,"low",2,2,1,477
"600",7101204,"medium",0,1,0,354
"604",7174250,"medium",0,0,0,350
"605",7206561,"low",1,1,1,552
"607",7168239,"low",0,4,1,545
"610",7115466,"medium",1,2,0,400
"614",7150492,"medium",1,2,1,458
"615",7200687,"medium",2,1,1,717
"620",7118336,"low",1,0,0,57
"621",7113766,"medium",0,2,0,529
"622",7234398,"low",3,2,0,327
"623",7219996,"low",0,0,0,676
"624",7166766,"low",3,1,1,318
"626",7168961,"low",3,0,0,347
"629",7091303,"low",1,5,1,599
"631",7113377,"high",1,2,1,600
"636",7116917,"high",1,2,1,484
"638",7157778,"medium",2,0,1,466
"640",7143672,"low",2,0,1,117
"641",7185468,"medium",3,2,1,612
"644",7209367,"medium",2,1,2,750
"645",7131313,"low",12,0,1,927
"647",7090615,"low",0,2,0,260
"648",7119653,"low",3,4,1,641
"649",7214357,"low",1,0,1,450
"651",7190958,"medium",1,1,1,165
"656",7185090,"low",1,2,2,930
"657",7106402,"low",2,4,1,551
"658",7091710,"low",2,2,0,521
"659",7229732,"low",0,3,1,604
"662",7191894,"medium",2,1,0,158
"666",7110757,"low",2,1,2,394
"669",7099217,"low",0,0,1,413
"674",7225712,"low",2,1,1,314
"675",7168382,"low",3,0,4,1533
"679",7233700,"low",3,0,0,391
"681",7194838,"medium",1,3,0,724
"682",7087718,"high",0,1,0,98
"685",7176108,"low",0,0,0,8
"687",7208072,"low",2,4,0,546
"692",7223233,"medium",0,0,0,537
"693",7142533,"medium",0,4,1,607
"694",7102561,"low",1,1,1,460
"696",7151758,"low",0,2,0,97
"699",7155462,"low",2,2,1,1066
"700",7192662,"low",4,4,2,825
"703",7158810,"medium",0,0,1,811
"704",7170591,"medium",1,1,2,542
"705",7300648,"high",0,2,0,190
"706",7147363,"low",2,1,0,480
"707",7099751,"medium",5,2,2,1093
"712",7210590,"low",1,1,2,563
"714",7153703,"low",0,0,0,90
"715",7204272,"low",4,1,2,500
"716",7121308,"high",2,0,1,436
"718",7168526,"medium",1,4,1,605
"720",7114682,"medium",3,1,2,514
"725",7223738,"low",3,0,0,592
"728",7134558,"low",5,1,1,635
"730",7226520,"low",1,3,0,434
"735",7112715,"low",3,2,1,687
"737",7087774,"low",1,0,0,106
"740",7161513,"low",3,0,0,266
"741",7179526,"low",0,0,0,0
"742",7224031,"medium",3,5,1,948
"743",7207741,"low",1,0,0,286
"747",7106492,"low",1,0,0,189
"749",7158913,"medium",0,0,0,537
"754",7173462,"low",0,3,0,809
"757",7200621,"medium",2,2,1,658
"761",7187028,"medium",1,1,1,312
"762",7125363,"low",3,1,1,767
"764",7130366,"low",2,3,0,795
"766",7139958,"low",5,3,4,1211
"770",7208769,"low",0,1,3,762
"772",7103416,"low",4,1,3,578
"773",7090765,"low",0,2,0,133
"776",7117601,"low",1,4,1,594
"778",7137984,"low",1,1,3,1110
"783",7100838,"low",0,0,0,1
"786",7144427,"low",0,1,2,367
"788",7135068,"low",7,8,1,1732
"791",7202577,"low",1,0,0,90
"798",7156817,"medium",3,4,1,1667
"801",7137239,"medium",0,0,0,384
"806",7206216,"medium",0,0,0,0
"807",7110900,"medium",2,1,4,1047
"809",7214414,"low",4,2,0,511
"810",7130424,"medium",1,2,1,526
"812",7152362,"low",2,0,1,683
"813",7088531,"low",0,0,0,514
"815",7168341,"low",0,0,0,216
"816",7159381,"medium",5,0,1,2219
"818",7164902,"medium",0,0,1,353
"820",7124373,"low",0,0,0,8
"821",7230906,"low",3,2,2,907
"822",7184708,"medium",0,3,8,1390
"828",7193065,"low",4,3,0,751
"833",7166642,"medium",2,0,1,444
"836",7224785,"high",3,0,1,480
"839",7119275,"low",3,0,0,649
"840",7157285,"low",1,1,1,680
"841",7217806,"low",1,0,0,148
"843",7091219,"medium",4,1,1,695
"845",7135976,"low",2,4,4,545
"846",7201922,"medium",1,0,0,366
"847",7170059,"low",3,3,1,650
"849",7129328,"low",1,2,4,493
"850",7160501,"low",1,3,1,722
"852",7167754,"low",4,1,3,578
"858",7215169,"low",3,2,1,528
"859",7130741,"low",2,4,1,665
"862",7157915,"high",2,2,0,258
"863",7153893,"low",1,3,1,424
"865",7175290,"low",0,1,0,517
"866",7222894,"low",0,0,0,0
"872",7143730,"low",0,1,0,83
"873",7127900,"low",2,4,0,456
"875",7096090,"medium",1,0,2,915
"876",7143025,"medium",2,3,4,713
"877",7117553,"low",0,1,0,376
"878",7185559,"low",4,1,1,936
"879",7232795,"medium",5,5,3,821
"880",7095707,"low",0,2,0,372
"881",7198777,"medium",3,2,2,432
"883",7123382,"low",1,2,1,612
"884",7158186,"low",0,0,0,131
"886",7126821,"high",0,0,0,178
"889",7171981,"low",5,4,3,1217
"892",7147974,"medium",3,3,0,593
"893",7090493,"medium",3,3,0,576
"897",7092218,"high",0,5,1,624
"898",7088124,"low",0,2,1,646
"899",7187536,"low",3,0,0,303
"901",7088568,"low",0,0,0,713
"903",7166833,"low",0,1,0,309
"910",7088798,"medium",3,1,3,853
"914",7204708,"low",1,1,0,288
"917",7103044,"low",1,0,1,454
"918",7194049,"low",1,1,0,570
"921",7169942,"low",4,0,1,514
"923",7170318,"medium",2,0,2,732
"925",7165386,"low",1,6,0,404
"928",7206346,"low",3,1,1,318
"936",7208337,"low",4,0,0,517
"937",7140820,"low",3,4,2,693
"938",7194486,"low",1,1,1,408
"939",7105614,"low",6,3,3,1056
"941",7178265,"low",2,1,4,1062
"944",7439407,"low",0,1,1,185
"945",7135550,"low",0,0,0,8
"947",7092435,"medium",2,2,1,621
"948",7189120,"low",2,3,2,514
"953",7127815,"low",1,3,1,379
"956",7099446,"low",2,2,3,560
"958",7123391,"low",3,2,1,442
"959",7227520,"low",4,5,2,483
"962",7141615,"low",4,2,1,841
"963",7185499,"medium",0,0,0,24
"964",7150727,"low",0,0,0,8
"965",7115250,"low",3,2,1,745
"967",7182954,"medium",0,1,0,422
"969",7212945,"low",0,0,0,530
"973",7214737,"low",1,0,1,321
"975",7162022,"low",6,0,0,592
"976",7184817,"low",0,4,1,829
"978",7126169,"medium",0,0,0,420
"979",7218092,"low",1,0,0,148
"980",7130017,"high",1,0,0,152
"981",7158870,"low",3,0,2,891
"984",7185260,"low",2,4,4,695
"985",7133320,"low",4,2,1,360
"987",7134086,"low",1,5,3,1146
"988",7115154,"low",1,0,3,913
"993",7223279,"medium",3,1,3,955
"997",7135324,"low",1,0,2,714
"998",7140186,"low",3,2,1,493
"1002",7208829,"low",1,2,0,352
"1004",7195591,"medium",1,0,0,159
"1007",7132576,"low",4,0,1,599
"1010",7128756,"low",2,8,2,695
"1015",7124104,"medium",2,1,4,1139
"1016",7096061,"low",0,1,3,493
"1017",7152668,"high",0,0,0,8
"1019",7146106,"low",0,1,1,722
"1020",7162304,"low",3,5,2,499
"1021",7138891,"low",0,0,0,0
"1022",7145131,"low",1,0,2,815
"1023",7109739,"low",1,5,0,403
"1024",7121138,"low",0,0,0,24
"1025",7119893,"low",0,0,0,186
"1026",7180107,"low",8,2,3,1219
"1027",7197581,"low",1,4,0,445
"1030",7146503,"low",0,0,0,8
"1031",7165066,"low",7,5,1,1367
"1036",7126403,"low",0,0,1,580
"1037",7152179,"low",1,2,1,912
"1038",7113375,"medium",0,0,0,8
"1039",7228553,"low",0,0,0,248
"1041",7200224,"high",7,3,1,1539
"1044",7111118,"low",2,5,2,817
"1045",7159977,"low",1,2,2,1607
"1047",7156707,"low",5,4,1,672
"1048",7101317,"low",0,3,0,119
"1053",7225762,"low",3,3,1,911
"1056",7208269,"medium",1,0,0,359
"1058",7093542,"low",3,2,3,589
"1060",7165907,"low",0,1,2,94
"1063",7170729,"medium",1,5,5,913
"1064",7132997,"low",1,3,0,409
"1065",7118099,"low",0,1,0,363
"1066",7091365,"low",0,2,0,365
"1067",7140656,"low",0,0,0,398
"1071",7158052,"low",0,1,0,612
"1075",7099910,"low",1,0,1,258
"1076",7150580,"medium",2,1,0,280
"1078",7098239,"medium",1,2,0,322
"1083",7197078,"low",1,2,1,649
"1084",7162719,"medium",5,2,5,1053
"1087",7211853,"low",0,0,0,712
"1088",7097605,"medium",1,0,1,371
"1089",7101194,"low",3,1,1,629
"1090",7133240,"low",1,0,0,174
"1091",7108891,"low",0,2,0,77
"1092",7117383,"low",0,0,0,0
"1093",7093570,"high",2,2,1,574
"1094",7227943,"low",0,0,0,241
"1096",7188441,"low",5,2,1,996
"1097",7123083,"medium",1,0,0,214
"1099",7200547,"low",3,1,0,336
"1105",7112964,"low",0,1,1,268
"1107",7196283,"low",6,0,0,483
"1111",7122998,"low",1,5,1,1133
"1114",7143211,"medium",0,1,3,335
"1115",7096958,"low",2,1,1,554
"1117",7212066,"low",2,2,0,404
"1118",7224977,"low",0,1,4,1632
"1119",7164077,"medium",1,0,0,189
"1120",7189663,"low",1,2,2,1360
"1133",7191992,"medium",5,2,1,1095
"1135",7096628,"low",2,0,0,451
"1137",7128513,"high",4,0,1,483
"1142",7145258,"low",1,0,3,936
"1144",7121447,"medium",0,0,0,24
"1148",7175233,"low",0,1,0,658
"1152",7214718,"low",2,3,2,911
"1159",7097227,"low",0,0,0,8
"1162",7129717,"high",1,2,0,189
"1165",7213268,"low",2,1,1,312
"1167",7215152,"low",0,0,0,1111
"1169",7116433,"low",3,5,1,501
"1170",7134839,"high",3,4,1,815
"1171",7132340,"low",0,1,0,1067
"1176",7178261,"low",0,4,2,758
"1177",7110722,"medium",0,2,0,942
"1179",7117144,"low",0,1,3,759
"1180",7105336,"low",3,1,0,660
"1181",7099855,"medium",5,2,2,929
"1182",7230152,"low",2,5,3,1926
"1183",7231519,"low",0,0,0,76
"1184",7145921,"medium",1,0,0,274
"1185",7110847,"low",2,3,2,553
"1187",7112314,"low",1,3,2,1607
"1189",7104891,"low",4,3,0,550
"1190",7172700,"low",0,0,0,287
"1196",7200298,"low",0,2,2,1516
"1198",7171498,"high",1,0,1,344
"1200",7154611,"medium",2,1,1,732
"1201",7527148,"low",2,3,2,563
"1202",7157154,"high",5,3,2,865
"1204",7137663,"low",4,2,1,218
"1206",7195515,"low",3,0,2,1038
"1211",7217169,"medium",0,0,0,184
"1212",7209350,"high",2,2,3,817
"1216",7163306,"medium",2,4,0,515
"1220",7197474,"low",1,0,1,616
"1221",7231004,"low",1,1,0,229
"1225",7159380,"low",3,1,0,406
"1226",7123572,"low",3,3,4,1222
"1228",7191368,"medium",1,2,1,406
"1230",7152555,"low",0,0,0,8
"1231",7216308,"medium",1,2,0,632
"1232",7089607,"low",0,2,1,691
"1234",7146576,"low",0,0,0,8
"1236",7226283,"low",2,0,0,297
"1241",7154617,"low",3,2,1,671
"1242",7155290,"low",1,0,1,497
"1245",7088441,"low",0,1,2,647
"1250",7193312,"low",0,0,0,24
"1255",7221535,"low",2,0,2,488
"1263",7142402,"low",0,0,0,8
"1267",7135382,"medium",4,5,1,977
"1276",7152982,"medium",5,1,2,497
"1279",7158841,"high",2,0,0,408
"1280",7106533,"low",5,2,0,607
"1283",7112395,"low",2,1,0,506
"1286",7154174,"low",4,10,1,864
"1290",7091023,"low",0,0,0,8
"1293",7135662,"low",2,1,3,1942
"1294",7116134,"low",0,3,0,510
"1298",7234345,"low",0,0,0,0
"1300",7193206,"medium",2,3,2,1069
"1304",7216912,"low",3,2,2,670
"1305",7095936,"low",0,2,0,337
"1307",7093169,"low",1,0,2,656
"1308",7144609,"medium",1,2,1,673
"1316",7167712,"medium",4,1,0,335
"1318",7231483,"low",1,0,0,289
"1321",7206594,"low",0,0,0,541
"1323",7202822,"low",0,0,0,142
"1325",7225587,"medium",1,3,0,512
"1327",7123487,"low",1,1,2,308
"1328",7211664,"low",3,2,2,541
"1330",7222295,"medium",1,0,0,264
"1332",7158858,"medium",4,4,2,782
"1336",7167084,"low",0,1,0,393
"1338",7147023,"low",1,0,2,667
"1339",7151465,"low",1,2,0,534
"1340",7222897,"low",0,0,0,0
"1341",7141466,"medium",0,0,1,411
"1343",7151245,"medium",0,0,0,8
"1346",7092884,"low",1,1,0,319
"1347",7180533,"low",3,0,0,450
"1348",7098208,"low",0,0,1,464
"1353",7205075,"low",3,1,2,633
"1354",7219170,"low",3,1,4,1086
"1356",7114428,"low",2,7,1,584
"1357",7167998,"medium",0,0,0,270
"1358",7201569,"medium",3,4,2,771
"1360",7195872,"low",0,0,0,444
"1366",7116018,"low",0,0,0,8
"1374",7134452,"medium",3,1,0,382
"1378",7126258,"low",0,1,0,344
"1379",7159955,"low",3,3,1,804
"1383",7202040,"medium",1,2,1,260
"1385",7138245,"low",1,1,1,285
"1388",7131617,"medium",4,5,3,2160
"1390",7092359,"medium",1,0,0,531
"1392",7171511,"low",0,0,0,259
"1393",7221698,"high",0,2,0,862
"1399",7156581,"medium",3,0,0,439
"1401",7192499,"low",5,6,3,1219
"1402",7135284,"low",0,0,0,8
"1405",7171847,"low",6,0,0,486
"1407",7222777,"low",1,2,1,435
"1408",7171334,"low",5,3,4,889
"1411",7171255,"low",6,2,2,820
"1412",7177354,"medium",2,0,0,590
"1414",7168405,"medium",2,5,2,859
"1417",7092661,"low",3,2,0,346
"1418",7099405,"medium",2,4,3,1263
"1420",7137567,"low",0,0,0,375
"1427",7197379,"medium",3,3,5,1194
"1430",7211473,"low",1,1,2,470
"1432",7206690,"low",3,2,1,989
"1433",7168685,"medium",4,1,0,473
"1435",7186108,"medium",8,6,4,1798
"1436",7233078,"low",3,5,2,606
"1445",7193452,"low",0,0,0,265
"1446",7092293,"medium",2,2,1,659
"1450",7154744,"low",2,0,0,465
"1453",7177795,"low",2,3,3,1379
"1457",7217396,"low",0,1,0,96
"1461",7099774,"medium",0,2,2,686
"1471",7151829,"low",5,2,4,729
"1475",7218278,"medium",0,0,1,379
"1478",7096347,"medium",1,2,0,226
"1481",7091265,"low",5,1,1,898
"1482",7096577,"medium",5,6,4,1326
"1485",7205100,"medium",1,2,3,447
"1486",7172104,"low",2,0,0,335
"1487",7226090,"low",3,3,3,1031
"1493",7120664,"low",3,0,3,765
"1496",7148368,"low",0,0,0,8
"1498",7139805,"low",7,5,1,1482
"1499",7114148,"low",7,2,4,2388
"1503",7233179,"low",0,1,1,1307
"1512",7188271,"low",1,0,2,826
"1514",7207487,"medium",0,0,0,24
"1521",7156246,"low",1,0,0,322
"1522",7149549,"low",2,2,2,1258
"1523",7167990,"low",2,1,0,440
"1527",7173161,"medium",2,0,0,310
"1528",7104485,"low",0,0,1,411
"1531",7105791,"low",0,1,0,165
"1532",7531296,"low",4,3,2,672
"1536",7202274,"low",4,1,6,1452
"1538",7233364,"low",2,4,3,1266
"1541",7127434,"medium",1,2,2,320
"1546",7208396,"medium",2,3,2,1030
"1550",7223730,"low",1,0,0,253
"1554",7104340,"medium",5,0,1,724
"1563",7110181,"low",2,0,1,550
"1567",7148577,"medium",1,0,0,147
"1569",7104852,"medium",4,1,0,541
"1571",7147973,"low",0,0,0,8
"1574",7230600,"medium",2,0,1,1000
"1576",7103439,"low",1,1,0,360
"1578",7106684,"low",0,0,1,74
"1580",7172862,"high",1,5,0,658
"1582",7217259,"low",2,0,0,319
"1583",7190422,"medium",3,8,1,947
"1585",7221374,"low",0,0,0,457
"1586",7117955,"low",3,0,0,319
"1588",7091822,"high",3,2,1,631
"1590",7099429,"medium",1,4,1,519
"1591",7225137,"low",2,4,4,1059
"1593",7189025,"medium",4,5,1,946
"1595",7219275,"low",0,0,0,8
"1596",7153520,"low",4,2,2,682
"1597",7192282,"low",0,6,3,1327
"1603",7088595,"low",4,0,0,327
"1605",7197846,"low",1,5,3,1083
"1607",7120180,"low",4,6,6,1076
"1608",7144013,"low",2,1,0,338
"1611",7113436,"low",0,0,0,195
"1612",7212820,"low",6,4,2,682
"1620",7233632,"medium",6,1,6,1786
"1621",7221200,"low",2,2,0,1033
"1624",7193850,"medium",0,4,0,243
"1629",7092400,"low",1,3,0,479
"1634",7128092,"low",1,3,1,598
"1635",7217251,"high",3,3,0,1034
"1636",7088785,"low",2,0,0,226
"1637",7147934,"medium",0,0,0,8
"1640",7221104,"medium",1,0,0,148
"1644",7203206,"low",3,2,2,607
"1649",7178893,"medium",0,0,0,387
"1650",7211284,"low",0,4,2,421
"1652",7125082,"low",2,2,3,840
"1659",7191721,"low",3,1,0,455
"1660",7187910,"low",0,1,0,442
"1661",7163421,"medium",1,2,0,186
"1663",7150362,"high",3,0,0,537
"1664",7113660,"low",0,5,1,1192
"1668",7205449,"medium",2,1,0,368
"1669",7186820,"low",0,1,0,268
"1674",7154953,"medium",1,0,1,316
"1677",7089228,"low",1,0,1,445
"1678",7225949,"low",1,1,3,1009
"1680",7225322,"medium",0,0,0,8
"1681",7131075,"low",1,2,2,591
"1682",7145425,"low",0,1,1,559
"1684",7165451,"low",1,0,0,83
"1685",7191035,"medium",3,1,2,596
"1686",7197044,"medium",2,4,1,276
"1687",7127025,"low",9,3,2,681
"1689",7109816,"low",0,0,0,0
"1690",7088438,"medium",0,0,0,131
"1692",7134934,"low",3,2,0,670
"1695",7217599,"low",0,4,2,722
"1698",7090031,"medium",3,3,2,606
"1699",7122850,"medium",1,2,1,701
"1701",7165350,"medium",1,0,1,91
"1706",7169085,"low",0,0,0,8
"1707",7201913,"medium",1,2,1,274
"1708",7142216,"medium",1,1,0,307
"1710",7174710,"low",1,0,0,324
"1711",7201682,"low",5,5,2,697
"1712",7129030,"medium",3,2,0,713
"1713",7136708,"medium",1,2,2,326
"1714",7178419,"high",2,0,0,851
"1715",7227605,"medium",1,7,0,1150
"1717",7191193,"medium",2,3,4,572
"1720",7144258,"high",1,0,0,199
"1725",7095466,"low",1,2,0,267
"1727",7148072,"high",0,2,1,724
"1728",7097228,"low",1,0,0,53
"1731",7109367,"medium",1,0,1,162
"1734",7202684,"low",0,0,0,174
"1740",7220631,"low",3,0,1,954
"1742",7110146,"low",4,2,3,1117
"1746",7098241,"low",3,1,0,348
"1748",7200112,"medium",4,0,0,435
"1749",7187754,"low",4,1,2,1228
"1750",7218993,"medium",0,0,0,8
"1752",7192779,"low",1,0,1,475
"1753",7138028,"low",0,0,1,441
"1754",7178878,"medium",0,0,0,220
"1755",7099172,"medium",7,3,2,896
"1758",7167686,"medium",1,2,0,771
"1760",7135844,"low",0,0,0,8
"1761",7172768,"low",3,0,0,591
"1764",7104478,"low",5,4,0,649
"1768",7132515,"high",0,1,0,882
"1771",7132970,"medium",1,3,0,652
"1772",7184801,"low",1,4,0,894
"1774",7132435,"medium",2,1,0,820
"1777",7208908,"low",0,0,1,366
"1778",7135878,"low",2,4,2,514
"1782",7228219,"low",11,2,1,647
"1786",7111077,"high",2,2,0,826
"1789",7162784,"low",3,1,1,951
"1790",7199026,"low",4,3,1,710
"1792",7105189,"low",3,0,0,659
"1795",7112371,"low",6,2,3,1112
"1796",7116660,"low",2,2,1,368
"1799",7216129,"high",2,1,0,508
"1803",7162793,"low",6,3,1,900
"1805",7170553,"low",1,3,0,532
"1806",7139650,"high",2,1,1,590
