category,upcoming_meeting_date,group_reviews,group_members,upcoming_meetings,upcoming_address,past_meetings,upcoming_meeting_time,group_name
Film,None,7,321,25,None,None,None,"ProducingforFilm - New York, NY"
Film,None,4,"1,582",13,None,None,None,"American Black Film Festival (ABFF) Meetup - New York, NY"
Film,None,8,915,30,None,None,None,"Foreign Movie Lovers - New York, NY"
Film,None,1,262,1,Coming soon,21,None,"NYC Movie Monsters - New York, NY"
Film,Sat Feb 11,3,443,10,"632 Broadway, Suite 304, New York, NY",131,11:00 AM,"New RED Epic Camera and ADVANCED Lighting Workshops! - New York, NY"
Film,None,9,None,None,None,None,None,"City Filmmakers Networking Group - New York, NY"
Film,None,1,565,26,None,None,None,"THE FILMMAKERS NETWORK - New York, NY"
Film,None,4,590,22,None,None,None,"ScreenUp NYC - New York, NY"
Film,None,97,None,None,None,None,None,"FREE Movie Screenings - New York, NY"
Film,None,15,None,None,None,None,None,"New York Film Group - New York, NY"
Film,None,2,158,28,None,None,None,"NY Webseries Writers Group - New York, NY"
Film,None,None,10,None,None,None,None,"The New York Awards Meetup Group - New York, NY"
Film,None,14,"1,021",30,None,None,None,"NYC Filmmakers and Actors Meetup - New York, NY"
Film,None,4,399,15,None,None,None,"The NYC Adobe After Effects Meetup Group - New York, NY"
Film,None,200,"4,087",36,None,None,None,"BronyCon - New York, NY"
Film,None,9,375,1,Coming soon,48,None,"BUSY AS HELL MAKIN' MOVIES!!! - Brooklyn, NY"
Film,None,3,400,9,None,None,None,"NYC Post Production - New York, NY"
Film,None,1,860,55,"10 West 18th St., 2nd Floor, New York, NY",None,None,"NY Digital Filmmaker Group - New York, NY"
Film,None,15,261,15,None,None,None,"Blender User Group - NYC - New York, NY"
Film,None,1,130,6,None,None,None,"Caramel Club - NYC - New York, NY"
Film,None,3,716,77,None,None,None,"BigAppleTalent Film Makers and Entertainers - New York, NY"
Film,None,4,"1,077",54,None,None,None,"Film Marketing and Distribution - New York, NY"
Film,None,27,996,13,None,None,None,"Indiezone.tv Local NYC - New York, NY"
Film,None,18,865,113,None,None,None,"NYCscreenwriter - New York, NY"
Film,None,17,333,56,None,None,None,"The NYC Rifftrax/MST3K Meetup - New York, NY"
Film,None,43,"1,412",93,None,None,None,"(((  Cinema Italiano NY   ))) - New York, NY"
Film,None,20,273,None,None,None,None,"The Jersey FILM CREW Meetup Group - Jersey City, NJ"
Film,None,45,None,None,None,None,None,"Cinema Heads Movie & Dinner Club! - New York, NY"
Film,None,156,"3,770",459,None,None,None,"NYC Screenwriters Collective - New York, NY"
Film,None,None,None,None,None,None,None,"THE OVER-RATEDS (MAKING AMERICA SAFE AGAIN) - New York, NY"
Film,Sun Feb 12,1,405,7,"120 Claremont Avenue, New York, NY",None,1:30 PM,"Shows: Broadway, Off Broadway, Concerts and More - New York, NY"
Film,None,3,549,1,Coming soon,20,None,"Working Actors Network - New York, NY"
Film,Sun Feb 26,2,13,6,"220 West 48th Street, New York, NY",188,3:00 PM,"45+ Fun & Friendship Co-op - New York, NY"
Film,None,14,794,93,None,None,None,"Film Explorations - New York, NY"
Film,None,12,"1,608",1,Coming soon,31,None,"NY Filmmakers and Actors Who Just Want To Make Stuff - New York, NY"
Film,None,14,"1,809",1,Coming soon,179,None,"Cheap Movie Nights - New York, NY"
Film,Wed Feb 22,3,33,None,,None,7:00 PM,"72 Hour Monthly Short Film Challenge Meeup - New York, NY"
Film,None,4,333,None,None,None,None,"Movies & Comedy Fans NYC Meetup - Astoria, NY"
Film,None,4,127,None,None,None,None,"French Cinema and Conversation - New York, NY"
Film,None,None,None,None,None,None,None,"NYC Live Video Streaming Professionals Meetup - New York, NY"
Film,Mon Feb 13,7,"1,989",2,"16 W 22nd Street, New York, NY",48,6:00 PM,"Cinema & Cocktails - New York, NY"
Film,Sat Feb 11,20,"1,194",12,"632 Broadway #304, New York, NY",232,9:30 AM,"LIGHT & SHADOW: A Film & Video Lighting Workshop - New York, NY"
Film,None,2,92,None,None,None,None,"Manhattan Movie Nights - New York, NY"
Film,None,3,773,None,None,None,None,"New York Film and Video Production Meetup - New York, NY"
Film,None,2,324,37,None,None,None,"New York Movies & More Meetup - New York, NY"
Film,None,2,None,None,None,None,None,"Manhattan French Movies & Wine - New York, NY"
Film,Thu Mar 2,1,"2,834",1,"165 West 65th Street , New York, NY",17,9:15 PM,"Big Apple Film Festival Year Round Meetups - New York, NY"
Film,None,21,"1,185",42,None,None,None,"ALLCREATIVE NY - New York, NY"
Film,Tue Mar 7,1,85,None,"393 Broadway, New York, NY",3,6:30 PM,"New York Video Marketers - New York, NY"
Film,None,6,None,None,None,None,None,"NY Exclusive Academy/Guild Voter Screening Meetup 2016-2017 - New York, NY"
Film,Sat Feb 11,14,"4,201",13,"632 Broadway #304, New York, NY",213,9:30 AM,"NYC Filmmakers & Actors Collective - New York, NY"
Film,Fri Feb 10,6,996,14,"11 East 18th Street (at Park Avenue), New York, NY",111,6:30 PM,"Film-Preneurs Growth Hacking BUSINESS Fast Forward! - New York, NY"
Film,None,24,None,None,None,None,None,"Mondo Culto - The NY Cult Film Meetup - New York, NY"
Film,Thu Mar 2,24,"2,743",2,"165 West 65th Street , New York, NY",234,9:15 PM,"The New York City Indie Film Meetup Group - New York, NY"
Film,Tue Feb 14,3,62,15,"227 W 29th St, New York, NY",None,7:00 PM,"FilmIndie Cinema Club Meetup (NYC/NJ) - Jersey City, NJ"
Film,Sun Feb 12,1,109,None,"108 Jay Street, Brooklyn, NY",None,12:00 PM,"New York Film Industry Meetup - New York, NY"
Film,Sun Feb 26,3,399,2,"209 West Houston Street, New York , NY",14,6:00 PM,"NYC Classic Films Meetup - New York, NY"
Film,Fri Feb 10,20,"1,318",104,"11 East 18th Street (at Park Avenue), New York, NY",None,6:30 PM,"Digital Media Content Makers Meetup - New York, NY"
Film,Sat Feb 11,14,405,3,,134,7:00 PM,"The Horror Of It All... - New York, NY"
Film,Sat Feb 11,4,"4,298",11,"632 Broadway #304, New York, NY",208,9:30 AM,"New York Film Collaborative - New York, NY"
Film,None,3,None,None,None,None,None,"NY Independent Filmmakers & Creative People Collective - New York, NY"
Film,Sat Feb 11,1,57,2,"13-25 Astor Pl, New York, NY",None,10:00 AM,"YouTube4Life4Sure4Real - New York, NY"
Film,None,10,526,35,None,None,None,"Bad Movie Night NYC - Astoria, NY"
Film,Sat Feb 11,165,"8,359",2,"West 23rd Street and 10th Avenue, New York, NY",220,3:00 PM,"The Culture & Film Club - New York, NY"
Film,Sat Feb 18,13,"1,926",1,"30 John Street, DUMBO, Brooklyn, NY",36,10:30 AM,"DUMBO Storytellers Meetup - Brooklyn, NY"
Film,None,14,"2,708",95,None,None,None,"NY Indie Filmmakers - New York, NY"
Film,Thu Feb 16,7,848,19,"32 Second Avenue, New York, NY",None,7:15 PM,"New York Latin American / Latino Cinema - New York, NY"
Film,Sun Feb 12,1,157,1,"234 West 42nd Street, New York, NY",5,1:00 PM,"Movies Masti Magic - New York, NY"
Film,None,11,691,None,None,None,None,"RED Digital Cinema 'Underground' - New York, NY"
Film,Sat Feb 11,4,131,17,"431 W. 16th Street, New York, NY",None,8:00 PM,"NYC Disney Fanatics Meetup - New York, NY"
Film,None,44,None,None,None,None,None,"The New York DaRk siDe Horror Group - New York, NY"
Film,None,9,"3,948",106,None,None,None,"The Writers and Actors Group - New York, NY"
Film,Sat Feb 11,2,"1,728",5,"632 Broadway #304, New York, NY",64,9:30 AM,"New York City Filmmakers - New York, NY"
Film,None,1,232,1,None,None,None,"Ingenious Film Makers - New York, NY"
Film,None,4,639,None,None,None,None,"Animation, Film, 3D, Technology - New York Art & Tech Group - New York, NY"
Film,Tue Feb 21,7,447,13,"200 N 14th Street , Brooklyn, NY",None,8:00 PM,"Animation Nights New York - New York, NY"
Film,None,43,None,None,None,None,None,"NYC SINGLES over 40 MOVIE& BRUNCH &DINNER CLUB!!! - New York, NY"
Film,Sat Feb 11,7,"1,670",2,"130 east 39th at Lexington, New York, NY",104,6:30 PM,"Desi Friends - Connecting South Asians - New York, NY"
Film,Mon Feb 13,14,"1,122",10,Coming soon,87,4:30 PM,"The Black TV and Film Collective - New York, NY"
Film,Fri Feb 10,19,"5,843",2,"230 Fifth Ave, New York, NY",268,6:00 PM,"""New York Film & Fashion Professionals"" - New York, NY"
Film,None,99,None,None,None,None,None,"Dinner and a Movie NYC - New York, NY"
Film,Sat Feb 11,39,"4,509",38,"440 9th Ave, New York, NY","1,532",7:30 PM,"NYC Mix & Mingle Meetup Group (4,000+ members) - New York, NY"
Film,None,67,None,None,None,None,None,"The New York Horror Movie Group - New York, NY"
Film,None,None,None,None,None,None,None,None
Film,Sun Feb 12,14,748,2,"42 W 18th St, New York, NY",50,11:00 AM,"StoryForward NYC - New York, NY"
Film,Sat Feb 11,103,"1,197",4,"1537 Nostrand Ave Floor 3 Brooklyn New York, New York, NY",700,12:00 PM,"Bronies-NYC - New York, NY"
Film,Sun Feb 12,80,"1,456",6,,335,8:30 PM,"NYC GRINDHOUSE! - New York, NY"
Film,Fri Feb 10,10,"7,762",2,"230 5th Avenue, New York, NY",87,6:00 PM,"*Networking for Actors, Entertainers & Media Professionals* - New York, NY"
Film,None,49,None,None,None,None,None,"British Film and Television Meetup Group - Astoria, NY"
Sci-Fi & Games,None,1,None,None,None,None,None,"Dungeon Crawl Collective - Brooklyn, NY"
Sci-Fi & Games,None,None,None,None,None,None,None,"TV/Movies Happy Hour - New York, NY"
Sci-Fi & Games,Fri Feb 10,50,165,613,Coming soon,None,4:00 PM,"NYC Speakeasy Poker 1/3 & 2/5NLH & PLO- Grn Villag - New York, NY"
Sci-Fi & Games,Fri Feb 10,10,302,253,Coming soon,None,7:00 PM,"East Village - Donkey $1/3 Poker Holdem NLHE Cash Game - New York, NY"
Sci-Fi & Games,Wed Feb 15,6,248,2,"31st Street and 5th Avenue, New York, NY",562,7:00 PM,"Noumena: A World of Darkness RPG Meetup - New York, NY"
Sci-Fi & Games,Fri Feb 10,3,72,30,,552,7:00 PM,"NYC VTES: Vampire The Eternal Struggle Meetup Group - Brooklyn, NY"
Sci-Fi & Games,Sat Feb 11,6,312,1,"550 Madison Avenue on the west side, New York, NY",153,2:00 PM,"Pokemon DS Meetup NYC - New York, NY"
Sci-Fi & Games,None,12,"1,582",295,None,None,None,"* New York COOL Spot Hopping * World  Foods, Drinks & Music - New York, NY"
Sci-Fi & Games,None,11,None,None,None,None,None,"NYC RPGeezers - New York, NY"
Sci-Fi & Games,None,4,204,1,Coming soon,44,None,"The NYC Diplomacy and Risk Meetup Group - New York, NY"
Sci-Fi & Games,Sat Feb 11,1,165,10,"170 MAIN STREET, RIDGEFIELD PARK, NJ",None,1:00 PM,"Nerdy NJ/NY - West New York, NJ"
Sci-Fi & Games,Fri Feb 10,13,"1,703",55,"59th and 5th Ave, New York, NY",None,7:00 PM,"Pokemon Go NYC - New York, NY"
Sci-Fi & Games,Thu Feb 16,1,41,10,"66 Leroy Street, New York, NY",16,5:00 PM,"NYC Jigsaw Puzzles Meetup - New York, NY"
Sci-Fi & Games,None,1,None,None,None,None,None,"Learn to play American Mah Jongg! - New York, NY"
Sci-Fi & Games,Sun Feb 12,20,117,30,"116 W 32nd St, New York, NY",None,3:00 PM,"The Manhattan RPG, CCG, and Table Top group! - New York, NY"
Sci-Fi & Games,Fri Mar 17,10,"1,037",1,"Bay Side , ATLANTIC CITY , NJ",20,12:00 PM,"eSports Heroes of NYC - New York, NY"
Sci-Fi & Games,None,2,270,30,None,None,None,"NYC Abstract Strategy - New York, NY"
Sci-Fi & Games,None,3,None,None,None,None,None,"New York City Poker Tournaments - New York, NY"
Sci-Fi & Games,Fri Feb 10,2,658,19,Coming soon,"3,894",2:00 PM,"Low Stakes Poker in Midtown - New York, NY"
Sci-Fi & Games,Fri Feb 24,5,412,6,"116 West 32nd St., New York, NY",156,7:00 PM,"The  New York City Star Wars  Meetup - New York, NY"
Sci-Fi & Games,Sat Feb 11,None,1,None,"Location will be emailed to members, Buswick, NY",None,7:00 PM,"Artemis Starship Bridge Simulator NYC - New York, NY"
Sci-Fi & Games,Sun Feb 19,2,16,1,"333 Court St, Brooklyn, NY",7,1:00 PM,"Brooklyn Battletech Meetup - Brooklyn, NY"
Sci-Fi & Games,Thu Feb 16,1,28,36,"303 5th Ave, New York, NY",None,7:00 PM,"NYC Lord of the Rings LCG - New York, NY"
Sci-Fi & Games,None,9,None,None,None,None,None,"The New York Spades Meetup Group - New York, NY"
Sci-Fi & Games,Fri Feb 10,7,346,10,"837 Union St, Brooklyn, NY",569,6:45 PM,"The Brooklyn Speed Chess Meetup Group - Brooklyn, NY"
Sci-Fi & Games,None,34,399,None,None,None,None,"Jersey City Board Games Meetup - Jersey City, NJ"
Sci-Fi & Games,None,4,23,101,None,None,None,"Manhattan Word Games Meetup - New York, NY"
Sci-Fi & Games,None,17,None,None,None,None,None,"New York Parkour Meetup Group - New York, NY"
Sci-Fi & Games,None,None,None,None,None,None,None,"Astoria Queens Dungeons and Dragons/Call of Cthulhu Group - Astoria, NY"
Sci-Fi & Games,None,2,None,None,None,None,None,"Tasogare Anime Network - New York, NY"
Sci-Fi & Games,Sat Feb 11,5,452,1,"Sony Atrium is located at 550 Madison Avenue (between 55th and 56th), New York, NY",54,1:00 PM,"Game of Thrones board game - New York, NY"
