"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2007"	"2007"	14	2868824	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2008"	"2008"	16	2870508	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2009"	"2009"	19	2874467	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2010"	"2010"	16	2867249	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2011"	"2011"	16	2851397	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2012"	"2012"	26	2838389	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2013"	"2013"	19	2814210	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2014"	"2014"	13	2799212	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2015"	"2015"	16	2772808	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	10	252905	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"Black or African American"	"2054-5"	"2008"	"2008"	12	618338	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"Black or African American"	"2054-5"	"2013"	"2013"	13	634650	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"Black or African American"	"2054-5"	"2015"	"2015"	15	624549	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"1999"	"1999"	30	2647304	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2000"	"2000"	19	2668580	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2001"	"2001"	37	2715400	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2002"	"2002"	31	2746607	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2003"	"2003"	28	2776657	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2004"	"2004"	38	2801704	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2005"	"2005"	40	2828251	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2006"	"2006"	31	2853486	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2007"	"2007"	37	2868824	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2008"	"2008"	49	2870508	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2009"	"2009"	45	2874467	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2010"	"2010"	64	2867249	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2011"	"2011"	64	2851397	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2012"	"2012"	61	2838389	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2013"	"2013"	69	2814210	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2014"	"2014"	60	2799212	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2015"	"2015"	71	2772808	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2002"	"2002"	10	2792169	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2014"	"2014"	11	2773305	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2015"	"2015"	13	2782299	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"1999"	"1999"	32	3018709	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2000"	"2000"	16	2945782	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2001"	"2001"	27	2852134	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2002"	"2002"	21	2792169	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2003"	"2003"	15	2743202	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2004"	"2004"	22	2691179	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2005"	"2005"	15	2633948	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2006"	"2006"	14	2589171	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2007"	"2007"	14	2575195	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2008"	"2008"	35	2597414	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2009"	"2009"	24	2622280	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2010"	"2010"	21	2641412	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2011"	"2011"	18	2686612	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2012"	"2012"	27	2720290	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2013"	"2013"	28	2753782	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2014"	"2014"	22	2773305	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2015"	"2015"	32	2782299	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"1999"	"1999"	36	3018709	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2000"	"2000"	35	2945782	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2001"	"2001"	33	2852134	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2002"	"2002"	25	2792169	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2003"	"2003"	36	2743202	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2004"	"2004"	34	2691179	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2005"	"2005"	33	2633948	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2006"	"2006"	41	2589171	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2007"	"2007"	37	2575195	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2008"	"2008"	26	2597414	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2009"	"2009"	26	2622280	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2010"	"2010"	46	2641412	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2011"	"2011"	29	2686612	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2012"	"2012"	40	2720290	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2013"	"2013"	47	2753782	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2014"	"2014"	55	2773305	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2015"	"2015"	36	2782299	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	12	304846	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"Black or African American"	"2054-5"	"2014"	"2014"	10	587758	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"1999"	"1999"	24	3018709	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2000"	"2000"	24	2945782	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2001"	"2001"	34	2852134	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2002"	"2002"	32	2792169	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2003"	"2003"	29	2743202	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2004"	"2004"	35	2691179	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2005"	"2005"	34	2633948	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2006"	"2006"	40	2589171	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2007"	"2007"	33	2575195	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2008"	"2008"	45	2597414	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2009"	"2009"	28	2622280	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2010"	"2010"	42	2641412	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2011"	"2011"	54	2686612	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2012"	"2012"	48	2720290	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2013"	"2013"	57	2753782	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2014"	"2014"	70	2773305	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2015"	"2015"	58	2782299	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"1999"	"1999"	17	3675052	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2000"	"2000"	10	3667162	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2001"	"2001"	12	3630348	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2006"	"2006"	12	3278591	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2007"	"2007"	11	3185036	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2013"	"2013"	11	2695497	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"1999"	"1999"	46	3675052	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2000"	"2000"	43	3667162	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2001"	"2001"	38	3630348	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2002"	"2002"	29	3574430	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2003"	"2003"	34	3505786	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2004"	"2004"	27	3430544	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2005"	"2005"	39	3356497	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2006"	"2006"	33	3278591	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2007"	"2007"	29	3185036	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2008"	"2008"	22	3086319	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2009"	"2009"	33	2978772	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2010"	"2010"	32	2906087	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2011"	"2011"	39	2814154	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2012"	"2012"	31	2752126	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2013"	"2013"	36	2695497	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2014"	"2014"	29	2650512	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2015"	"2015"	38	2609861	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"1999"	"1999"	81	3675052	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2000"	"2000"	99	3667162	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2001"	"2001"	75	3630348	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2002"	"2002"	62	3574430	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2003"	"2003"	83	3505786	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2004"	"2004"	66	3430544	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2005"	"2005"	73	3356497	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2006"	"2006"	62	3278591	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2007"	"2007"	77	3185036	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2008"	"2008"	80	3086319	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2009"	"2009"	74	2978772	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2010"	"2010"	79	2906087	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2011"	"2011"	77	2814154	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2012"	"2012"	69	2752126	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2013"	"2013"	66	2695497	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2014"	"2014"	74	2650512	2.8
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2015"	"2015"	67	2609861	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Suffocation"	"GRINJ-017"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	13	288436	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"1999"	"1999"	43	3675052	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2000"	"2000"	29	3667162	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2001"	"2001"	38	3630348	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2002"	"2002"	42	3574430	1.2
