Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,
67|61|61|12|Little Lion Man|MUMFORD & SONS|2010-08-28|98|61|21|20101113,,,,
68|56|55|16|Roll With It|EASTON CORBIN|2010-07-31|98|55|19|20101113,,,,
69|42|31|13|2012 (It Ain't The End)|JAY SEAN featuring NICKI MINAJ|2010-08-21|50|31|14|20101113,,,,
70|62|30|19|If I Had You|ADAM LAMBERT|2010-07-10|94|30|20|20101113,,,,
71|NEW|71|1|Last Kiss|TAYLOR SWIFT|2010-11-13|71|71|1|20101113,,,,
72|NEW|72|1|I Won't Let Go|RASCAL FLATTS|2010-11-13|72|72|1|20101113,,,,
73|68|68|5|Mama's Song|CARRIE UNDERWOOD|2010-10-16|87|56|18|20101113,,,,
74|74|74|3|Shake|JESSE McCARTNEY|2010-10-30|78|54|9|20101113,,,,
75|NEW|75|1|Enchanted|TAYLOR SWIFT|2010-11-13|75|75|1|20101113,,,,
76|60|60|10|Holding You Down (Goin' In Circles)|JAZMINE SULLIVAN|2010-09-11|98|60|12|20101113,,,,
77|NEW|77|1|Mr. Rager|KID CUDI|2010-11-13|77|77|1|20101113,,,,
78|72|71|9|The Breath You Take|GEORGE STRAIT|2010-09-18|95|63|20|20101113,,,,
79|76|76|7|Turn On To The Radio|REBA|2010-10-02|94|53|18|20101113,,,,
80|70|70|4|Rhythm Of Love|PLAIN WHITE T'S|2010-10-23|89|38|18|20101113,,,,
81|69|67|10|Toot It And Boot It|YG|2010-09-11|94|67|11|20101113,,,,
82|77|75|9|Only Prettier|MIRANDA LAMBERT|2010-09-18|96|61|23|20101113,,,,
83|81|81|3|Put You In A Song|KEITH URBAN|2010-10-30|89|53|18|20101113,,,,
84|NEW|84|1|Never Grow Up|TAYLOR SWIFT|2010-11-13|84|84|1|20101113,,,,
85|NEW|85|1|Long Live|TAYLOR SWIFT|2010-11-13|85|85|1|20101113,,,,
86|91|86|2|Lay It Down|LLOYD|2010-11-06|91|64|19|20101113,,,,
87|65|65|2|Radioactive|KINGS OF LEON|2010-11-06|65|65|3|20101113,,,,
88|71|58|16|Love All Over Me|MONICA|2010-07-31|94|58|17|20101113,,,,
89|NEW|89|1|Time Warp|GLEE CAST|2010-11-13|89|89|1|20101113,,,,
90|NEW|90|1|Hollywood|MICHAEL BUBLE|2010-11-13|90|90|1|20101113,,,,
91|73|59|18|All Over Me|JOSH TURNER|2010-07-17|97|59|18|20101113,,,,
92|87|87|2|Double Vision|3OH!3|2010-11-06|87|87|3|20101113,,,,
93|88|88|3|This Ain't No Love Song|TRACE ADKINS|2010-10-30|100|88|6|20101113,,,,
94|84|77|3|Dog Days Are Over|FLORENCE + THE MACHINE|2010-10-30|77|21|16|20101113,,,,
95|100|95|2|Waiting For The End|LINKIN PARK|2010-11-06|100|42|21|20101113,,,,
96|NEW|96|1|Jar Of Hearts|CHRISTINA PERRI|2010-11-13|96|17|27|20101113,,,,
97|NEW|97|1|One In A Million|NE-YO|2010-11-13|97|87|7|20101113,,,,
98|90|90|2|Porn Star Dancing|MY DARKEST DAYS featuring ZAKK WYLDE|2010-11-06|90|90|5|20101113,,,,
99|97|97|7|Smoke A Little Smoke|ERIC CHURCH|2010-10-02|97|78|20|20101113,,,,
100|NEW|100|1|Someone Else Calling You Baby|LUKE BRYAN|2010-11-13|100|56|20|20101113,,,,
1|1|1|11|Like A G6|FAR*EAST MOVEMENT featuring CATARACS & DEV|2010-08-28|92|1|26|20101106,,,,
2|2|1|14|Just The Way You Are|BRUNO MARS|2010-08-07|43|1|48|20101106,,,,
3|4|3|7|Only Girl (In The World)|RIHANNA|2010-09-25|75|1|27|20101106,,,,
4|3|3|10|Just A Dream|NELLY|2010-09-04|12|3|28|20101106,,,,
5|5|4|15|DJ Got Us Fallin' In Love|USHER featuring PITBULL|2010-07-31|19|4|34|20101106,,,,
6|10|6|11|Bottoms Up|TREY SONGZ featuring NICKI MINAJ|2010-08-28|22|6|26|20101106,,,,
7|7|1|14|Teenage Dream|KATY PERRY|2010-08-07|20|1|33|20101106,,,,
8|8|2|21|Dynamite|TAIO CRUZ|2010-06-19|26|2|47|20101106,,,,
9|9|9|17|Club Can't Handle Me|FLO RIDA featuring DAVID GUETTA|2010-07-17|65|9|29|20101106,,,,
10|11|10|3|Raise Your Glass|P!NK|2010-10-23|51|1|30|20101106,,,,
11|NEW|11|1|Mean|TAYLOR SWIFT|2010-11-06|11|11|1|20101106,,,,
12|12|1|18|Love The Way You Lie|EMINEM featuring RIHANNA|2010-07-10|2|1|29|20101106,,,,
13|14|3|12|Mine|TAYLOR SWIFT|2010-08-21|3|3|23|20101106,,,,
14|13|4|24|I Like It|ENRIQUE IGLESIAS featuring PITBULL|2010-05-29|89|4|38|20101106,,,,
15|15|15|21|Animal|NEON TREES|2010-06-19|100|13|36|20101106,,,,
16|16|14|17|Deuces|CHRIS BROWN featuring TYGA & KEVIN McCALL|2010-07-17|87|14|27|20101106,,,,
17|17|17|9|Fuck You!|CEE LO GREEN|2010-09-11|96|2|48|20101106,,,,
18|22|18|7|No Hands|WAKA FLOCKA FLAME feauring ROSCOE DASH & WAL|2010-09-25|45|13|32|20101106,,,,
19|34|19|5|Please Don't Go|MIKE POSNER|2010-10-09|94|16|20|20101106,,,,
20|20|6|10|Right Above It|LIL WAYNE featuring DRAKE|2010-09-04|6|6|24|20101106,,,,
21|19|19|16|If I Die Young|THE BAND PERRY|2010-07-24|92|19|28|20101106,,,,
22|18|8|14|Take It Off|KE$HA|2010-08-07|92|8|19|20101106,,,,
23|23|20|13|Stuck Like Glue|SUGARLAND|2010-08-14|20|17|24|20101106,,,,
24|24|21|17|Secrets|ONEREPUBLIC|2010-07-17|83|21|32|20101106,,,,
25|28|25|7|Check It Out|WILL.I.AM & NICKI MINAJ|2010-09-25|78|24|13|20101106,,,,
26|21|21|11|Hot Tottie|USHER featuring JAY-Z|2010-08-28|100|21|16|20101106,,,,
27|32|27|11|Love Like Woe|THE READY SET|2010-08-28|97|27|21|20101106,,,,
28|25|6|26|Cooler Than Me|MIKE POSNER featuring BIG SEAN|2010-05-15|85|6|29|20101106,,,,
29|36|29|6|We No Speak Americano|YOLANDA BE COOL & DCUP|2010-10-02|83|29|20|20101106,,,,
30|6|6|2|Back To December|TAYLOR SWIFT|2010-10-30|6|6|2|20101106,,,,
31|26|1|24|California Gurls|KATY PERRY featuring SNOOP DOGG|2010-05-29|2|1|27|20101106,,,,
32|84|32|3|Loca|SHAKIRA featuring EL CATA|2010-10-23|98|32|11|20101106,,,,
33|31|2|28|Airplanes|B.O.B featuring HAYLEY WILLIAMS of PARAMORE|2010-05-01|12|2|30|20101106,,,,
34|29|14|18|Misery|MAROON 5|2010-07-10|44|14|20|20101106,,,,
35|35|25|12|Fancy|DRAKE featuring T.I. & SWIZZ BEATS|2010-08-21|97|25|19|20101106,,,,
36|40|36|12|September|DAUGHTRY|2010-08-21|94|36|20|20101106,,,,
37|42|32|18|King Of Anything|SARA BAREILLES|2010-07-10|59|32|22|20101106,,,,
38|43|36|12|Letting Go (Dutty Love)|SEAN KINGSTON featuring NICKI MINAJ|2010-08-21|46|36|20|20101106,,,,
39|46|39|11|As She's Walking Away|ZAC BROWN BAND featuring ALAN JACKSON|2010-08-28|77|32|20|20101106,,,,
40|30|1|25|Not Afraid|EMINEM|2010-05-22|1|1|25|20101106,,,,
41|37|37|15|Come Back Song|DARIUS RUCKER|2010-07-31|67|37|20|20101106,,,,
42|33|31|12|2012 (It Ain't The End)|JAY SEAN featuring NICKI MINAJ|2010-08-21|50|31|14|20101106,,,,
43|44|1|30|OMG|USHER featuring WILL.I.AM|2010-04-17|14|1|30|20101106,,,,
44|52|44|6|Can't Be Friends|TREY SONGZ|2010-10-02|74|43|20|20101106,,,,
45|39|10|19|Magic|B.O.B featuring RIVERS CUOMO|2010-07-03|100|10|19|20101106,,,,
46|49|34|20|If It's Love|TRAIN|2010-06-26|90|34|20|20101106,,,,
47|53|47|19|Farmer's Daughter|RODNEY ATKINS|2010-07-03|96|47|21|20101106,,,,
48|56|48|9|My Kinda Party|JASON ALDEAN|2010-09-11|54|39|20|20101106,,,,
49|59|49|4|No Love|EMINEM featuring LIL WAYNE|2010-10-16|89|29|16|20101106,,,,
50|66|50|3|Aston Martin Music|RICK ROSS featuring DRAKE & CHRISETTE MICHELE|2010-10-23|96|30|19|20101106,,,,
51|64|51|2|Black And Yellow|WIZ KHALIFA|2010-10-30|64|1|24|20101106,,,,
52|57|44|4|Hey Baby (Drop It To The Floor)|PITBULL featuring T-PAIN|2010-10-16|51|7|31|20101106,,,,
53|47|18|13|The Boys Of Fall|KENNY CHESNEY|2010-08-14|96|18|18|20101106,,,,
54|38|12|3|Runaway|KANYE WEST featuring PUSHA T|2010-10-23|12|12|13|20101106,,,,
55|58|55|8|Anything Like Me|BRAD PAISLEY|2010-09-18|100|48|19|20101106,,,,
56|55|55|15|Roll With It|EASTON CORBIN|2010-07-31|98|55|19|20101106,,,,
57|NEW|57|1|Firework|KATY PERRY|2010-11-06|57|1|39|20101106,,,,
58|61|58|6|All I Want Is You|MIGUEL featuring J COLE|2010-10-02|91|58|14|20101106,,,,
59|68|59|4|Right Thru Me|NICKI MINAJ|2010-10-16|74|26|19|20101106,,,,
60|62|60|9|Holding You Down (Goin' In Circles)|JAZMINE SULLIVAN|2010-09-11|98|60|12|20101106,,,,
61|65|61|11|Little Lion Man|MUMFORD & SONS|2010-08-28|98|61|21|20101106,,,,
62|51|30|18|If I Had You|ADAM LAMBERT|2010-07-10|94|30|20|20101106,,,,
63|63|48|10|Why Wait|RASCAL FLATTS|2010-09-04|48|48|20|20101106,,,,
64|73|64|3|Memories|DAVID GUETTA featuring KID CUDI|2010-10-23|94|46|14|20101106,,,,
65|NEW|65|1|Radioactive|KINGS OF LEON|2010-11-06|65|65|3|20101106,,,,
66|NEW|66|1|Gonna Get This|HANNAH MONTANA featuring IYAZ|2010-11-06|66|66|1|20101106,,,,
67|74|67|3|Stereo Love|EDWARD MAYA & VIKA JIGULINA|2010-10-23|93|16|28|20101106,,,,
68|70|68|4|Mama's Song|CARRIE UNDERWOOD|2010-10-16|87|56|18|20101106,,,,
69|67|67|9|Toot It And Boot It|YG|2010-09-11|94|67|11|20101106,,,,
70|82|70|3|Rhythm Of Love|PLAIN WHITE T'S|2010-10-23|89|38|18|20101106,,,,
71|72|58|15|Love All Over Me|MONICA|2010-07-31|94|58|17|20101106,,,,
72|71|71|8|The Breath You Take|GEORGE STRAIT|2010-09-18|95|63|20|20101106,,,,
73|60|59|17|All Over Me|JOSH TURNER|2010-07-17|97|59|18|20101106,,,,
74|78|74|2|Shake|JESSE McCARTNEY|2010-10-30|78|54|9|20101106,,,,
75|79|75|4|Grenade|BRUNO MARS|2010-10-16|81|1|36|20101106,,,,
76|76|76|6|Turn On To The Radio|REBA|2010-10-02|94|53|18|20101106,,,,
77|75|75|8|Only Prettier|MIRANDA LAMBERT|2010-09-18|96|61|23|20101106,,,,
78|NEW|78|1|Whip My Hair|WILLOW|2010-11-06|78|11|16|20101106,,,,
79|NEW|79|1|Monster|KANYE WEST featuring JAY-Z, RICK ROSS, BON IVER & NICKI MINA|2010-11-06|79|18|5|20101106,,
80|NEW|80|1|Waka Waka (This Time For Africa)|SHAKIRA featuring FRESHLYGROUND|2010-11-06|80|80|1|20101106,,,,
81|89|81|2|Put You In A Song|KEITH URBAN|2010-10-30|89|53|18|20101106,,,,
82|NEW|82|1|The End|KINGS OF LEON|2010-11-06|82|82|1|20101106,,,,
83|NEW|83|1|What's My Name?|RIHANNA featuring DRAKE|2010-11-06|83|1|22|20101106,,,,
84|77|77|2|Dog Days Are Over|FLORENCE + THE MACHINE|2010-10-30|77|21|16|20101106,,,,
85|85|85|9|Way Out Here|JOSH THOMPSON|2010-09-11|100|85|9|20101106,,,,
86|45|8|3|Speak Now|TAYLOR SWIFT|2010-10-23|8|8|3|20101106,,,,
87|NEW|87|1|Double Vision|3OH!3|2010-11-06|87|87|3|20101106,,,,
88|100|88|2|This Ain't No Love Song|TRACE ADKINS|2010-10-30|100|88|6|20101106,,,,
89|NEW|89|1|Rap Song|T-PAIN featuring RICK ROSS|2010-11-06|89|89|1|20101106,,,,
90|NEW|90|1|Porn Star Dancing|MY DARKEST DAYS featuring ZAKK WYLDE|2010-11-06|90|90|5|20101106,,,,
91|NEW|91|1|Lay It Down|LLOYD|2010-11-06|91|64|19|20101106,,,,
92|90|60|16|B.M.F. (Blowin' Money Fast)|RICK ROSS featuring STYLES P|2010-07-24|98|60|16|20101106,,,,
93|NEW|93|1|Tighten Up|THE BLACK KEYS|2010-11-06|93|93|1|20101106,,,,
94|86|51|19|Our Kind Of Love|LADY ANTEBELLUM|2010-07-03|94|51|19|20101106,,,,
95|NEW|95|1|Strip Me|NATASHA BEDINGFIELD|2010-11-06|95|95|1|20101106,,,,
96|95|95|2|Angel|AKON|2010-10-30|95|95|2|20101106,,,,
97|97|97|6|Smoke A Little Smoke|ERIC CHURCH|2010-10-02|97|78|20|20101106,,,,
98|92|37|19|All About Tonight|BLAKE SHELTON|2010-07-03|98|37|19|20101106,,,,
99|NEW|99|1|Got Your Back|T.I. featuring KERI HILSON|2010-11-06|99|99|1|20101106,,,,
100|NEW|100|1|Waiting For The End|LINKIN PARK|2010-11-06|100|42|21|20101106,,,,
1|2|1|10|Like A G6|FAR*EAST MOVEMENT featuring CATARACS & DEV|2010-08-28|92|1|26|20101030,,,,
2|1|1|13|Just The Way You Are|BRUNO MARS|2010-08-07|43|1|48|20101030,,,,
3|3|3|9|Just A Dream|NELLY|2010-09-04|12|3|28|20101030,,,,
4|6|3|6|Only Girl (In The World)|RIHANNA|2010-09-25|75|1|27|20101030,,,,
5|5|4|14|DJ Got Us Fallin' In Love|USHER featuring PITBULL|2010-07-31|19|4|34|20101030,,,,
6|NEW|6|1|Back To December|TAYLOR SWIFT|2010-10-30|6|6|2|20101030,,,,
7|4|1|13|Teenage Dream|KATY PERRY|2010-08-07|20|1|33|20101030,,,,
8|7|2|20|Dynamite|TAIO CRUZ|2010-06-19|26|2|47|20101030,,,,
9|9|9|16|Club Can't Handle Me|FLO RIDA featuring DAVID GUETTA|2010-07-17|65|9|29|20101030,,,,
10|13|10|10|Bottoms Up|TREY SONGZ featuring NICKI MINAJ|2010-08-28|22|6|26|20101030,,,,
11|51|11|2|Raise Your Glass|P!NK|2010-10-23|51|1|30|20101030,,,,
12|10|1|17|Love The Way You Lie|EMINEM featuring RIHANNA|2010-07-10|2|1|29|20101030,,,,
13|11|4|23|I Like It|ENRIQUE IGLESIAS featuring PITBULL|2010-05-29|89|4|38|20101030,,,,
14|14|3|11|Mine|TAYLOR SWIFT|2010-08-21|3|3|23|20101030,,,,
15|15|15|20|Animal|NEON TREES|2010-06-19|100|13|36|20101030,,,,
16|17|14|16|Deuces|CHRIS BROWN featuring TYGA & KEVIN McCALL|2010-07-17|87|14|27|20101030,,,,
17|18|17|8|Fuck You!|CEE LO GREEN|2010-09-11|96|2|48|20101030,,,,
18|16|8|13|Take It Off|KE$HA|2010-08-07|92|8|19|20101030,,,,
19|27|19|15|If I Die Young|THE BAND PERRY|2010-07-24|92|19|28|20101030,,,,
20|26|6|9|Right Above It|LIL WAYNE featuring DRAKE|2010-09-04|6|6|24|20101030,,,,
21|22|21|10|Hot Tottie|USHER featuring JAY-Z|2010-08-28|100|21|16|20101030,,,,
22|30|22|6|No Hands|WAKA FLOCKA FLAME feauring ROSCOE DASH & WAL|2010-09-25|45|13|32|20101030,,,,
23|25|20|12|Stuck Like Glue|SUGARLAND|2010-08-14|20|17|24|20101030,,,,
24|21|21|16|Secrets|ONEREPUBLIC|2010-07-17|83|21|32|20101030,,,,
25|20|6|25|Cooler Than Me|MIKE POSNER featuring BIG SEAN|2010-05-15|85|6|29|20101030,,,,
26|19|1|23|California Gurls|KATY PERRY featuring SNOOP DOGG|2010-05-29|2|1|27|20101030,,,,
27|NEW|27|1|Lucky|GLEE CAST|2010-10-30|27|27|1|20101030,,,,
28|34|28|6|Check It Out|WILL.I.AM & NICKI MINAJ|2010-09-25|78|24|13|20101030,,,,
29|23|14|17|Misery|MAROON 5|2010-07-10|44|14|20|20101030,,,,
30|28|1|24|Not Afraid|EMINEM|2010-05-22|1|1|25|20101030,,,,
31|24|2|27|Airplanes|B.O.B featuring HAYLEY WILLIAMS of PARAMORE|2010-05-01|12|2|30|20101030,,,,
32|33|32|10|Love Like Woe|THE READY SET|2010-08-28|97|27|21|20101030,,,,
33|31|31|11|2012 (It Ain't The End)|JAY SEAN featuring NICKI MINAJ|2010-08-21|50|31|14|20101030,,,,
34|54|34|4|Please Don't Go|MIKE POSNER|2010-10-09|94|16|20|20101030,,,,
35|32|25|11|Fancy|DRAKE featuring T.I. & SWIZZ BEATS|2010-08-21|97|25|19|20101030,,,,
36|48|36|5|We No Speak Americano|YOLANDA BE COOL & DCUP|2010-10-02|83|29|20|20101030,,,,
37|47|37|14|Come Back Song|DARIUS RUCKER|2010-07-31|67|37|20|20101030,,,,
38|12|12|2|Runaway|KANYE WEST featuring PUSHA T|2010-10-23|12|12|13|20101030,,,,
39|29|10|18|Magic|B.O.B featuring RIVERS CUOMO|2010-07-03|100|10|19|20101030,,,,
40|39|37|11|September|DAUGHTRY|2010-08-21|94|36|20|20101030,,,,
41|NEW|41|1|River Deep, Mountain High|GLEE CAST|2010-10-30|41|41|1|20101030,,,
42|40|32|17|King Of Anything|SARA BAREILLES|2010-07-10|59|32|22|20101030,,,,
43|42|36|11|Letting Go (Dutty Love)|SEAN KINGSTON featuring NICKI MINAJ|2010-08-21|46|36|20|20101030,,,,
44|38|1|29|OMG|USHER featuring WILL.I.AM|2010-04-17|14|1|30|20101030,,,,
45|8|8|2|Speak Now|TAYLOR SWIFT|2010-10-23|8|8|3|20101030,,,,
46|46|46|10|As She's Walking Away|ZAC BROWN BAND featuring ALAN JACKSON|2010-08-28|77|32|20|20101030,,,,
47|35|18|12|The Boys Of Fall|KENNY CHESNEY|2010-08-14|96|18|18|20101030,,,,
48|NEW|48|1|Happy Days Are Here Again|GLEE CAST|2010-10-30|48|48|1|20101030,,,,
49|45|34|19|If It's Love|TRAIN|2010-06-26|90|34|20|20101030,,,,
50|NEW|50|1|Don't Go Breaking My Heart|GLEE CAST|2010-10-30|50|50|1|20101030,,,,
51|41|30|17|If I Had You|ADAM LAMBERT|2010-07-10|94|30|20|20101030,,,,
52|58|52|5|Can't Be Friends|TREY SONGZ|2010-10-02|74|43|20|20101030,,,,
53|52|52|18|Farmer's Daughter|RODNEY ATKINS|2010-07-03|96|47|21|20101030,,,,
54|NEW|54|1|Move That Body|NELLY featuring T-PAIN & AKON|2010-10-30|54|54|1|20101030,,,,
55|56|55|14|Roll With It|EASTON CORBIN|2010-07-31|98|55|19|20101030,,,,
56|55|54|8|My Kinda Party|JASON ALDEAN|2010-09-11|54|39|20|20101030,,,,
57|44|44|3|Hey Baby (Drop It To The Floor)|PITBULL featuring T-PAIN|2010-10-16|51|7|31|20101030,,,,
58|66|58|7|Anything Like Me|BRAD PAISLEY|2010-09-18|100|48|19|20101030,,,,
59|63|59|3|No Love|EMINEM featuring LIL WAYNE|2010-10-16|89|29|16|20101030,,,,
60|59|59|16|All Over Me|JOSH TURNER|2010-07-17|97|59|18|20101030,,,,
61|72|61|5|All I Want Is You|MIGUEL featuring J COLE|2010-10-02|91|58|14|20101030,,,,
62|61|61|8|Holding You Down (Goin' In Circles)|JAZMINE SULLIVAN|2010-09-11|98|60|12|20101030,,,,
63|69|48|9|Why Wait|RASCAL FLATTS|2010-09-04|48|48|20|20101030,,,,
64|NEW|64|1|Black And Yellow|WIZ KHALIFA|2010-10-30|64|1|24|20101030,,,,
65|67|65|10|Little Lion Man|MUMFORD & SONS|2010-08-28|98|61|21|20101030,,,,
66|96|66|2|Aston Martin Music|RICK ROSS featuring DRAKE & CHRISETTE MICHELE|2010-10-23|96|30|19|20101030,,,,
67|68|67|8|Toot It And Boot It|YG|2010-09-11|94|67|11|20101030,,,,
68|80|68|3|Right Thru Me|NICKI MINAJ|2010-10-16|74|26|19|20101030,,,,
69|62|15|20|Miss Me|DRAKE featuring LIL WAYNE|2010-06-19|15|15|20|20101030,,,,
70|75|70|3|Mama's Song|CARRIE UNDERWOOD|2010-10-16|87|56|18|20101030,,,,
71|79|71|7|The Breath You Take|GEORGE STRAIT|2010-09-18|95|63|20|20101030,,,,
72|70|58|14|Love All Over Me|MONICA|2010-07-31|94|58|17|20101030,,,,
73|94|73|2|Memories|DAVID GUETTA featuring KID CUDI|2010-10-23|94|46|14|20101030,,,,
74|93|74|2|Stereo Love|EDWARD MAYA & VIKA JIGULINA|2010-10-23|93|16|28|20101030,,,,
