"attributes.Accepts.Credit.Cards","attributes.Alcohol","attributes.Ambience.casual","attributes.Ambience.classy","attributes.Ambience.divey","attributes.Ambience.hipster","attributes.Ambience.intimate","attributes.Ambience.romantic","attributes.Ambience.touristy","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Attire","attributes.Caters","attributes.Delivery","attributes.Drive.Thru","attributes.Good.For.Groups","attributes.Good.For.breakfast","attributes.Good.For.brunch","attributes.Good.For.dessert","attributes.Good.For.dinner","attributes.Good.For.latenight","attributes.Good.For.lunch","attributes.Good.for.Kids","attributes.Has.TV","attributes.Noise.Level","attributes.Outdoor.Seating","attributes.Parking.garage","attributes.Parking.lot","attributes.Parking.street","attributes.Parking.valet","attributes.Parking.validated","attributes.Price.Range","attributes.Take.out","attributes.Takes.Reservations","attributes.Waiter.Service","business_id","categories.0","categories.1","city","full_address","hours.Friday.close","hours.Friday.open","hours.Monday.close","hours.Monday.open","hours.Thursday.close","hours.Thursday.open","hours.Tuesday.close","hours.Tuesday.open","hours.Wednesday.close","hours.Wednesday.open","latitude","longitude","name","neighborhoods","open","review_count","stars","state","type","attributes.Happy.Hour","hours","attributes","categories.2","categories.3","categories.4","categories.5","hours.Saturday.close","hours.Saturday.open","hours.Sunday.close","hours.Sunday.open","attributes.Coat.Check","attributes.Good.For.Dancing","attributes.Music.dj","attributes.Smoking","attributes.Wi.Fi","neighborhoods.0","attributes.Wheelchair.Accessible","attributes.Dogs.Allowed","attributes.BYOB","attributes.BYOB.1Corkage","attributes.Corkage","attributes.Order.at.Counter","attributes.Music.background_music","attributes.Music.jukebox","attributes.Music.karaoke","attributes.Music.live","attributes.Music.video","categories","attributes.By.Appointment.Only","categories.6","attributes.Open.24.Hours","attributes.Music","neighborhoods.1","attributes.Hair.Types.Specialized.In.africanamerican","attributes.Hair.Types.Specialized.In.asian","attributes.Hair.Types.Specialized.In.coloring","attributes.Hair.Types.Specialized.In.curly","attributes.Hair.Types.Specialized.In.extensions","attributes.Hair.Types.Specialized.In.kids","attributes.Hair.Types.Specialized.In.perms","attributes.Hair.Types.Specialized.In.straightperms","attributes.Accepts.Insurance","categories.7","attributes.Ages.Allowed","attributes.Dietary.Restrictions.dairy.free","attributes.Dietary.Restrictions.gluten.free","attributes.Dietary.Restrictions.halal","attributes.Dietary.Restrictions.kosher","attributes.Dietary.Restrictions.soy.free","attributes.Dietary.Restrictions.vegan","attributes.Dietary.Restrictions.vegetarian","categories.8","neighborhoods.2","attributes.Parking","categories.9","attributes.Ambience"
TRUE,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"average",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"yVQiGdxmnrkJDyQXv2maNA","Vietnamese","Restaurants","Phoenix","1702 W Camelback Rd
Ste 14
Phoenix, AZ 85015","20:00","08:30","20:00","08:30","20:00","08:30",NA,NA,"20:00","08:30",33.5100937,-112.0961354,"Pho Thanh",NA,TRUE,503,4,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"20:00","08:30","20:00","08:30",NA,NA,NA,NA,"no",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"average",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"3OauvrqUU8nDLWcW6q9hGQ","Vietnamese","Restaurants","Phoenix","20235 N Cave Creek Rd
Ste 108
Phoenix, AZ 85024","21:00","10:00","21:00","10:00","21:00","10:00","21:00","10:00","21:00","10:00",33.671426,-112.03017,"Viet Kitchen",NA,TRUE,189,3.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"21:00","10:00","20:00","10:30",NA,NA,NA,NA,"no",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"casual",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"ggBkO170QkYZAezFGMKYjQ","Vietnamese","Restaurants","Phoenix","4141 N 35th Ave
Ste 11 & 12
Phoenix, AZ 85017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5812164,-112.0077189,"Pho Old Saigon Vietnamese Cuisine",NA,FALSE,8,3.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DJze-lgFSmKJtMROr2Vddw","Vietnamese","Restaurants","Phoenix","3838 N 19th Ave
Phoenix, AZ 85015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.492651,-112.100274,"Loi Nam Oriental Market",NA,FALSE,4,4.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"quiet",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,"sUf7fRBqsjLddnj_FW4mag","Vietnamese","Restaurants","Phoenix","4141 N 35th Ave
Ste 11
Phoenix, AZ 85017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4965093,-112.1333626,"Pho Binh Minh",NA,TRUE,22,4,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"loud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,"NLVcGseUhgQdABs1mIYk8g","Vietnamese","Restaurants","Phoenix","114 W Adams St
Phoenix, AZ 85003","21:00","10:00","21:00","10:30","21:00","10:00","21:00","10:00","21:00","10:00",33.4495069,-112.075324,"Viet Kitchen",NA,FALSE,23,3,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"21:00","10:00","21:00","10:30",NA,NA,NA,NA,"free",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"full_bar",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"average",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE,TRUE,"jtzhY-P4H6WSYpv5rWhxtw","Vietnamese","Restaurants","Phoenix","2221 N 7th St
Phoenix, AZ 85006","00:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00",33.4719849,-112.064757,"Rice Paper",NA,TRUE,436,3.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"00:00","11:00","22:00","11:00",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"average",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"MqnlCLq3b34Lq1Y7j7NY_Q","Vietnamese","Restaurants","Phoenix","7828 N 19th Ave
Ste G
Phoenix, AZ 85021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.551961,-112.100102,"Phuong Dong",NA,FALSE,45,4,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0nT6cj3YBJIJSwHL4mKlJw","Vietnamese","Restaurants","Phoenix","3557 W Dunlap Ave
Phoenix, AZ 85051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5672322,-112.1361274,"Pho Viet",NA,TRUE,3,2.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"quiet",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"H83uIqLKcOSFcmJhXmc-lA","Vietnamese","Restaurants","Phoenix","3275 E McDowell Rd
Phoenix, AZ 85008",NA,NA,"20:00","09:30","20:00","09:30",NA,NA,"20:00","09:30",33.4657151,-112.0106085,"Pho House",NA,FALSE,29,3.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"20:00","09:30","20:00","09:30",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"average",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,TRUE,TRUE,TRUE,"M0qJweLJaNO2ikd8koYn4w","Vietnamese","Restaurants","Phoenix","202 N Central Ave
Phoenix, AZ 85004","00:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00",33.4505535,-112.0741097,"Bonjour Vietnam",NA,FALSE,60,3.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"00:00","11:00","22:00","11:00",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"quiet",FALSE,NA,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,"Uo5CqWuJwPNfQPO9QvECgA","Vietnamese","Restaurants","Phoenix","3515 W Northern Ave
Phoenix, AZ 85051","21:00","09:00","21:00","09:00","21:00","09:00","21:00","09:00","21:00","09:00",33.5530966,-112.1357952,"Pho 35",NA,FALSE,12,4,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"21:00","09:00","21:00","09:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"average",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE,TRUE,"Zh6zpqN_rFZylYexWW2btQ","Vietnamese","Sushi Bars","Phoenix","1011 N 3rd St
Phoenix, AZ 85004","02:00","16:00","00:00","16:00","00:00","16:00","00:00","16:00","00:00","16:00",33.459054,-112.068953,"Pallets Food and Bar",NA,FALSE,93,3,"AZ","business",TRUE,NA,NA,"Japanese","Restaurants",NA,NA,"02:00","16:00",NA,NA,FALSE,FALSE,NA,"no","free",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
