,category,rating,name,app,tp,review,date,brand,ratingNum,lenReview,dateindex,Nbrand,sentiment,neg,neu,pos
494,Strategy,Rated 1 stars out of five stars,Jacob Mounts,Game of War - Fire Age,Top Grossing Games,"Rediculous. Can't do anything in game because high level players are constantly killing off your troops just for the heck of it when you are trying to gather resources. It would be one thing if fighting over those resources, but they aren't going after them...just killing troops. Wonder why kingdoms are literally full of dead bases? Because lots of people are tired of not being able to do anything.","1,27,2017","Machine Zone, Inc.",1,401,653,0,-0.9696,0.241,0,0.0
495,Strategy,Rated 1 stars out of five stars,Scott Baker,Game of War - Fire Age,Top Grossing Games,"Contacts not needed. Just stealing your information to sell it. Avoid this sleazy dev. The game is really just to sell overpriced boosters. Truly Pay-to-win. The screen constantly has 2-3 ads to buy stuff, plus all the in-game parts that link off to their store.  They use every scummy trick to feed I to addictive behaviors.  Avoid this company!","1,16,2017","Machine Zone, Inc.",1,346,642,0,0.3798,0.086,0,0.096
496,Strategy,Rated 1 stars out of five stars,Steven c c,Game of War - Fire Age,Top Grossing Games,"This game, ugh. I tried to give it a shot again but once I got going I realized that the wait times change drastically from waiting a few days to literally waiting 64 years (I'm not kidding)   for one upgrade, if you don't have any time speed ups you are out of luck. Don't waste your money on this game. It's awful and very poorly designed","2,2,2017","Machine Zone, Inc.",1,340,659,0,0.2728,0.084,0,0.1
497,Strategy,Rated 2 stars out of five stars,Arithon Lemin,Game of War - Fire Age,Top Grossing Games,"I rate this 2 stars as of yesterday because since yesterday it's been non stop freezing, glitching and kicking me off the game. I'm not the only person, many of my friends are having this problem. Because of these problems my shield wasn't recognized as being up and my hero was taken. PLEASE FIX THESE PROBLEMS and I will re rate it 5 stars and continue to buy gold packs. Thank you","2,8,2017","Machine Zone, Inc.",2,383,665,0,0.0964,0.153,0,0.145
498,Strategy,Rated 1 stars out of five stars,David Abecassis,Game of War - Fire Age,Top Grossing Games,Use to love this game at 5 stars before MZ got greedy. now all MZ does is ask you for your credit card number by releasing new levels which require hundreds of dollars to stay relevant.  Not a sustainable game environment as its full of dead accounts and people quitting. What a shame as it had so much potential,"1,13,2017","Machine Zone, Inc.",1,312,639,0,-0.3818,0.143,0,0.119
499,Strategy,Rated 4 stars out of five stars,Melinda Martinez,Game of War - Fire Age,Top Grossing Games,"I love this game! The only thing I feel like I'm missing is the ability to create our alliance city in my team( presantos) and I've had some issues lately with claim Rewards. I will open my alliance rewards and Athenas rewards but they neve make it to my items inventory. I'm missing thousands in resources, alliance funds, loyalty points, and speed ups.. please fix those 529 things and IL give it a 5 star.","1,26,2017","Machine Zone, Inc.",4,408,652,0,0.9359,0.052,0,0.255
500,Strategy,Rated 1 stars out of five stars,Edwin Corstin,Game of War - Fire Age,Top Grossing Games,"Over complicated piece of crap. Every press of the screen leads you to a pay to play screen offering ""deals"" spent £4.99 on this as I thought having extra resources would help. This is my second day in and already the ""hero"" I had is captured. Does this thing not have any level restrictions? A high level can destroy your low level and take everything you ""paid for"" in a matter of seconds. What a waste of my time and money.","1,27,2017","Machine Zone, Inc.",1,427,653,0,-0.7351,0.145,0,0.072
501,Strategy,Rated 2 stars out of five stars,Jimmy Lovelace,Game of War - Fire Age,Top Grossing Games,"The game isn't what it was in the beginning. It's all about the money MZ can haul in. Game pieces used to be found in different aspects and areas of the game, now everyone has to make a purchase to acquire and grow. Support is non existent, don't expect to go there and get a problem resolved!My advice to you, this game is for the rich and is a money grab, if you're considering downloading, think twice before you spend real money on it. It won't get you far!","1,21,2017","Machine Zone, Inc.",2,461,647,0,0.6351,0.029,0,0.074
631,Strategy,Rated 1 stars out of five stars,J Mon,Game of War - Fire Age,Top Grossing Games,"Fun game; however, as with any game that allows you to power up by spending money kills the logic of the game. If you can't spend money, don't play. This game will implode on itself one day when all the big spenders realize they flushed a lot of money down the toilet for nothing. If everyone had to progress naturally  it would be a 5 star game.","1,29,2017","Machine Zone, Inc.",1,346,655,0,0.1441,0.077,0,0.085
632,Strategy,Rated 3 stars out of five stars,Mike,Game of War - Fire Age,Top Grossing Games,"I want to play this game but, it keeps minimizing and returning me to my phone's home screen. I get very flustered and give up on playing. Plus, the buttons are sooo small and don't respond well even though I have a very strong wifi connection","2,1,2017","Machine Zone, Inc.",3,243,658,0,0.583,0.101,0,0.195
633,Strategy,Rated 5 stars out of five stars,Severend Price,Game of War - Fire Age,Top Grossing Games,DO NOT DOWNLOAD THIS GAME.  THEY ARE CROOKS.  This game is a joke anymore.  Loved when I first started a year ago.  Hate it now.  Have thousands of dollars in it and it just keeps getting worse.    They don't fix no issues.  Just keep releasing new data and research.,"1,21,2017","Machine Zone, Inc.",5,267,647,0,0.0485,0.122,0,0.143
634,Strategy,Rated 1 stars out of five stars,Bobby Ernst,Game of War - Fire Age,Top Grossing Games,"Tried it, and with in a day of playing getting attacked by powerful high level players.  As a newbie it's  No Fun.  For me  I will not be returning nor recommending game to others.  I've played other games where high level players were penalized for attacking newbies.  The attacks on newbs  were allowed but the penalty made it not worth it.","1,14,2017","Machine Zone, Inc.",1,342,640,0,-0.7506,0.197,0,0.104
635,Strategy,Rated 1 stars out of five stars,Martin Ortiz,Game of War - Fire Age,Top Grossing Games,"Game sucks. This has to be the wrost game ever created. Dont waste your time downloading it, this game literally isnt any fun. Who wants to play a game where you just suck the whole time because you need to pay hundreds of dollars to compete and enjoy the game? you have to buy pretty everything or you stay as the level 61 chump getting gang trained by players who actually aren't smart enough to realize this game isn't worth spending money on. Being able to just buy your way to being a top player takes fun away from the competitive side of the game. Besides that horrible game play there are non stop ads advertising packs to buy. This game isn't worth putting my into so dont bother downloading","1,26,2017","Machine Zone, Inc.",1,700,652,0,-0.7415,0.17,0,0.123
636,Strategy,Rated 1 stars out of five stars,Mandi M,Game of War - Fire Age,Top Grossing Games,Only good if you are a big spender and even then they are constantly ripping you off. Game isn't fun anymore. If you don't spend you can't compete. No cap on power growth makes it too difficult for smaller players to even dream of catching up. Not about strategy only about money. Spend spend spend or don't survive. If you spend money they rip you off by not giving you the stuff you pay for or by closing troves and leaving you with teleports you can't ever use again. Waste of money!,"2,1,2017","Machine Zone, Inc.",1,486,658,0,-0.3274,0.114,0,0.091
637,Strategy,Rated 2 stars out of five stars,jmada89,Game of War - Fire Age,Top Grossing Games,"This game pushes the free the pay envolope to the brink. Not only is the game riddled with ads, it also provides astronomical pay to win benefits, and does not allow half the number of building or upgrades to be available without individual purchases. I understand game play that allows players to get things faster, etc, but not restricting content.","2,1,2017","Machine Zone, Inc.",2,350,658,0,0.8043,0.057,0,0.182
770,Strategy,Rated 1 stars out of five stars,Levi Kohen,Game of War - Fire Age,Top Grossing Games,Dated graphics. Horrible lag. Repeated ads. Players arent given enough time to enjoy their upgrades or catch up to big spenders.  Im a big spender but I have seen alot come and go.  Mz wont get another dime from me. Greed is very evident.  They do not care about their players but only money.  OSS82 kingdom #924.,"2,8,2017","Machine Zone, Inc.",1,313,665,0,-0.8335,0.174,0,0.033
771,Strategy,Rated 1 stars out of five stars,Shane Melly,Game of War - Fire Age,Top Grossing Games,"Really!!! $100 on a game Pak?? Are you fu*king for real! I hope they wake up,wait they don't care cause theirs idiots out there who would spend 10,000usd on a game. Wait, even millions.. Fun at first but I'm done. Too greedy,I would spend 9.99 or even 19.99 if I hit a scratch off but $100!! GOTO helllll greedy fups!!","1,17,2017","Machine Zone, Inc.",1,318,643,0,-0.4926,0.102,0,0.067
772,Strategy,Rated 1 stars out of five stars,anonymous,Game of War - Fire Age,Top Grossing Games,"Do you know what's NOT going to make me play your stupid game? That bloody thelegend27 commercial everytime I want to watch something on Youtube. Yes, that's how annoying it is that I've only installed your stupid game to leave this review","2,3,2017","Machine Zone, Inc.",1,239,660,0,-0.802,0.257,0,0.121
773,Strategy,Rated 1 stars out of five stars,X Brontide,Game of War - Fire Age,Top Grossing Games,"Developer has ruined game with excessive micro purchases for advancement... Without hundreds of $, you will fail. You will struggle to continue playing when you get slammed by other players who spend lots of real money to grow. It is now nearly impossible to compete against other players due to the differences. Unfortunately, I cannot recommend this game to anyone. I regret playing this game now because of the the greedy push for money by MZ and the devastating effect it has on gameplay. Sad, sad, sad....","1,16,2017","Machine Zone, Inc.",1,510,642,0,-0.9761,0.275,0,0.034
774,Strategy,Rated 1 stars out of five stars,Beardo HickritiqueTM,Game of War - Fire Age,Top Grossing Games,"Be careful Mobile Strike, Ark of War, etc. samplers (those wanting a ""home"" that does not ""squeeze"" them for ""rent,"") my suggestion to MZ is this: 1) Since MoneyZone is concerned about its namesake, cater more to those accounts that have spent money. 2) Add a disclaimer to your login screen and inform people. 3) Add a disclaimer at the top of your description of your app from wherever people download.","1,14,2017","Machine Zone, Inc.",1,404,640,0,-0.4588,0.074,0,0.047
775,Strategy,Rated 1 stars out of five stars,Water Hawk,Game of War - Fire Age,Top Grossing Games,Money money money if you want to waste it this game will take it. Been playing for a month and its fun for a while but soon you start getting hammered on by higher level kingdoms. You need shields they cost money. You need speed ups they cost money. I recommend skipping this game and going elsewhere i know players who spend $100  week to play and keep there level of progress.,"1,20,2017","Machine Zone, Inc.",1,378,646,0,0.8968,0.024,0,0.19
776,Strategy,Rated 3 stars out of five stars,Sarah Maguire,Game of War - Fire Age,Top Grossing Games,"I would like this better if you were able to teleport to other kingdoms, if you join another alliance. One of my friends joined my alliance, I didn't know he was part of another kingdom at the time. now he can't teleport to my kingdom. Why allow someone to join an alliance outside of their kingdom if they can't teleport to it?","2,5,2017","Machine Zone, Inc.",3,328,662,0,0.9228,0.0,0,0.22
777,Strategy,Rated 1 stars out of five stars,Mustafa Abdelwahab,Game of War - Fire Age,Top Grossing Games,"Pay to win on the largest scale, and then screws you over. This is also false advertising. The picture on the cover? A big lie. Any cool features you may have seen? A lie. Don't get this micro-transaction of a game.","1,16,2017","Machine Zone, Inc.",1,215,642,0,0.6199,0.078,0,0.147
900,Strategy,Rated 1 stars out of five stars,Shirie Shipp,Game of War - Fire Age,Top Grossing Games,Unless you're a millionaire. Don't bother playing this game or their others. They constantly make it so you have to buy packs to do anything. And of course the packs don't have everything you need. Now this game constantly messes up. Completely big rip off!! Don't play!!! They will steal all your money!!!,"1,13,2017","Machine Zone, Inc.",1,306,639,0,-0.7149,0.138,0,0.035
901,Strategy,Rated 1 stars out of five stars,evlpengn,Game of War - Fire Age,Top Grossing Games,"Does not honor reward offers from other games despite requirements being completed. After sending an error report thinking the request didn't go through, the reward company responded saying that ""According to Machine Zone"" I did not complete the requirements despite the screenshot showing that I most certainly had. Dishonest creators do not deserve good reviews.","1,19,2017","Machine Zone, Inc.",1,364,645,2,-0.9325,0.267,0,0.041
902,Strategy,Rated 1 stars out of five stars,mark russell,Game of War - Fire Age,Top Grossing Games,The game makers have become lazy and only issue research challenges which make them the most revenue. It used to be possible to grow steadily without spending loads but very difficult now. Also a player managed to wipe out 1200 others in a day which shows how heavily staked it is to high spenders. Blow $20k if you want to rule othewise hide and wait to be hit,"2,11,2017","Machine Zone, Inc.",1,361,668,0,-0.7086,0.105,0,0.037
903,Strategy,Rated 2 stars out of five stars,Stonermike,Game of War - Fire Age,Top Grossing Games,Spent about 2k on this over the time I played and will never be able to sit without shield. If you don't have 30-50k British pounds available I wouldn't bother. Owners have got greedy. One research costs 160 pounds with the best gear and highest boost,"1,29,2017","Machine Zone, Inc.",2,251,655,0,0.8416,0.044,0,0.215
904,Strategy,Rated 2 stars out of five stars,Mr. Pig,Game of War - Fire Age,Top Grossing Games,"Overall, it's entertaining. However, one thing that really bugs me about it is how easy it is to aquire resources. The game gives you massive resource packs just for logging in, and the map is riddled with resource settlements, providing a non-competitive environment. What's worse, attacking another player comes at huge costs and very little benefit. With the pvp element in disarray, it might as well be a single player game.","1,25,2017","Machine Zone, Inc.",2,428,651,0,0.7257,0.075,0,0.162
905,Strategy,Rated 1 stars out of five stars,anonymous,Game of War - Fire Age,Top Grossing Games,"Over all I hate this game, my son stole my credit card, got on my device and bought a 100 dollar pack and I asked google play to refund they said they can't do anything and to contact machine zone. What did machine zone say? They said they can ban me because my son got onto my device on to game of war.  So google  and machine zone cheat me then threaten to ban me. Please don't play this game or you'll be cheated to. Also I'm moving over to Apple because they actually can refund me a accidental purchase or if machine zone cheats me speed ups like they did. Apple will refund things unlike game of war or Google play. Again if you don't want to be cheated switch to Apple and don't play this game.","1,22,2017","Machine Zone, Inc.",1,701,648,8,-0.9649,0.215,0,0.101
906,Strategy,Rated 1 stars out of five stars,Curtis Reed,Game of War - Fire Age,Top Grossing Games,"As everyone says, expensive to even stay alive. I tried it for weeks, Spent some real money, didn't help much. Needs to be fixed so that higher rank empires can't kill the little guys. Overall my review is FRUSTRATING...","1,27,2017","Machine Zone, Inc.",1,220,653,0,0.6224,0.052,0,0.145
2438,Casual,Rated 5 stars out of five stars,Dana Benjamin,Fishdom,Top Grossing Games,"Since the update it looks too much like a little kids game. Now It won't let me feed all my tanks so it takes longer to get the coins you need to buy stuff. I do appreciate being able to get more rubies by just watching an ad, I can deal with that.","2,7,2017",Playrix Games,5,248,664,0,0.6369,0.0,0,0.098
2448,Casino,Rated 4 stars out of five stars,Siddharth Shinde,Zynga Poker – Texas Holdem,Top Grossing Games,"Excellent controls, good graphics and fast gameplay combined with good game variants makes this the best poker game version. The only reason I give this a 4 star instead of 5 star is that you dont get to see the losing hand unless it is in the same hand strength level as the winning hand. This is a major flaw as u r not able to judge the opponent specially in sit-n-go tables. Zynga admin please do something about this.","2,2,2017",Zynga,4,422,659,3,0.9828,0.027,0,0.333
2458,Board,Rated 1 stars out of five stars,anonymous,YAHTZEE® With Buddies - Dice!,Top Grossing Games,"I loved playing this game until, I noticed that my prize dice disappeared. When they finally popped up again dice were missing. Also new prize dice were dice I'd already earned. Dice awards for purchasing dice weren't granted on a least 4 occasions. Then awards weren't given. I'm done. Money wasted. Uninstalling.","2,11,2017",Scopely,1,314,668,0,0.8823,0.138,0,0.28
2459,Action,Rated 5 stars out of five stars,Linzell Stackhouse,War Robots,Top Grossing Games,"Its a excellent 3rd person RPG shooter. Its actually more fun than playing hand held console games. However, the events you guys have are not fun to me. You're making the new robots nearly impossible to get!! Fans would love more maps to play on and ad a little weather condition as well such as rain or snow. The game far as game play go is flawless :) keep up the good work","1,29,2017",Pixonic LLC,5,375,655,0,0.9887,0.0,0,0.389
2460,Puzzle,Rated 1 stars out of five stars,Wayne Mahoney,Wizard of Oz: Magic Match,Top Grossing Games,Annoyed I was on level 167 for some reason it's put me back to the beginning not impressed,"2,11,2017",Zynga,1,90,668,0,-0.6315,0.256,0,0.0
2469,Casino,Rated 5 stars out of five stars,Taylor Hicks,POP! Slots – Slots Free Casino,Top Grossing Games,"Full surprises with low intrusions , no ads,","1,24,2017",PlayStudios,5,44,650,0,-0.34,0.422,0,0.186
2497,Casual,Rated 5 stars out of five stars,dorothy hargreaves,Fishdom,Top Grossing Games,"This is a fabulous game. But can no longer play it since the update , it continuously keeps flashing the same  page and will not let me go on, it has told me to get rid of some games to make room , which I have done and still won'ti nstall . Help","2,8,2017",Playrix Games,5,246,665,2,0.3274,0.082,0,0.107
2498,Casual,Rated 4 stars out of five stars,Maranda Shain,Fishdom,Top Grossing Games,"This is a fun game! I love the different tanks,  but I wish we still feed ALL of them! Also... move the 'retry for 9 gems' button after a game is lost!  I've lost gems hitting that button accidentally not realizing it's my last turn, especially on timed levels.  The daily prize is great though,  and the only reason I kept playing.","2,6,2017",Playrix Games,4,332,663,0,0.9257,0.116,0,0.277
2499,Casual,Rated 3 stars out of five stars,Linda Crosson,Fishdom,Top Grossing Games,SHOULD BE A 5+ I love this game and I'm thrilled that you've got another aquarium open. But I still don't like the treasure chest nor the time limit on it. I miss feeding ALL my fish everyday and not just the same ones over and over. Plus I miss visiting my friends' aquariums. Once you get things back on track you'll be back up to 5 ☆☆☆☆☆.,"2,6,2017",Playrix Games,3,351,663,0,0.7186,0.099,0,0.141
2500,Casual,Rated 5 stars out of five stars,philomena david,Fishdom,Top Grossing Games,"A beautiful game, even if u never  clear d tiles u don't feel so bad because d fishes comfort u with encouraging words. I really enjoy playing this game, what more u can buy beautiful decors to decorate d aquarium, its fun.                             This game is very addictive, u never get bored with it.                      Even though l have been playing for quite a while now l still love playing this game.","2,6,2017",Playrix Games,5,414,663,0,0.9752,0.08,0,0.393
2501,Casual,Rated 5 stars out of five stars,Courtney R,Fishdom,Top Grossing Games,I've been playing this for months now. I love this game. It's 100 times better than Gardenscapes. I love when the fish talk to me they honestly make me giddy & smile. I'm in the 100's levels. So it's definitely playable & not impossible like Gardenscapes. My only issue is not being able to have more fish. Not a huge deal. But it'd be fun to have more! Anyways people download this game! 😊🐡🐠,"2,8,2017",Playrix Games,5,401,665,0,0.9759,0.041,0,0.312
2502,Casual,Rated 3 stars out of five stars,MeMiri,Fishdom,Top Grossing Games,"I want my old fish tanks back. I don't like being forced to play a new tank just because of a holiday.  Once you use up the power ups you have to pay if you want more.  Not enough time to complete even with stylus. Much slower using fingers. However I really like the PC version it plays much better than this android app. I'm finding android apps are never as good as the PC apps or games, unfortunately.","2,6,2017",Playrix Games,3,405,663,0,0.5653,0.119,0,0.172
2503,Casual,Rated 5 stars out of five stars,Guen Marcelo,Fishdom,Top Grossing Games,Its really fun and I love marine life seeing different colors and talking to me. I have reached level 575 now. Combination of bombs. Funny sometimes fish are talking. Very entertaining. Develops your analytical strategy to create bigger explosives. Once you play this your boredom will surely lost.,"2,7,2017",Playrix Games,5,298,664,0,0.9542,0.072,0,0.361
2504,Casual,Rated 3 stars out of five stars,Ibis S,Fishdom,Top Grossing Games,Relaxing except.... some levels are difficult without the power-ups. Wish they gave maybe just 3 more moves before you run out of plays AND - suggestion ... how about letting us buy diamonds with our coins? Beautiful graphics though.,"2,7,2017",Playrix Games,3,233,664,0,0.6533,0.104,0,0.198
2514,Casino,Rated 1 stars out of five stars,anonymous,Cashman Casino - Free Slots,Top Grossing Games,"It's your typical Product Madness game. Nothing new. Scam, scam, scam. Another quick money grab.  Don't waste your time people. If you've played their other game, you'll know exactly what I mean. Another uninstall and another flag as inappropriate to Play store for allowing Product Scamness to operate with OBVIOUSLY FAKE 5 Star reviews.","2,8,2017",Product Madness,1,338,665,6,-0.9136,0.259,0,0.103
2515,Casino,Rated 4 stars out of five stars,Joseph Wiese,Zynga Poker – Texas Holdem,Top Grossing Games,"Well built app. Very few bugs that I have encountered. Lots of players and table options. Lots of ways to keep players engaged. They have recently started adding ad support. So far, it is non-intrusive and offered as a video in the menu for additional in-game credit. Overall, probably the best poker game available at the moment. It would be nice to have this game be included as a way into the real world tournaments.","12,29,2016",Zynga,4,419,624,0,0.9442,0.0,0,0.206
2516,Casino,Rated 5 stars out of five stars,George Tiser,Zynga Poker – Texas Holdem,Top Grossing Games,"Disable this app's notifications so it doesn't alert you every four hours :P .... Great free hold'em poker -- the free chips you get from daily login are more than enough to play nonstop for hours at the $50 ante tables. (Admittedly, this means some people will play stupid go-all-in bluffs sometimes, but that's unavoidable in free apps.) There's always plenty of players, the controls are simple and intuitive, and the ads are unobtrusive.","12,25,2016",Zynga,5,441,620,0,0.8999,0.044,0,0.196
2517,Casino,Rated 1 stars out of five stars,Heriberto Soto,Zynga Poker – Texas Holdem,Top Grossing Games,"I WOULD REALLY appreciate it, just a tad, if the special offer to purchase chips didn't automatically pop up when I went to do my free spin every time. This is really very agravating, to say the least. I will change this as soon as you fix that. THIS ISSUE HASN'T BEEN CHANGED. I'd also really appreciate it if you'd look into the fact that the app drains the battery on my phone super fast.","1,7,2017",Zynga,1,391,633,0,0.9542,0.0,0,0.208
2518,Casino,Rated 5 stars out of five stars,Manja Abu Bakar,Zynga Poker – Texas Holdem,Top Grossing Games,"Wowww game... love this game so much... just like m playin in a real table... bet with my buddies... n win... interesting... just that, how sweet if i can claim my dice through my tab. Much easier without need to open my pc... by the way, thank you so much for adding this game in here. Peace.... ♥♥♥  26th April 2014 - what is happening... cannot login as facebook users after the latest update? 'Could not process facebook user... try again,' Please advice.  Ty","2,10,2017",Zynga,5,469,667,0,0.9593,0.0,0,0.219
2519,Casino,Rated 4 stars out of five stars,anonymous,Zynga Poker – Texas Holdem,Top Grossing Games,"Excellent with a good amount of fun elements to be social poker. My only negative comment is that you can buy in but can't cash out. I recommend this game for learning the ropes in a consequence free environment, and for those who enjoy the game itself. The challenges and free chip bonus system ensure you won't be away from the virtual felt for long.","2,1,2017",Zynga,4,352,658,0,0.9757,0.059,0,0.343
2520,Casino,Rated 1 stars out of five stars,sam lod,Zynga Poker – Texas Holdem,Top Grossing Games,I download the app but i can't play because i can't go any table its always says connection lost trying to reconnect and i use 4g wifi high speed connection. I send you many mails but you not reply me and not solve my problem.  If you not play any  match or game in this app than the app useless. That's why i give 1 star.,"2,6,2017",Zynga,1,322,663,0,-0.8677,0.196,0,0.042
2521,Casino,Rated 3 stars out of five stars,Tom U,Zynga Poker – Texas Holdem,Top Grossing Games,"Fun to play, decent controls, and low key gameplay. However dealing seems a little stacked - I noticed during showdowns a high percentage of face cards dealt to players with higher buy-ins or VIP status. Seems like a marketing scheme to spend money.","1,3,2017",Zynga,3,249,629,0,0.8788,0.044,0,0.258
2522,Casino,Rated 5 stars out of five stars,Sandy C,Zynga Poker – Texas Holdem,Top Grossing Games,Get to play/beat my fb friends gives you options to play on tables and tournaments  for the people giving the app 1 star because of notifications  ..have you heard of turning off the notifications like you can do on any other app ? P.s and just in case you don't know how to go to the settings on app and it gives you that option to turn notifications on or off.                                                     P.s Zynga it would be fenomenal  if you can send chips directly to another player on app.,"12,20,2016",Zynga,5,504,615,3,0.8555,0.0,0,0.113
2532,Board,Rated 3 stars out of five stars,Drucella Durall,YAHTZEE® With Buddies - Dice!,Top Grossing Games,Is any1 else having problems with when u are playing sum1 this lil box pops up & says play dice masters & it won't go away & it's takin 4 ever 2 play a game if sum1 knows how 2 get it off I tried lookin n settings & couldn't find nuttin love the game but this driving me nuts,"2,10,2017",Scopely,3,275,667,0,-0.4912,0.127,0,0.088
2533,Board,Rated 3 stars out of five stars,Taylor Borth,YAHTZEE® With Buddies - Dice!,Top Grossing Games,I just don't like that I can't change my profile picture. Any time I click the option to change Facebook picture it just goes to a white screen and I have to reset the app. Bonus roll scratchers also never get you anything unlike a year ago. And forget about trying to check other people's stats. Doesn't work.,"2,10,2017",Scopely,3,310,667,0,0.1255,0.071,0,0.062
2534,Board,Rated 3 stars out of five stars,Catherine Sarah Hooper,YAHTZEE® With Buddies - Dice!,Top Grossing Games,I was hoping that this update would bring back the frames you deleted but apparently not. Really don't understand why you got rid of them.,"2,10,2017",Scopely,3,138,667,0,0.2263,0.0,0,0.076
2535,Board,Rated 2 stars out of five stars,Jen Briscoe,YAHTZEE® With Buddies - Dice!,Top Grossing Games,"I'd rather not stare at a picture of me and my ex, BUT.. I can't change it because THE APP KEEPS FREEZING AND WON'T LET ME.","2,10,2017",Scopely,2,123,667,0,-0.2808,0.085,0,0.0
