Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
3779/166,750 BRANNAN ST,750 BRANNAN ST,94103,"750 BRANNAN ST
San Francisco, CA 94103
(37.773712, -122.402387)",24419,,http://propertymap.sfplanning.org/?&search=3779/166,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,62,34.5,71,-15.6,-15.6,58.9,2.4,31.2,67.6,67,21.3,56.1,-21.4,-21.4,38.9,1.6,21.3,56.1,,,,,,,,,
0240/002,417 Montgomery Street,417 MONTGOMERY ST,94104,"417 MONTGOMERY ST
San Francisco, CA 94104
(37.793451, -122.402905)",95070,Office,http://propertymap.sfplanning.org/?&search=0240/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,80,54.2,,-32.2,,450.63,,51.9,,81,53.6,149.1,-33.7,,447.21,,51.5,146.6,84,50.6,133.7,-36.4,-36.4,423.6,4.5,51,134.2,86,39.6,105.5,-39.9,-39.9,293,3.1,43.4,110,86,46.4,120.7,-39.5,-39.5,340.9,3.6,48.4,123.1
4287/004,1850 CESAR CHAVEZ ST,1850 CESAR CHAVEZ ST,94107,"1850 CESAR CHAVEZ ST
San Francisco, CA 94107
",10640,,http://propertymap.sfplanning.org/?&search=4287/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288/006,Potrero Business Center,1760 CESAR CHAVEZ ST,94124,"1760 CESAR CHAVEZ ST
San Francisco, CA 94124
",42997,Office,http://propertymap.sfplanning.org/?&search=4288/006,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,63.7,106.1,-28.3,-28.3,168.4,3.9,59.2,101.5,,76.5,124.1,-16.2,-16.2,200.2,4.7,84.5,132.6,,76.9,126.4,-14.6,-14.6,202.3,4.7,79,128.6
0564/070,SHB Building,2252 Broadway,None,,,,http://propertymap.sfplanning.org/?&search=0564/070,,,N/A,,N/A,,N/A,,N/A,,Violation - Did Not Report,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5559/016,225 BAY SHORE BLVD,225 BAY SHORE BLVD,94124,"225 BAY SHORE BLVD
San Francisco, CA 94124
(37.744579, -122.404263)",12004,,http://propertymap.sfplanning.org/?&search=5559/016,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0644/014,JPMorgan Chase - WM1405 Polk,1500 Polk St,94109,"1500 Polk St
San Francisco, CA 94109
(37.790765, -122.420727)",11935,Bank Branch,http://propertymap.sfplanning.org/?&search=0644/014,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2015,Did Not Comply,,,,,,,,,,,,,,,,,,,64,50.3,120.5,-15.5,-15.4,48.4,3.8,50.3,120.5,41,70,151.5,9.2,9.2,60.9,4.8,70,151.5,68,81.6,170.2,-18.8,-18.8,65.4,5.5,82.8,170.2
3778/005,575 6TH ST,575 6TH ST,94107,"575 6TH ST
San Francisco, CA 94107
(37.775052, -122.40129)",82731,,http://propertymap.sfplanning.org/?&search=3778/005,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0355/003,1212 Market/11 Grove,1212 MARKET ST,94102,"1212 MARKET ST
San Francisco, CA 94102
(37.778336, -122.415246)",24178,Office,http://propertymap.sfplanning.org/?&search=0355/003,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Exempt - ENERGY STAR,,,,,,,,,,,,,,,,,,,100,21.6,48.7,-75.8,-75.8,36.3,1.5,20.6,47.8,98,22.5,57.3,-63.4,-63.4,39.9,1.7,24.5,59.4,99,21.6,56,-65.7,-65.7,38.7,1.6,21.3,55.1
3764/014,425 2ND ST,425 2ND ST,94105,"425 2ND ST
San Francisco, CA 94105
(37.783879, -122.394627)",48910,,http://propertymap.sfplanning.org/?&search=3764/014,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4570/023,200 JENNINGS ST,200 JENNINGS ST,94124,"200 JENNINGS ST
San Francisco, CA 94124
(37.73864, -122.378268)",43416,,http://propertymap.sfplanning.org/?&search=4570/023,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0347/004,220 MCALLISTER ST,220 MCALLISTER ST,94102,"220 MCALLISTER ST
San Francisco, CA 94102
(37.780641, -122.415906)",23262,,http://propertymap.sfplanning.org/?&search=0347/004,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0342/002,966 MARKET ST,966 MARKET ST,94102,"966 MARKET ST
San Francisco, CA 94102
(37.782799, -122.409591)",20636,,http://propertymap.sfplanning.org/?&search=0342/002,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023/004,660 York,2700 19TH ST,94110,"2700 19TH ST
San Francisco, CA 94110
(37.760519, -122.40934)",21323,Office,http://propertymap.sfplanning.org/?&search=4023/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,19.5,61.4,-58.5,-58.5,34,1.6,19.5,61.4,,19.9,62.3,-57.9,-57.9,34.5,1.6,19.9,62.3,,22.1,69.5,-53.1,-53.1,38.5,1.8,22.1,69.5
9900/026,Pier 26,26 Pier The Embarcadero,94105,"26 Pier
San Francisco, CA 94105
(37.794493, -122.39368)",123133,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=9900/026,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2099,Municipal,99,2.6,8.3,-81.9,-81.6,28.5,0.2,2.6,8.3,90,6.9,19.4,-57.1,-57,70.1,0.6,,,97,4.9,12.1,-72.9,-73.2,46.2,0.4,,,98,4.4,10.3,-77.1,-77.1,38.3,0.3,,,99,3.8,9.4,-79.2,-79.2,33.9,0.3,,
3702/048,1117-1119 Market Street,1115 MARKET ST,94103,"1115 MARKET ST
San Francisco, CA 94103
(37.780204, -122.412874)",21500,Other,http://propertymap.sfplanning.org/?&search=3702/048,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,19.4,50.5,-59,-59,31,1.4,18.6,49.6,,11.5,32.8,-73.4,-73.4,19.2,0.9,11.5,32.8,,18.2,51.4,-58.2,-58.2,30.2,1.4,18.2,51.4
3643/006,2748 MISSION ST,2748 MISSION ST,94110,"2748 MISSION ST
San Francisco, CA 94110
(37.75297, -122.41851)",10709,,http://propertymap.sfplanning.org/?&search=3643/006,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0238/006,350 Sansome,350 SANSOME ST,94104,"350 SANSOME ST
San Francisco, CA 94104
(37.793723, -122.401286)",116050,Office,http://propertymap.sfplanning.org/?&search=0238/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,78,64.3,,-30.2,,546.42,,63.6,,76,70.2,162.9,-27.9,,604.01,,68.5,161.1,,74.8,154.9,4.6,4.6,581.3,5,75.1,155.2,,63.6,138.6,-6.4,-6.4,505.5,4.4,69.5,144.7,,53.9,128.4,-13.3,-13.3,445.6,3.8,55.6,129.7
4314/001A,3003 3rd Street,3003 3RD ST,94124,"3003 3RD ST
San Francisco, CA 94124
(37.751002, -122.387534)",46000,Office,http://propertymap.sfplanning.org/?&search=4314/001A,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,,,,,,,,,,99,12.1,40.5,-67.3,,50.66,,12.1,40.5,99,11.5,36.1,-69,-69,43.1,0.9,11.3,35.6,99,11.8,37,-67.6,-67.6,44.2,1,11.8,37,98,13.1,41.1,-64.3,-64.3,49,1.1,13.1,41.1
0309/020,240 Stockton,234 STOCKTON ST,94108,"234 STOCKTON ST
San Francisco, CA 94108
(37.788158, -122.406723)",48934,Office,http://propertymap.sfplanning.org/?&search=0309/020,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Exempt - LEED EBOM,,,,,,,,,,94,40,98.9,-53.5,-53.5,131.7,3.1,40,98.9,94,38.2,97.2,-53.8,-53.8,126.7,2.9,38.2,97.3,53,66,194,-3.5,-3.5,258.3,5.3,66.9,195.2,54,65,185.4,-5.5,-5.5,252.2,5.2,66,186.5
3733/106,366 CLEMENTINA ST,366 CLEMENTINA ST,94103,"366 CLEMENTINA ST
San Francisco, CA 94103
(37.781347, -122.403112)",10673,,http://propertymap.sfplanning.org/?&search=3733/106,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083/002,Twentieth Street,3130 20TH ST,94110,"3130 20TH ST
San Francisco, CA 94110
(37.759057, -122.412025)",74055,Office,http://propertymap.sfplanning.org/?&search=4083/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,93,32,,-51.7,,149.02,,30.9,,94,29.1,82.6,-53.8,,138.9,,29.3,82.8,,27.3,71.2,-42.2,-42.2,121,2.2,26,69.8,89,28,74.9,-43.9,-43.9,118.1,2.1,28,74.9,95,27.2,70.7,-54.3,-54.3,113.1,2,28.5,71.6
5237/038,1201 EVANS AVE,1201 EVANS AVE,94124,"1201 EVANS AVE
San Francisco, CA 94124
(37.738946, -122.381382)",15498,,http://propertymap.sfplanning.org/?&search=5237/038,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0297/028,500 Post,500 POST ST,94102,"500 POST ST
San Francisco, CA 94102
(37.788026, -122.41051)",420000,Hotel,http://propertymap.sfplanning.org/?&search=0297/028,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,57,75.1,,-7,,2291.64,,75.1,,,,,,,,,,,67,73.1,157.3,-15.1,-15.1,2192.8,5.2,72.7,157.5,63,70.2,155.5,-11.5,-11.5,2033,4.8,70.7,154.9,58,74.5,165.7,-7.2,-7.2,2161,5.1,74.9,166.2
0235/009,20 California Street,20 CALIFORNIA ST,94111,"20 CALIFORNIA ST
San Francisco, CA 94111
(37.793648, -122.39695)",58383,,http://propertymap.sfplanning.org/?&search=0235/009,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2013,Complied,,,,,,,,,,77,31,97.3,-28.7,-28.7,147.5,2.5,31,97.3,76,39.7,124.7,-28.3,-28.3,189,3.2,39.7,124.7,93,22.9,72,-51.3,-51.3,109.2,1.9,22.9,72,,,,,,,,,
0228/038,"MEPT 475 Sansome Street, LLC",475 SANSOME ST,94111,"475 SANSOME ST
San Francisco, CA 94111
(37.794796, -122.401499)",461795,Office,http://propertymap.sfplanning.org/?&search=0228/038,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,79,61.4,,-29.7,,1847.53,,59,,80,60.2,189,-31.1,,1826.88,,59.4,188.2,89,48.4,137.7,-43.5,-43.5,1487.6,3.8,48.5,137.9,94,40.6,119.6,-51.3,-51.3,1269.5,3.2,41.7,120.8,96,39.8,116.5,-55.2,-55.2,1241,3.1,39.8,115.7
3705/052,72022A (SAN FRANCISCO CENTRE),845 Market St,94103,"845 Market St
San Francisco, CA 94103
(37.784972, -122.406844)",337000,Retail Store,http://propertymap.sfplanning.org/?&search=3705/052,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,67,57.6,180.9,-20.5,-20.5,1583.3,4.7,59.2,185.9,64,59,197.2,-17.6,,1807.98,,61.7,206,63,60.3,189.3,-15.9,-15.9,1785.8,5.3,61.6,193.6,66,54.6,171.5,-19.9,-19.9,1500.8,4.5,54.6,171.5,62,59.1,185.7,-14.7,-14.7,1625.1,4.8,58.2,182.8
0294/005,231 GRANT AVE,231 GRANT AVE,94108,"231 GRANT AVE
San Francisco, CA 94108
(37.789188, -122.40532)",13000,,http://propertymap.sfplanning.org/?&search=0294/005,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022/026,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
San Francisco, CA 94115
(37.787556, -122.446835)",40328,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,22,77.8,173.6,25.3,25.3,136.9,5.4,77.2,173,22,77.5,172.9,25.2,25.3,143.4,5.6,75.8,168.4,21,74.2,162.8,26.4,26.4,129.7,5.1,76.1,168.6,38,64.5,144.5,9.5,9.5,113.7,4.5,65.3,147
3781/001A,1045 BRYANT ST,1045 BRYANT ST,94103,"1045 BRYANT ST
San Francisco, CA 94103
(37.772073, -122.407567)",32953,,http://propertymap.sfplanning.org/?&search=3781/001A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703/059,1095 Market Street,1095 MARKET ST,94103,"1095 MARKET ST
San Francisco, CA 94103
(37.780676, -122.412286)",60171,,http://propertymap.sfplanning.org/?&search=3703/059,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/2014,Exempt - Vacant,,26.3,,-75.9,,96.02,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0065/048,990 COLUMBUS AVE,990 COLUMBUS AVE,94133,"990 COLUMBUS AVE
San Francisco, CA 94133
(37.803304, -122.414528)",16900,Office,http://propertymap.sfplanning.org/?&search=0065/048,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,36.5,90.4,-35,-35,44.7,2.6,37.7,92.3
0174/001,301 PACIFIC AVE,301 PACIFIC AVE,94111,"301 PACIFIC AVE
San Francisco, CA 94111
(37.797622, -122.401151)",14568,Office,http://propertymap.sfplanning.org/?&search=0174/001,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,83,43,105.3,-36.1,-36.1,47.9,3.3,43.3,105.7,93,36.3,89.2,-51,-51,38.2,2.6,39.7,92.8,93,36.4,92.3,-50.1,-50.1,38.9,2.7,37.3,93.2
0271/001C,445 Grant,445 Grant Ave,94108,"445 Grant Ave
San Francisco, CA 94108
(37.790992, -122.405645)",24800,Office,http://propertymap.sfplanning.org/?&search=0271/001C,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2015,Complied,,,,,,,,,,,,,,,,,,,29,67.9,191.5,25.3,25.2,139.1,5.6,68,191.7,31,63.1,181.9,22.5,22.5,122.1,4.9,65,184,33,63.4,180.5,19.2,19.2,122,4.9,63.6,179.7
