"company","pro"
"FactSet Research Systems",",Great benefits, great work life balance"
"FactSet Research Systems",",Free Lunches, Outings"
"FactSet Research Systems",",Free lunch, 100% heathcare, decent salary"
"FactSet Research Systems",",Free lunch, good benefits, good networking"
"FactSet Research Systems",",very capable team"
"GE Corporate","was always busy and meeting deadlines."
"GE Corporate",",decent starting salary, a lot of training opportunities"
"GE Corporate",",Good co-worker/staff"
"GE Corporate",",benefits"
"GE Corporate",",Work environment, flexible hours"
"GE Corporate",",Great people. Great benefits."
"GE Corporate",",stable, opportunity to advance or relocate w/o changing employer, compensation is good, benefits are generic"
"GE Corporate",",GE has everything to keep employees happy."
"GE Corporate",",Good pay, great benefits, overtime available, most people easy to get along with."
"GE Corporate",",It open other opportunities"
"GE Corporate",",Innovation, Collaboration, Learning"
"GE Corporate",",Heathcare"
"GE Corporate",",Work from home"
"CGI Group","Great time management, management support and opportunities"
"CGI Group",",You really feel appreciated by the managers and there is great team support available there."
"CGI Group",",Medical Insurance"
"CGI Group",",cross training with the company"
"CGI Group",",Co-Workers are great, Overtime opportunity is great"
"CGI Group",",Benefits"
"CGI Group",",Slow, PTO"
"CGI Group",",Benefits and perks"
"CGI Group",",great benifits"
"CGI Group",",Many talented and dedicated employees."
"CGI Group",",Stock Purchase Plan offered to members with match"
"Koch Minerals","Strong company"
"Bank Of America","the pay was good at the time"
"Bank Of America",",Great work environment with plenty of potential."
"Bank Of America",",Pay, learning four different departments, and learning about banking"
"Bank Of America",",Excellent benefits, great people"
"Bank Of America",",great benifits"
"Bank Of America",",Great work enviroment"
"KPMG","good firm to work for"
"KPMG",",benefits"
"KPMG",",Learned a TON"
"KPMG",",Nice work environment and on-site Cafeteria."
"KPMG",",remote"
"KPMG",",Tax celebrations were second to known."
"KPMG",",Pay"
"KPMG",",Pay"
"KPMG",",Lots of perks"
"KPMG",",awesome benefits"
"KPMG",",Great Learning Environment"
"Reed Elsevier","Brilliant, hardworking coworkers"
"Reed Elsevier",",Supportive enviornment"
"Reed Elsevier",",Quiet and solitude, if you're looking for that."
"Reed Elsevier",",willingness to adopt"
"Reed Elsevier",",Salary and ability to work from home"
"Reed Elsevier",",Always learning new solutions to office service problems."
"Reed Elsevier",",Great environment--carefree and fun atmosphere"
"Reed Elsevier",",Relaxed work environment"
"Bloomberg","free snacks, people, compensation"
"Bloomberg",",Good place to work, Good Salary, benefits, food, etc"
"Bloomberg",",Take care of employees"
"Bloomberg",",Benefits"
"Bloomberg",",Free Snacks"
"Bloomberg",",free lunch"
"Bloomberg",",Free lunches, outdoor area to walk, adequate parking"
"Bloomberg",",free lunch"
"Bloomberg",",State of the art software tools in some cases."
"Bloomberg",",Great workforce environment"
"Bloomberg",",free snacks, coffee, drinks. great benefits and 401k plan"
"Bloomberg",",Great environment to work at"
"Bloomberg",",You'll meet and work with some great people"
"Bloomberg",",Experience"
"Akamai Technologies","Work environment and benefits"
"Akamai Technologies",",good people"
"Akamai Technologies",",Everything!"
"Akamai Technologies",",Great benefits"
"Akamai Technologies",",Excellent place to learn, develop solid engineering skills learn about how the Internet really works"
"Akamai Technologies",",good location"
"Akamai Technologies",",Short Commute"
"Akamai Technologies",",Company culture, work is engaging, work life balance"
"Akamai Technologies",",Great people to work with, health care benefits are great. Subsidized commuter cost"
"Akamai Technologies",",Great place to work, amazing coworkers"
"Humana","Autonomy"
"Humana",",Benefits and salary"
"Humana",",chef/restaurant style dining, walking trail, compensation, healthcare, 401K, lactation facilities, workout facilities, coffee shop"
"Humana",",Flexibility in work schedule"
"Humana",",Travel"
"Humana",",working from home"
"Humana",",good benefits"
"TriHealth","Flexible"
"TriHealth",",Stability, Cafeteria, Free Parking now!"
"TriHealth",",Coworkers"
"TriHealth",",Potential for growtrh"
"TriHealth",",Location"
"TriHealth",",enjoyed patient care"
"TriHealth",",flex time"
"TriHealth",",opportunity to improve and learn other skills, prominent company"
"TriHealth",",Co-workers were great"
"TriHealth",",progressive work environment"
"TriHealth",",Work environment, great co-workers, benefits"
"GrubHub","You are independent when you work, flexible hours"
"GrubHub",",Plenty of Overtime offered"
"GrubHub",",Nice side job"
"GrubHub",",Free food"
"GrubHub",",No pros"
"GrubHub",",Fun slave labor"
"GrubHub",",Not a single one"
"GrubHub",",Good money with 75% acceptance rate, live representative, preview of assigned route before accepting."
"GrubHub",",none"
"GrubHub",",Free lunch, culture, benefits"
"GrubHub",",I can't honestly find any..."
"GrubHub",",Pay is ok if they don't send you across the map"
"GrubHub",",Location of the office"
"GrubHub",",Nothing"
"Google","Diverse, Fun work environment"
"Google",",management"
"Google",",Work with little oversight"
"Google",",Free food"
"Google",",Pay"
"Google",",Had free food every single day treated their employees with dignity and respect"
"Honeywell","all the paid overtime I needed"
"Honeywell",",Relaxed atmosphere"
"Honeywell",",Great people"
"Honeywell",",the benefits"
"Honeywell",",Great goals"
"Honeywell",",Competitive Salary. Work time flexibility"
"Honeywell",",401K match, health insurance"
"Honeywell",",Educational experience"
"Honeywell",",Free coffee"
"Honeywell",",Challenging, stretch assignments"
"Honeywell",",Autonomy as a Tester"
"Ford Motor Company","learning new skills"
"Ford Motor Company",",Pay"
"Ford Motor Company",",driving new vehicles and working with awesome people"
"Ford Motor Company",",perks"
"Ford Motor Company",",Paid lunch and great pay."
"Ford Motor Company",",coworkers"
"Ford Motor Company",",Paid lunches, no one around to hover over you, freedom if your machines were operating"
"Ford Motor Company",",3 bonus throughout the year."
"Ford Motor Company",",Pay"
"Ford Motor Company",",Fellow employees, Training"
"Ford Motor Company",",hour breaks"
"Ford Motor Company",",Good benefits"
"Ford Motor Company",",Wages, Health Insurance, Profit sharing"
"Ford Motor Company",",The company promoted individuality and free communication at the same time."
"MacAulay-Brown, Inc.","good atmosphere"
"MacAulay-Brown, Inc.",",Working with the Military"
"MacAulay-Brown, Inc.",",great atmosphere"
"MacAulay-Brown, Inc.",",Only one other person from MacB that works with me at the Agency."
"MacAulay-Brown, Inc.",",Corporate leadership"
"MacAulay-Brown, Inc.",",On contractor site local manager"
"MacAulay-Brown, Inc.",",flexibility and personal growth opportunity"
"MacAulay-Brown, Inc.",",Appropriate support/non-billable time."
"MacAulay-Brown, Inc.",",have a community party for the employees every six months"
"MacAulay-Brown, Inc.",",Flex Time"
"MacAulay-Brown, Inc.",",Paid Vacations, Great Communication, Oppurtunity for promotion"
"MacAulay-Brown, Inc.",",Great benefits; work enviornment; great pay"
"MacAulay-Brown, Inc.",",Size and culture"
"Microsoft","Flexible hours, Cafe with subsidize meal"
"Microsoft",",management, benefits, traveling, and bonuses"
"Microsoft",",you can offer your knowledge anywhere and develop along your strengths"
"Microsoft",",freedom in trying new approaches"
"Microsoft",",Highly competent workforce, multiple career trajectories, wonderful benefits"
"Microsoft",",flexible work schedule"
"Microsoft",",Great pay and great company environment."
"Microsoft",",Free lunches, transpo and has allowance"
"Microsoft",",free bevarage"
"Microsoft",",Benefits are great"
"University of Pittsburgh","education, gymnasium, swimming pool"
"University of Pittsburgh",",benefits"
"University of Pittsburgh",",Flexible work hours around my schedule of classes"
"University of Pittsburgh",",Education benefits"
"University of Pittsburgh",",Benefits"
"University of Pittsburgh",",Ease of Access"
"University of Pittsburgh",",Great research community"
"University of Pittsburgh",",Healthcare coverage"
"Dia&Co","Great leadership, team mentality"
"Dia&Co",",nice job"
"Dia&Co",",Positive environment"
"Redfin","Work from home, agent tools, website and app"
"Redfin",",Benefits, Happiness, and Culture"
"Redfin",",great work environment, extra pay, flexible schedule"
"Redfin",",paid cell phone, mileage reimbursement"
"Redfin",",flexibilty, felt like part of the family, get to share ideas at meetings"
"Redfin",",Make your own schedule, paid for every event, opportunity for advancement, rewarding career"
"Redfin",",you get a pay check every two weeks...a small one though"
"Redfin",",Good consumer technology and apps"
"Redfin",",Health insurance paid"
"Redfin",",False Advertising"
"EZCORP","the pay, coworkers"
"EZCORP",",None to report"
"EZCORP",",You're employed. Benefits."
"EZCORP",",It is a job."
"EZCORP",",Insurance benefits"
"EZCORP",",The compensation per year"
"EZCORP",",Nice money when its not fraudulently taken"
"EZCORP",",Community involvement, centrally located office, creative Officers"
"EZCORP",",People and benefits"
"EZCORP",",bonuses"
"EZCORP",",Bonuses"
"EZCORP",",customers are nice"
"Brooks Brothers Group, Inc","Respect from management and customers."
"Brooks Brothers Group, Inc",",Benefits, good older valued company."
"Brooks Brothers Group, Inc",",Enjoyable work environment"
"Brooks Brothers Group, Inc",",Good discounts"
"Brooks Brothers Group, Inc",",Decent sales on merchandise"
"Intel","Excellent benefits and salary"
"Intel",",Salary"
"Intel",",People"
"Intel",",Always relevant to customers"
"Intel",",You own your own success and how far you want to go"
"Intel",",Easy work style"
"Intel",",Pay"
"Intel",",smartest guys in the room"
"Foot Locker","Free lunches"
"Foot Locker",",Great work environment"
"Foot Locker",",Fun employees"
"Foot Locker",",discounts"
"Foot Locker",",Great attitude"
"Foot Locker",",Sneaker discount"
"Foot Locker",",Meeting new people daily"
"Stitch Fix","snacks"
"Stitch Fix",",free snacks"
"Stitch Fix",",Free lunch"
"Stitch Fix",",Catering"
"Stitch Fix",",lots of perks"
"Stitch Fix",",Free snacks and beverage."
"Stitch Fix",",Free food"
"Stitch Fix",",free food, and can listen to music"
"Stitch Fix",",Free snacks, pay"
"Stitch Fix",",Snacks"
"Stitch Fix",",Free snacks even tho its very unhealthy"
"Stitch Fix",",Work from home"
"Stitch Fix",",Snacks"
"Stitch Fix",",Free snacks"
"Stitch Fix",",Not As Much Flexibility as Desired"
"The Hanover Insurance Group","generous PTO"
"The Hanover Insurance Group",",Co-workers"
"The Hanover Insurance Group",",Good Benefits"
"The Hanover Insurance Group",",let me think about that......"
"The Hanover Insurance Group",",Autonomous"
"The Hanover Insurance Group",",Good Job"
"The Hanover Insurance Group",",absolutely nothing"
"The Hanover Insurance Group",",Compensation"
"The Hanover Insurance Group",",working here makes all other jobs seem better"
"The Hanover Insurance Group",",Good people, Great building"
"The Hanover Insurance Group",",Work Life Balance, Excellent Vacation Time"
"upSTART","free lunches"
"eTouch","good clients"
"Biogen","Cafe, facility, location"
"Biogen",",Great rewards for great behavior! Great benefits!"
"Biogen",",Great Team"
"Biogen",",strong culture, excellent benefits, small and intimate work area"
"Biogen",",Everything"
"Biogen",",Benefits are very attractive and nearly unmatched by other bio companies"
"Biogen",",Excellent Supervisor- exposed to learn new skills"
"Biogen",",great benefits"
"Biogen",",Weekly social hour - summer hours"
"Biogen",",many perks"
"Biogen",",Benefits"
"California State University - Fullerton","School Credit"
"Twitch","Creating wonderful communities"
"Twitch",",Fun enjoyable side job"
"Twitch",",Possible to make a live off of it"
"Twitch",",You can build and customize your fanbase any way you want"
"Twitch",",Make my own schedule, have fun"
"Analysis Group","Great people throughout the firm"
"Vroom","Free lunch on saturdays"
"Vroom",",Free Lunch Saturday"
"Deloitte","Good Name"
"Deloitte",",Great Benefits"
"Deloitte",",Room for advancement"
"Deloitte",",Excellent opportunities to develop consulting and leadership skills, exposure to many client organizations"
"Deloitte",",learning many things"
"Deloitte",",Great exposure"
"Deloitte",",Top teir"
"Deloitte",",Hot girls"
"Deloitte",",Training opportunities"
"Deloitte",",Working @ a Big 4 Company"
"Deloitte",",Great Benefits, Flexibility based on team, State of the art training facility and technology"
"Deloitte",",Experience and culture"
"Deloitte",",Benefits"
"CVS Health","initially was close by"
"CVS Health",",Friendly Customers"
"CVS Health",",schedule, teamwork, programs"
"CVS Health",",money"
"CVS Health",",Meet people"
"CVS Health",",management"
"CVS Health",",great co workes"
"CVS Health",",Good benefits"
"CVS Health",",Working with others"
"CVS Health",",Meeting new people everyday"
"Harris Corporation","Co-workers"
"Harris Corporation",",Salary OT paid occasionally, decent salary"
"Harris Corporation",",Unlimited Vacation"
"Harris Corporation",",Great healthcare and a refrigerator and free coffee."
"Harris Corporation",",work from home"
"Harris Corporation",",Pretty much everything"
"Harris Corporation",",Great PTO package"
"Harris Corporation",",Can't think of even one unfortunately"
"Harris Corporation",",NONE"
"Harris Corporation",",Good salary"
"Harris Corporation",",401k vacation"
"Diverse Lynx","Very good salary, hike, bonuses and other benefits"
"Diverse Lynx",",Few Pros: Enthusiasm, Passion, Innovation, Great People."
"Diverse Lynx",",good health insurance, long lunch breaks and coffee breaks"
"Cox Media Group","Great compinsation for the work"
"Cox Media Group",",You get to learn how radio stations operate"
"Cox Media Group",",Good healthcare"
"Cox Media Group",",flexible hours"
"Cox Media Group",",Tickets to events and sporting event"
"Cox Media Group",",Good people, decent pay"
"Cox Media Group",",Employees worked hard to support one another"
"Cox Media Group",",CONVENIENTLY DOWNTOWN"
"Cox Media Group",",None"
"Cox Media Group",",Challenging work"
"Cox Media Group",",None in the end"
"Yahoo! Inc.","Healthy business environment and social activities"
"Yahoo! Inc.",",free lunches, nice office, good people, smart people, exciting projects, great benefits"
"Yahoo! Inc.",",Perks - Free Breakfast, lunch and dinner, Free shuttles, onsite Gym"
"Yahoo! Inc.",",Free lunch, free health care, laid back work environment, freedom to make improvements to work procedures"
"Yahoo! Inc.",",free lunch, bonuses, results"
"Yahoo! Inc.",",Free lunches, good benefits and perks"
"Yahoo! Inc.",",free lunch"
"Yahoo! Inc.",",Pay"
"Yahoo! Inc.",",Free food"
"Yahoo! Inc.",",free lunches, free coffee bars and great work culture."
"Yahoo! Inc.",",Never a dull moment"
"The Weather Channel","Free Breakfast on Fridays"
"The Weather Channel",",Uniqueness of training and prize drawings etc (I don't know if they do that anymore)"
"The Weather Channel",",Once a month free lunch"
"The Weather Channel",",Paid time off"
"The Weather Channel",",Work/Life Balance"
"The Weather Channel",",learned so much"
"The Weather Channel",",Good people, passionate atmosphere, good pay"
"The Weather Channel",",Plenty of PTO time, Decent Pay"
"The Weather Channel",",Flexible schedule"
"Tesla Motors","products for team members, free breakfast"
"Tesla Motors",",great product"
"Tesla Motors",",pay day is always being look forward too."
"Tesla Motors",",Exiting projects"
"Tesla Motors",",Free lunches"
"Tesla Motors",",Company offers, cereal, milk, juices, sodas, uniforms, safety shoes, stock bonuses, good benefits, etc"
"Tesla Motors",",Healthcare"
"Tesla Motors",",Free cereal"
"Tesla Motors",",Fast pace"
"Tesla Motors",",Free snacks, water, etc. Super fun environment and you get to test drive the cars."
"Tesla Motors",",Free snacks and break rooms"
"Tesla Motors",",Free lunch on certain occasions, benefits are good"
"Tesla Motors",",Hour lunches, consistent work"
"IBM","Flexible work schedule"
"IBM",",good"
"IBM",",Excellent opportuntiy to learn leading edge technology, independent work and virtual office"
"IBM",",Free Lunches when working extended overtime, Healthcare etc"
"IBM",",flexible work schedule"
"IBM",",Employee oriented"
"IBM",",Opportunity"
"IBM",",Company working hard to make the world a better place, great benefits, company discounts apply to many of our clients which are also large companies"
"IBM",",Great place to work"
"IBM",",people, solutions"
"The University of Michigan","Can move around within company"
"The University of Michigan",",openness"
"The University of Michigan",",flexible schedule"
"The University of Michigan",",Lunch hour Health Benefits"
"The University of Michigan",",Benefits and retirement"
"The University of Michigan",",flexible"
"The University of Michigan",",Great benefits"
"Amazon.com","Flexible work hours, paid sick time"
"Amazon.com",",vending machines"
"Amazon.com",",Working with good people"
"Amazon.com",",Vending machines always on site"
"Amazon.com",",Weekends off"
"Amazon.com",",Benefits, contests and prizes"
"Amazon.com",",Discount of merchandise"
"Amazon.com",",Good pay/ good benefits"
"Amazon.com",",peak"
"Amazon.com",",Money!"
"Amazon.com",",work from home"
"Amazon.com",",they show you they appreciate your prefroms"
"Amazon.com",",Benifits"
"Amazon.com",",On site clininc, benefits, bonuses, clean work envirnment"
"Amazon.com",",Work from home, excellent work schedule"
"Lockheed Martin","Good career opportunities, atmosphere, fun and involving projects"
"Lockheed Martin",",The people at Lockheed were awesome and the job was interesting."
"Lockheed Martin",",pay"
"Lockheed Martin",",people"
"Lockheed Martin",",Jet fighters and related ......"
"Lockheed Martin",",Benefits, Environment, Schedule, Pay"
"Lockheed Martin",",Overtime was available often"
"Lockheed Martin",",learned many skills"
"Lockheed Martin",",Off Every Other Friday"
"Lockheed Martin",",people, job was enjoyable"
"Lockheed Martin",",laid back, plenty of advancements"
"Lockheed Martin",",Fairly stable work environment."
"Sprint","Stable Company"
"Sprint",",Good team mates, good new CEO."
"Sprint",",Money"
"Sprint",",Pay and travel"
"Sprint",",Great people to be around, great benefits and discounted services for working for the company"
"Sprint",",Long break an good pay"
"Sprint",",people"
"AllianceData","free coffee"
"Uber","Flexible Schedule, Instant Pay"
"Uber",",Tax deductions, flexibility"
"Uber",",work whenever I want"
"Uber",",hours no man telling you what to do flexibility"
"Uber",",bonuses"
"Uber",",flexible"
"Uber",",flexible scheduling, good side job."
"Uber",",flexible schedule"
"Uber",",Flexible schedule, enjoyable clientele, decent pay, easy going"
"Uber",",commission off any person you get to switch to Uber"
"Uber",",Drive when you want"
"Uber",",super flexable and easy"
"TRANZACT","n/a"
"TRANZACT",",Flexible to work from home"
"TRANZACT",",Friendly environment"
"TRANZACT",",Work was easy and if you had personnel issues you could leave, come back to work with supervisors approval."
"T. Rowe Price","Great benefits, welcoming and tolerant environment, good people."
"T. Rowe Price",",n/a"
"T. Rowe Price",",Great company to work for good benefits"
"T. Rowe Price",",Work Environment"
"T. Rowe Price",",Benefits"
"T. Rowe Price",",Good people"
"T. Rowe Price",",Solid work environment, great people, opportunities for continuous learning"
"T. Rowe Price",",Culture, experience"
"T. Rowe Price",",Year end bonuses."
"T. Rowe Price",",FSA, Aetna Insurance, and great work/life balance"
"T. Rowe Price",",Work/life balance"
"T. Rowe Price",",Work Cuture"
"athenahealth","The Culture"
"athenahealth",",Free Alcohol and a really neat office"
"athenahealth",",Everything"
"athenahealth",",well compensated"
"athenahealth",",great breaks"
"athenahealth",",Learned a lot"
"athenahealth",",Casual work enviroment"
"athenahealth",",Great Culture"
"athenahealth",",Atmosphere, Travel, and Freebies"
"athenahealth",",trips"
"Pacific Northwest National Laboratory","""flexible"" work hours"
"Pacific Northwest National Laboratory",",Great facilities"
"Pacific Northwest National Laboratory",",Staff"
"Pacific Northwest National Laboratory",",Flexible schedule"
"Pacific Northwest National Laboratory",",Policies & Procedures"
"Pacific Northwest National Laboratory",",Depending on your work the ability to flex your time, work from anywhere is awesome."
"Pacific Northwest National Laboratory",",Great people to work with, really brilliant."
"Pacific Northwest National Laboratory",",Positive work environment, teamwork"
"Pacific Northwest National Laboratory",",Company bbq in July"
"Pacific Northwest National Laboratory",",Great technical projects, good coworkers"
"Yodle","Training"
"Yodle",",Snacks everyday, weekly contests for motivation, very high commissions, weekly trainings"
"Yodle",",Free lunch - energetic atmosphere."
"Yodle",",free lunch, great atmosphere, upward mobility"
"Yodle",",Company culture is phenominal, You have to keep your head on a swivel or you might get a nerf dart to the side of the head, Not to mention the commission structure is INSANE."
"Yodle",",Free lunches"
"Yodle",",Free lunches, Excellent teams, amazing culture"
"Yodle",",free lunches, great culture"
"Yodle",",Fun and positive atmosphere"
"Yodle",",Free Lunch, Family Like Atmosphere"
"Yodle",",Free lunch"
"Yodle",",Free lunch on campus every day, massages once a week, constant contests with monetary prizes"
"Yodle",",Great Management"
"Yodle",",Free lunch, Beer on fridays, work schedule, people"
"Yodle",",managment, work life balance"
"Yodle",",Free beer and wine on Fridays"
"CapTech Consulting","Cool technology, great co-workers"
"CapTech Consulting",",Culture, Work/Life Balance"
"CapTech Consulting",",See statement"
"CapTech Consulting",",Great people. Growth opportunities. Some really cool clients."
"CapTech Consulting",",people, compensation, benefits, opportunity"
"Paycom","Onsite catered lunches, benefits, growth opportunities, culture, compensation"
"Paycom",",catered lunches"
"Paycom",",$4 lunches, Gym, $1 insurance"
"Paycom",",Medical benefits"
"Paycom",",""Fresh"" (PC for young) culture"
"Paycom",",Positive environment"
"Paycom",",Excellent benefits and training classes, inspirational meetings, $4 lunches, exciting and fun culture."
"Paycom",",4 dollar lunch, 1 dollar health insurance."
"Paycom",",People"
"Paycom",",Growth, Progressive comp plans, work hard play hard but family friendly, the gym, healthy lunch option daily"
"Paycom",",n/a"
"Paycom",",$1 health insurance, free gym, $4 lunchs, great culture"
"Paycom",",Employee activities, lunches, atmosphere"
"Paycom",",AWESOME benefits and employee perks ($4 lunches, $1 health insurance, on-site company gym, etc)"
"Paycom",",Gym, Fun Work Environment, Great Co-workers"
"Paycom",",Great benefits package, $1 Healthcare, $4 catered lunches, ongoing training classes, fun culture, employee events"
"Paycom",",$1 health insurance, Free gym, $4 catered lunches and company events"
"Paycom",",Catered lunches, $1 healthcare, free gym, free drinks, employee stock purchase program and great leadership who cares about your success."
"Propel Marketing","Always room for advancement"
"Propel Marketing",",Excellent Team Work"
"GEICO","Job Stability, Benefits"
"GEICO",",Great pay"
"GEICO",",great benefits for industry"
"GEICO",",job security"
"GEICO",",Pay and benefits"
"GEICO",",Benefits, PTO (Paid Time Off)."
"GEICO",",great place to work loved the atmosphere"
"GEICO",",Pay"
"GEICO",",Compensation / growth"
"ATOS","good benefits"
"ATOS",",Decent Benefits, Decent Vacation, good position to learn from"
"ATOS",",Company truck could be used personally."
"ATOS",",Working from home was an option"
"ATOS",",management is generous with buying lunch"
"ATOS",",great benefits"
"ATOS",",Incentive bonuses"
"ATOS",",work from home"
"ATOS",",Learning opportunities"
"City of Seattle","Great culture"
"City of Seattle",",GREAT BENEFITS!"
"City of Seattle",",Benefits are good and some of the technical direction."
"City of Seattle",",Mangement"
"City of Seattle",",Benefits"
"City of Seattle",",friendly people"
"City of Seattle",",Good Pay"
"City of Seattle",",Not organized enough to make people work hard."
"City of Seattle",",Free lunches, water, Free Transportation"
"City of Seattle",",Can take break whenever I want, supportive supervisor"
"City of Seattle",",productivity"
"City of Seattle",",Good job love it. worked with teens, community center activity planning"
"Blizzard Entertainment","Great campus, fantastic inner office communications, great management"
"Blizzard Entertainment",",excellent benefits, and multiple team building exercises/outings."
"Blizzard Entertainment",",Game Launch stuff, Occasional launch trips to Vegas, some departments have bars, free Blizzard games"
"Blizzard Entertainment",",Free games!"
"Blizzard Entertainment",",Free game time and occaisional schwag, free copies of Blizzard and Acticision Titles."
"Blizzard Entertainment",",Good pay, you don't have to do much work."
"Blizzard Entertainment",",Regular bonuses, amazing campus, and incredibly talented employees"
"Blizzard Entertainment",",Free lunches, games"
"Blizzard Entertainment",",Playing video games, short breaks, discounted food"
"Blizzard Entertainment",",Free games and game time, health benefits, working hours, ability to move up in the company, almost everything"
"Eventbrite","A real 9-5 job and flexibility to work from home many days since product roadmaps aren't compelling"
"Washington State University","free lunches"
"Washington State University",",Advancements with in department"
"Washington State University",",knowing many people"
"Washington State University",",breaks were encouraged, great support staff, beautiful campus and great vibe."
"Washington State University",",Education, culture, small town, poeple, football, etc"
"Washington State University",",Good salery and benifits."
"Washington State University",",learning about the community"
"Payoff","Free Lunches, Healthcare paid by company"
"Payoff",",On the forefront of changes to the world of consumer finance, Helps the average American, The office is beautiful, People are talented respectful and high energy, Good benefits including stuff you would expect from a technology company (ping pong table, etc.), Management is accessible and connected to the business"
"Payoff",",Awesome Perks, Location, Mission Statement, Team"
"MetLife","Big Bonus"
"MetLife",",advance learning opportunities, healthcare plan"
"MetLife",",Excellent benefits"
"MetLife",",great benefits"
"MetLife",",benefits"
"MetLife",",Very knowledgable management and investment advisors."
"MetLife",",Great Coworkers, flexibility"
"MetLife",",Free lunches"
"MetLife",",Beautiful campus with trails, gym, cafeteria, fun work space"
"Cloudera","Smart people, free lunch (on-site workers only), awards"
"Cloudera",",Free Lunch"
"Cloudera",",lunch daily"
"S&P Global","Excellent benefits"
"Expedia, Inc.","pay"
"Expedia, Inc.",",Good travel opportunities, smart people"
"Expedia, Inc.",",free beer offered once every quarter, friendly atmosphere, good pay"
"Expedia, Inc.",",Benefits"
"Expedia, Inc.",",Great lunchroom, very understanding supervisors, fun activities"
"Expedia, Inc.",",Pay"
"Expedia, Inc.",",benefits"
"Expedia, Inc.",",No micro-managers, teams and employees self manage themselves."
"Expedia, Inc.",",Everything"
"Expedia, Inc.",",Readyness to assist from all"
"Expedia, Inc.",",Flexible time, fast paced, data-driven"
"Expedia, Inc.",",As stated in the review"
"Expedia, Inc.",",Flexible"
"Expedia, Inc.",",free lunches, international culture, never stop learning"
"Boxed","schedule"
"Boxed",",respectful environment"
"Boxed",",Great coworkers"
"Gatehouse Media","None"
"Gatehouse Media",",great benefits for union employees only"
"Gatehouse Media",",Opportunities to cover professional and NCAA collegiate sports"
"Gatehouse Media",",40 hour work week."
"Gatehouse Media",",Good working hours"
"Gatehouse Media",",Great co-workers"
"Gatehouse Media",",Friendly atmosphere"
"Gatehouse Media",",Ping pong! Sometimes ice cream and tacos! Fun little games! Relaxed atmosphere, friendly coworkers."
"Gatehouse Media",",NONE"
"Gatehouse Media",",None."
"Gatehouse Media",",You'll gain experience working on a spiffy iMac"
"Gatehouse Media",",Jeans and a polo everyday, occasional party."
"Crestron Electronics","free coffee"
"Crestron Electronics",",If there was any I would note it."
"Crestron Electronics",",good place to work"
"Crestron Electronics",",Learning experience"
"Crestron Electronics",",Co-workers are good to work with"
"Crestron Electronics",",best co-workers around"
"Crestron Electronics",",40 hours a week"
"Crestron Electronics",",Occasional travel, tradeshows"
"Crestron Electronics",",exposure to leading edge technology in Automation Control and many electronic products."
"Crestron Electronics",",Decent co-workers"
"Crestron Electronics",",overtime if you need the money."
