"company","con"
"GE Corporate",",Upper Management, don't trust them."
"GE Corporate",",A lot of pressure to put up numbers"
"GE Corporate",",I lost my gig!"
"GE Corporate",",Being tied to assembly line or machine for 8 hours. Hot in summer, cold in winter."
"GE Corporate",",No growth"
"GE Corporate",",POLITICS, BUREAUCRACY, unethical executives"
"GE Corporate",",it was temporary"
"GE Corporate",",angry customers all the time"
"CGI Group","30 min lunch break"
"CGI Group",",I can't think of any."
"CGI Group",",Bad Management"
"CGI Group",",working outside during the summer was extremly hot in kuwait"
"CGI Group",",Management is undertrained"
"CGI Group",",Short lunches"
"CGI Group",",Low compensation, boring work"
"CGI Group",",No fixed sick leaves"
"CGI Group",",contract work"
"CGI Group",",No employee loyalty, dysfunctional work environment, poor management, little commitment to career training."
"CGI Group",",They outsource departments"
"Koch Minerals","Just a number in the end"
"Bank Of America","too much pressure to sell products"
"Bank Of America",",Sales"
"Bank Of America",",Contract terminated, and other contractors hired before me"
"Bank Of America",",Constantly downsizing"
"Bank Of America",",n/a"
"Bank Of America",",n/a"
"KPMG","Not enough room for advancement"
"KPMG",",low salary"
"KPMG",",work life balance is tough"
"KPMG",",Travel time"
"KPMG",",politics, insecure conservative employees"
"KPMG",",High stress"
"KPMG",",Not much room for advancement"
"KPMG",",Politics"
"KPMG",",Long hours"
"KPMG",",no cons"
"KPMG",",Compensation"
"Reed Elsevier","possibly the worlds cheapest company"
"Reed Elsevier",",Long hours"
"Reed Elsevier",",Bad managers, lack of communication, office politics."
"Reed Elsevier",",slow to adopt"
"Reed Elsevier",",communications"
"Reed Elsevier",",Major corporations with mergers and acquisitions affects everyone sooner or later."
"Reed Elsevier",",Too short -contract"
"Reed Elsevier",",Bi weekly pay"
"Bloomberg","management"
"Bloomberg",",Travelling to NY."
"Bloomberg",",too giant"
"Bloomberg",",on computer all day"
"Bloomberg",",Lack of recreational area, bland coffee, quiet atmosphere"
"Bloomberg",",Bad management"
"Bloomberg",",Lots of procedures and process."
"Bloomberg",",None"
"Bloomberg",",bad management, terrible pay"
"Bloomberg",",Wish there was more oportunities"
"Bloomberg",",Management is clueless"
"Bloomberg",",Pressure, Stress"
"Akamai Technologies","9/11 changed everything for our company, most of us lost our jobs"
"Akamai Technologies",",lower than market compensation and no clear future growth plan"
"Akamai Technologies",",None"
"Akamai Technologies",",Disconnect between executive leadership and middle management"
"Akamai Technologies",",Not quick to adopt new techniques, technologies or practices"
"Akamai Technologies",",stressful"
"Akamai Technologies",",Sending jobs overseas"
"Akamai Technologies",",Occasional Hiring freezes"
"Akamai Technologies",",workload, hours"
"Humana","Pay rate doesn't change"
"Humana",",Basically everything else"
"Humana",",Very profesional and diversity"
"Humana",",outsourcing, metrics focused (can be a pro also)"
"Humana",",Lack of communication ."
"Humana",",Short Contract"
"Humana",",lay offs"
"Humana",",hard to get hired on full time"
"TriHealth","A lot of unhappy people work there"
"TriHealth",",Pay, Raises, MANAgEMENT ."
"TriHealth",",Very long hours"
"TriHealth",",A lot"
"TriHealth",",dishonest management"
"TriHealth",",could be stressful at times"
"TriHealth",",none really"
"TriHealth",",Lack luster management"
"TriHealth",",archaic human resources"
"TriHealth",",Late nights, early mornings, low pay"
"GrubHub","Insufficient management, low payment"
"GrubHub",",Communication among different departments"
"GrubHub",",Compensation, app instability, delivery zone sometimes."
"GrubHub",",None!"
"GrubHub",",Horrible customer service, representatives need to be trained"
"GrubHub",",But still without compensation it is still slave labor"
"GrubHub",",Everything"
"GrubHub",",App freezes up at times, Communication can be way off sometimes."
"GrubHub",",BS company"
"GrubHub",",Little career advancement"
"GrubHub",",Too many to list within the character limitation."
"GrubHub",",Some Dispatchers, Mileage, gas, use your personal car"
"GrubHub",",No breaks, work constantly, no work life balance"
"GrubHub",",Fascist management"
"Google","Can't sware!"
"Google",",none"
"Google",",Hiring Agency doesn't work well with employees"
"Google",",No raises"
"Google",",Contract mostly"
"Google",",Not longer than 24 months"
"Honeywell","healthcare, management"
"Honeywell",",Project engineers that were terrible at their job"
"Honeywell",",poor management can make some day horrible and the pay is rock bottom"
"Honeywell",",Maybe a bad manager or two but they did not last"
"Honeywell",",communications"
"Honeywell",",outsouce employment to asia"
"Honeywell",",Furloughs. Benefits erosion over last 5 years."
"Honeywell",",low salary as compared to market, little to no merit increase, little to no opportunity for advancement."
"Honeywell",",Moved company to Mexico"
"Honeywell",",Healthcare and benefits"
"Honeywell",",No work from home"
"Honeywell",",Lack of Equipment that belongs to the Test team."
"Ford Motor Company","Health Care, hours"
"Ford Motor Company",",Ford Managers (NOT UAW reps they are awesome)"
"Ford Motor Company",",Time consuming, no work life balance, price shopping customers"
"Ford Motor Company",",pay and management"
"Ford Motor Company",",Short breaks, and lack of time for family."
"Ford Motor Company",",Pay, benefits, opportunities, overbearing management"
"Ford Motor Company",",My department's maintenance guy couldn't do his job."
"Ford Motor Company",",short breaks and often jobs are strenuous."
"Ford Motor Company",",No Time Off"
"Ford Motor Company",",Production like enviroment. Get them, get them out."
"Ford Motor Company",",cold weather"
"Ford Motor Company",",Extremely hot in the summer"
"Ford Motor Company",",very hard work, no advancement, UAW is corrupt"
"Ford Motor Company",",As a contract employee on an ""at will"" contract, meant little or no job security."
"MacAulay-Brown, Inc.","converting over to Air Force"
"MacAulay-Brown, Inc.",",Contract ended"
"MacAulay-Brown, Inc.",",lack of communication"
"MacAulay-Brown, Inc.",",It took over two years to meet anyone from the company."
"MacAulay-Brown, Inc.",",Information sharing between business units"
"MacAulay-Brown, Inc.",",None"
"MacAulay-Brown, Inc.",",Compensation."
"MacAulay-Brown, Inc.",",not maintain government contract long enough"
"MacAulay-Brown, Inc.",",Uncertainty as far as assignments and work environment."
"MacAulay-Brown, Inc.",",No breaks"
"MacAulay-Brown, Inc.",",Long hours and high traffic work enviroment"
"MacAulay-Brown, Inc.",",The stress of working on government contracts not knowing if they are going to get renewed."
"MacAulay-Brown, Inc.",",None known"
"Microsoft","challenging processes and high demands"
"Microsoft",",no room for advancement, not getting to work with all product"
"Microsoft",",some things go too fast, some too slow"
"Microsoft",",not all managers share the same vision as CEO, my humble opinion"
"Microsoft",",Can be very demanding and fast-paced"
"Microsoft",",Always on and connected"
"Microsoft",",They hire temps more than permanent positions."
"Microsoft",",HMO"
"Microsoft",",Nothing"
"Microsoft",",Work life balance challenges"
"University of Pittsburgh","commute"
"University of Pittsburgh",",hours, management, lack of true desire from management"
"University of Pittsburgh",",Salary"
"University of Pittsburgh",",Can be very cold"
"University of Pittsburgh",",Lengthy"
"University of Pittsburgh",",Organization"
"Dia&Co","people in charge"
"Dia&Co",",No paid lunch and no paid breaks"
"Redfin","lots of driving, low pay, expenses add up."
"Redfin",",no health benefits for part time employees"
"Redfin",",Work non-stop. Cult like culture"
"Redfin",",non"
"Redfin",",Independent Contractor, no benefits, work load varies with demand"
"Redfin",",too many to mention."
"Redfin",",To numerous to list"
"Redfin",",Management has lack of understanding how RE transactions work"
"Redfin",",Get all the fine details"
"EZCORP","hours get cut to meet budget"
"EZCORP",",low morale"
"EZCORP",",Money. Management."
"EZCORP",",Everything else."
"EZCORP",",Pay rate"
"EZCORP",",It is an unsafe environment"
"EZCORP",",If you value your family, they wont keep you long"
"EZCORP",",Challenging business conditions during good economic times"
"EZCORP",",Regulatory restrictions"
"EZCORP",",no opportunities"
"EZCORP",",none"
"EZCORP",",healthcare"
"Brooks Brothers Group, Inc","very little advancement."
"Brooks Brothers Group, Inc",",Pay scale, working weekends and holidays"
"Brooks Brothers Group, Inc",",Money"
"Brooks Brothers Group, Inc",",poor pay"
"Brooks Brothers Group, Inc",",More interested in presentation than actual selling....Very indecisive upper management."
"Intel","don't value experience"
"Intel",",Low vacation time"
"Intel",",None"
"Intel",",The seem to want to get rid of older/experienced engineers. New CEO seems manufacuring minded, not technology."
"Intel",",Too many competing agendas"
"Intel",",Sometimes management doesn't recognize your contributions"
"Intel",",18 Month limit on contractors in every 24 months."
"Intel",",Hard to stay ahead in company"
"Intel",",n/a"
"Foot Locker","Part time"
"Foot Locker",",Health Benefits"
"Foot Locker",",Short breaks, Showing Favoritism"
"Foot Locker",",barely any hours"
"Foot Locker",",Short breaks"
"Foot Locker",",Uniform"
"Foot Locker",",healthcare and pay"
"Stitch Fix","repetitive"
"Stitch Fix",",standing all day"
"Stitch Fix",",Short break, ghetto, and unorganized"
"Stitch Fix",",Management"
"Stitch Fix",",some management"
"Stitch Fix",",not a place to make a career."
"Stitch Fix",",Management no good.good luck with the trainer"
"Stitch Fix",",climate control, can get very hot"
"Stitch Fix",",Managers, co-workers, enviornment, long hours"
"Stitch Fix",",Short break, hot climate, favoritism"
"Stitch Fix",",Treated like modern slaves"
"Stitch Fix",",Favoritism, unlikely to be promoted- if you are, it isn't generally based on performance."
"Stitch Fix",",Short breaks, loud horrible music, favoritism, management"
"Stitch Fix",",Poor benefits"
"Stitch Fix",",Great Experience"
"The Hanover Insurance Group","hard to take time off at certain times of year"
"The Hanover Insurance Group",",Management"
"The Hanover Insurance Group",",Poor management and work environment"
"The Hanover Insurance Group",",Non responsive to Employees Medical Issues/needs. Regardless of staffing situation, get the job done anyway you can, and you'll still be ""dinged"" for lack of documentation."
"The Hanover Insurance Group",",claims disputes"
"The Hanover Insurance Group",",Money"
"The Hanover Insurance Group",",everything"
"The Hanover Insurance Group",",Expect no life."
"The Hanover Insurance Group",",management, still using outdated stacked ranking for bonuses"
"The Hanover Insurance Group",",Work/Life balance is harder to accomplish here."
"The Hanover Insurance Group",",Compensation, No free coffee"
"upSTART","temp to hire, but recent downsizing ruined my opportunity."
"eTouch","No growth, less pay."
"Biogen","IT Management disorganization"
"Biogen",",N/a"
"Biogen",",None"
"Biogen",",senior management shakeup has left people feeling vulnerable"
"Biogen",",They turned away many excellent job applicants."
"Biogen",",temporary"
"Biogen",",none"
"Biogen",",not enough staff"
"Biogen",",Limited pipeline"
"Biogen",",Lack of accountability, unprofessional behavior and favoritism."
"California State University - Fullerton","Short Internship"
"Twitch","It is an uphill climb"
"Twitch",",Not a career field"
"Twitch",",No possitive earnings"
"Twitch",",Lots and lots of competition"
"Twitch",",No set income"
"Analysis Group","The day doesn't end at 5:30 but that is reasonable."
"Vroom","No autonomy over work schedule"
"Vroom",",Stressful, Unorganized"
"Deloitte","Hours, You are Just a Number, No Value Add, Poor Work Life Balance"
"Deloitte",",Managers need to be alittle more hands on."
"Deloitte",",Pay under market"
"Deloitte",",Performance metrics are high and client expectations are high, so work weeks can be long and there is a lot of travel"
"Deloitte",",lifestyle"
"Deloitte",",Long hours"
"Deloitte",",Pressure"
"Deloitte",",Long hours"
"Deloitte",",Management, culture, work/life balance"
"Deloitte",",80% Travel"
"Deloitte",",Bureaucratic environment as you move up the ladder"
"Deloitte",",Long hours"
"Deloitte",",Management"
"CVS Health","constant moving around from store to store"
"CVS Health",",Lay Offs"
"CVS Health",",healthcare, raises, opportunity for advancement"
"CVS Health",",everything else."
"CVS Health",",no beneifits"
"CVS Health",",compensation"
"CVS Health",",weekends and hoildays"
"CVS Health",",Stressful work enviroment"
"CVS Health",",No hours"
"CVS Health",",Pay was difficult to make ends meet"
"CVS Health",",Breaks feel too short often times in comparison to the busy workflow, Raises are far and few between."
"Harris Corporation","No room for advancement"
"Harris Corporation",",Same management players for decades; crisis style management; working nights, weekends, and holidays are expected depending on which group"
"Harris Corporation",",Poor management, poor communication, policies will be made without you being informed, education is not acknowledged, and there is no dedication to you from the company."
"Harris Corporation",",Slow raises."
"Harris Corporation",",seperated from co-workers"
"Harris Corporation",",Sometimes the hours can be long"
"Harris Corporation",",Moderate pay"
"Harris Corporation",",TOO MANY TO NAME"
"Harris Corporation",",Non-existent benefits, zero flexibility, zero talent, hostile work environment"
"Harris Corporation",",Poor benefits"
"Harris Corporation",",pay management advancement"
"Diverse Lynx","There is no downside as per my own experience as Diverse lynx hires Smart out of Smart people."
"Cox Media Group","IT seem to be friends and family, not for outsiders"
"Cox Media Group",",As it is only a entry level position pay is not great"
"Cox Media Group",",Cuts in pay, failure to adapt, ineffective leadership"
"Cox Media Group",",yearly adjustment in pay rate none"
"Cox Media Group",",Micromanagement kills creativity and motivation"
"Cox Media Group",",Management was petty and stubborn, lack of communication amongst management to employees, negative work environment, job insecurity"
"Cox Media Group",",Old computer systems"
"Cox Media Group",",Management is horrible"
"Cox Media Group",",Toxic work environment"
"Cox Media Group",",long hours"
"Cox Media Group",",Insecure work environment, petty managers"
"Yahoo! Inc.","Lack of planning and coordination across business lines."
"Yahoo! Inc.",",upper management often sent mixed messages about company priorities"
"Yahoo! Inc.",",Heart of Silicon Valley, Traffic"
"Yahoo! Inc.",",preferential treatment to certain employees"
"Yahoo! Inc.",",mixed messages from leadership"
"Yahoo! Inc.",",Scheduled breaks/lunches, lots of babysitting"
"Yahoo! Inc.",",management"
"Yahoo! Inc.",",Chuck Whitney"
"Yahoo! Inc.",",Lack of, or continual change in strategy."
"Yahoo! Inc.",",none"
"Yahoo! Inc.",",No life outside of work"
"The Weather Channel","Nothing to complain about"
"The Weather Channel",",Too busy to take any breaks except lunch - long day"
"The Weather Channel",",Lack of Leadership"
"The Weather Channel",",work/life balance"
"The Weather Channel",",Management, Job Security, Overtime"
"The Weather Channel",",EVERYTHING ELSE"
"The Weather Channel",",A bit of company politics I could do without"
"Tesla Motors","stressful, weak management"
"Tesla Motors",",poor management"
"Tesla Motors",",lots of hours per week"
"Tesla Motors",",No work life balance"
"Tesla Motors",",Short breaks"
"Tesla Motors",",No family time, long work hours"
"Tesla Motors",",Raises based on favoritism"
"Tesla Motors",",Management"
"Tesla Motors",",Poor management, short breaks and pretty understaffed. There is also a ton of favoritism and not enough team effort."
"Tesla Motors",",Minimal home life"
"Tesla Motors",",Theres opportunity for growth in tesla but you just have to be with the ""in"" crowd"
"Tesla Motors",",Unorganized, hard for position improvement"
"IBM","Need to be self disciplined for work life balance"
"IBM",",Left on your own to figure things out"
"IBM",",High turn over"
"IBM",",No significant cons"
"IBM",",You're reminded daily its a company with half a million people who don't know each other"
"IBM",",no cons"
"IBM",",work life balance"
"The University of Michigan","None"
"The University of Michigan",",Nothing negative to submit"
"The University of Michigan",",Parking"
"The University of Michigan",",parking"
"The University of Michigan",",low pay"
"The University of Michigan",",Parking"
"Amazon.com","Short breaks, set lunch time for all associates, little to no room for advancement"
"Amazon.com",",short breaks and short lunch breaks"
"Amazon.com",",Really long hours"
"Amazon.com",",Short breaks, long walks back to work station"
"Amazon.com",",short breaks and micromanagement"
"Amazon.com",",Short breaks, bad communication between Associates & Management"
"Amazon.com",",Long hours on the floor walking."
"Amazon.com",",Short breaks/ bad management"
"Amazon.com",",short breaks"
"Amazon.com",",Management, Job stability"
"Amazon.com",",hard to contact bosses"
"Amazon.com",",Walk all day, short lunch and breaks"
"Amazon.com",",community, moral, management"
"Amazon.com",",Really short breaks, Terrible young manangment, false sense of teamwork"
"Amazon.com",",Seasonal, Poor Management"
"Lockheed Martin","Can feel large"
"Lockheed Martin",",The contract was too short lived, but that's the life of a contractor."
"Lockheed Martin",",short breaks"
"Lockheed Martin",",benefits"
"Lockheed Martin",",Not much opportunity to help yourself if you are locked on a program using old technology."
"Lockheed Martin",",Can't think of any"
"Lockheed Martin",",Little chance to advance"
"Lockheed Martin",",moved to different locations"
"Lockheed Martin",",long drive from Louisville, had to eat on site, to far to drive to grab lunch"
"Lockheed Martin",",Lack of communication between managements and between management and employees."
"Sprint","Health Bebefits"
"Sprint",",Pay and Commissions Problems"
"Sprint",",Management, schedule, changes, culture, outdated systems, customer care is outsourced."
"Sprint",",bad coverage"
"Sprint",",Low Base Pay"
"Sprint",",Extended work hours during the holiday season"
"Sprint",",Driving for training an meetings on new plans"
"Sprint",",No promotion within company"
"Sprint",",lay offs"
"AllianceData","none."
"Uber","none"
"Uber",",healthcare"
"Uber",",Too many ptople doing it so its harder to make that extra cash."
"Uber",",no healthcare pay isn't worth it no tips pay includes gas and car maintenance"
"Uber",",long breaks"
"Uber",",unpredictable"
"Uber",",the amount of money that the company per trip and riders cannot tips driver through the app."
"Uber",",they keep cutting the drivers pay."
"Uber",",Puts miles on personal car, have to pay for own maintenance, no real benefits"
"Uber",",Low pay, rude passengers, accruing mileage, stress, traffic"
"Uber",",very low pay mostly, unless you drive in SF."
"TRANZACT","n/a"
"TRANZACT",",Compensation is less compared to New York City companies"
"TRANZACT",",commute - last exit before GWB"
"TRANZACT",",Company was sold to Syncada and we moved to Naperville location"
"T. Rowe Price","Heavy mandatory overtime during certain parts of the year, outdated technology and systems"
"T. Rowe Price",",n/a"
"T. Rowe Price",",Limited upward mobility at Tampa office"
"T. Rowe Price",",none"
"T. Rowe Price",",Pay"
"T. Rowe Price",",Lack of communication"
"T. Rowe Price",",Compensation not competitive for lower level associates"
"T. Rowe Price",",none"
"T. Rowe Price",",Long days, OT required, frequent late shifts"
"T. Rowe Price",",Indifferent management, no merit based promotions"
"T. Rowe Price",",Dont give WFH option much"
"athenahealth","Upward mobility, transparency"
"athenahealth",",Cut throat management, Poor leadership and a weak product"
"athenahealth",",Lack of opportunity to grow outside my department"
"athenahealth",",lay offs"
"athenahealth",",no benifits"
"athenahealth",",temp position"
"athenahealth",",Too many to list"
"athenahealth",",Management needs better employee development training"
"athenahealth",",Insurance, Pay, and Advancement"
"athenahealth",",have none"
"Pacific Northwest National Laboratory","unreasonable rules for ""flexing"" hours, unclear and difficult to convert to full staff"
"Pacific Northwest National Laboratory",",Terrible internal structure"
"Pacific Northwest National Laboratory",",Over regulation by DOE"
"Pacific Northwest National Laboratory",",n/a"
"Pacific Northwest National Laboratory",",Lack of staff & management training"
"Pacific Northwest National Laboratory",",Do not expect to actually be able to do anything. It is sort of a place to go to retire."
"Pacific Northwest National Laboratory",",You have to ""find"" projects to work on, healthcare benefits"
"Pacific Northwest National Laboratory",",You have to ""find"" projects to work on, healthcare benefits"
"Pacific Northwest National Laboratory",",Low pay for a science internship"
"Pacific Northwest National Laboratory",",Slow moving projects"
"Yodle","Not many advancement opportunities."
"Yodle",",a lot of turnover, 401K was not matched"
"Yodle",",2 call close atmosphere, parroting call structure."
"Yodle",",bad work life balance and benefits"
"Yodle",",The calls can be rough on some days. 150 dials with no responces our movement can be demoralizing, but tough it out."
"Yodle",",Has gone through several aquasitions, sprawling technology stack"
"Yodle",",Local Customer Service is relocating"
"Yodle",",difficult clients"
"Yodle",",Buy out- lost our jobs"
"Yodle",",minimal opportunites for growth"
"Yodle",",GRIND on the phone"
"Yodle",",Unrealistic goals were set when the company was purchased"
"Yodle",",turnover, micro-management, Base pay, Commission, constant unhappiness"
"Yodle",",Aggressive sales environment"
"CapTech Consulting","Little choice in clients. Can get stuck."
"CapTech Consulting",",None"
"CapTech Consulting",",Retirement of the CEO"
"CapTech Consulting",",Some growing pains. Some boring client projects."
"CapTech Consulting",",limited cities to live in"
"Paycom","Work/Life balance for many of the larger departments"
"Paycom",",negative environment, old software, underpaid, overworked"
"Paycom",",Parking"
"Paycom",",Emotionally draining, difficult material"
"Paycom",",No cafeteria staff"
"Paycom",",Year end, work/life balance"
"Paycom",",not flexible"
"Paycom",",Stressful"
"Paycom",",Growth - anytime you grow this fast it comes with a few pains here and there."
"Paycom",",Fear based leadership style, poor pay for many roles, work/life balance out of wack, rampant backstabbing and ""high-schoolish"" behavior"
"Paycom",",growing company ""growing pains"", can be overwhelming at times"
"Paycom",",Security can be very tight"
"Paycom",",Quite a bit of traffic & parking is crowded because of the construction on the third building, They are building a new lot so hopefully that will clear up soon."
"Paycom",",Benefits are only beneficial for those who are single."
"Paycom",",flex scheduling for departments would be a nice perk"
"Paycom",",More PTO the first year would have been nice."
"Paycom",",Adding family to the healthcare plan can be expensive."
"Propel Marketing","Poor Location"
"GEICO","High stress environment, Training issues."
"GEICO",",Very strict"
"GEICO",",awful work-life balance, horrible pressure from management, high stress, call-center environment"
"GEICO",",no free time, constant stress, never good enough"
"GEICO",",Poor work, life balance with never ending stress and anxiety"
"GEICO",",Short Breaks and lunch, poor communication, lack of responsibility."
"GEICO",",Quality control was very subjective"
"GEICO",",Managers"
"ATOS","difficult job posting system"
"ATOS",",Requires a lot of time on and off the clock"
"ATOS",",Not enough training."
"ATOS",",Bad management"
"ATOS",",10-12 hours days"
"ATOS",",30 minute lunch, not much training"
"ATOS",",layoffs like crazy, only those grossly underpaid last"
"ATOS",",The hardest part of working for Atos is knowing they won't keep their promises."
"City of Seattle","Low pay"
"City of Seattle",",Too much politics that trumps good technical common sense."
"City of Seattle",",Client Knowledge"
"City of Seattle",",Nothing"
"City of Seattle",",none"
"City of Seattle",",Nothing"
"City of Seattle",",Not organized enough to give much meaningful support."
"City of Seattle",",Great medical health care benefits"
"City of Seattle",",No healthcare"
"City of Seattle",",lack of hours"
"City of Seattle",",move to Dallas"
"Blizzard Entertainment","Forward progress can seem difficult"
"Blizzard Entertainment",",outright wage is less than desireable."
"Blizzard Entertainment",",Some departments work 60 to 70+ weeks, Massive upper management change in last few years, massive culture change, most of the employees that were crucial to Blizzard success have left Blizzard in the last 2 years."
"Blizzard Entertainment",",Not fairly compensated, pay bands are narrow, do not take into account increased cost of living"
"Blizzard Entertainment",",They pay companies to do most of the work."
"Blizzard Entertainment",",Difficult to separate home life from work."
"Blizzard Entertainment",",lay offs are handled poorly"
"Blizzard Entertainment",",The drive was far"
"Blizzard Entertainment",",have to work some holidays"
"Eventbrite","Politics, low comp package, lack of data-driven Product team (especially on the enterprise/organizer side)"
"Washington State University","N/A"
"Washington State University",",too much work."
"Washington State University",",pay was pretty low, not a lot of places to live, bureaucracy."
"Washington State University",",Drinking, party, etc..."
"Washington State University",",Management."
"Washington State University",",not having enough resources for immigrants"
"Payoff","Typical startup challenges including very dynamic environment with frequent changes, If that's challenging for you, startup life might not be your cup of tea."
"MetLife","Working on the weekends"
"MetLife",",distance from home, Over worked due to department consolidation"
"MetLife",",Work commute is long"
"MetLife",",The market crash of 2008"
"MetLife",",work life balance"
"MetLife",",Commission only pay."
"MetLife",",Low Pay, Heavy workload, no room for advancement"
"MetLife",",Less compensation"
"MetLife",",Contract Benefits, management, lack of leadership, organization is too big so hard for things to get done"
"Cloudera","Benefits not as good as other companies in Silicon Valley"
"Cloudera",",No Housing Compensation, They don't hire new grads much."
"Cloudera",",management"
"S&P Global","Weak on professional development and career tracking"
"Expedia, Inc.","management"
"Expedia, Inc.",",No work/life balance"
"Expedia, Inc.",",changing shifts regularly, job growth becomes stagnant, treat adults like children"
"Expedia, Inc.",",Policies"
"Expedia, Inc.",",Short breaks"
"Expedia, Inc.",",Bad management"
"Expedia, Inc.",",politics, favoritisms, unprofessionalism"
"Expedia, Inc.",",No where to park, VERY expensive rates for local lots."
"Expedia, Inc.",",less favoritism"
"Expedia, Inc.",",Stability"
"Expedia, Inc.",",Non stop work"
"Expedia, Inc.",",lack of leadership support, too much micromanaging, questionable job security"
"Boxed","no structure everything is off the fly"
"Boxed",",no cons"
"Boxed",",Horrible management"
"Gatehouse Media","Everthing"
"Gatehouse Media",",not enough work and just busy work"
"Gatehouse Media",",Compensation, ability to take vacation time"
"Gatehouse Media",",communication, no chance of accolades"
"Gatehouse Media",",None"
"Gatehouse Media",",Poor management and 1980's pay"
"Gatehouse Media",",Accrual time"
"Gatehouse Media",",Obvious favoritism, charisma trumps skills/talent (this is page design...), low wages, little regard for employees' well being."
"Gatehouse Media",",Overworked"
"Gatehouse Media",",High turnover, self-absorbed managers, factory atmosphere"
"Gatehouse Media",",It's a thankless grind"
"Gatehouse Media",",Lack of loyalty, raises, bonuses, or performance/merit reviews."
"Crestron Electronics","none"
"Crestron Electronics",",Lack of available parking spaces for workers"
"Crestron Electronics",",unfair"
"Crestron Electronics",",Dated equipment, no standard of equipment 5 users can have 5 different type of machines"
"Crestron Electronics",",Rules have to be changed"
"Crestron Electronics",",turnaround in the department (no one stays long)"
"Crestron Electronics",",Management and HR are a joke, The wages are insulting, Pay raises and annual increases are pathetic. Management makes empty promises, Brainless work"
"Crestron Electronics",",Expensive healthcare"
"Crestron Electronics",",good performance is rewarded with more assigments and responsiblities"
"Crestron Electronics",",Too many to list"
"Crestron Electronics",",New rules daily. favoritism"
"DuPont","none"
"DuPont",",Long day"
"DuPont",",Wall Street pressure"
"DuPont",",short lunch"
"DuPont",",Healthcare"
"DuPont",",swing shift"
"DuPont",",Pay was excellent and the benefits were great also."
"DuPont",",Had to retire due to new Company"
"DuPont",",As is typical of most chemical companies, the salaries are generally lower compared to big oil companies."
"DuPont",",short breaks"
"DuPont",",no room for growth. health benefits aren't great."
"Leidos","Too many to list."
"Leidos",",sales did poor job"
"Leidos",",No breaks"
"Leidos",",Everything else"
"Leidos",",Contract work."
"Leidos",",Not a lot of growth opportunty"
"Leidos",",Overloaded with projects to be completed in a very short time."
"Johns Hopkins University/Applied Physics Lab","Laid back"
"Johns Hopkins University/Applied Physics Lab",",none"
"Johns Hopkins University/Applied Physics Lab",",Must have strong career path planning, skills and accomplishments."
"Johns Hopkins University/Applied Physics Lab",",Little career advancement for technical staff, research isn't very cutting edge, matrix management organizational style can lead to redundancy in line management."
"Johns Hopkins University/Applied Physics Lab",",redundant layers of management, no leadership within management, parking is terrible (free)"
"Johns Hopkins University/Applied Physics Lab",",None"
"Johns Hopkins University/Applied Physics Lab",",Secure entry door is kinda creepy"
"Aetna","job security"
"Aetna",",Inconsistency in job performance requirements"
