"company","position","salary","worklife","compensation","jobsecurity","management","culture","company.x","review","company.y","position","company.x.1","pro","company.y.1","con"
"3M","Research Scientist",95317,3.9,3.9,3.5,3.7,3.9,"Harris Corporation",",Great work life balance and vacation and 401k, but a very low pay and bad middle and upper management cancel that out. You're just a cog in the chain at Harris. Promotions take too long, and raises don't keep up with inflation.","Reed Elsevier",",Management","Capco",",meaningful work, benefits - 401k","Union Bank",",Undercurrent: corporate culture is politically biased."
"3M","Senior Research Chemist",89874,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",I loved the job itself, have zero complaints about the work I was doing. I can not say the same about the people I was put to work with. Very rude and lazy.",NA,NA,NA,NA,NA,NA
"3M","Senior Chemist",97783,3.9,3.9,3.5,3.7,3.9,"University of Pennsylvania",",good institution with lot of opportunities. Good environment to work. Well recognized in the world. Good library and journals are available online with institute's subscription.",NA,NA,NA,NA,NA,NA
"A9.com","Software Engineer",119828,4.5,4.5,3.5,4,4.5,"University of Pennsylvania",",I personally feel my experience was an eye opener. I was responsible for patient care along with the research/laboratory portion, which caused me to become better with my time management. When their were a lot of tasks that needed to be completed, I was able to organize myself, so I was constantly working/finishing tasks throughout the day, so they would all be completed by the end of the week.",NA,NA,NA,NA,NA,NA
"A9.com","Senior Software Engineer",142740,4.5,4.5,3.5,4,4.5,"University of Pennsylvania",",UPenn had a good culture and good people working there.  Unfortunately I was stuck on a dog of a project, but beyond that, it was a great place to work.",NA,NA,NA,NA,NA,NA
"A9.com","Engineering Program Manager",138487,4.5,4.5,3.5,4,4.5,"University of Pennsylvania",",a lot of changes going on.  With change comes anxiety of some employees.  Hard to get through to them that change is needed but continually try.  Great work environment",NA,NA,NA,NA,NA,NA
"A9.com","Software Test Engineer",117550,4.5,4.5,3.5,4,4.5,"University of Pennsylvania",",On a daily basis, my responsibilities vary , which consist of no less than training new drivers, dispatching, payroll,  book keeping, road observations, driving when needed. The hardest part of the job is when I may have to terminate an employee.",NA,NA,NA,NA,NA,NA
"A9.com","User Experience Designer",96466,4.5,4.5,3.5,4,4.5,"University of Pennsylvania",",I have worked here for 3 years. It will be four years on July 22nd, 2017.  I started out as a temp and was blessed to be hired full time.",NA,NA,NA,NA,NA,NA
"A9.com","Software Developer",122123,4.5,4.5,3.5,4,4.5,"University of Pennsylvania",",It's veey exciting being at Upenn. I worked with a specific group that cathered towards kids in public school and I enjoyed every bit of it! It fell nice knowing that I was making a difference in someone's life!",NA,NA,NA,NA,NA,NA
"A9.com","Data Analyst",118105,4.5,4.5,3.5,4,4.5,"University of Pennsylvania",",Great experience as a teaching assistant. Learnt a lot of skills I normally would not have been able to polish. Hours can be long at times but a very enjoyable and rewarding experience.",NA,NA,NA,NA,NA,NA
"Accenture","Software Architect",110188,3.7,3.6,3.8,3.6,3.9,"Kellogg Company","When I started, the job was not bad at all. Good people to work for, company car, gas card, company phone, good benefits. I did have to work in several places but the company car took care of that.",NA,NA,NA,NA,NA,NA
"Accenture","Computer Programmer",70475,3.7,3.6,3.8,3.6,3.9,"Diverse Lynx","Workplace culture is very nice. Salary and benefits are good. Diverse Lyx is very employee friendly company.","Florida Blue",",MS SQL Server / BI Developer","Synchrony Financial",",Benefits, cafeteria","HMS",",Health insurance deductible and copays unafordable"
"Accenture","Senior Systems Analyst",74991,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",There have recently been managements changes along with other changes from corporate that have made this job into a nightmare. I work in a pretty expensive part of the country and for what they pay a manager is really laughable. Especially for the work they expect you to do. There's barely any work/life balance and if you don't hit what THEY want you to hit numbers wise, you look like garbage to them. Even if your doing your job! I was also not given any real management training and was thrown on a route that I knew nothing about. Manager said that they would give me training and I am still waiting for it as they say what I terrible job I am doing.",NA,NA,NA,NA,NA,NA
"Accenture","Consulting Manager",119053,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Bottom line, is a good job if your a merchandiser but once you move to management, you have to deliver. It's more money for management. But it's also more stress than they pay.",NA,NA,NA,NA,NA,NA
"Accenture","Consultant",81141,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Great place to work overall. Always something more to learn about the business. Many opportunities to cross-train and advance in the company. Very understanding of work/life balance",NA,NA,NA,NA,NA,NA
"Accenture","SAP Consultant",95047,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Easy job. Great benefits. Union guaranteed minimum pay. Well maintained trucks. Puts driver safety above all. Best job I have ever had. One in a million.",NA,NA,NA,NA,NA,NA
"Accenture","Systems Analyst",85517,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Pay, benefits and management were great. Good equipment. I'd be working there for years to come if not for the lay offs. I'll miss it.",NA,NA,NA,NA,NA,NA
"Accenture","Senior Quality Analyst",70604,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Lots of change leading to instability within the organization. Great pay and benefits, constant restructure with no sense of job security within the organization.",NA,NA,NA,NA,NA,NA
"Accenture","Implementation Consultant",90172,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",The team was very passionate about the business and achieving the goal set forth for them. I is unfortunate that the dsd portion of the business is closing.",NA,NA,NA,NA,NA,NA
"Accenture","Supply Chain Manager",125229,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",I was selected to tour the facility in Battle Creek Michigan, and help the company come up with more efficent ways to run their production line. The opportunity was one of the best i have had, even if it were only a co-op.",NA,NA,NA,NA,NA,NA
"Accenture","Engineering Lead",90304,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Kellogg Corporation making changes to downsize.",NA,NA,NA,NA,NA,NA
"Accenture","Senior Consultant",92230,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Being part of of huge organization, being successful in my sales management role and getting results to customers was key to my success with the company.",NA,NA,NA,NA,NA,NA
"Accenture","Integration Manager",126302,3.7,3.6,3.8,3.6,3.9,"Diverse Lynx",",Working environment is good. ","Florida Blue",",Customer Service Representative","Synchrony Financial",",Decent time off, GREAT health insurance","HMS",",Traveling distance"
"Accenture","Senior Information Technology Manager",72881,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Don't really like the scheduling process. I still haven't received one ""data usage"" check.. and everytime I ask about it, I just get told "" they're working on a date so that the always come out on the same day."" Just run around after run around",NA,NA,NA,NA,NA,NA
"Accenture","Manager",120019,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",the layoffs hurt i have a family but u have to start from the bottom to move up but it was an good opportunity for me an i wish i could stay longer but i need job security",NA,NA,NA,NA,NA,NA
"Accenture","Service Delivery Manager",115647,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",You stock shelves with merchandise. Great if you're going to school and need a part time job. You work in the store with all the other store associates that work there.",NA,NA,NA,NA,NA,NA
"Accenture","Program Manager",99234,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",it is a good environment I love the job it to learn different thing they let do overtime when you want to I love planet manager the job have nice peoples there and I won't mind working back there again",NA,NA,NA,NA,NA,NA
"Accenture","Business Analyst",75386,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",This place went from a career, to average, to just a job.  It pays good and has good benefits for the area, which is why I stay.  Continuous change, as they tried to become Clearfield, then PPG, now are trying all the latest factory ""crazes"".  ",NA,NA,NA,NA,NA,NA
"Accenture","Software Engineering Manager",103937,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Nothing is steady and many of the management initiatives hinder our work.  This place used to be safe and was very clean, but they cut all the freezer cleans in half and overall cleaning frequencies to the point the oil is nasty and smokey before it is changed.",NA,NA,NA,NA,NA,NA
"Accenture","Software Engineer",64975,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Overall, I will stay and work.  I once was a lead, but backed out due to all of this change and poor leadership.  I just hope our wages or benefits are not cut, otherwise I (along with lots of others) will leave.",NA,NA,NA,NA,NA,NA
"Accenture","Senior Technical Consultant",116615,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Hanging out and hoping for change back to the way it once was.",NA,NA,NA,NA,NA,NA
"Accenture","Database Administrator",76770,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Would never go back they didn't even know half the people that worked they not a very good place to work at they don't care about the workers we didn't get anything for hitting our numbers each day",NA,NA,NA,NA,NA,NA
"Accenture","Information Technology Manager",98422,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Ideal for someone looking for lots of hours and hard work, with good compensation for it.  Poor workplace for the family/free time oriented, because hours are completely unpredictable and it is impossible to make and keep plans.  Is poorly organized/has poor communication.  You feel left out on your own, but plus side to that is no annoying coworkers - you really only communicate with the scheduler and the sales rep. Advancement opportunities are available only if you are willing to travel and/or relocate.",NA,NA,NA,NA,NA,NA
"Accenture","Test Analyst",71005,3.7,3.6,3.8,3.6,3.9,"Diverse Lynx",",Management is good and supportive.","Florida Blue",",Service Advocate","Stitch Fix",",Catering","The Hanover Insurance Group",",claims disputes"
"Accenture","Computer Specialist",74245,3.7,3.6,3.8,3.6,3.9,"Kellogg Company",",Overall good company to work for. Kellogg is a food distribution center. At my facility, we made a vegitarian soy burger. It was rated the best in the country.",NA,NA,NA,NA,NA,NA
"aclu","Paralegal",44216,4.5,3.5,3.8,4,4.3,"Kellogg Company",",You are giving a set of stores and deliveries to work. You must be able to walk , go up ladders, crawl, move up to 50 pound, bend alot. work alone in each store and fallow through.",NA,NA,NA,NA,NA,NA
"aclu","Legal Assistant",46214,4.5,3.5,3.8,4,4.3,"Kellogg Company",",The company has jumped the shark. Recent changes in business model drops field employees (sales and merchandising) to a sub-level that gets absolutely no support from management. ""our way or the highway"" mentality rules. Employees and customers no longer matter as long as the trucks leave full and return empty. Management is selling out to the shareholders in an all too obvious manner. They expect the world and when they don't get it the blame goes to the over-worked and poorly scheduled field employees. Stay away-stay very far away!!",NA,NA,NA,NA,NA,NA
"aclu","Director of Communications",81028,4.5,3.5,3.8,4,4.3,"Kellogg Company",",Definitely not a job for the minority worker.  I felt looked down upon by upper management and never was given a chance for advancement, even though my reviews were always good.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Maintenance Technician",20.4,3.4,3.2,3,3.2,3.2,"Kellogg Company",",I have recommended to all my relatives and friends to not come here, to go elsewhere for jobs.  I don't want them to be treated like me and feel unsafe in job security.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Production Worker",10.79,3.4,3.2,3,3.2,3.2,"Kellogg Company",",Typical day would be paying bills for accounts payable, interaction with vendors to resolve any problems that may arise, (damaged products, etc.) then making sure payroll is updated and submitted to Corporate weekly.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Machine Operator",12.13,3.4,3.2,3,3.2,3.2,"Kellogg Company",",This is the best place to work for so many positive reasons. Kellogg spoils us with great pay, 401k match and top of the line healthcare. They also have many jobs to choose from. your future depends on your hard work.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Picker/Packer",12.76,3.4,3.2,3,3.2,3.2,"VF Corporation","Great company to start your career out with.You will learn a lot in a short amount of time, however, no room for growth from within.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Forklift Operator",12.39,3.4,3.2,3,3.2,3.2,"VF Corporation",",The distance from home was a tough commute for the amount of pay I was receiving and not enough hours to give out.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Material Handler",11.77,3.4,3.2,3,3.2,3.2,"VF Corporation",",Not a whole lot of business coming in and out",NA,NA,NA,NA,NA,NA
"Adecco: USA","Assistant Coordinator",17.04,3.4,3.2,3,3.2,3.2,"Diverse Lynx",",People working at  Diverse lynx are great. We have been trained by one of the most professional trainers that motivates us to do more at work.","Florida Blue",",Billing CSR/ Claims and Benefits Advocate","Synchrony Financial",",You get paid every Friday","HMS",",Short on staff"
"Adecco: USA","Packager",10.9,3.4,3.2,3,3.2,3.2,"VF Corporation",",Great place to work the managers really care and try to get to know you as a person and not just an employee they make things fun and keep drama down and always keep you informed with what is going on in the company",NA,NA,NA,NA,NA,NA
"Adecco: USA","Warehouse Worker",11.71,3.4,3.2,3,3.2,3.2,"VF Corporation",",team work,, pleasant work environment.  ",NA,NA,NA,NA,NA,NA
"Adecco: USA","Inspector",12,3.4,3.2,3,3.2,3.2,"VF Corporation",",learned to work on and adjust sewing machines",NA,NA,NA,NA,NA,NA
"Adecco: USA","Operator",13.27,3.4,3.2,3,3.2,3.2,"VF Corporation",",management was friendly and helpful",NA,NA,NA,NA,NA,NA
"Adecco: USA","Service Technician",15,3.4,3.2,3,3.2,3.2,"VF Corporation",",hardest part of the job was working on conveyors",NA,NA,NA,NA,NA,NA
"Adecco: USA","Customer Support Representative",15.15,3.4,3.2,3,3.2,3.2,"VF Corporation",",the most enjoyable was working with the team members",NA,NA,NA,NA,NA,NA
"Adecco: USA","Customer Service Representative",12.99,3.4,3.2,3,3.2,3.2,"VF Corporation",",I can only say how my experience was as an intern. I loved the whole experience. I was treated with respect and compassion at every step. I felt like I had a real work family not just a job. Even on a day that I felt not 100% I still looked forward to going to work there.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Clerk",12.35,3.4,3.2,3,3.2,3.2,"VF Corporation",",Great opportunity to learn more about the industry in a fun and professional environment.  Very helpful in making sure you get course credits.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Data Entry Clerk",12.28,3.4,3.2,3,3.2,3.2,"VF Corporation",",Great opportunity.  Great company.  I represented 6 apparel lines.  A great career company.  I left for another opportunity.  That was a mistake on my part.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Bilingual Customer Service Associate",13.75,3.4,3.2,3,3.2,3.2,"VF Corporation",",I've been at the job for awhile now and I have the skills but was not advancing. I don't get enough hours or pay and the company doesn't give part time employees any benefits anymore.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Administrative Assistant",15.15,3.4,3.2,3,3.2,3.2,"Diverse Lynx",",excellent management","Florida Blue",",Telesales Agent","Synchrony Financial",",great benefits","HMS",",racism"
"Adecco: USA","Packer",12.4,3.4,3.2,3,3.2,3.2,"VF Corporation",",A typical day of work depends on what dept you're in, in shipping mostly you will be on the lines all day, but if they need you somewhere else they will move you around. Mostly gonna be walking all day picking up boxes and taking them to their locations and pulling out pallets and what not. I learned plenty of things as this was my first warehouse job. Management doesn't seem to be that good, the leads and supervisors don't really do much but sit around or stare at u while u work, occasionally they walk around and find ways to get people in trouble. Their really isn't a hard part of the job, once they train you its a pretty easy job, sometimes it can actually be chill if its slow, but expect to be sore when you first start out as your feet and body isnt used to walking all day and carrying boxes. As for the most enjoyable part of the job well that's when your on lunch when you can finally just chill and eat, and when you're finally off work.",NA,NA,NA,NA,NA,NA
"Adecco: USA","CNC Operator",14.06,3.4,3.2,3,3.2,3.2,"VF Corporation",",I loved working for the corporation. They were very helpful when I had issues using my employee discounts to other stores within the company. I only hear good things from my co-workers.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Receptionist",12.92,3.4,3.2,3,3.2,3.2,"VF Corporation",",Your whole life is about VF. Typical corporate culture,one hand does not know what the other is doing. Great place to learn the basics and move on.The store culture is fun and people get along good.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Assembler",11.92,3.4,3.2,3,3.2,3.2,"VF Corporation",",Vf was a great part time job. the staff there was awesome and very supportive. Many employee appreciation days. plus the 20 percent discount off already low prices is pretty sweet.only left because i was offered a full time job",NA,NA,NA,NA,NA,NA
"Adecco: USA","Collection Representative",14.95,3.4,3.2,3,3.2,3.2,"VF Corporation",",Leaves employees handicapped by having to ask a team leader for answers while on calls, as well as having to put customer on hold for 15/20 minutes to get the answer almost every call. If you have an emergency at work for personal reasons you will get a point for having to leave work (sick child, school problems etc) they are not efficient in handling product problems in a timely manner, most of the time you are dealing with very angry customers of no fault of your own. But it was a paying job.",NA,NA,NA,NA,NA,NA
"Adecco: USA","Support Specialist",15.24,3.4,3.2,3,3.2,3.2,"VF Corporation",",Friendly co-workers, clean/new office space.  ",NA,NA,NA,NA,NA,NA
"Adecco: USA","Production Associate",11.06,3.4,3.2,3,3.2,3.2,"VF Corporation",",Location is right across from 2 train stations.",NA,NA,NA,NA,NA,NA
"Adobe","Product Marketing Manager",116065,4.1,4.2,3.7,3.6,4,"VF Corporation",",Great view of NYC skyline.",NA,NA,NA,NA,NA,NA
"Adobe","Technical Support",74415,4.1,4.2,3.7,3.6,4,"VF Corporation",",Good management and friendly employees all around enjoyable place to work. Organized clean environment and customer-friendly. Also large variety to choose from starting from newborn to adult",NA,NA,NA,NA,NA,NA
"Adobe","Senior Computer Scientist",139966,4.1,4.2,3.7,3.6,4,"VF Corporation",",My typical day at vf outlet is that it is very busy during rush hours. We had amazing co workers. Most enjoyable time at vf outlet was meeting different faces",NA,NA,NA,NA,NA,NA
"Adobe","Graphic Designer",100218,4.1,4.2,3.7,3.6,4,"Diverse Lynx",",very friendly environment.","Florida Blue",",Customer Service Advocate","Synchrony Financial",",Everything","HMS",",Short Breaks, Employee-Manager Dysfunction"
"Adobe","Designer",86524,4.1,4.2,3.7,3.6,4,"VF Corporation",",All the work is layed out for you. Communication skills are great at a corporate level. Too much fraternizing at store level and Store managers have favorites. They also tend to hired friends and family which makes for an uncomfortable work place and unfair promotions.",NA,NA,NA,NA,NA,NA
"Adobe","Data Analyst",88317,4.1,4.2,3.7,3.6,4,"VF Corporation",",They were really great to there employees.  Management from the President on down were willing to teach.  Benefits were great",NA,NA,NA,NA,NA,NA
"Adobe","Database Administrator",100165,4.1,4.2,3.7,3.6,4,"VF Corporation",",This job taught me a good leason. Sometimes it's not you as the employee that is bad but the management can also be wrong. Sometimes it's just the wrong fit. Bit when the boss repeatedly tells you that you suck at your job and that's he's going to fire you as an example (at least 3 times a day) you just leave. Change of management was a bad decision for the company. However for some reason they don't care. But when the boss gives you the worst review you've ever had from any person in the company (before this person was there everybody always said i did great and was improving steadily). This manager said a blind monkey could do my job better than i. Pay increases came in the form of a few cents. Benifits sucked and insurance covered nothing. The best thing was that they matched your 401k contributions. Very little room for growth within the company very little support. They make life very stressful in and outside of work. So maybe this was just porr management or I wasn't the right fit but it definitely ruined my opinion of the whole company when my concerns and complaints went ignored.",NA,NA,NA,NA,NA,NA
"Adobe","Member of Technical Staff",72899,4.1,4.2,3.7,3.6,4,"VF Corporation",",Great company loved being a part of the team!! They invest time and energy into coaching and developing all staff. We have wonderful peer support and great Dm support.",NA,NA,NA,NA,NA,NA
"Adobe","Business Analyst",122712,4.1,4.2,3.7,3.6,4,"VF Corporation",",Worst place to work. They work you like a dog, don't appreciate you, give you as little pay as possible and overall treat you very badly.",NA,NA,NA,NA,NA,NA
"Adobe","Model",144935,4.1,4.2,3.7,3.6,4,"Adecco: USA","love working with the clients , fun environment , have to have a good heart and patience to work in this field.  the most enjoyable part about the job is spending time with the clients they become your family",NA,NA,NA,NA,NA,NA
"Adobe","Computer Scientist",115555,4.1,4.2,3.7,3.6,4,"Adecco: USA",",This is a company filled with lies and twisted information. They never let you know of changes, lie about pay and assignment dates, and do not value their employees. If your assignment is set to end one date they will tell you the date is further out than it is, let you come to work and tell you at the end of the shift randomly your assignment has ended.",NA,NA,NA,NA,NA,NA
"Adobe","Security Engineer",134377,4.1,4.2,3.7,3.6,4,"Adecco: USA",",Working at Publix will teach you a lot, including the fact that you should work for a great company which looks out for your well-being and also cares about you.",NA,NA,NA,NA,NA,NA
"Adobe","Business Systems Analyst",132446,4.1,4.2,3.7,3.6,4,"Adecco: USA",",The Job is just what the company is Temporary. I couldn't keep an assignment for long. The lay off temps very quickly. The company is not at fault. They always do what they need to do to reassign workers.",NA,NA,NA,NA,NA,NA
"Adobe","Systems Analyst",122763,4.1,4.2,3.7,3.6,4,"Adecco: USA",",Not the best place to work at. Management is not the best. No room to grow. No life work balance and not very comprehensive.",NA,NA,NA,NA,NA,NA
"Adobe","Software Developer",121497,4.1,4.2,3.7,3.6,4,"Diverse Lynx",",good salary package","Florida Blue",",Service Advocate III","Sabre","Vacations and distance from home","HMS",",Other employees don't take their job seriously, Tough commute, Rough hours"
"Adobe","Software Engineer",109828,4.1,4.2,3.7,3.6,4,"Adecco: USA",",Working for adecco and CTDI was the Worst place to work management and leads have really bad communication,  they don't appreciate your work. From one day to another they terminate you for being 1 or 2 minutes late. When in reality I had work for them  in past 10 hour shifts seven days a week..",NA,NA,NA,NA,NA,NA
"Adobe","User Experience Designer",118889,4.1,4.2,3.7,3.6,4,"Adecco: USA",",I work a swing shift . The hours a flexible 4 hours per evening. I've learned to conserve materials like container liners keep track of materials being used and request new material when supply is low. ",NA,NA,NA,NA,NA,NA
"Adobe","Information Technology Specialist",62032,4.1,4.2,3.7,3.6,4,"Adecco: USA",",Change  belts and bags on commercial industrial vacuum cleaners.",NA,NA,NA,NA,NA,NA
"Adobe","Senior Engineer",124834,4.1,4.2,3.7,3.6,4,"Adecco: USA",",Working at Adecco was a great experience. I appreciated the job placement. There career coaches really take time to work with each individual. They help find the best fit for you.",NA,NA,NA,NA,NA,NA
"Adobe","Information Security Analyst",101192,4.1,4.2,3.7,3.6,4,"Adecco: USA",",They do not care if you are happy where you work or if you are treated well. They do not care if you are ever hired on, in fact, they prefer you never be hired on so they make more money. Most of the time they have no idea what the job they're placing you at, even entails. Most of the time, they have only walked through the location once. Just stay away from temp agencies. This one bad mouths other temp agencies as well, which only goes to show.",NA,NA,NA,NA,NA,NA
"Adobe","Marketing Manager",148120,4.1,4.2,3.7,3.6,4,"Adecco: USA",",At work I picked material from shelves to prep for shipping. Not enough pay for the  hours i worked after pay went down from seasonal pay. No good management to motivate  workers especially when hours and pay gets cut",NA,NA,NA,NA,NA,NA
"Adobe","Senior Designer",127849,4.1,4.2,3.7,3.6,4,"Adecco: USA",",When I worked at Adecco USA it was a good time most of the time  they are very strict about being on time from your break and your shift pretty easy to get terminated",NA,NA,NA,NA,NA,NA
"Adobe","Marketing Specialist",33,4.1,4.2,3.7,3.6,4,"Adecco: USA",",The staff at the Adecco in Parkersburg, WV are top notch professionals and some of the friendliest people I've ever dealt with. The job that they set me up with turned out to be a permanent career. I work for a great company and my co workers are friendly and we all get along great. The best part is there is only 6 of us so when we get things done it feels great. This is by far the best job I've ever had and I have Adecco to thank for it. They gave me a opportunity when the Adecco staff in Wheeling, WV wouldn't.",NA,NA,NA,NA,NA,NA
"Adobe","Market Researcher",102421,4.1,4.2,3.7,3.6,4,"Adecco: USA",",It's just that it's temporary and I work for an agency so room for advancement seems so far away. I like the work environment and I would like to move around a little bit more but we will see.",NA,NA,NA,NA,NA,NA
