,Source,gMag,gSent,gentity1,gentity1salience,gentity1type,gentity2,gentity2salience,gentity2type,gentity3,gentity3salience,gentity3type,gentity4,gentity4salience,gentity4type,gentity5,gentity5salience,gentity5type,gtopic1,gtopic2,gtopic3,gtopic4,gtopic5,id,lenArticle,lenGoogleAPIentities,lenGoogleAPItokens,lenTextRazorAPIcoarseTopics,lenTextrazorAPIentailments,lenTextrazorAPIentities,lenTextrazorAPIproperties,lenTextrazorAPIrelations,lenTextrazorAPIsentences,lenTextrazorAPItopics,tentity1,tentity1salience,tentity1type,tentity2,tentity2salience,tentity2type,tentity3,tentity3salience,tentity3type,tentity4,tentity4salience,tentity4type,tentity5,tentity5salience,tentity5type
33,reutersbasic,4.7,0.1,Lady Gaga,0.19223809,PERSON,Donald Trump,0.11458889,PERSON,Super Bowl,0.066645026,PERSON,singer,0.030321674,PERSON,roof,0.029388525,PERSON,Lady Gaga,Performing arts,Donald Trump,Born This Way (song),Entertainment,-1427262067,2728,4921,5456,652,857756,49505,5067,172187,172187,32864,Lady Gaga,0.5593,MusicalArtist,Bad Romance,0.5139,Work,God Bless America,0.4277,Work,Poker Face (Lady Gaga song),0.4271,Work,Donald Trump,0.3797,Agent
34,foxbasic,7.8,0.0,Donald Trump,0.33508128,PERSON,California,0.29917467,PERSON,Jerry Brown,0.2220042,PERSON,administration,0.019972028,PERSON,lawmakers,0.018220786,PERSON,Donald Trump,California,Patient Protection and Affordable Care Act,Immigration,United States,-1440580346,4528,6506,9056,651,1519445,81824,9277,263369,263369,30579,Jerry Brown,0.7683,Agent,Patient Protection and Affordable Care Act,0.7518,,Barack Obama,0.7177,Agent,United States,0.6591,Place,Donald Trump,0.6298,Agent
35,reutersbasic,1.9,0.1,Israeli,0.2096797,LOCATION,Palestinian,0.1262405,LOCATION,The Supreme Court,0.0804093,LOCATION,law,0.07140066,LOCATION,law,0.03379941,LOCATION,Israeli settlement,Israel,Palestinian National Authority,West Bank,Government of Israel,-1441562525,2166,3685,4332,661,688731,51689,4225,125871,125871,37829,Israeli settlement,1.0,,West Bank,0.8958,Place,Benjamin Netanyahu,0.812,Agent,Mahmoud Abbas,0.7897,Agent,Israel,0.777,Place
36,reutersbasic,1.4,-0.2,Bashar al-Assad,0.24286307,PERSON,SANA,0.19599836,PERSON,fight,0.05897723,PERSON,jihadists,0.046397608,PERSON,Islamic State,0.039669026,PERSON,Bashar al-Assad,Islamic State of Iraq and the Levant,Religion-based civil wars,Aftermath of the Arab Spring,Conflicts,-1447895278,1075,1960,2150,547,545134,20838,2221,64126,64126,39416,Bashar al-Assad,0.9733,Agent,Syria,0.528,Place,Islamic terrorism,0.3494,,Donald Trump,0.3097,Agent,Islamism,0.2682,
37,reutersbasic,0.6,0.6,U.S. Army Corps of Engineers,0.38597122,ORGANIZATION,easement,0.117645435,ORGANIZATION,Dakota Access LLC,0.0653547,ORGANIZATION,Donald Trump,0.061755728,ORGANIZATION,easement,0.04958137,ORGANIZATION,Bakken pipeline,Hydrocarbons,Oils,Natural gas,Petroleum industry,-1465788977,445,889,890,654,102190,11753,1286,24230,24230,23170,Petroleum,0.2321,,United States Army Corps of Engineers,0.1922,Agent,,,,,,,,,
38,cnnbasic,0.9,-0.1,Donald Trump,0.17889664,PERSON,working group,0.06742385,PERSON,executive orders,0.055408802,PERSON,executive orders,0.055408802,PERSON,orders,0.055408802,PERSON,Crime,Donald Trump,Illegal drug trade,United States Department of Justice,Police,-1479232370,2142,2941,4284,651,1168839,37088,3442,130779,130779,32385,Criminal justice,0.695,,Illegal drug trade,0.6504,,Crime,0.5872,,United States Department of Justice,0.5707,Agent,United States Department of Homeland Security,0.4745,Agent
39,reutersbasic,1.6,-0.2,Bill Pascrell,0.19542715,PERSON,Donald Trump,0.16813551,PERSON,U.S. Congress,0.12653233,PERSON,Republicans,0.10963475,PERSON,conflicts,0.061571646,PERSON,United States Congress,Donald Trump,Tax,Republican Party (United States),Democratic Party (United States),-1530322850,2448,4186,4896,652,1270864,57226,5339,153788,153788,29273,Orrin Hatch,0.7256,Agent,United States Congress,0.6884,Place,United States Senate,0.6088,Agent,United States Congress Joint Committee on Taxation,0.5971,,Donald Trump,0.5797,Agent
40,cnnbasic,2.2,-0.7,Trump,0.45548448,PERSON,Sean Spicer,0.15811828,PERSON,reporters,0.066670194,PERSON,bathrobe,0.06122102,PERSON,detail,0.034922436,PERSON,Donald Trump,Twitter,Controversies,Public sphere,Politics,-1542438613,1295,1754,2590,654,491732,10439,2259,83355,83355,25123,,,,,,,,,,,,,,,
41,reutersbasic,1.1,-0.2,U.S. Army,0.13941066,ORGANIZATION,permit,0.06522513,ORGANIZATION,Donald Trump,0.06093775,ORGANIZATION,line,0.048784487,ORGANIZATION,Lake Oahe,0.0403938,ORGANIZATION,Standing Rock Indian Reservation,Sioux,United States,Petroleum,Bakken pipeline,-1543892034,1695,3134,3390,654,581474,38026,3565,109020,109020,29020,Standing Rock Indian Reservation,1.0,Place,Petroleum,0.6264,,Missouri River,0.5938,Place,North Dakota,0.4938,Place,Donald Trump,0.4572,Agent
42,reutersbasic,3.3,0.0,Donald Trump,0.3651838,PERSON,Japanese,0.07132017,PERSON,graffiti artist,0.058378603,PERSON,Shibuya,0.041352298,PERSON,stickers,0.039122347,PERSON,Donald Trump,Politics,Japan,Shinzō Abe,Tokyo,-1585719943,1811,2804,3622,655,680134,31548,3555,114632,114632,33502,Shinzō Abe,0.5493,Agent,Donald Trump,0.4092,Agent,White supremacy,0.3916,,Ku Klux Klan,0.3536,,Tokyo,0.3455,Place
43,reutersbasic,2.2,-0.7,soldiers,0.14168112,PERSON,report,0.1333999,PERSON,Myanmar,0.09789231,PERSON,State Department,0.08223492,PERSON,Rohingya Muslims,0.06768178,PERSON,Myanmar,Rohingya people,Terrorism,International relations,War,-1587700833,1867,3195,3734,649,670467,36360,3935,105834,105834,42794,Rohingya people,0.8014,EthnicGroup,Myanmar,0.6675,Place,Terrorism,0.6515,,Crimes against humanity,0.5313,,Islamism,0.5008,
44,cnnbasic,4.3,-0.1,Sean Spicer,0.57475674,PERSON,Melissa McCarthy,0.06493999,PERSON,White House,0.0508065,PERSON,SNL,0.04701738,PERSON,Trump,0.03697133,PERSON,Saturday Night Live,Alec Baldwin,Television episodes,NBC network shows,Television programs,-1591157361,1275,1749,2550,651,357937,20966,2160,87196,87196,23539,Saturday Night Live,0.5334,Work,Alec Baldwin,0.3828,Agent,CNN,0.3038,Agent,,,,,,
45,reutersbasic,8.8,-0.2,Donald Trump,0.42814246,PERSON,Ivanka Trump,0.19042873,PERSON,misuse,0.06885438,PERSON,Reuters.Nordstrom,0.036367532,PERSON,Sean Spicer,0.0243006,PERSON,Donald Trump,Twitter,President of the United States,Republican Party (United States),Democratic Party (United States),-1606426946,5844,9251,11688,659,2295094,120233,12959,361546,361546,33593,Donald Trump,0.8674,Agent,George W. Bush,0.7222,Agent,Twitter,0.6516,Work,Republican Party (United States),0.6442,Agent,Nancy Pelosi,0.6036,Agent
46,reutersbasic,3.5,0.0,Donald Trump,0.5432218,PERSON,relief,0.061110176,PERSON,Federica Mogherini,0.051720902,PERSON,United States,0.03839911,PERSON,administration,0.03267631,PERSON,Donald Trump,Joint Comprehensive Plan of Action,Public sphere,Global politics,Diplomacy,-1619643289,3011,4783,6022,659,1248302,75953,5813,179099,179099,35680,Joint Comprehensive Plan of Action,0.9263,,Vladimir Putin,0.7113,Agent,Federica Mogherini,0.669,Agent,Sanctions against Iran,0.6458,,Donald Trump,0.6049,Agent
47,cnnbasic,5.6,-0.1,Kellyanne Conway,0.23008293,PERSON,White House,0.08618802,PERSON,Donald Trump,0.05509403,PERSON,Elijah Cummings,0.042818606,PERSON,Conway,0.033183478,PERSON,Ivanka Trump,Donald Trump,President of the United States,Democratic Party (United States),Law of the United States,-1621237594,3625,5902,7250,660,1599506,51517,6920,234895,234895,33944,George W. Bush,0.6064,Agent,Donald Trump,0.5958,Agent,United States House Committee on Oversight and Government Reform,0.5574,,Republican Party (United States),0.5174,Agent,CNN,0.475,Agent
48,cnnbasic,6.5,-0.1,Cuban,0.51870567,LOCATION,Donald Trump,0.17798069,LOCATION,United States,0.075448714,LOCATION,Cubans,0.047256805,LOCATION,Barack Obama,0.018097205,LOCATION,Cuba,Donald Trump,United States,Barack Obama,President of the United States,-1624717804,5876,7238,11752,660,2140923,124177,11552,366319,366319,33609,Cuba,0.7361,Place,Raúl Castro,0.6029,Agent,Donald Trump,0.601,Agent,Barack Obama,0.5941,Agent,Havana,0.5108,Place
49,foxbasic,6.3,-0.4,Elizabeth Warren,0.65513414,PERSON,Coretta Scott King,0.06407276,PERSON,Senate,0.04595064,PERSON,Republicans,0.03237013,PERSON,Mitch McConnell,0.031572614,PERSON,United States Senate,Jeff Sessions,Republican Party (United States),Politics of the United States,Politics,-1632502281,2993,4524,5986,651,1052953,42395,4464,192821,192821,35491,Jeff Sessions,0.8194,Agent,Ted Cruz,0.6917,Agent,United States Senate,0.685,Agent,Martin Luther King Jr.,0.5293,Agent,Coretta Scott King,0.5207,Agent
50,cnnbasic,13.0,-0.2,Trump,0.50625664,PERSON,White House,0.13983832,PERSON,Europe,0.030143254,PERSON,translators,0.0176664,PERSON,Paris,0.016127031,PERSON,Donald Trump,Terrorism,Islamic terrorism,CNN,Islamic State of Iraq and the Levant,-1644969464,4933,5742,9866,652,1718811,66108,7197,312938,312938,44093,Islamic State of Iraq and the Levant,0.6926,Place,Terrorism,0.6703,,Islamic terrorism,0.6653,,September 11 attacks,0.651,,Islamophobia,0.6265,
51,cnnbasic,35.6,0.1,Donald Trump,0.6378829,PERSON,Beattyville,0.07026777,PERSON,Barbara Puckett,0.043070517,PERSON,Kentucky,0.0124224,PERSON,Amber Hayes,0.010445625,PERSON,Donald Trump,Kentucky,"Beattyville, Kentucky",United States,Barack Obama,-1647946925,8706,11466,17412,655,3295224,133138,17303,586157,586157,33386,Hillary Clinton,0.6292,Agent,Donald Trump,0.6076,Agent,Jimmy Carter,0.596,Agent,Poverty,0.5846,,Barack Obama,0.5596,Agent
52,reutersbasic,11.7,0.0,Donald Trump,0.31481636,PERSON,Wall Street,0.090851404,PERSON,Bank of America Corp,0.06597179,PERSON,rule,0.020099694,PERSON,retirement advice rule,0.019600876,PERSON,Financial adviser,Donald Trump,UBS,Bank,Bank of America,-1678129202,5282,7494,10564,654,2506086,85282,11195,329452,329452,35675,UBS,0.9618,Agent,Bank of America,0.7597,Agent,Wells Fargo,0.7168,Agent,Morgan Stanley,0.7003,Agent,Merrill Lynch,0.6862,Agent
