Product_Dimensions,Shipping_Weight,avg_rating,reviews_url,ASIN,product_title,2_star,3_star,list_price,1_star,in_stock,Customer_Reviews,category,description,num_reviews,shipping,5_star,num_questions,sale_price,url,4_star,Item_model_number
3.3 x 0.5 x 6 inches,2.2 ounces (,4.5 out of 5 stars,https://www.amazon.com/Sakura-30062-6-Piece-Pigma-Micron/product-reviews/B0008G8G8Y/ref=cm_cr_dp_qt_see_all_top/158-6244885-7403853?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B0008G8G8Y,"Sakura 30062 6-Piece Pigma Micron Ink Pen Set, Black",3%,5%,,4%,In Stock.,4.5 out of 5 stars,"Arts, Crafts & Sewing",". . Pigma micron ink pen set. Experience smooth, skip-free writing and crisp ink colors that leave consistent lettering and lines every time. Nib sizes for precise line width are 0.20mm, 0.25mm, 0.30mm, 0.35mm, 0.45mm and 0.50mm respectively. Achieved universal appeal and is carried by technical professionals, artists and crafters. Available in 6-piece per pack and black color. Fine point pen ideal for drawing and writing. Archival quality ink for use in acid-free environments. ","5,169",FREE Shipping,76%,191 answered questions,$6.63,https://www.amazon.com/Sakura-30062-6-Piece-Pigma-Micron/dp/B0008G8G8Y?_encoding=UTF8&psc=1,12%,30062
7 x 5 x 2 inches,1.6 ounces (,4.3 out of 5 stars,https://www.amazon.com/Outee-Choker-Necklaces-Stretch-Necklace/product-reviews/B01K55SI80/ref=cm_cr_dp_qt_see_all_top/158-4943718-9226648?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B01K55SI80,Outee 9 PCS Women Choker Necklaces Black Velvet Stretch Tattoo Choker Necklace Set for Girls,6%,7%,,4%,In Stock.,4.3 out of 5 stars,"Arts, Crafts & Sewing","***Important Notice, Please Read ***. We never authorize any other seller to sell Outee products.. Outee products only sold by "" Outee US"" and fulfilled by Amazon. Only Items Sold by ""Outee US"" will have quality warranty for 48 months. COMMON SIZE – 30cm/ 12.2” choker length with 6cm/ 2.4” chain length, common size fit for most people. Package includes 9 pieces black velvet chokers necklaces.. Good black chockers present for Christmas Day, Valentine's Day, Mother's Day, Thanksgiving Day. Ideal for most occasion.. PRODUCT WARRANTY AND CUSTOMER SERVICE - We provide 48-day money-back and 24-month warranty. So feel free to contact us if you have any question. ",150,"Fast, FREE Shipping",63%,3 answered questions,$7.99,https://www.amazon.com/Outee-Choker-Necklaces-Stretch-Necklace/dp/B01K55SI80?_encoding=UTF8&psc=1,20%,
3 x 0.9 x 7.2 inches,0.3 ounces (,4.2 out of 5 stars,https://www.amazon.com/VELCRO-Brand-Sticky-Strips-Black/product-reviews/B000TGSPV6/ref=cm_cr_dp_qt_see_all_top/168-2094587-1196309?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B000TGSPV6,"VELCRO Brand - Sticky Back - 3 1/2"" x 3/4"" Strips, 4 Sets - Black",6%,8%,,7%,In Stock.,4.2 out of 5 stars,"Arts, Crafts & Sewing",". . The original Hook and Loop Fastener. Easy to use, durable and strong!. Unmatched versatility. Perfect for smooth surfaces! It is even water resistant. Use it indoor and outdoor.. Stronger adhesive, longer lasting and more durable than other brands. Perfect for around the house, classroom, office and garage! Unlimited possibilities for organization and crafts/crafting. Available in a wide variety of sizes and colors, for any application.. ",754,"Fast, FREE Shipping",66%,77 answered questions,$2.98,https://www.amazon.com/VELCRO-Brand-Sticky-Strips-Black/dp/B000TGSPV6?_encoding=UTF8&psc=1,13%,90075
5.9 x 3.6 x 2.2 inches,12 ounces (,4.6 out of 5 stars,https://www.amazon.com/Thorntons-Art-Supply-Oil-Based-Assorted/product-reviews/B01BIBIZ74/ref=cm_cr_dp_qt_see_all_top/153-2721257-8820619?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B01BIBIZ74,"Thornton's Art Supply Oil-Based Paint Markers, Medium Point, Assorted Colors, Set of 15",,9%,,,In Stock.,4.6 out of 5 stars,"Arts, Crafts & Sewing","Oil-based opaque paint markers for marking on light or dark surfaces.. For metal, pottery, wood, rubber, glass, plastic, stone and more.. Quick drying, water-, fade- and abrasion-resistant ink. Includes a FREE plastic stand to easily store and select which markers you want to use.. The oil-based paint markers are perfect for decorating and adding accents to a variety of items, even non-porous materials. It goes on smooth with no mess, while marking opaque and glossy on light and dark surfaces.. Colors included are: Black, White, Red, Blue, Green, Brown, Yellow, Pink, Purple, Orange, Gold, Silver, Lime Green, Magenta and Aqua.. ",11,FREE Shipping,82%,,$22.99,https://www.amazon.com/Thorntons-Art-Supply-Oil-Based-Assorted/dp/B01BIBIZ74?_encoding=UTF8&psc=1,9%,TAS-OPMAST15
,Item can be shipped within U.S.,4.2 out of 5 stars,https://www.amazon.com/Mothers-155900-Carpet-Upholstery-Brush/product-reviews/B001GJ3E5C/ref=cm_cr_dp_qt_see_all_top/168-7094596-9158426?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B001GJ3E5C,Mothers Carpet & Upholstery Brush,5%,10%,,6%,In Stock.,4.2 out of 5 stars,Automotive,". . Tough bristles remove dirt and grime. Contoured, comfortable design. Extremely durable. ",396,FREE Shipping,61%,9 answered questions,$5.96,https://www.amazon.com/Mothers-155900-Carpet-Upholstery-Brush/dp/B001GJ3E5C?_encoding=UTF8&psc=1,18%,
5.8 x 1 x 3.5 inches,0.6 ounces (,4.5 out of 5 stars,https://www.amazon.com/Silhouette-SILH-BLADE-3-3T-Replacement-Blade/product-reviews/B005S2O61E/ref=cm_cr_dp_qt_see_all_top/165-8100877-8549445?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B005S2O61E,Silhouette Replacement Blade,3%,4%,,4%,In Stock.,4.5 out of 5 stars,"Arts, Crafts & Sewing",Compatible with all silhouette electronic cutting tools. Ratchet-style blade. Includes adjustment tool. ,"1,252","Fast, FREE Shipping",80%,29 answered questions,$9.99,https://www.amazon.com/Silhouette-SILH-BLADE-3-3T-Replacement-Blade/dp/B005S2O61E?_encoding=UTF8&psc=1,9%,SILH-BLADE-3-3T
0.2 x 0 x 0 inches,0.3 ounces (,3.2 out of 5 stars,https://www.amazon.com/RINGO-Invisible-Transparent-Polymer-Perfect/product-reviews/B01LWTZC9H/ref=cm_cr_dp_qt_see_all_top/151-4169701-9494914?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B01LWTZC9H,RINGO: 6-Pack of the First Invisible Ring Sizer with Transparent Memory Polymer for the Perfect Fit on Your Finger Every Time,13%,11%,$11.99,27%,In Stock.,3.2 out of 5 stars,"Arts, Crafts & Sewing","EASY TO FIT & USE: Simply Bend and Hold Ringo for 3-5 Seconds Before Use for Memory Material to Set in and Conform to Finger - Repeat if Necessary to Reduce Pressure. It Works for All Rings with a Shank Width of 5mm (0.2in) or Less (Does Not Work for Rings Wider Than 5mm or 0.2in). RINGO CAN BE PLACED ON YOUR RING BEFORE OR AFTER YOU IT ON YOUR FINGER (WORKS BEST AFTER RING IS PUT ON). BE SURE TO FLEX THE SIZER BEFORE USE TO ALLOW MEMORY ACTION TO WORK AND SECURELY FASTEN TO YOUR RING. EASY TO CLEAN: Ringo Can be Easily Wiped Off to Remove Dirt, Oil, and Dust - It Will Not Become Discolored Over Time. VIRTUALLY INVISIBLE: The First Ring Sizer that is Out of Sight While Being Worn - (Not Suitable for Wide Men's Rings). CUSTOM FITTED MEMORY MATERIAL: The Patented Design Has Memory Material in Ringo Makes it Fit Your Finger Perfectly Every Time; No Uncomfortably Tight Fits!. ",476,"Fast, FREE Shipping",37%,16 answered questions,$9.99,https://www.amazon.com/RINGO-Invisible-Transparent-Polymer-Perfect/dp/B01LWTZC9H?_encoding=UTF8&psc=1,12%,RIN600
,Item can be shipped within U.S.,4.6 out of 5 stars,https://www.amazon.com/Chemical-Guys-WAC_808-Optical-Detailer/product-reviews/B004UPZXI0/ref=cm_cr_dp_qt_see_all_top/154-5657048-1076705?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B004UPZXI0,Chemical Guys WAC_808 Hybrid V7 Optical Select High Gloss Spray Sealant and Quick Detailer (1 Gal),3%,7%,,3%,Only 2 left in stock - order soon.,4.6 out of 5 stars,Automotive,". . Its hybrid fast flash technology virtually disappears into your finish leaving a durable streak free high gloss, slick and non-stick finish. A durable sealant that virtually disappears into the surface. Delivering long lasting superior optical clarity and a high shine slick finish. Hybrid V7 works at a nano-spec level and bonds to surfaces instantly. Fast and easy to use works on all painted surfaces, wheel and even glass. ",598,,77%,80 answered questions,$45.99,https://www.amazon.com/Chemical-Guys-WAC-808-Optical-Detailer/dp/B004UPZXI0?_encoding=UTF8&psc=1,10%,
13 x 1 x 7 inches,5.6 ounces (,4.3 out of 5 stars,https://www.amazon.com/Eparon-40-piece-Gel-Unique-Colors/product-reviews/B01IC3TS2M/ref=cm_cr_dp_qt_see_all_top/153-9185477-7412120?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B01IC3TS2M,Eparon 40-piece Gel Pen Set with 40 Unique Colors!,3%,5%,$19.99,3%,In Stock.,4.3 out of 5 stars,"Arts, Crafts & Sewing",". . 40 vibrant and unique colors: 4 standard, 6 neon, 5 mixed pastel, 5 solid pastel, 10 glitter and 10 metallic. Acid-free, non-toxic, environmentally friendly. Smooth and even color application. Ideal for adult coloring books, sketching, drawing and many other creative projects. 100Percent Eparon satisfaction guarantee. ",878,"Fast, FREE Shipping",71%,27 answered questions,$7.99,https://www.amazon.com/Eparon-40-piece-Gel-Unique-Colors/dp/B01IC3TS2M?_encoding=UTF8&psc=1,18%,CUL-90211
1.1 x 10.3 x 6.5 inches,5 ounces (,4.8 out of 5 stars,https://www.amazon.com/Cricut-Tools-Craft-Basic-Set/product-reviews/B00EZUCUUE/ref=cm_cr_dp_qt_see_all_top/161-1816138-1670867?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B00EZUCUUE,Cricut Tools Craft Basic Set,1%,3%,,1%,In Stock.,4.8 out of 5 stars,"Arts, Crafts & Sewing",Includes the following Cricut Tools: Scissors with protective blade cover; Tweezers; Weeder; Scraper; and Spatula. Four interchangeable end caps. Get all the Cricut Tools in one set. ,721,"Fast, FREE Shipping",84%,,$16.02,https://www.amazon.com/Cricut-Tools-Craft-Basic-Set/dp/B00EZUCUUE?_encoding=UTF8&psc=1,11%,2002050
,Item can be shipped within U.S.,4.6 out of 5 stars,https://www.amazon.com/Hopkins-532-Mallory-Brush-Colors/product-reviews/B000BPLNXC/ref=cm_cr_dp_qt_see_all_top/165-7668181-2693100?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B000BPLNXC,"Hopkins 532 Mallory 26"" Snow Brush with Foam Grip (Colors may vary)",2%,5%,,2%,In Stock.,4.6 out of 5 stars,Automotive,. . 26 inches long. Features four rows of sturdy bristles. The most durable product on the market. Highest quality and most economical price. Colors may vary. ,"1,113","Fast, FREE Shipping",72%,12 answered questions,$9.51,https://www.amazon.com/Hopkins-532-Mallory-Brush-Colors/dp/B000BPLNXC?_encoding=UTF8&psc=1,19%,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Battery-Tender-021-0123-Junior-Charger/dp/B000CITK8S?_encoding=UTF8&psc=1,,
,Item can be shipped within U.S.,4.3 out of 5 stars,https://www.amazon.com/AmazonBasics-Microfiber-Cleaning-Cloth-Pack/product-reviews/B009FUF6DM/ref=cm_cr_dp_qt_see_all_top/161-3805865-5122762?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B009FUF6DM,AmazonBasics Microfiber Cleaning Cloth - 24 Pack,5%,8%,,4%,In Stock.,4.3 out of 5 stars,Electronics,". . Ultra soft, non-abrasive microfiber cloths will not scratch paints, coats or other surfaces. Cleans with or without chemical cleaners, leaves lint and streak free results. Absorbs eight times its own weight. Pack comes with three different towel colors (blue, yellow, and white). Rinse and reuse 100's of times. Imported; 90% Polyester 10% Polyamide. ","2,492","Fast, FREE Shipping",67%,115 answered questions,$14.81,https://www.amazon.com/AmazonBasics-Microfiber-Cleaning-Cloth-Pack/dp/B009FUF6DM?_encoding=UTF8&psc=1,16%,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/BAFX-Products-34t5-Bluetooth-Android/dp/B005NLQAHS?_encoding=UTF8&psc=1,,
,"Amazon only ships this item within the contiguous 48 United States. Other Sellers on Amazon may ship this item to Alaska, Hawaii and US Territories.",4.3 out of 5 stars,https://www.amazon.com/Bosch-26A-ICON-Wiper-Blade/product-reviews/B005JU5W54,B005JU5W54,"Bosch 26A ICON Wiper Blade - 26"" (Pack of 1)",5%,4%,$21.83,10%,In Stock.,4.3 out of 5 stars,Automotive,. . Exclusive fx dual rubber resists heat and ozone deterioration and proven to last up to 40% longer than other premium wiper blades. Patented beam design with shielded connector optimizes visibility even under extreme weather conditions. Flexible asymmetric spoiler distributes uniform downward force along the entire blade to hold it firmly to the windshield at higher speeds. Exclusive tension spring arcing technology creates a fit that’s custom-contoured to the curvature of each side of the windshield. Easy installation with original equipment-quality adapter. ,"3,976","Fast, FREE Shipping",72%,229 answered questions,$19.49,https://www.amazon.com/Bosch-26A-ICON-Wiper-Blade/dp/B005JU5W54,9%,
,,4.3 out of 5 stars,https://www.amazon.com/Best-Microfiber-Cleaning-Cloth-Pack/product-reviews/B01DV2OJYG/ref=cm_cr_dp_qt_see_all_top/167-1381787-6397942?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,"Best Microfiber Cleaning Cloth, Pack of 50",4%,6%,$24.18,7%,,,Health & Household,,"1,405","Fast, FREE Shipping",67%,47 answered questions,$19.99,https://www.amazon.com/Best-Microfiber-Cleaning-Cloth-Pack/dp/B01DV2OJYG?_encoding=UTF8&psc=1,16%,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Bosch-22A-ICON-Wiper-Blade/dp/B005JU5VH8?_encoding=UTF8&psc=1,,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Aztec-Secret-Indian-Healing-Cleansing/dp/B0014P8L9W?_encoding=UTF8&psc=1,,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Silicone-Makeup-Sponge-Compare-Silisponge/dp/B01N2TN98U?_encoding=UTF8&psc=1,,
,"Amazon only ships this item within the contiguous 48 United States. Other Sellers on Amazon may ship this item to Alaska, Hawaii and US Territories.",4.1 out of 5 stars,https://www.amazon.com/Hopkins-2610XM-Subzero-Extender-Snowbroom/product-reviews/B0016GRTVU/ref=cm_cr_dp_qt_see_all_top/154-2600735-1888911?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B0016GRTVU,"Hopkins 2610XM Subzero 52"" Super Extender Snowbroom (Colors may vary)",5%,9%,$12.49,11%,In Stock.,4.1 out of 5 stars,Automotive,". . Heavy duty broom for snow clearing power. Steel extender handle with soft cushion grip. Extra wide blade with convenient squeegee. Ideal tool for trucks, vans and SUVs. Hand grip and pole style may vary slightly. ","1,029","Fast, FREE Shipping",57%,17 answered questions,$9.37,https://www.amazon.com/Hopkins-2610XM-Subzero-Extender-Snowbroom/dp/B0016GRTVU?_encoding=UTF8&psc=1,18%,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/SiriusLED-Extremely-Chipset-Interior-Courtesy/dp/B0186P1MUW?_encoding=UTF8&psc=1,,
,Item can be shipped within U.S.,4.6 out of 5 stars,https://www.amazon.com/Chemical-Guys-CWS_107-Extreme-Synthetic/product-reviews/B003U4P3U0/ref=cm_cr_dp_qt_see_all_top/162-0144868-7814772?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B003U4P3U0,Chemical Guys CWS_107 Extreme Body Wash and Synthetic Wax Car Wash Shampoo (1 Gal),2%,9%,$22.95,1%,In Stock.,4.6 out of 5 stars,Automotive,". . This has premium bodywash shampoo and synthetic gloss enhancer. Formulated with new foaming technology which utilizes cleaners suspended within the suds and bubbles to gently lift away the toughest road grime. Gently lifts dirt, rinses fast leaving behind a premium shine. pH-balanced blend of polymers and lubricants will gently remove dirt and contaminants from your car while still leaving your wax or sealant perfectly intact. Formulated with a synthetic and carnauba wax that greatly reduces water spots by limiting calcium's ability to dry to the surface. ",206,"Fast, FREE Shipping",77%,26 answered questions,$21.02,https://www.amazon.com/Chemical-Guys-CWS-107-Extreme-Synthetic/dp/B003U4P3U0?_encoding=UTF8&psc=1,11%,
,"March 21, 2013",4.6 out of 5 stars,https://www.amazon.com/Drop-Stop-Original-Patented-Filler/product-reviews/B00BYH6C1E/ref=cm_cr_dp_qt_see_all_top/159-0668479-5521955?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B00BYH6C1E,Drop Stop - The Original Patented Car Seat Gap Filler - Set of 2 (AS SEEN ON SHARK TANK),3%,5%,,4%,In Stock.,4.6 out of 5 stars,Automotive,". . WE ARE THE ONLY SOLUTION WITH 100% GAP COVERAGE - IN FRONT OF, SURROUNDING, AND BEHIND SEAT BELT CATCH.  Drop Stop® attaches to the seat belt catch via built in slot; moves with the seat and no need to readjust or reinstall.. AS SEEN ON TV/SHARK TANK, Drop Stop blocks that annoying yet ever so dangerous gap between your car or truck seat and center console. Each package comes with 2 Drop Stops (1 for the driver side and 1 for the passenger side; universal fit), a Slide Free Pad and an LED Credit Card Light. One size fits most vehicles!  High Grade Neoprene casing allows Drop Stop to contract or expand to whatever size gap you have.  One color blends all!  The Gap is always a dark shadow so once you install Drop Stop, you won't know it's there until it Stops the Drop®!. ","3,158","Fast, FREE Shipping",76%,145 answered questions,$19.99,https://www.amazon.com/Drop-Stop-Original-Patented-Filler/dp/B00BYH6C1E?_encoding=UTF8&psc=1,12%,
,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",3.8 out of 5 stars,https://www.amazon.com/BDK-Front-ProLiner-Heavy-Rubber/product-reviews/B01EIBBGPE/ref=cm_cr_dp_qt_see_all_top/158-6253736-5954010?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B01EIBBGPE,"BDK Front and Back ProLiner Heavy Duty Rubber Floor Mats for Auto, 3 Piece Set",8%,14%,$20.96,13%,Usually ships within 2 to 3 days.,3.8 out of 5 stars,Automotive,". . 100% Rubber Polymer - Ultra Durable BDK Engineered Material for All-Weather All-Season Protection. Easy Clean - Easy Wash - Anti-Slip Backing - Protects Against Rain, Snow, Mud, Rain & Dust. Instantly Change the Look of Your Interior - Protect the Original Flooring and Make Your Vehicle New Again. Size: Front (27"" x 18"") Rear (17"" x 54""). Trusted Consumer Brand - Includes 1-Year Full Manufacturer's Warranty. ",529,FREE Shipping,47%,115 answered questions,$19.85,https://www.amazon.com/BDK-Front-ProLiner-Heavy-Rubber/dp/B01EIBBGPE?_encoding=UTF8&psc=1,18%,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Colgate-Total-Whitening-Toothpaste-Tubes/dp/B001KYS2UA?_encoding=UTF8&psc=1,,
